"","Predicted"
"103KLCMSR_9.14.10_1",0.3644
"105PS0193_8.29.12_1",0.328
"105PS0660_8.3.10_1",2.16096666666667
"105TMCACC_8.10.10_1",1.44116666666667
"106MNCAHC_10.1.08_1",2.06271904761905
"106WE1079_8.8.12_1",1.67762857142857
"106WER016_10.20.09_1",2.63826666666667
"107LLM101_9.13.10_1",1.16032698412698
"111BGCAER_6.11.14_1",0.7819
"111FS0007_7.11.11_1",3.23859523809524
"111PAL105_7.13.11_1",3.3672
"202SPE090_6.15.09_1",3.24726666666667
"205AAG075_6.12.13_1",2.08904523809524
"205COY850_5.21.12_1",1.48443333333333
"205SFC880_6.19.12_1",2.76147380952381
"206BRC020_6.27.12_1",3.49240476190476
"207SUI290_6.4.12_1",3.55808333333333
"307CMRADC_5.20.14_1",2.45946666666667
"308LSRASC_7.18.11_1",3.35128571428571
"308MWCAH1_6.23.10_1",2.96112301587302
"308PS0156_6.19.12_1",2.62453333333333
"308ROCBBQ_6.21.12_1",2.07608571428571
"309ARCBRC_8.25.08_1",1.67883333333333
"309PS0116_6.16.11_1",2.68736406926407
"312PS0099_6.14.10_1",3.10399047619048
"315CHCALS_6.15.10_1",4.39685714285714
"402BA0095_5.29.08_1",4.16313333333333
"402M00009_6.29.15_1",3.9473
"403S00960_6.2.10_1",3.81786666666667
"403S01536_7.12.11_1",2.5875
"403WE0540_5.14.14_1",4.03831111111111
"403WE0683_5.15.13_1",4.73339523809524
"505PS0110_9.16.10_1",0.859766666666667
"513CCNASC_7.16.14_1",2.61343333333334
"513STCAIV_6.12.14_1",1.51721904761905
"513UNCAKC_9.23.09_1",1.51721904761905
"514SSC190_9.11.14_1",1.00718614718615
"517FCA046_8.14.13_1",1.26386666666667
"518BTCASC_6.12.13_1",0.950066666666667
"518FCA075_8.12.13_1",1.5308
"518SPC134_6.18.13_1",1.45519523809524
"522GSCBSC_9.24.09_1",2.20863333333333
"522PS0504_6.11.13_1",1.79013333333333
"526PNCAMF_6.25.13_1",0.746166666666667
"526PS1420_6.25.13_1",1.4012
"534MLC108_9.14.11_1",1.05223333333333
"536HLCBFM_6.18.13_1",0.323566666666667
"537TYCAML_7.16.08_1",0.270033333333333
"540SED003_8.30.11_1",0.4157
"552DKC268_6.23.14_1",1.04825079365079
"552MFCAKR_6.11.08_1",3.06586666666667
"553KRNAYC_6.17.14_1",3.15586666666667
"554CLCALK_8.23.11_1",0.70711746031746
"603DDM005_9.13.11_1",0.954066666666667
"603FCA145_8.21.13_1",1.01381904761905
"603PS0008_7.30.08_1",0.232366666666667
"603PS0075_8.15.12_1",2.57533333333333
"603PS0109_7.29.08_1",1.45436666666667
"603PS0557_8.18.10_1",1.4151
"603SPCBWC_7.22.08_1",0.8863
"631DEP001_8.28.12_1",2.71263333333333
"631PS0033_8.30.10_1",1.33199285714286
"632ELD001_9.8.11_1",1.59553333333333
"634CAT055_10.4.11_1",0.4945
"634GRF001_10.3.11_1",0.595516666666666
"634HHCATC_10.4.11_1",0.750533333333333
"634PS0035_9.1.10_1",0.429903968253968
"634PS0062_10.12.11_1",1.29813333333333
"634WSN001_10.4.11_1",1.05035714285714
"636SAG001_7.12.10_1",2.7143
"639PS1279_6.11.13_1",2.06236349206349
"641OWC157_7.24.13_1",0.0917666666666666
"722NP7IDC_4.16.14_1",4.53793333333333
"801DRC025_6.25.14_1",1.5662
"801S03488_5.7.14_1",2.5471
"801WE0674_5.14.13_1",1.51703333333333
"801WE1008_5.14.13_1",1.09896666666667
"801WE1132_8.19.09_1",2.11983333333333
"901ATCAAS_6.5.08_1",3.79285952380952
"901CSCADC_5.26.11_1",2.6103
"901S06969_5.31.12_1",3.76671428571428
"903WE0798_4.8.15_1",2.76940238095238
"905BCC_6.11.14_1",5.07671984126984
"905S02561_5.25.11_1",4.27876666666667
"909JQCASR_6.1.11_1",1.5684
"911S03354_5.5.09_1",3.19332857142857
"911TJIND2_5.8.08_1",4.1425
"911TJLCC2_4.7.15_1",3.32317142857143
"SCFC1_6.12.08_1",3.35482063492063
"SCSS1_6.17.08_1",4.91324761904762
"SMAD1_11.5.08_1",5.4093
"SMC00135_6.7.10_1",2.11333333333333
"SMC01979_7.14.11_1",4.58908095238095
"SMC02139_7.17.12_1",3.53946111111111
"SMC04204_7.11.12_1",2.3331253968254
"SMC04383_5.19.14_1",3.88866666666667
"SMC06467_6.28.10_1",2.57571904761905
"SMC19809_6.25.13_1",4.95966666666667
