"","Predicted"
"105PS0188_8.26.08_1",1.49186666666667
"105PS0188_8.26.08_2",1.49186666666667
"106FC1183_7.24.14_1",1.15766666666667
"106FC1313_7.23.14_1",1.06703333333333
"106PS0078_8.26.09_1",1.7138
"106PS0173_8.4.11_1",1.16583333333333
"106PS0186_9.26.12_1",1.0902
"109PS0162_7.20.11_1",2.60144444444444
"110ECSLSF_7.26.11_1",2.7718
"110FCA102_7.25.13_1",2.73123333333333
"111CR1012_8.18.14_1",1.98696666666667
"111PS0057_8.18.08_1",2.81943333333333
"113GAR010_6.8.09_1",2.72013333333333
"113GAR010_8.27.12_1",2.72013333333333
"113GAR038_6.8.09_1",2.94453333333333
"113GAR038_9.10.12_1",2.94453333333333
"113GAR046_6.18.12_1",4.94261904761905
"113GAR046_6.8.09_1",4.94261904761905
"113GAR046_9.2.14_1",4.94261904761905
"113GAR061_6.19.12_1",4.67165238095238
"113GAR061_7.1.09_1",4.67165238095238
"113GAR061_9.3.14_1",4.67165238095238
"113GAR061_9.3.14_2",4.67165238095238
"113GAR084_6.28.10_1",3.72723333333333
"113GAR094_7.27.10_1",4.40250952380952
"113GAR094_7.27.10_2",4.40250952380952
"113GAR110_6.18.12_1",3.4608
"113GAR110_6.30.09_1",3.4608
"113GAR110_9.2.14_1",3.4608
"113PS0084_8.18.09_1",2.3496
"113PS0100_8.25.09_1",3.67844285714286
"113PS0132_9.15.10_1",2.32226666666667
"113PS0196_8.1.12_1",2.89903333333333
"114CR0903_8.26.13_1",4.2207
"114CR0903_9.25.13_1",4.2207
"114PS0149_7.10.12_1",2.60716666666667
"114PS0152_7.7.11_1",2.163
"114PS0152_8.18.11_1",2.163
"114RR1041_10.10.11_1",3.29776666666667
"114RR1041_10.25.11_1",3.29776666666667
"114RR1041_10.25.11_2",3.29776666666667
"114RR1041_8.2.11_1",3.29776666666667
"114RR1041_9.7.11_1",3.29776666666667
"114RR1310_6.2.11_1",3.16213333333334
"114RR1599_10.10.11_1",3.0556
"114RR1599_10.25.11_1",3.0556
"114RR1599_6.2.11_1",3.0556
"114RR1599_6.27.11_1",3.0556
"114RR1599_8.2.11_1",3.0556
"114RR1599_8.2.11_2",3.0556
"114RR1599_9.7.11_1",3.0556
"114RR2678_10.11.11_1",4.4925
"114RR2678_10.24.11_1",4.4925
"114RR2678_6.29.11_1",4.4925
"114RR2678_8.1.11_1",4.4925
"114RR2678_9.13.11_1",4.4925
"114RR2769_6.1.11_1",4.5115
"114RR2899_10.11.11_1",3.386
"114RR2899_10.24.11_1",3.386
"114RR2899_6.1.11_1",3.386
"114RR2899_6.29.11_1",3.386
"114RR2899_8.1.11_1",3.386
"114RR2899_9.13.11_1",3.386
"202BUT850_6.4.13_1",1.9497
"202PS0134_5.31.11_1",3.47029898989899
"202R00087_5.30.12_1",3.06026666666667
"202R00284_6.15.12_1",3.45256666666666
"202R00908_5.21.13_1",3.3235
"203PS0070_7.19.10_1",2.5285
"203PS0070_9.7.10_1",2.5285
"203R00039_5.14.12_1",3.79206666666667
"204ALP040_4.10.11_1",3.83513253968254
"204ALP040_6.29.11_1",3.83513253968254
"204ALP105_4.10.11_1",4.70193333333333
"204ALP151_4.10.11_1",3.52103015873016
"204ALP151_6.29.11_1",3.52103015873016
"204PS0038_6.19.08_1",3.21207142857143
"204PS0094_7.14.10_1",3.49286587301587
"204PS0102_6.15.11_1",2.95515
"204PS0102_6.15.11_2",2.95515
"204PS0102_8.10.11_1",2.95515
"204PS0118_6.15.11_1",4.46823333333333
"204R00047_6.6.12_1",3.4964
"204R00063_6.4.13_1",3.70946666666667
"204R00068_5.31.12_1",2.13866089466089
"204R00084_5.24.12_1",3.41316666666667
"204R00100_5.30.12_1",3.87919285714286
"204R00180_5.30.12_1",3.98130238095238
"204R00191_5.29.12_1",4.82012344877345
"204R00200_5.31.12_1",4.05940238095238
"204R00232_6.12.12_1",2.34660519480519
"204R00232_6.12.12_2",2.34660519480519
"204R00244_6.12.12_1",2.53846789321789
"204R00303_6.14.12_1",3.92158535353535
