"","Predicted"
"102PS0139_8.9.10_1",2.54573333333333
"103FCA168_7.24.13_1",1.11798333333333
"103PS0217_9.10.13_1",1.22038333333333
"103RDCBCC_7.21.11_1",1.69453333333333
"105PS0028_8.12.08_1",3.82353333333333
"105PS0028_8.26.08_1",3.82353333333333
"105PS0067_8.24.09_1",3.4689
"105PS0067_8.24.09_2",3.4689
"105PS0067_9.15.09_1",3.4689
"105PS0069_8.18.09_1",1.07861666666667
"105PS0092_8.11.08_1",3.42423333333333
"105PS0107_9.14.09_1",2.93154761904762
"105PS0129_8.11.10_1",2.1685
"105PS0129_8.11.10_2",2.1685
"105PS0149_8.29.12_1",1.49236666666667
"105PS0211_8.20.13_1",3.93553333333333
"105PS0211_9.16.13_1",3.93553333333333
"105PS0231_8.29.13_1",1.9437
"105PS0276_9.1.09_1",5.23506666666667
"105PS0276_9.22.09_1",5.23506666666667
"105PS0540_8.5.10_1",4.38083333333333
"105PS1148_9.18.12_1",5.4619
"105PS1404_8.28.13_1",4.54893333333333
"105PS1404_8.28.13_2",4.54893333333333
"106FCA036_7.15.13_1",4.25363333333333
"106HLCACC_9.23.13_1",2.612
"106PS0022_9.30.08_1",0.813033333333333
"106PS0051_9.16.08_1",4.04873333333333
"106PS0051_9.16.08_2",4.04873333333333
"106PS0106_9.8.09_1",3.51693333333333
"106PS0106_9.8.09_2",3.51693333333333
"106PS0122_9.20.10_1",1.64146666666667
"106PS0142_7.19.10_1",1.7559
"106PS0206_10.3.12_1",3.67806666666667
"106PTCAHC_9.2.08_1",2.84223333333333
"107GWCAPC_9.15.10_1",3.59153333333333
"107RWCBHW_8.3.11_1",2.36893333333333
"107RWCBHW_8.3.11_2",2.36893333333333
"108PS0197_8.16.12_1",2.13556666666667
"110PS0114_7.21.10_1",3.81296666666667
"110SMCATH_7.27.11_1",3.7283
"111CE0569_10.11.10_1",6.0715
"111FCA207_7.23.13_1",4.07526666666666
"111PS0008_9.29.08_1",4.5506
"111PS0008_9.9.08_1",4.5506
"111PS0008_9.9.08_2",4.5506
"111PS0013_8.19.08_1",3.8741119047619
"111PS0095_8.27.09_1",4.24843333333333
"111PS0095_8.27.09_2",4.24843333333333
"111PS0121_7.20.10_1",5.39236666666667
"111PS0159_7.14.11_1",2.48733333333333
"111PS0169_7.25.11_1",6.26833333333334
"111PS0169_7.25.11_2",6.26833333333334
"111PS0178_8.14.12_1",3.21897857142857
"111PS0237_9.12.13_1",2.83263333333333
"112PS0157_7.12.11_1",2.5047
"113GAR011_8.22.11_1",4.39856666666667
"113GAR011_9.1.10_1",4.39856666666667
"113GAR015_8.23.11_1",3.1625
"113GAR015_8.31.10_1",3.1625
"113GAR015_9.9.13_1",3.1625
"113GAR023_7.22.14_1",4.45593333333334
"113GAR023_8.5.13_1",4.45593333333334
"113GAR030_8.26.09_1",3.17132857142857
"113GAR030_8.26.09_2",3.17132857142857
"113GAR030_8.28.12_1",3.17132857142857
"113GAR042_9.10.13_1",3.36176666666667
"113GAR062_6.30.09_1",3.357
"113GAR062_8.27.12_1",3.357
"113GAR087_6.29.10_1",2.71183333333333
"113GAR087_8.6.13_1",2.71183333333333
"113GAR087_9.11.12_1",2.71183333333333
"113GAR087_9.11.12_2",2.71183333333333
"113GAR089_6.14.10_1",2.26323333333333
"113GAR089_6.20.11_1",2.26323333333333
"113GAR089_8.5.09_1",2.26323333333333
"113GAR105_6.14.10_1",3.22543333333333
"113GAR105_6.20.11_1",3.22543333333333
"113GAR105_8.4.09_1",3.22543333333333
"113GAR112_6.15.10_1",2.84046666666667
"113GAR112_7.22.14_1",2.84046666666667
"113GAR112_8.22.11_1",2.84046666666667
"113GAR112_8.4.09_1",2.84046666666667
"113GAR112_8.4.09_2",2.84046666666667
"113GAR112_8.7.13_1",2.84046666666667
"113GAR118_7.26.10_1",3.88326666666666
"113GAR118_9.10.12_1",3.88326666666666
"113GAR178_6.21.11_1",4.95496666666667
"113GAR178_7.23.14_1",4.95496666666667
"113GAR178_8.31.10_1",4.95496666666667
"113GAR178_9.9.13_1",4.95496666666667
"113GAR178_9.9.13_2",4.95496666666667
"113GAR244_6.28.10_1",5.63223333333334
"113PS0012_9.9.08_1",5.0284
"113PS0012_9.9.08_2",5.0284
"113PS0076_8.2.12_1",2.78943333333333
"113PS0076_8.22.12_1",2.78943333333333
"113PS0120_9.14.10_1",5.001
"113PS0168_7.6.11_1",4.02843333333333
"113PS0216_9.3.13_1",5.36816666666667
"113PS0232_9.4.13_1",4.47563333333333
"113PS0232_9.4.13_2",4.47563333333333
"113PS0268_6.11.14_1",4.28596666666667
"114AU7778_6.21.10_1",2.55413888888889
"114FCA199_8.1.13_1",2.98723333333333
"114GV3469_7.5.11_1",4.11586666666667
"114GV5331_7.6.11_1",2.86113333333333
"114MA2364_7.6.10_1",3.40326666666666
"114MRCURX_6.24.08_1",3.43682857142857
"114PS0088_8.19.09_1",4.03726666666667
"114PS0209_6.10.13_1",3.50603333333333
"114PS0229_6.4.13_1",3.31433333333333
"114WER118_8.20.08_1",3.11921666666667
"115SALG01_6.30.10_1",3.18566666666667
"115SC6093_7.7.11_1",2.87402380952381
"115SC6093_7.7.11_2",2.87402380952381
"201LAG190_10.6.08_1",6.2018
"201LAG380_7.14.09_1",2.9234
"201RDW080_4.29.09_1",4.1361
"201RDW080_5.7.08_1",4.1361
"201RDW080_6.2.10_1",4.1361
"201RDW080_6.23.08_1",4.1361
"201RDW080_6.3.09_1",4.1361
"201RDW080_6.3.09_2",4.1361
"201RDW080_8.11.09_1",4.1361
"201RDW080_8.12.08_1",4.1361
"202LAH950_6.13.12_1",3.41193333333333
"202MIC150_5.7.14_1",4.3298
"202PES162_4.27.09_1",2.7644
"202PES162_5.1.08_1",2.7644
"202PES162_6.16.09_1",2.7644
"202PES162_6.18.08_1",2.7644
"202PES162_6.7.10_1",2.7644
"202PES162_8.17.09_1",2.7644
"202PES162_9.10.08_1",2.7644
"202PES162_9.10.08_2",2.7644
"202PS0246_6.5.13_1",4.42193333333333
"202R00248_5.23.13_1",4.30383333333333
"202R00248_5.23.13_2",4.30383333333333
"202TUN600_5.12.14_1",2.8368
"203R00983_6.6.13_1",7.14372698412699
"204ALA320_6.17.13_1",5.87374761904762
"204ALA382_6.11.13_1",3.89326190476191
"204ALA396_6.24.13_1",3.89526190476191
"204ALA410_5.8.13_1",3.89526190476191
