"","Predicted"
"102PS0177_8.28.12_1",2.12936666666667
"103CDCHHR_9.14.10_1",1.41358333333333
"103STCNSR_8.9.11_1",0.779633333333334
"103WER026_8.15.12_1",1.65056666666667
"103WER029_7.16.14_1",1.22038333333333
"103WER030_8.10.11_1",0.740666666666667
"105BVCAGC_9.21.10_1",1.23423333333333
"105CE0329_7.23.14_1",0.9008
"105CLCATC_8.10.10_1",2.35986666666667
"105DLCDCC_10.20.09_1",2.10103333333333
"105FCA116_7.16.13_1",1.0276
"105FS0416_9.24.13_1",2.87556666666666
"105FS0425_8.10.11_1",1.08433333333333
"105FS0428_8.3.11_1",2.5993
"105NWC151_6.26.13_1",5.17603333333333
"105PS0043_9.17.08_1",2.59133333333333
"105PS0083_9.8.09_1",2.9752
"105PS0090_8.7.12_1",1.7186
"105PS0097_7.22.14_1",1.19796666666667
"105PS0154_8.9.11_1",2.87146666666667
"105PS0195_8.7.12_1",1.2246
"105PS0259_9.17.13_1",2.70063333333333
"105PS0267_7.21.14_1",2.99183333333333
"105PS0468_9.1.09_1",3.98573333333333
"105PS0540_9.15.10_1",4.38083333333333
"105PS1492_8.6.14_1",6.8365
"105WE0598_7.24.14_1",0.7896
"105WLC135_6.26.13_1",4.49533333333333
"105WLCABC_8.3.11_1",2.8197
"106FS0040_8.30.11_1",1.236
"106PS0115_9.21.10_1",2.15243333333333
"106PS0124_8.16.10_1",2.9733
"106PS0166_8.2.11_1",3.9111
"106WE0505_7.21.14_1",1.52703333333333
"106WER011_9.11.13_1",2.1192
"107PS0021_7.14.14_1",1.10165
"107WER092_8.27.12_1",3.68013333333333
"111BBRBCC_9.23.09_1",2.07385714285714
"111CBCAER_8.8.13_1",1.99637857142857
"111ERATRC_10.10.12_1",0.7869
"111FS0001_7.5.11_1",2.50496666666667
"111FS0008_7.19.12_1",2.63016666666667
"111HSCAER_7.26.11_1",3.08063333333333
"111PS0060_10.7.08_1",2.1583
"111PS0110_6.9.14_1",0.728
"111PS0144_8.18.10_1",1.7563
"111PS0160_7.25.11_1",2.6515
