"","Predicted"
"103KLCMSR_9.14.10_1",0.9026
"105PS0193_8.29.12_1",2.12336666666667
"105PS0660_8.3.10_1",5.17603333333333
"105TMCACC_8.10.10_1",2.154
"106MNCAHC_10.1.08_1",2.64605
"106WE1079_8.8.12_1",2.25436666666667
"106WER016_10.20.09_1",2.4854
"107LLM101_9.13.10_1",1.09351666666667
"111BGCAER_6.11.14_1",1.77996666666667
"111FS0007_7.11.11_1",2.69507222222222
"111PAL105_7.13.11_1",5.5053
"202SPE090_6.15.09_1",3.78433333333333
"205AAG075_6.12.13_1",4.00189682539683
"205COY850_5.21.12_1",2.71956666666667
"205SFC880_6.19.12_1",3.94076666666667
"206BRC020_6.27.12_1",6.80569365079366
"207SUI290_6.4.12_1",6.5464126984127
"307CMRADC_5.20.14_1",2.9896
"308LSRASC_7.18.11_1",3.16712380952381
"308MWCAH1_6.23.10_1",3.34675555555555
"308PS0156_6.19.12_1",3.29543333333333
"308ROCBBQ_6.21.12_1",3.36744285714286
"309ARCBRC_8.25.08_1",3.387
"309PS0116_6.16.11_1",3.70593333333333
"312PS0099_6.14.10_1",5.00006666666667
"315CHCALS_6.15.10_1",2.7406
"402BA0095_5.29.08_1",5.37036666666667
"402M00009_6.29.15_1",3.9244
"403S00960_6.2.10_1",4.3267
"403S01536_7.12.11_1",4.6429
"403WE0540_5.14.14_1",6.35493333333333
"403WE0683_5.15.13_1",4.20478571428572
"505PS0110_9.16.10_1",2.03233333333333
"513CCNASC_7.16.14_1",2.43066666666667
"513STCAIV_6.12.14_1",3.8327
"513UNCAKC_9.23.09_1",4.27846666666667
"514SSC190_9.11.14_1",2.20303333333333
"517FCA046_8.14.13_1",2.65246666666667
"518BTCASC_6.12.13_1",3.21173333333333
"518FCA075_8.12.13_1",2.10623333333333
"518SPC134_6.18.13_1",4.45586666666667
"522GSCBSC_9.24.09_1",2.57343333333333
"522PS0504_6.11.13_1",3.4613
"526PNCAMF_6.25.13_1",3.72863333333333
"526PS1420_6.25.13_1",4.10106666666667
"534MLC108_9.14.11_1",2.73345714285714
"536HLCBFM_6.18.13_1",3.39076666666667
"537TYCAML_7.16.08_1",2.2878
"540SED003_8.30.11_1",1.2424
"552DKC268_6.23.14_1",1.89456666666667
"552MFCAKR_6.11.08_1",6.3491
"553KRNAYC_6.17.14_1",4.81193333333333
"554CLCALK_8.23.11_1",3.63273333333333
"603DDM005_9.13.11_1",3.44376666666667
"603FCA145_8.21.13_1",3.49376666666667
"603PS0008_7.30.08_1",2.33353333333333
"603PS0075_8.15.12_1",2.21845
"603PS0109_7.29.08_1",3.83526666666667
"603PS0557_8.18.10_1",4.1807
"603SPCBWC_7.22.08_1",4.29726666666667
"631DEP001_8.28.12_1",4.86376666666667
"631PS0033_8.30.10_1",2.26956666666667
"632ELD001_9.8.11_1",3.17543333333333
"634CAT055_10.4.11_1",1.91476666666667
"634GRF001_10.3.11_1",2.56323333333333
"634HHCATC_10.4.11_1",3.80273333333334
"634PS0035_9.1.10_1",1.78243333333333
"634PS0062_10.12.11_1",2.2376
"634WSN001_10.4.11_1",4.27586666666667
"636SAG001_7.12.10_1",3.53276666666666
"639PS1279_6.11.13_1",2.25656666666667
"641OWC157_7.24.13_1",4.7146
"722NP7IDC_4.16.14_1",4.62566666666667
"801DRC025_6.25.14_1",4.1941
"801S03488_5.7.14_1",2.4051
"801WE0674_5.14.13_1",3.11433333333333
"801WE1008_5.14.13_1",1.26503333333333
"801WE1132_8.19.09_1",5.53576666666667
"901ATCAAS_6.5.08_1",6.16445238095238
"901CSCADC_5.26.11_1",6.48676666666667
"901S06969_5.31.12_1",4.50926666666667
"903WE0798_4.8.15_1",3.65536666666667
"905BCC_6.11.14_1",3.95316666666667
"905S02561_5.25.11_1",5.49803333333334
"909JQCASR_6.1.11_1",3.38306666666667
"911S03354_5.5.09_1",3.93476666666667
"911TJIND2_5.8.08_1",5.6569
"911TJLCC2_4.7.15_1",3.71894603174603
"SCFC1_6.12.08_1",4.05863333333333
"SCSS1_6.17.08_1",4.99998095238096
"SMAD1_11.5.08_1",6.09642380952381
"SMC00135_6.7.10_1",5.7979
"SMC01979_7.14.11_1",3.97203333333333
"SMC02139_7.17.12_1",3.0578
"SMC04204_7.11.12_1",4.35843333333333
"SMC04383_5.19.14_1",5.36146666666667
"SMC06467_6.28.10_1",3.42846666666667
"SMC19809_6.25.13_1",5.90613333333333
