"","Predicted"
"105PS0188_8.26.08_1",5.05746666666667
"105PS0188_8.26.08_2",5.05746666666667
"106FC1183_7.24.14_1",2.12973333333333
"106FC1313_7.23.14_1",4.671
"106PS0078_8.26.09_1",3.53345714285714
"106PS0173_8.4.11_1",2.2563
"106PS0186_9.26.12_1",2.15986666666667
"109PS0162_7.20.11_1",3.497
"110ECSLSF_7.26.11_1",3.39523333333333
"110FCA102_7.25.13_1",3.09456666666667
"111CR1012_8.18.14_1",4.7096
"111PS0057_8.18.08_1",3.78676666666667
"113GAR010_6.8.09_1",4.10886666666666
"113GAR010_8.27.12_1",4.10886666666666
"113GAR038_6.8.09_1",4.62583333333333
"113GAR038_9.10.12_1",4.62583333333333
"113GAR046_6.18.12_1",3.20239523809524
"113GAR046_6.8.09_1",3.20239523809524
"113GAR046_9.2.14_1",3.20239523809524
"113GAR061_6.19.12_1",3.24356666666667
"113GAR061_7.1.09_1",3.24356666666667
"113GAR061_9.3.14_1",3.24356666666667
"113GAR061_9.3.14_2",3.24356666666667
"113GAR084_6.28.10_1",4.33326666666667
"113GAR094_7.27.10_1",3.17332857142857
"113GAR094_7.27.10_2",3.17332857142857
"113GAR110_6.18.12_1",4.2838
"113GAR110_6.30.09_1",4.2838
"113GAR110_9.2.14_1",4.2838
"113PS0084_8.18.09_1",3.99986666666667
"113PS0100_8.25.09_1",3.968
"113PS0132_9.15.10_1",5.3003
"113PS0196_8.1.12_1",5.4086
"114CR0903_8.26.13_1",4.12366666666666
"114CR0903_9.25.13_1",4.12366666666666
"114PS0149_7.10.12_1",3.306
"114PS0152_7.7.11_1",2.40643333333333
"114PS0152_8.18.11_1",2.40643333333333
"114RR1041_10.10.11_1",3.27186666666667
"114RR1041_10.25.11_1",3.27186666666667
"114RR1041_10.25.11_2",3.27186666666667
"114RR1041_8.2.11_1",3.27186666666667
"114RR1041_9.7.11_1",3.27186666666667
"114RR1310_6.2.11_1",3.2557
"114RR1599_10.10.11_1",3.60203333333333
"114RR1599_10.25.11_1",3.60203333333333
"114RR1599_6.2.11_1",3.60203333333333
"114RR1599_6.27.11_1",3.60203333333333
"114RR1599_8.2.11_1",3.60203333333333
"114RR1599_8.2.11_2",3.60203333333333
"114RR1599_9.7.11_1",3.60203333333333
"114RR2678_10.11.11_1",4.21353333333333
"114RR2678_10.24.11_1",4.21353333333333
"114RR2678_6.29.11_1",4.21353333333333
"114RR2678_8.1.11_1",4.21353333333333
"114RR2678_9.13.11_1",4.21353333333333
