"","Predicted"
"102PS0139_8.9.10_1",0.6523
"103FCA168_7.24.13_1",1.17996666666667
"103PS0217_9.10.13_1",1.04653333333333
"103RDCBCC_7.21.11_1",0.459233333333333
"105PS0028_8.12.08_1",2.24113333333333
"105PS0028_8.26.08_1",2.24113333333333
"105PS0067_8.24.09_1",1.37096666666667
"105PS0067_8.24.09_2",1.37096666666667
"105PS0067_9.15.09_1",1.37096666666667
"105PS0069_8.18.09_1",0.601733333333333
"105PS0092_8.11.08_1",2.4296
"105PS0107_9.14.09_1",2.2204
"105PS0129_8.11.10_1",0.552233333333333
"105PS0129_8.11.10_2",0.552233333333333
"105PS0149_8.29.12_1",0.6136
"105PS0211_8.20.13_1",2.50466666666667
"105PS0211_9.16.13_1",2.50466666666667
"105PS0231_8.29.13_1",2.99896666666667
"105PS0276_9.1.09_1",2.16553333333333
"105PS0276_9.22.09_1",2.16553333333333
"105PS0540_8.5.10_1",2.46816666666667
"105PS1148_9.18.12_1",2.2251
"105PS1404_8.28.13_1",2.55936666666667
"105PS1404_8.28.13_2",2.55936666666667
"106FCA036_7.15.13_1",1.21106666666667
"106HLCACC_9.23.13_1",0.1822
"106PS0022_9.30.08_1",1.3569
"106PS0051_9.16.08_1",0.515766666666667
"106PS0051_9.16.08_2",0.515766666666667
"106PS0106_9.8.09_1",1.56403333333333
"106PS0106_9.8.09_2",1.56403333333333
"106PS0122_9.20.10_1",0.909466666666667
"106PS0142_7.19.10_1",1.23073333333333
"106PS0206_10.3.12_1",1.0701
"106PTCAHC_9.2.08_1",1.56553333333333
"107GWCAPC_9.15.10_1",0.359466666666667
"107RWCBHW_8.3.11_1",0.436033333333333
"107RWCBHW_8.3.11_2",0.436033333333333
"108PS0197_8.16.12_1",0.543566666666667
"110PS0114_7.21.10_1",1.13473333333333
"110SMCATH_7.27.11_1",0.461233333333333
"111CE0569_10.11.10_1",0.620433333333333
"111FCA207_7.23.13_1",0.611566666666667
"111PS0008_9.29.08_1",1.38143333333333
"111PS0008_9.9.08_1",1.38143333333333
"111PS0008_9.9.08_2",1.38143333333333
"111PS0013_8.19.08_1",0.424733333333333
"111PS0095_8.27.09_1",0.7459
