"","Predicted"
"102PS0177_8.28.12_1",0.4808
"103CDCHHR_9.14.10_1",1.45813333333333
"103STCNSR_8.9.11_1",0.268433333333334
"103WER026_8.15.12_1",0.5934
"103WER029_7.16.14_1",0.695533333333333
"103WER030_8.10.11_1",0.253133333333333
"105BVCAGC_9.21.10_1",1.36986666666667
"105CE0329_7.23.14_1",0.376866666666667
"105CLCATC_8.10.10_1",1.09523333333333
"105DLCDCC_10.20.09_1",0.3
"105FCA116_7.16.13_1",0.423066666666667
"105FS0416_9.24.13_1",1.80153333333333
"105FS0425_8.10.11_1",0.809766666666667
"105FS0428_8.3.11_1",0.3605
"105NWC151_6.26.13_1",2.73493333333333
"105PS0043_9.17.08_1",1.06566666666667
"105PS0083_9.8.09_1",0.814166666666667
"105PS0090_8.7.12_1",1.4107
"105PS0097_7.22.14_1",0.616033333333334
"105PS0154_8.9.11_1",0.560066666666667
"105PS0195_8.7.12_1",0.8477
"105PS0259_9.17.13_1",1.36486666666667
"105PS0267_7.21.14_1",1.03083333333333
"105PS0468_9.1.09_1",1.4251
"105PS0540_9.15.10_1",2.46816666666667
"105PS1492_8.6.14_1",2.2163
"105WE0598_7.24.14_1",0.435733333333333
"105WLC135_6.26.13_1",1.4351
"105WLCABC_8.3.11_1",0.134666666666667
"106FS0040_8.30.11_1",0.2353
"106PS0115_9.21.10_1",1.439
"106PS0124_8.16.10_1",0.232433333333333
"106PS0166_8.2.11_1",0.269633333333333
"106WE0505_7.21.14_1",0.580733333333333
"106WER011_9.11.13_1",1.33193333333333
"107PS0021_7.14.14_1",0.294266666666667
"107WER092_8.27.12_1",0.6022
"111BBRBCC_9.23.09_1",1.30303333333333
"111CBCAER_8.8.13_1",1.6101380952381
"111ERATRC_10.10.12_1",0.7974
"111FS0001_7.5.11_1",0.742066666666667
"111FS0008_7.19.12_1",1.16226666666667
"111HSCAER_7.26.11_1",1.6101380952381
"111PS0060_10.7.08_1",0.626066666666666
"111PS0110_6.9.14_1",0.393433333333333
"111PS0144_8.18.10_1",1.57243333333333
"111PS0160_7.25.11_1",1.15446666666667
"111PS0204_8.17.10_1",1.4902
"111RSCAER_8.8.11_1",0.860466666666666
"111TGCAER_7.24.12_1",1.04686666666667
"111WE0816_6.12.13_1",1.3223
"111WE1050_6.12.13_1",1.1187
"111WE1071_7.26.12_1",1.16613333333333
"111WER003_6.10.14_1",0.7335
"111WER008_7.23.12_1",1.33413333333333
"111WER159_10.19.09_1",1.12446666666667
"113RG8046_8.19.10_1",1.1804
"114CE0131_7.31.12_1",0.576
"114PS0145_6.20.11_1",1.81146666666667
"114WE0614_7.9.12_1",1.28823333333333
"115EBAG01_7.1.10_1",1.84486666666667
"201AHO350_6.20.12_1",0.761066666666667
"201CHE300_6.18.12_1",2.12203333333333
"201LAG335_7.15.09_1",0.4981
"201MRS020_9.13.10_1",2.30836666666667
"202BUT030_6.29.10_1",0.66212380952381
"202BUT040_6.4.14_1",0.712733333333334
"202BUT050_6.16.09_1",0.70262380952381
"202BUT480_6.25.12_1",0.61572380952381
"202BUT600_6.26.12_1",0.339633333333333
"202DRY010_6.5.13_1",2.148
"202PES168_6.6.13_1",0.5411
"202R00024_6.6.12_1",1.6132
"202R00280_5.22.13_1",1.448
"204AHOACR_6.2.14_1",0.963233333333333
"204ALA500_6.10.13_1",1.7432
