"","Predicted"
"103KLCMSR_9.14.10_1",0.4966
"105PS0193_8.29.12_1",0.796366666666667
"105PS0660_8.3.10_1",2.73493333333333
"105TMCACC_8.10.10_1",1.0659
"106MNCAHC_10.1.08_1",1.17926666666667
"106WE1079_8.8.12_1",0.553966666666667
"106WER016_10.20.09_1",1.56553333333333
"107LLM101_9.13.10_1",0.132066666666667
"111BGCAER_6.11.14_1",0.296366666666667
"111FS0007_7.11.11_1",1.20503333333333
"111PAL105_7.13.11_1",0.959733333333333
"202SPE090_6.15.09_1",1.3668
"205AAG075_6.12.13_1",1.83933333333333
"205COY850_5.21.12_1",2.65303333333333
"205SFC880_6.19.12_1",1.85853333333333
"206BRC020_6.27.12_1",1.08636666666667
"207SUI290_6.4.12_1",1.8916
"307CMRADC_5.20.14_1",2.0207
"308LSRASC_7.18.11_1",0.860133333333334
"308MWCAH1_6.23.10_1",0.968333333333333
"308PS0156_6.19.12_1",0.860133333333334
"308ROCBBQ_6.21.12_1",1.70676666666667
"309ARCBRC_8.25.08_1",1.7233
"309PS0116_6.16.11_1",1.71186666666667
"312PS0099_6.14.10_1",1.42053333333333
"315CHCALS_6.15.10_1",2.27913333333333
"402BA0095_5.29.08_1",1.814
"402M00009_6.29.15_1",1.9783
"403S00960_6.2.10_1",2.45946666666667
"403S01536_7.12.11_1",2.26733333333333
"403WE0540_5.14.14_1",2.61576666666667
"403WE0683_5.15.13_1",2.28652857142857
"505PS0110_9.16.10_1",0.4541
"513CCNASC_7.16.14_1",3.1044
"513STCAIV_6.12.14_1",2.1242
"513UNCAKC_9.23.09_1",2.08883333333333
"514SSC190_9.11.14_1",0.785433333333333
"517FCA046_8.14.13_1",1.03956666666667
"518BTCASC_6.12.13_1",1.7856
"518FCA075_8.12.13_1",1.70086666666667
"518SPC134_6.18.13_1",2.68213333333333
"522GSCBSC_9.24.09_1",2.17346666666667
"522PS0504_6.11.13_1",2.61973333333333
"526PNCAMF_6.25.13_1",2.40843333333333
"526PS1420_6.25.13_1",2.2967
"534MLC108_9.14.11_1",1.19666666666667
"536HLCBFM_6.18.13_1",1.0084
"537TYCAML_7.16.08_1",0.7882
"540SED003_8.30.11_1",0.460333333333333
"552DKC268_6.23.14_1",0.840733333333333
"552MFCAKR_6.11.08_1",3.09936666666667
"553KRNAYC_6.17.14_1",2.07763333333333
"554CLCALK_8.23.11_1",2.06013333333333
"603DDM005_9.13.11_1",1.10286666666667
"603FCA145_8.21.13_1",1.5167
"603PS0008_7.30.08_1",1.44703333333333
"603PS0075_8.15.12_1",1.75713333333333
"603PS0109_7.29.08_1",2.26126666666667
"603PS0557_8.18.10_1",1.51696666666667
"603SPCBWC_7.22.08_1",1.78506666666667
"631DEP001_8.28.12_1",1.35386666666667
"631PS0033_8.30.10_1",2.3772
"632ELD001_9.8.11_1",1.22806666666667
"634CAT055_10.4.11_1",1.29266666666667
"634GRF001_10.3.11_1",1.5068
"634HHCATC_10.4.11_1",2.06346666666667
"634PS0035_9.1.10_1",1.32796666666667
"634PS0062_10.12.11_1",1.18063333333333
"634WSN001_10.4.11_1",2.12916666666667
"636SAG001_7.12.10_1",3.32716666666667
"639PS1279_6.11.13_1",2.2177
"641OWC157_7.24.13_1",2.2251
"722NP7IDC_4.16.14_1",1.21116666666667
"801DRC025_6.25.14_1",2.6221
"801S03488_5.7.14_1",1.84197142857143
"801WE0674_5.14.13_1",2.58976666666667
"801WE1008_5.14.13_1",1.55454761904762
"801WE1132_8.19.09_1",1.86076666666667
"901ATCAAS_6.5.08_1",3.41440476190476
"901CSCADC_5.26.11_1",3.21063333333333
"901S06969_5.31.12_1",2.94818095238095
"903WE0798_4.8.15_1",2.33896666666667
"905BCC_6.11.14_1",3.92126666666666
"905S02561_5.25.11_1",4.03396666666667
"909JQCASR_6.1.11_1",4.16243333333333
"911S03354_5.5.09_1",4.37943333333334
"911TJIND2_5.8.08_1",3.19156666666667
"911TJLCC2_4.7.15_1",3.97907619047619
"SCFC1_6.12.08_1",2.28356666666667
"SCSS1_6.17.08_1",3.4463
"SMAD1_11.5.08_1",2.711
"SMC00135_6.7.10_1",1.62396666666667
"SMC01979_7.14.11_1",3.4506
"SMC02139_7.17.12_1",2.03043333333333
"SMC04204_7.11.12_1",1.79646666666667
"SMC04383_5.19.14_1",1.67741991341991
"SMC06467_6.28.10_1",1.6813
"SMC19809_6.25.13_1",3.35052380952381
