"","Predicted"
"105PS0188_8.26.08_1",2.62
"105PS0188_8.26.08_2",2.62
"106FC1183_7.24.14_1",0.9114
"106FC1313_7.23.14_1",1.21473333333333
"106PS0078_8.26.09_1",1.56
"106PS0173_8.4.11_1",1.5037
"106PS0186_9.26.12_1",1.2599
"109PS0162_7.20.11_1",0.705333333333333
"110ECSLSF_7.26.11_1",0.912533333333333
"110FCA102_7.25.13_1",0.681633333333333
"111CR1012_8.18.14_1",1.2805
"111PS0057_8.18.08_1",1.00956666666667
"113GAR010_6.8.09_1",0.220066666666667
"113GAR010_8.27.12_1",0.220066666666667
"113GAR038_6.8.09_1",0.219666666666667
"113GAR038_9.10.12_1",0.219666666666667
"113GAR046_6.18.12_1",1.6706
"113GAR046_6.8.09_1",1.6706
"113GAR046_9.2.14_1",1.6706
"113GAR061_6.19.12_1",1.80903333333333
"113GAR061_7.1.09_1",1.80903333333333
"113GAR061_9.3.14_1",1.80903333333333
"113GAR061_9.3.14_2",1.80903333333333
"113GAR084_6.28.10_1",1.82696666666667
"113GAR094_7.27.10_1",1.67756666666667
"113GAR094_7.27.10_2",1.67756666666667
"113GAR110_6.18.12_1",0.546166666666667
"113GAR110_6.30.09_1",0.546166666666667
"113GAR110_9.2.14_1",0.546166666666667
"113PS0084_8.18.09_1",1.59763333333333
"113PS0100_8.25.09_1",1.41856666666667
"113PS0132_9.15.10_1",1.55083809523809
"113PS0196_8.1.12_1",1.17486666666667
"114CR0903_8.26.13_1",1.345
"114CR0903_9.25.13_1",1.345
"114PS0149_7.10.12_1",1.50576666666667
"114PS0152_7.7.11_1",0.825333333333333
"114PS0152_8.18.11_1",0.825333333333333
"114RR1041_10.10.11_1",0.7709
"114RR1041_10.25.11_1",0.7709
"114RR1041_10.25.11_2",0.7709
"114RR1041_8.2.11_1",0.7709
"114RR1041_9.7.11_1",0.7709
"114RR1310_6.2.11_1",1.80736666666667
"114RR1599_10.10.11_1",1.80736666666667
"114RR1599_10.25.11_1",1.80736666666667
"114RR1599_6.2.11_1",1.80736666666667
"114RR1599_6.27.11_1",1.80736666666667
"114RR1599_8.2.11_1",1.80736666666667
"114RR1599_8.2.11_2",1.80736666666667
"114RR1599_9.7.11_1",1.80736666666667
"114RR2678_10.11.11_1",1.59433333333333
"114RR2678_10.24.11_1",1.59433333333333
"114RR2678_6.29.11_1",1.59433333333333
"114RR2678_8.1.11_1",1.59433333333333
"114RR2678_9.13.11_1",1.59433333333333
"114RR2769_6.1.11_1",1.76886666666667
"114RR2899_10.11.11_1",1.80833333333333
"114RR2899_10.24.11_1",1.80833333333333
"114RR2899_6.1.11_1",1.80833333333333
"114RR2899_6.29.11_1",1.80833333333333
"114RR2899_8.1.11_1",1.80833333333333
"114RR2899_9.13.11_1",1.80833333333333
"202BUT850_6.4.13_1",0.341333333333333
"202PS0134_5.31.11_1",0.862733333333333
"202R00087_5.30.12_1",1.29843333333333
"202R00284_6.15.12_1",0.911133333333333
"202R00908_5.21.13_1",1.30903333333333
"203PS0070_7.19.10_1",0.923833333333334
"203PS0070_9.7.10_1",0.923833333333334
"203R00039_5.14.12_1",1.08146666666667
"204ALP040_4.10.11_1",1.53666666666667
"204ALP040_6.29.11_1",1.53666666666667
"204ALP105_4.10.11_1",1.4071
"204ALP151_4.10.11_1",1.39716666666667
"204ALP151_6.29.11_1",1.39716666666667
"204PS0038_6.19.08_1",1.474
"204PS0094_7.14.10_1",1.44726666666667
"204PS0102_6.15.11_1",1.26023333333333
"204PS0102_6.15.11_2",1.26023333333333
"204PS0102_8.10.11_1",1.26023333333333
"204PS0118_6.15.11_1",1.61456666666667
"204R00047_6.6.12_1",1.448
"204R00063_6.4.13_1",1.7966
"204R00068_5.31.12_1",1.30933333333333
"204R00084_5.24.12_1",1.5779
"204R00100_5.30.12_1",1.53856666666667
"204R00180_5.30.12_1",1.579
"204R00191_5.29.12_1",1.48526666666667
"204R00200_5.31.12_1",1.43336666666667
"204R00232_6.12.12_1",1.37303333333333
"204R00232_6.12.12_2",1.37303333333333
"204R00244_6.12.12_1",1.63066666666667
"204R00303_6.14.12_1",2.041
"204R00319_6.7.12_1",1.7966
"204R00319_6.7.12_2",1.7966
"204R00327_5.7.13_1",1.61976666666667
"204R00334_5.8.13_1",1.37923333333333
"204R00340_6.11.12_1",1.5779
"204R00356_5.30.12_1",1.53856666666667
"204R00356_6.4.12_1",1.53856666666667
"204R00367_6.12.12_1",1.4249
"204R00383_6.11.12_1",1.99243333333333
"204R00391_6.6.12_1",1.64936666666667
"204R00436_5.20.13_1",1.579
"204R00447_4.2.13_1",1.48113333333333
"204R00447_4.22.13_1",1.48113333333333
"204R00455_6.13.12_1",1.42656666666667
"204R00473_5.9.13_1",1.3205
"204R00473_5.9.13_2",1.3205
"204R00520_5.28.13_1",1.47376666666667
"204R00583_6.13.12_1",1.59453333333333
"204R00596_5.31.12_1",1.5779
"204R00623_6.3.13_1",1.26023333333333
"204R00639_6.19.12_1",1.99243333333333
"204R00680_5.28.13_1",1.76473333333333
"204R00724_5.21.13_1",1.5076
"204R00807_5.21.13_1",1.4182
"204R00852_5.6.13_1",1.5779
"204R00884_5.20.13_1",1.579
"204R00967_4.25.13_1",1.6519
"204R01316_5.22.13_1",1.53856666666667
"204R01471_5.22.13_1",1.44726666666667
"205PS0045_6.17.09_1",1.61553333333333
"205PS0045_6.17.09_2",1.61553333333333
"205PS0074_7.14.10_1",1.7482
"205PS0106_6.21.11_1",1.71416666666667
"205PS0109_6.21.11_1",1.75496666666667
"205PS0138_6.1.11_1",1.51253333333333
"205PS0157_6.19.12_1",1.76096666666667
"205PS0170_6.19.12_1",1.5531
"205PS0173_6.20.12_1",1.75243333333333
"205PS0173_6.20.12_2",1.75243333333333
"205PS0202_5.22.13_1",1.4972
"205PS0202_7.17.13_1",1.4972
"205PS0221_5.20.13_1",1.89943333333333
"205R00026_5.14.12_1",1.99656666666667
"205R00035_5.24.12_1",1.49026666666667
"205R00035_5.24.12_2",1.49026666666667
"205R00042_5.21.12_1",1.8682
"205R00067_6.3.12_1",1.7841
"205R00088_6.4.12_1",1.02933333333333
"205R00090_5.23.12_1",1.74716666666667
"205R00099_5.17.12_1",1.8039
"205R00115_6.5.12_1",1.46863333333333
"205R00131_6.3.12_1",1.85226666666667
"205R00154_5.22.12_1",1.78003333333333
"205R00168_6.4.12_1",0.823033333333333
"205R00174_4.23.13_1",1.68946666666667
"205R00218_5.23.12_1",1.75096666666667
"205R00227_6.5.12_1",1.51253333333333
"205R00234_5.15.12_1",2.2436
"205R00241_5.21.12_1",1.53806666666667
"205R00259_6.14.12_1",1.6772
"205R00282_5.22.12_1",1.84906666666667
"205R00291_6.13.12_1",1.5523
"205R00346_6.14.12_1",1.75563333333333
"205R00346_6.14.12_2",1.75563333333333
"205R00355_6.13.12_1",1.6042
"205R00387_6.6.13_1",1.83543333333333
"205R00419_6.11.13_1",1.86296666666667
"205R00430_6.5.12_1",1.59296666666667
"205R00451_6.5.13_1",1.73266666666667
"205R00474_5.9.13_1",1.87333333333333
"205R00535_6.20.12_1",1.8588
"205R00535_6.20.12_2",1.8588
"205R00538_5.8.13_1",1.64253333333333
"205R00547_6.4.13_1",1.56733333333333
"205R00554_5.29.13_1",2.2251
"205R00586_6.10.13_1",1.3912
"205R00602_6.3.13_1",1.87183333333333
"205R00627_6.4.13_1",1.476
"205R00666_5.9.13_1",1.9021
"205R00686_4.24.13_1",1.4502
"205R00707_6.5.13_1",1.6632
"205R00707_6.5.13_2",1.6632
"205R00714_6.10.13_1",1.9798
"205R00739_6.11.13_1",1.5534
"205R00771_6.6.13_1",1.6586
"205R00872_5.27.13_1",0.832633333333333
"205R00878_4.24.13_1",1.8588
"205R00984_5.27.13_1",0.8385
"205R01134_5.20.13_1",1.63796666666667
"205R01198_5.20.13_1",1.4502
"205R01390_5.23.13_1",1.68946666666667
"205SAR057_5.13.09_1",1.82883333333333
"205SAR060_5.13.09_1",1.8131
"205SAR070_5.14.09_1",1.19506666666667
"205SAR080_5.14.09_1",1.21056666666667
"206FCA155_7.31.13_1",2.01103333333333
"206HMC030_8.8.11_1",1.19773333333333
"206MIL020_8.23.11_1",2.142
"206NAP090_8.25.11_1",2.25046666666667
"206NAP150_8.29.11_1",1.9642
"206NAP200_8.31.11_1",1.18186666666667
"206PS0054_6.15.09_1",2.11863333333333
"206PS0073_7.20.10_1",2.1222
"206PS0165_7.10.12_1",1.5373
"206PS0230_6.5.13_1",2.14966666666667
"206R00155_5.16.12_1",1.07486666666667
"206R00215_5.23.12_1",2.14966666666667
"206R00551_4.30.14_1",2.11863333333333
"206R00727_5.13.13_1",1.11173333333333
"206R00919_5.15.14_1",2.01403333333333
"206RED032_8.16.11_1",2.50966666666667
"206SAL050_8.9.11_1",2.5151
"206SON019_9.14.11_1",1.21593333333333
"206SON050_9.12.11_1",2.2068
"206SON210_9.7.11_1",1.29753333333333
"206TUL030_8.15.11_1",1.57523333333333
"207LPC025_5.13.14_1",1.52326666666667
"207PS0142_6.1.11_1",2.23606666666667
"207PS0150_6.13.12_1",1.76696666666667
"207PS0150_6.13.12_2",1.76696666666667
"207PS0241_6.3.13_1",2.3579
"207R00011_5.22.12_1",1.4411
"207R00139_5.17.12_1",1.74773333333333
"207R00139_5.17.12_2",1.74773333333333
"207R00247_5.22.12_1",2.1863
"207R00375_5.1.13_1",1.76886666666667
"207R00395_5.14.13_1",2.15773333333333
"207R00503_5.2.13_1",2.29803333333333
"207R00532_4.29.13_1",1.4313
"207R00567_4.30.13_1",1.79563333333333
"207R00567_4.30.13_2",1.79563333333333
"207R00631_5.16.13_1",1.4463
"207R00631_5.17.13_2",1.4463
"207R00788_5.15.13_1",1.78506666666667
"207R00843_4.22.14_1",1.75693333333333
"207R00843_4.22.14_2",1.75693333333333
"304BEP_7.7.11_1",1.0662
"304BH9_7.21.11_1",1.0662
"304PS0006_6.17.08_1",2.19843333333333
"304PS0006_6.4.08_1",2.19843333333333
"304PS0006_6.4.08_2",2.19843333333333
"304PS0146_6.18.12_1",1.94343333333333
"304PS0146_7.11.12_1",1.94343333333333
"304PS0274_6.4.14_1",0.813233333333334
"304SL9_7.21.11_1",0.793633333333334
"304SL9_7.21.11_2",0.793633333333334
"304SOU_7.6.11_1",0.567033333333333
"304ZAY_7.7.11_1",0.813233333333334
"305COR2_7.21.11_1",2.2764
"305PS0034_6.17.08_1",2.48933333333333
"305PS0057_6.16.09_1",2.4111
"305PS0061_6.17.09_1",2.91913333333333
"309PS0072_6.23.10_1",2.39933333333333
"309PSO_5.22.12_1",1.8765
"309SAT_5.23.12_1",1.81143333333333
"309SET_5.31.12_1",2.41496666666667
"309SET_5.31.12_2",2.41496666666667
"312ORB_5.15.13_1",2.05286666666667
"402M00002_8.13.15_1",2.10436666666667
"403BA0047_5.15.08_1",1.89033333333333
"403BA0068_5.14.08_1",2.1429
"403M05758_6.29.15_1",2.08826666666667
"403S01784_6.9.09_1",2.27346666666667
"403S03320_6.8.10_1",2.28796666666667
"403S03832_6.8.09_1",2.1457
"403S04868_6.15.11_1",2.86176666666667
"403S05247_6.1.10_1",2.429
"403S11084_6.9.10_1",2.1174
"403S14156_6.9.09_1",2.1174
"403S34646_6.25.13_1",2.1174
"403S39062_6.25.13_1",2.11673333333333
"404BA0084_6.4.08_1",2.75386666666667
"404BA0142_6.18.08_1",2.81156666666667
"404BA0376_6.5.08_1",2.4156
"404BA0376_6.5.08_2",2.4156
"404BA0808_6.2.08_1",2.80643333333333
"404BA0808_6.3.14_1",2.80643333333333
"404M04532_7.14.15_1",2.4964
"404M07346_7.1.15_1",2.02343333333333
"404M07349_7.15.15_1",2.81366666666667
"404S00808_6.22.10_1",2.80643333333333
"404S02920_5.12.09_1",2.4113
"404S03048_5.13.09_1",1.9798
"404S05992_5.12.09_1",2.82186666666667
"404S08040_5.12.09_1",2.8212
"404S08616_5.13.09_1",2.80543333333333
"404S08616_5.13.09_2",2.80543333333333
"404S11880_6.7.11_1",2.59873333333333
"404S11880_6.7.11_2",2.59873333333333
"404S13160_6.21.10_1",2.82186666666667
"404S13416_6.8.11_1",2.83186666666667
"404S13672_6.8.11_1",2.81366666666667
"404S14952_6.15.11_1",2.59873333333333
"404S16232_6.9.11_1",2.8212
"404S16516_5.18.09_1",2.8212
"404S17016_6.5.13_1",2.80743333333333
"404S17664_5.20.09_1",2.8158
"404S18250_6.5.13_1",2.97
"404S18666_6.15.11_1",2.76063333333333
"404S22464_5.19.09_1",2.59873333333333
"404S24066_6.4.13_1",2.83116666666667
"404S25668_6.23.10_1",2.60223333333333
"404S25668_6.23.10_2",2.60223333333333
"404S26670_6.18.12_1",2.83656666666667
"404S26868_6.26.12_1",2.83186666666667
"404S27470_6.19.12_1",2.5901
"404S28068_6.20.12_1",2.59873333333333
"404S28270_6.18.12_1",2.8212
"404S31468_6.19.12_1",2.77073333333333
"404S33670_6.19.12_1",2.82246666666667
"404S34120_6.21.12_1",2.74186666666667
