"","Predicted"
"102PS0139_8.9.10_1",4.1847
"103FCA168_7.24.13_1",1.88105555555556
"103PS0217_9.10.13_1",2.28518888888889
"103RDCBCC_7.21.11_1",2.47737619047619
"105PS0028_8.12.08_1",5.24893333333334
"105PS0028_8.26.08_1",5.24893333333334
"105PS0067_8.24.09_1",5.23013333333333
"105PS0067_8.24.09_2",5.23013333333333
"105PS0067_9.15.09_1",5.23013333333333
"105PS0069_8.18.09_1",1.96582222222222
"105PS0092_8.11.08_1",4.85896666666667
"105PS0107_9.14.09_1",3.70830952380952
"105PS0129_8.11.10_1",3.0854
"105PS0129_8.11.10_2",3.0854
"105PS0149_8.29.12_1",1.67656666666667
"105PS0211_8.20.13_1",5.65506666666667
"105PS0211_9.16.13_1",5.65506666666667
"105PS0231_8.29.13_1",3.32413333333333
"105PS0276_9.1.09_1",8.80846666666667
"105PS0276_9.22.09_1",8.80846666666667
"105PS0540_8.5.10_1",6.85368333333333
"105PS1148_9.18.12_1",9.53430000000001
"105PS1404_8.28.13_1",7.1347
"105PS1404_8.28.13_2",7.1347
"106FCA036_7.15.13_1",5.852
"106HLCACC_9.23.13_1",3.17943333333333
"106PS0022_9.30.08_1",0.943433333333333
"106PS0051_9.16.08_1",6.05403333333333
"106PS0051_9.16.08_2",6.05403333333333
"106PS0106_9.8.09_1",5.31683333333333
"106PS0106_9.8.09_2",5.31683333333333
"106PS0122_9.20.10_1",2.291
"106PS0142_7.19.10_1",2.58206666666667
"106PS0206_10.3.12_1",5.02596666666667
"106PTCAHC_9.2.08_1",4.6031
"107GWCAPC_9.15.10_1",4.3776
"107RWCBHW_8.3.11_1",2.91570952380952
"107RWCBHW_8.3.11_2",2.91570952380952
"108PS0197_8.16.12_1",2.90320952380953
"110PS0114_7.21.10_1",4.6635
"110SMCATH_7.27.11_1",4.68623333333333
"111CE0569_10.11.10_1",6.5149
"111FCA207_7.23.13_1",5.04276666666667
"111PS0008_9.29.08_1",5.60843333333333
"111PS0008_9.9.08_1",5.60843333333333
"111PS0008_9.9.08_2",5.60843333333333
"111PS0013_8.19.08_1",4.5070126984127
"111PS0095_8.27.09_1",4.58713333333333
