"","Predicted"
"102PS0177_8.28.12_1",2.47476666666666
"103CDCHHR_9.14.10_1",2.75412222222222
"103STCNSR_8.9.11_1",0.996866666666666
"103WER026_8.15.12_1",2.54560952380952
"103WER029_7.16.14_1",1.83178888888889
"103WER030_8.10.11_1",0.993933333333333
"105BVCAGC_9.21.10_1",1.9973
"105CE0329_7.23.14_1",1.47156666666667
"105CLCATC_8.10.10_1",3.4351
"105DLCDCC_10.20.09_1",2.62276666666667
"105FCA116_7.16.13_1",1.00253333333333
"105FS0416_9.24.13_1",4.35256666666667
"105FS0425_8.10.11_1",2.1997
"105FS0428_8.3.11_1",2.79263333333333
"105NWC151_6.26.13_1",8.93806666666667
"105PS0043_9.17.08_1",3.45276666666667
"105PS0083_9.8.09_1",4.4156
"105PS0090_8.7.12_1",3.24013333333333
"105PS0097_7.22.14_1",1.5723
"105PS0154_8.9.11_1",3.09646666666667
"105PS0195_8.7.12_1",2.3265
"105PS0259_9.17.13_1",3.57183333333333
"105PS0267_7.21.14_1",3.72446666666667
"105PS0468_9.1.09_1",5.65573333333333
"105PS0540_9.15.10_1",6.85368333333333
"105PS1492_8.6.14_1",9.51346666666667
"105WE0598_7.24.14_1",0.8617
"105WLC135_6.26.13_1",5.97663333333333
"105WLCABC_8.3.11_1",3.3188
"106FS0040_8.30.11_1",1.7833
"106PS0115_9.21.10_1",3.646
"106PS0124_8.16.10_1",3.50356666666666
"106PS0166_8.2.11_1",4.41743333333333
"106WE0505_7.21.14_1",2.4557
"106WER011_9.11.13_1",3.36170476190476
"107PS0021_7.14.14_1",1.87272222222222
"107WER092_8.27.12_1",4.50806666666667
"111BBRBCC_9.23.09_1",3.17713333333333
"111CBCAER_8.8.13_1",3.36310952380952
"111ERATRC_10.10.12_1",1.71793333333333
"111FS0001_7.5.11_1",3.0457
"111FS0008_7.19.12_1",4.37806666666667
"111HSCAER_7.26.11_1",4.7261
"111PS0060_10.7.08_1",3.01066666666667
"111PS0110_6.9.14_1",1.0956
"111PS0144_8.18.10_1",3.38893333333333
"111PS0160_7.25.11_1",4.0105
"111PS0204_8.17.10_1",3.55793333333333
"111RSCAER_8.8.11_1",2.05473333333333
"111TGCAER_7.24.12_1",3.03393333333333
"111WE0816_6.12.13_1",2.4895
"111WE1050_6.12.13_1",3.26833333333334
"111WE1071_7.26.12_1",3.25183333333334
"111WER003_6.10.14_1",1.65343333333333
"111WER008_7.23.12_1",3.14106666666667
"111WER159_10.19.09_1",3.14936666666667
"113RG8046_8.19.10_1",5.73373333333333
"114CE0131_7.31.12_1",7.34143333333333
"114PS0145_6.20.11_1",7.34566666666667
"114WE0614_7.9.12_1",6.06676666666667
"115EBAG01_7.1.10_1",8.02786666666667
"201AHO350_6.20.12_1",4.17346666666667
"201CHE300_6.18.12_1",6.9739
"201LAG335_7.15.09_1",3.4141
"201MRS020_9.13.10_1",6.31756666666666
"202BUT030_6.29.10_1",6.12603333333333
"202BUT040_6.4.14_1",2.7574
"202BUT050_6.16.09_1",4.2618
"202BUT480_6.25.12_1",3.13963333333333
"202BUT600_6.26.12_1",3.02133333333334
"202DRY010_6.5.13_1",9.394
"202PES168_6.6.13_1",4.97273333333334
