"","Predicted"
"103KLCMSR_9.14.10_1",1.42336666666667
"105PS0193_8.29.12_1",3.21016666666667
"105PS0660_8.3.10_1",8.96610000000001
"105TMCACC_8.10.10_1",2.56466666666667
"106MNCAHC_10.1.08_1",3.98726666666667
"106WE1079_8.8.12_1",2.6038
"106WER016_10.20.09_1",3.94033333333333
"107LLM101_9.13.10_1",1.76225555555556
"111BGCAER_6.11.14_1",2.39216666666667
"111FS0007_7.11.11_1",3.63706666666667
"111PAL105_7.13.11_1",6.639
"202SPE090_6.15.09_1",5.959
"205AAG075_6.12.13_1",5.67596666666667
"205COY850_5.21.12_1",4.48153333333333
"205SFC880_6.19.12_1",5.1591
"206BRC020_6.27.12_1",9.57998571428572
"207SUI290_6.4.12_1",9.22538571428572
"307CMRADC_5.20.14_1",4.76766666666667
"308LSRASC_7.18.11_1",4.05002380952381
"308MWCAH1_6.23.10_1",4.99675714285714
"308PS0156_6.19.12_1",5.28693333333333
"308ROCBBQ_6.21.12_1",4.87496666666667
"309ARCBRC_8.25.08_1",4.84496666666667
"309PS0116_6.16.11_1",7.72053333333334
"312PS0099_6.14.10_1",7.54053333333334
"315CHCALS_6.15.10_1",5.57739047619047
"402BA0095_5.29.08_1",7.8838
"402M00009_6.29.15_1",6.40283333333333
"403S00960_6.2.10_1",7.34723333333334
"403S01536_7.12.11_1",7.02246666666667
"403WE0540_5.14.14_1",9.6539
"403WE0683_5.15.13_1",6.3541380952381
"505PS0110_9.16.10_1",3.19043333333333
"513CCNASC_7.16.14_1",3.7896
"513STCAIV_6.12.14_1",5.6137
"513UNCAKC_9.23.09_1",6.73196666666667
"514SSC190_9.11.14_1",4.21
"517FCA046_8.14.13_1",4.26946666666667
"518BTCASC_6.12.13_1",4.1147
"518FCA075_8.12.13_1",4.1572
"518SPC134_6.18.13_1",5.92136666666667
"522GSCBSC_9.24.09_1",4.207
"522PS0504_6.11.13_1",5.16597619047619
"526PNCAMF_6.25.13_1",5.5004
"526PS1420_6.25.13_1",6.2195
"534MLC108_9.14.11_1",4.83846666666666
"536HLCBFM_6.18.13_1",5.12660952380952
"537TYCAML_7.16.08_1",3.25166666666667
"540SED003_8.30.11_1",1.84486666666667
"552DKC268_6.23.14_1",3.01743333333333
"552MFCAKR_6.11.08_1",9.8805
"553KRNAYC_6.17.14_1",7.64146666666667
"554CLCALK_8.23.11_1",5.50986666666666
"603DDM005_9.13.11_1",4.77243333333333
"603FCA145_8.21.13_1",4.87383333333333
"603PS0008_7.30.08_1",3.32626666666667
"603PS0075_8.15.12_1",3.05573333333333
"603PS0109_7.29.08_1",5.01053333333333
"603PS0557_8.18.10_1",5.61883333333334
"603SPCBWC_7.22.08_1",4.78636666666667
"631DEP001_8.28.12_1",5.78886666666667
"631PS0033_8.30.10_1",3.52456666666667
"632ELD001_9.8.11_1",4.30296666666667
"634CAT055_10.4.11_1",3.3575
"634GRF001_10.3.11_1",3.3506
"634HHCATC_10.4.11_1",5.42346666666667
"634PS0035_9.1.10_1",3.0959
"634PS0062_10.12.11_1",3.2325
"634WSN001_10.4.11_1",5.7315
"636SAG001_7.12.10_1",5.15496666666667
"639PS1279_6.11.13_1",3.22586666666667
"641OWC157_7.24.13_1",7.15923333333333
"722NP7IDC_4.16.14_1",6.91053333333333
"801DRC025_6.25.14_1",5.73946666666666
"801S03488_5.7.14_1",3.74726666666667
"801WE0674_5.14.13_1",4.83345
"801WE1008_5.14.13_1",2.05416666666667
"801WE1132_8.19.09_1",7.7278
"901ATCAAS_6.5.08_1",8.74316666666667
"901CSCADC_5.26.11_1",9.57723333333334
"901S06969_5.31.12_1",7.25176666666667
"903WE0798_4.8.15_1",7.85046666666667
"905BCC_6.11.14_1",5.8014
"905S02561_5.25.11_1",9.1312
"909JQCASR_6.1.11_1",5.70635
"911S03354_5.5.09_1",7.80783333333334
"911TJIND2_5.8.08_1",8.93373333333333
"911TJLCC2_4.7.15_1",5.08465
"SCFC1_6.12.08_1",7.3308
"SCSS1_6.17.08_1",6.71740952380952
"SMAD1_11.5.08_1",9.91144285714286
"SMC00135_6.7.10_1",8.19306666666666
"SMC01979_7.14.11_1",5.72967142857143
"SMC02139_7.17.12_1",5.7518
"SMC04204_7.11.12_1",6.89303333333333
"SMC04383_5.19.14_1",6.94256666666667
"SMC06467_6.28.10_1",6.94416666666666
"SMC19809_6.25.13_1",7.67456666666667
