"","Predicted"
"105PS0188_8.26.08_1",9.00143333333333
"105PS0188_8.26.08_2",9.00143333333333
"106FC1183_7.24.14_1",2.8577
"106FC1313_7.23.14_1",6.65723333333333
"106PS0078_8.26.09_1",5.50806666666666
"106PS0173_8.4.11_1",3.19953333333333
"106PS0186_9.26.12_1",2.88166666666667
"109PS0162_7.20.11_1",4.85866666666667
"110ECSLSF_7.26.11_1",4.63653333333334
"110FCA102_7.25.13_1",3.92096666666667
"111CR1012_8.18.14_1",5.22323333333333
"111PS0057_8.18.08_1",4.84273333333334
"113GAR010_6.8.09_1",5.12193333333333
"113GAR010_8.27.12_1",5.12193333333333
"113GAR038_6.8.09_1",5.8416
"113GAR038_9.10.12_1",5.8416
"113GAR046_6.18.12_1",4.71174603174603
"113GAR046_6.8.09_1",4.71174603174603
"113GAR046_9.2.14_1",4.71174603174603
"113GAR061_6.19.12_1",4.85602380952381
"113GAR061_7.1.09_1",4.85602380952381
"113GAR061_9.3.14_1",4.85602380952381
"113GAR061_9.3.14_2",4.85602380952381
"113GAR084_6.28.10_1",5.60053333333333
"113GAR094_7.27.10_1",4.65734603174603
"113GAR094_7.27.10_2",4.65734603174603
"113GAR110_6.18.12_1",5.27953333333333
"113GAR110_6.30.09_1",5.27953333333333
"113GAR110_9.2.14_1",5.27953333333333
"113PS0084_8.18.09_1",5.079
"113PS0100_8.25.09_1",5.04796666666667
"113PS0132_9.15.10_1",5.95206666666667
"113PS0196_8.1.12_1",5.8628
"114CR0903_8.26.13_1",5.5519
"114CR0903_9.25.13_1",5.5519
"114PS0149_7.10.12_1",4.19396666666667
"114PS0152_7.7.11_1",3.72843333333333
"114PS0152_8.18.11_1",3.72843333333333
"114RR1041_10.10.11_1",4.51406666666667
"114RR1041_10.25.11_1",4.51406666666667
"114RR1041_10.25.11_2",4.51406666666667
"114RR1041_8.2.11_1",4.51406666666667
"114RR1041_9.7.11_1",4.51406666666667
"114RR1310_6.2.11_1",4.4908
"114RR1599_10.10.11_1",4.9692
"114RR1599_10.25.11_1",4.9692
"114RR1599_6.2.11_1",4.9692
"114RR1599_6.27.11_1",4.9692
