"","Predicted"
"102PS0139_8.9.10_1",7.55396666666666
"103FCA168_7.24.13_1",4.14828268398269
"103PS0217_9.10.13_1",4.14828268398269
"103RDCBCC_7.21.11_1",3.98410952380952
"105PS0028_8.12.08_1",4.04943333333333
"105PS0028_8.26.08_1",4.04943333333333
"105PS0067_8.24.09_1",6.6335
"105PS0067_8.24.09_2",6.6335
"105PS0067_9.15.09_1",6.6335
"105PS0069_8.18.09_1",4.62021601731602
"105PS0092_8.11.08_1",7.0956
"105PS0107_9.14.09_1",9.83515238095237
"105PS0129_8.11.10_1",4.82383333333333
"105PS0129_8.11.10_2",4.82383333333333
"105PS0149_8.29.12_1",8.01633333333334
"105PS0211_8.20.13_1",9.23336666666667
"105PS0211_9.16.13_1",9.23336666666667
"105PS0231_8.29.13_1",13.0312333333333
"105PS0276_9.1.09_1",12.7613333333333
"105PS0276_9.22.09_1",12.7613333333333
"105PS0540_8.5.10_1",7.86406666666667
"105PS1148_9.18.12_1",13.0164303030303
"105PS1404_8.28.13_1",8.47223333333333
"105PS1404_8.28.13_2",8.47223333333333
"106FCA036_7.15.13_1",8.39764761904762
"106HLCACC_9.23.13_1",7.36903333333334
"106PS0022_9.30.08_1",4.57256666666667
"106PS0051_9.16.08_1",7.66153333333334
"106PS0051_9.16.08_2",7.66153333333334
"106PS0106_9.8.09_1",5.05286666666667
"106PS0106_9.8.09_2",5.05286666666667
"106PS0122_9.20.10_1",4.08956666666667
"106PS0142_7.19.10_1",4.67246666666666
"106PS0206_10.3.12_1",6.39846666666667
"106PTCAHC_9.2.08_1",8.09745238095238
"107GWCAPC_9.15.10_1",6.73617142857143
"107RWCBHW_8.3.11_1",5.60844761904762
"107RWCBHW_8.3.11_2",5.60844761904762
"108PS0197_8.16.12_1",5.50258571428571
"110PS0114_7.21.10_1",6.41323809523809
"110SMCATH_7.27.11_1",6.66297142857143
"111CE0569_10.11.10_1",8.43718095238095
"111FCA207_7.23.13_1",7.46543333333334
"111PS0008_9.29.08_1",10.1710333333333
"111PS0008_9.9.08_1",10.1710333333333
"111PS0008_9.9.08_2",10.1710333333333
"111PS0013_8.19.08_1",6.2550683982684
"111PS0095_8.27.09_1",7.51421428571429
"111PS0095_8.27.09_2",7.51421428571429
"111PS0121_7.20.10_1",8.59874761904762
"111PS0159_7.14.11_1",6.20986666666667
"111PS0169_7.25.11_1",9.49471428571429
"111PS0169_7.25.11_2",9.49471428571429
"111PS0178_8.14.12_1",4.46731601731602
"111PS0237_9.12.13_1",7.75596666666667
"112PS0157_7.12.11_1",4.01656666666667
"113GAR011_8.22.11_1",9.0941
"113GAR011_9.1.10_1",9.0941
"113GAR015_8.23.11_1",7.89673333333334
"113GAR015_8.31.10_1",7.89673333333334
"113GAR015_9.9.13_1",7.89673333333334
"113GAR023_7.22.14_1",9.48626666666667
"113GAR023_8.5.13_1",9.48626666666667
"113GAR030_8.26.09_1",9.02847792207792
"113GAR030_8.26.09_2",9.02847792207792
"113GAR030_8.28.12_1",9.02847792207792
"113GAR042_9.10.13_1",8.36056666666667
"113GAR062_6.30.09_1",8.3342
"113GAR062_8.27.12_1",8.3342
"113GAR087_6.29.10_1",7.54906666666667
"113GAR087_8.6.13_1",7.54906666666667
"113GAR087_9.11.12_1",7.54906666666667
"113GAR087_9.11.12_2",7.54906666666667
"113GAR089_6.14.10_1",7.49123333333334
"113GAR089_6.20.11_1",7.49123333333334
"113GAR089_8.5.09_1",7.49123333333334
"113GAR105_6.14.10_1",6.92446666666666
"113GAR105_6.20.11_1",6.92446666666666
"113GAR105_8.4.09_1",6.92446666666666
"113GAR112_6.15.10_1",7.4568
"113GAR112_7.22.14_1",7.4568
"113GAR112_8.22.11_1",7.4568
"113GAR112_8.4.09_1",7.4568
"113GAR112_8.4.09_2",7.4568
"113GAR112_8.7.13_1",7.4568
"113GAR118_7.26.10_1",7.03723333333334
"113GAR118_9.10.12_1",7.03723333333334
"113GAR178_6.21.11_1",8.02136666666667
"113GAR178_7.23.14_1",8.02136666666667
"113GAR178_8.31.10_1",8.02136666666667
"113GAR178_9.9.13_1",8.02136666666667
"113GAR178_9.9.13_2",8.02136666666667
"113GAR244_6.28.10_1",7.40306666666667
"113PS0012_9.9.08_1",10.1843
"113PS0012_9.9.08_2",10.1843
"113PS0076_8.2.12_1",7.79413333333333
"113PS0076_8.22.12_1",7.79413333333333
"113PS0120_9.14.10_1",9.9011
"113PS0168_7.6.11_1",7.67023333333334
"113PS0216_9.3.13_1",15.3468476190476
"113PS0232_9.4.13_1",8.5926
"113PS0232_9.4.13_2",8.5926
"113PS0268_6.11.14_1",8.1522
"114AU7778_6.21.10_1",6.50273174603174
"114FCA199_8.1.13_1",6.88127142857143
"114GV3469_7.5.11_1",9.24356666666666
"114GV5331_7.6.11_1",8.26193333333334
"114MA2364_7.6.10_1",7.7629
"114MRCURX_6.24.08_1",8.98521125541126
"114PS0088_8.19.09_1",8.34386666666667
"114PS0209_6.10.13_1",8.04126666666667
"114PS0229_6.4.13_1",7.0099380952381
"114WER118_8.20.08_1",6.52773333333333
"115SALG01_6.30.10_1",10.9613333333333
"115SC6093_7.7.11_1",7.32340476190476
"115SC6093_7.7.11_2",7.32340476190476
"201LAG190_10.6.08_1",11.9212142857143
"201LAG380_7.14.09_1",6.70367142857143
"201RDW080_4.29.09_1",11.8700666666667
"201RDW080_5.7.08_1",11.8700666666667
"201RDW080_6.2.10_1",11.8700666666667
"201RDW080_6.23.08_1",11.8700666666667
"201RDW080_6.3.09_1",11.8700666666667
"201RDW080_6.3.09_2",11.8700666666667
"201RDW080_8.11.09_1",11.8700666666667
"201RDW080_8.12.08_1",11.8700666666667
"202LAH950_6.13.12_1",8.79076666666667
"202MIC150_5.7.14_1",11.841
"202PES162_4.27.09_1",8.03146666666667
"202PES162_5.1.08_1",8.03146666666667
"202PES162_6.16.09_1",8.03146666666667
"202PES162_6.18.08_1",8.03146666666667
"202PES162_6.7.10_1",8.03146666666667
"202PES162_8.17.09_1",8.03146666666667
"202PES162_9.10.08_1",8.03146666666667
"202PES162_9.10.08_2",8.03146666666667
"202PS0246_6.5.13_1",11.841
"202R00248_5.23.13_1",10.4830666666667
"202R00248_5.23.13_2",10.4830666666667
"202TUN600_5.12.14_1",8.62326666666667
"203R00983_6.6.13_1",11.1266904761905
"204ALA320_6.17.13_1",12.692
"204ALA382_6.11.13_1",12.4775666666667
"204ALA396_6.24.13_1",12.4856333333333
"204ALA410_5.8.13_1",10.5818333333333
"204ALA525_5.22.12_1",9.6011
"204IND200_5.20.08_1",9.0999
"204IND200_5.20.08_2",9.0999
"204IND200_6.16.08_1",9.0999
"204R00590_5.8.13_1",12.5166777777778
"204R00647_6.18.12_1",8.5933
"204R00751_6.5.13_1",11.5924904761905
"204R00751_6.5.13_2",11.5924904761905
"204SLE150_5.9.13_1",10.9691904761905
"205COY140_6.17.09_1",15.0727666666667
"205GCAxxx_7.15.10_1",9.2665
"205GCAxxx_7.15.10_2",9.2665
"205PS0234_5.22.13_1",11.4667
"205R00110_6.18.12_1",9.8168
"205R00374_6.3.13_1",10.5927904761905
"205STE110_7.13.09_1",8.76723333333334
"206NAP700_6.21.12_1",9.60306666666667
"206PIN610_6.3.13_1",12.7008666666667
"206PIN825_5.22.13_1",12.5864666666667
"206R00407_4.24.14_1",13.7730904761905
"206RIC100_5.11.09_1",7.92976666666667
"206RIC100_5.2.08_1",7.92976666666667
"206RIC100_6.1.10_1",7.92976666666667
"206RIC100_6.17.09_1",7.92976666666667
"206RIC100_6.19.08_1",7.92976666666667
"206RIC100_8.12.09_1",7.92976666666667
"206RIC100_8.14.08_1",7.92976666666667
"206RIC100_8.2.11_1",7.92976666666667
"206SON160_9.6.11_1",11.5152666666667
"206SON300_7.14.09_1",7.2711
"206SON300_8.10.11_1",7.2711
"207MTD117_4.22.09_1",10.2166666666667
"207MTD117_5.24.10_1",10.2166666666667
"207MTD117_5.6.08_1",10.2166666666667
"207R00271_4.29.13_1",11.9330904761905
"207SUI070_6.13.13_1",11.8812238095238
"207SUL200_5.28.14_1",10.1415333333333
"207WAL475_6.12.12_1",12.4916571428571
"207WHC634_5.29.13_1",10.1371
"207WHC634_5.29.13_2",10.1371
"304APS_7.6.11_1",9.73288571428571
"304PS0018_6.4.08_1",8.4125
"304PS0194_6.18.12_1",9.06170000000001
"304PS0253_5.22.14_1",8.84396666666668
"304PS0253_6.5.14_1",8.84396666666668
"304SPC236_6.28.10_1",8.8711
"305CLCSBR_6.11.08_1",13.5192666666667
"307PS0028_6.3.08_1",12.2758
"307PS0044_6.8.09_1",12.9698666666667
"308BGC_5.28.14_1",9.20293333333334
"308BGC_6.14.11_1",9.20293333333334
"308BGC_8.11.11_1",9.20293333333334
"308LIM_6.4.14_1",12.7055333333333
"308LIM_6.4.14_2",12.7055333333333
"308PS0204_5.21.13_1",7.43236666666667
"309ANT_5.24.12_1",12.6436333333333
"309CLCBVC_7.15.08_1",13.254
"309LAS1MI_6.13.12_1",8.41423333333333
"309LOR_5.29.12_1",12.7567333333333
"309PS0040_6.3.08_1",13.1400333333333
"309PS0043_6.10.09_1",12.4473333333333
"309PS0043_7.8.09_1",12.4473333333333
"309SAP_5.23.12_1",9.30956666666667
"309SARANF_8.26.08_1",11.5206333333333
"309SDCMCC_7.14.08_1",12.7023333333333
"309SEC_7.2.12_1",12.4724
"309SED071_4.3.12_1",6.90033333333333
"309SED071_5.3.12_1",6.90033333333333
"309SED071_6.13.12_1",6.90033333333333
"309SED071_7.24.12_1",6.90033333333333
"309SED071_8.30.12_1",6.90033333333333
"310AGS_5.29.14_1",7.00543333333334
"310OLD_6.15.10_1",13.094
"310SSU_6.15.11_1",11.6444333333333
"310SSU_8.11.11_1",11.6444333333333
"312CAV_4.19.13_1",12.8363
"312SIV_5.3.13_1",12.6254571428572
"313SAB_5.29.14_1",11.9673666666667
"314WE1102_6.12.12_1",13.6667666666667
"315ARH101_6.14.10_1",11.017896969697
"402BA0031_5.28.08_1",9.7879
"402BA0079_5.28.08_1",12.9116666666667
"402BA0143_5.21.08_1",13.1341666666667
"402BA0335_5.27.08_1",13.1003333333333
"402BA0335_5.27.08_2",13.1003333333333
"403BA0027_5.20.08_1",11.3032
"403BA0027_6.18.14_1",11.3032
"403BA0136_5.13.08_1",11.2896333333333
"403BA0136_6.17.14_1",11.2896333333333
"403BA0191_5.14.08_1",10.5007666666667
"403FCA022_5.29.13_1",11.9117333333333
"403M01505_6.29.15_1",13.6037
"403M01506_6.17.15_1",13.3652
"403M05757_6.29.15_1",13.6933333333333
"403M05771_4.30.15_1",13.8937666666667
"403PRCAGH_6.2.11_1",12.1475666666667
"403S00640_6.11.09_1",12.3332333333333
"403S00640_6.11.09_2",12.3332333333333
"403S00772_5.20.09_1",13.6037
"403S00831_6.10.10_1",11.1449666666667
"403S01136_6.13.11_1",13.3693
"403S01163_6.8.09_1",12.8682
"403S01195_6.10.09_1",10.6675333333333
"403S01272_6.9.09_1",13.9041666666667
"403S01707_6.7.10_1",9.39466666666667
"403S01728_7.13.11_1",12.9934333333333
"403S02363_6.16.11_1",12.3837523809524
"403S02764_6.14.11_1",10.2393
"403S04600_6.8.10_1",13.8780333333333
"403S05291_6.7.10_1",13.0622333333333
"403S06139_6.27.12_1",13.7362904761905
"403S06283_6.13.12_1",13.3921333333333
"403S06660_6.14.12_1",12.4196666666667
"403S06660_6.14.12_2",12.4196666666667
"403S06904_6.9.10_1",13.8486
"403S07024_6.13.12_1",12.9547333333333
"403S07227_6.27.12_1",10.2991190476191
"403S15608_6.8.10_1",13.8903666666667
"403S16332_6.26.13_1",13.1142666666667
"403S16493_6.24.13_1",12.9005666666667
"403S16978_6.26.13_1",13.9643333333333
"403S18093_6.24.13_1",12.8682
"403S18093_6.24.13_2",12.8682
"404ARRSEQ_6.6.12_1",13.7930666666667
"404BA0104_6.18.08_1",9.28053333333333
"404BA0526_6.4.08_1",10.1966666666667
"404BA0616_6.3.08_1",10.7134
"404BA0852_6.3.08_1",11.9200238095238
"404BA0964_6.4.08_1",11.3821
"404BA1128_6.19.08_1",13.6245
"404BA1128_6.3.14_1",13.6245
"404BA1144_6.10.08_1",10.3353333333333
"404BA1166_6.10.08_1",10.2238666666667
"404BA1166_6.4.09_1",10.2238666666667
"404S01128_6.23.10_1",13.6245
"404S06456_5.14.09_1",13.7481571428571
"404S08846_6.22.10_1",11.2162
"404S11406_5.11.09_1",12.2489666666667
"404S16168_6.23.10_1",12.1446666666667
"404S17266_5.19.09_1",13.5600333333333
"404S23297_6.19.13_1",10.9737
"404S25298_6.20.12_1",11.0166666666667
"404S32468_6.26.12_1",14.7891333333333
"404S34230_6.19.13_1",15.0030333333333
"404S35418_6.25.12_1",14.6240666666667
"404S35418_6.25.12_2",14.6240666666667
"404S45622_6.3.13_1",12.4147349206349
"404S45622_6.3.13_2",12.4147349206349
"404S45745_6.18.13_1",13.4482
"404S48200_6.18.13_1",13.4298303030303
"405BH2Axx_6.16.10_1",7.88523333333333
"405BH2Axx_6.16.10_2",7.88523333333333
"405BH2Axx_6.16.10_3",7.88523333333333
"405BH3Axx_6.17.10_1",6.74486666666667
"405BH3Axx_6.17.10_2",6.74486666666667
"405BH3Axx_6.17.10_3",6.74486666666667
"405BH3Cxx_6.17.10_1",12.7210333333333
"405CE0280_7.6.15_1",8.49053333333333
"405PS0030_5.21.08_1",8.1265
"405PS0030_7.8.15_1",8.1265
"405PS0036_5.28.08_1",6.85093333333334
"405PS0036_5.28.08_2",6.85093333333334
"408BA0268_5.6.08_1",12.9343333333333
"408BA0660_5.6.08_1",12.0293904761905
"408BA0660_6.4.14_1",12.0293904761905
"412BH1Axx_6.15.10_1",12.9668
"412BH1Axx_6.15.10_2",12.9668
"412BH1Axx_6.15.10_3",12.9668
"412BH4Axx_6.18.10_1",10.9951333333333
"412WE0552_8.26.15_1",11.4210666666667
"481S05856_6.13.13_1",8.5697
"504PS0051_7.1.08_1",11.2820666666667
"504PS0083_6.17.09_1",12.1709666666667
"504PS0147_6.23.08_1",10.8799
"504PS0574_6.6.13_1",8.38476666666666
"505PS0156_8.13.08_1",4.61396666666667
"505PS0156_8.13.08_2",4.61396666666667
"505PS0940_9.26.11_1",7.1705
"505PS1180_8.21.13_1",3.98800952380953
"505PS1180_8.7.13_1",3.98800952380953
"506PS0003_7.2.08_1",3.69416666666667
"506PS0003_7.28.09_1",3.69416666666667
"506PS0003_7.29.08_1",3.69416666666667
"506PS0003_9.14.10_1",3.69416666666667
"507BCSFBM_8.5.08_1",3.61756666666666
"507BTC269_8.12.14_1",10.3885
"507DCABSF_10.22.14_1",7.45216666666666
"507DCBLLB_10.22.14_1",5.03593333333333
"507PS0122_6.29.09_1",9.9735
"507PS0142_8.4.10_1",8.2658
"507PS0314_9.8.11_1",5.86273333333333
"507RCBLPF_10.21.14_1",7.02403333333333
"508PS0042_7.2.08_1",7.15304761904762
"508PS0298_7.20.11_1",11.1732666666667
"508PS0298_7.20.11_2",11.1732666666667
"508PS0458_7.1.13_1",11.0093857142857
"509BCCBPW_5.21.09_1",5.6659
"509BCCBPW_6.10.09_1",5.6659
"509BCCBPW_7.9.09_1",5.6659
"509BCCBPW_8.10.09_1",5.6659
"509BCCBPW_9.10.09_1",5.6659
"509DCPWxx_8.21.08_1",6.21777936507937
"509DRCBPC_8.29.11_1",5.4216
"509PS0049_8.26.10_1",6.83496666666666
"509PS0049_9.13.10_1",6.83496666666666
"513PS0024_6.25.08_1",12.9847523809524
"513PS0088_8.17.09_1",9.13283333333333
"513PS0088_8.17.09_2",9.13283333333333
"513PS0248_7.27.11_1",11.2893666666667
"514DNCLDC_10.12.10_1",4.07736666666667
"514PCAPCR_10.29.14_1",3.75513333333333
"514PS0019_8.13.08_1",3.17523333333333
"514PS0099_7.18.12_1",3.96054761904762
"515PS0430_7.7.11_1",10.8064
"515PS0430_7.7.11_2",10.8064
"516PS0287_9.21.11_1",13.6103
"516PS0324_6.28.12_1",11.1852380952381
"516PS0324_6.28.12_2",11.1852380952381
"516PS0324_7.31.12_1",11.1852380952381
"516PS0516_8.6.13_1",12.5885476190476
"517FCA139_6.18.14_1",5.4718380952381
"517PLC130_7.28.13_1",6.93506666666666
"517PS0030_7.22.09_1",3.91036666666667
"517PS0039_7.1.09_1",5.7835
"517PS0061_9.8.10_1",6.9208
"517PS0132_7.1.09_1",8.6367
"517SMC266_8.19.14_1",4.889
"518FRE265_7.14.14_1",6.66644761904762
"518FRE277_8.18.14_1",6.66644761904762
"518FRM117_6.17.13_1",9.18056666666667
"518FRM117_7.29.13_1",9.18056666666667
"518JSC273_8.19.14_1",4.13713333333333
"518LCC233_7.15.14_1",7.77989523809524
"518PS0001_7.28.08_1",5.957
"518PS0001_8.19.08_1",5.957
"518PS0017_8.19.08_1",5.53816666666667
"518PS0029_6.30.09_1",7.9558
"518PS0029_7.22.09_1",7.9558
"518PS0045_7.21.09_1",5.12873333333333
"518PS0089_9.25.12_1",13.723
"518PS0125_6.18.13_1",9.37200000000001
"518RCC169_7.29.13_1",7.16056666666667
"518WLCBCP_9.25.12_1",9.1641
"519PS0198_7.15.09_1",10.281
"519PS0198_7.15.09_2",10.281
"519PS0278_7.7.10_1",10.281
"519PS0278_8.5.10_1",10.281
"520PS0135_7.29.09_1",10.5832666666667
"520PS0135_7.29.09_2",10.5832666666667
"520PS0199_8.23.10_1",7.25655238095238
"520PS0199_8.23.10_2",7.25655238095238
"520PS0455_6.5.13_1",7.78729523809524
"520PS0455_6.5.13_2",7.78729523809524
"520PS0455_7.22.13_1",7.78729523809524
"521BTCLBC_8.7.08_1",2.4829
"521LCCBSR_7.6.10_1",4.2869
"521PS0663_6.16.14_1",8.9867
"522PS0430_9.20.12_1",6.0317
"522PS0643_9.4.13_1",9.5771
"523PS0222_9.9.10_1",8.1096
"523PS0414_8.6.12_1",7.86923333333334
"524PS0202_9.20.12_1",7.67943333333334
"524PS0202_9.20.12_2",7.67943333333334
"524PS0394_7.19.12_1",7.37143333333333
"526ASC237_8.20.14_1",7.0897
"526ESCAMC_8.19.14_1",6.15317619047619
"526ESCAMC_8.20.12_1",6.15317619047619
"526HTC129_6.24.13_1",9.2379
"526PS0220_8.25.08_1",8.03063333333333
"526PS0220_8.25.08_2",8.03063333333333
"526PS0228_8.28.08_1",14.6939666666667
"526PS0344_9.2.09_1",15.1017333333333
"526PS0356_8.11.09_1",14.58
"526PS0440_9.2.09_1",11.8594333333333
"526PS0504_9.2.09_1",5.67726666666667
"526PS0504_9.2.09_2",5.67726666666667
"526PS0764_8.25.10_1",3.8236
"526PS0808_8.2.10_1",11.8334333333333
"526PS0948_7.12.11_1",10.6870333333333
"526PS0948_7.12.11_2",10.6870333333333
"526PS1036_7.13.11_1",14.4499666666667
"526PSCBBL_8.27.08_1",10.1117666666667
"526PSCBBL_9.23.08_1",10.1117666666667
"527PS0388_9.2.09_1",7.2729
"527PS0388_9.2.09_2",7.2729
"527PS1412_6.25.13_1",9.5448
"532PS0050_8.31.10_1",3.93986666666667
"532PS0071_10.12.11_1",9.0881
"532PS0071_9.21.11_1",9.0881
"532SFC142_6.19.13_1",7.6461
"532TGRUPX_10.8.08_1",5.11296666666667
"534CYCANB_4.1.09_1",9.31818095238096
"534CYCANB_5.5.09_1",9.31818095238096
"534CYCANB_6.19.08_1",9.31818095238096
"534CYCANB_6.2.09_1",9.31818095238096
"534CYCANB_7.14.09_1",9.31818095238096
"534CYCANB_8.17.09_1",9.31818095238096
"534PS0043_7.29.09_1",5.8401
"534PS0043_7.29.09_2",5.8401
"534PS0114_9.12.12_1",5.70194285714286
"535PS0265_8.20.09_1",9.71340000000001
"537MDR255_7.7.14_1",8.77649523809524
"537MDR255_7.7.14_2",8.77649523809524
"537PS0386_7.16.12_1",11.5457666666667
"539CCRARR_5.6.10_1",12.3594
"539CCRARR_6.12.08_1",12.3594
"539CCRARR_6.30.10_1",12.3594
"539CCRARR_7.21.10_1",12.3594
"539CCRARR_8.31.10_1",12.3594
"539PS0127_5.27.13_1",9.92584761904762
"539PS0146_7.27.10_1",13.6582333333333
"540CDC136_7.24.13_1",4.23193333333333
"540MRC196_8.26.14_1",6.71423333333333
"540MSJ132_7.18.13_1",5.50533333333334
"540PKC272_7.1.14_1",7.80906666666667
"540PS0008_8.6.08_1",3.39213333333333
"540PS0258_8.31.11_1",8.94663333333333
"540PS0258_8.31.11_2",8.94663333333333
"541PS0055_6.18.08_1",11.8981666666667
"541PS0055_7.10.08_1",11.8981666666667
"542DPCDPC_6.18.08_1",12.8339333333333
"543R00219_5.21.12_1",8.91103333333333
"543R00245_5.21.12_1",11.3745666666667
"545PS0335_7.26.10_1",13.258
"545PS0335_7.26.10_2",13.258
"552SCCTSR_6.11.08_1",9.7145
"553TCCAKR_8.16.10_1",11.6807112554113
"553TCCAKR_8.16.10_2",11.6807112554113
"554PS0160_8.5.08_1",14.0794333333333
"554PS0224_6.17.08_1",13.3755333333333
"554PS0448_7.7.09_1",3.68323333333334
"554PS0946_8.23.11_1",11.8909333333333
"601PRK002_8.2.12_1",9.0489
"601PS0057_9.14.11_1",5.1617619047619
"601PS0065_9.1.11_1",7.18286666666666
"601RSH002_8.4.10_1",3.046
