"","Predicted"
"102PS0177_8.28.12_1",3.714
"103CDCHHR_9.14.10_1",4.86381601731602
"103STCNSR_8.9.11_1",3.41276666666667
"103WER026_8.15.12_1",4.04934761904762
"103WER029_7.16.14_1",3.71361601731602
"103WER030_8.10.11_1",3.3581
"105BVCAGC_9.21.10_1",4.3687
"105CE0329_7.23.14_1",1.82573333333333
"105CLCATC_8.10.10_1",4.56878095238095
"105DLCDCC_10.20.09_1",5.39163333333334
"105FCA116_7.16.13_1",3.2262
"105FS0416_9.24.13_1",5.09276666666667
"105FS0425_8.10.11_1",5.37166666666667
"105FS0428_8.3.11_1",6.08923333333334
"105NWC151_6.26.13_1",12.5622666666667
"105PS0043_9.17.08_1",7.0611
"105PS0083_9.8.09_1",8.85331904761905
"105PS0090_8.7.12_1",4.88653333333333
"105PS0097_7.22.14_1",3.20893333333333
"105PS0154_8.9.11_1",6.92946666666666
"105PS0195_8.7.12_1",4.45916666666667
"105PS0259_9.17.13_1",6.63903333333333
"105PS0267_7.21.14_1",9.51553333333334
"105PS0468_9.1.09_1",8.6711
"105PS0540_9.15.10_1",7.86406666666667
"105PS1492_8.6.14_1",11.7135
"105WE0598_7.24.14_1",2.5585
"105WLC135_6.26.13_1",10.3373
"105WLCABC_8.3.11_1",5.90087619047619
"106FS0040_8.30.11_1",4.64123333333334
"106PS0115_9.21.10_1",4.4621
"106PS0124_8.16.10_1",4.77086666666667
"106PS0166_8.2.11_1",6.54503333333334
"106WE0505_7.21.14_1",1.9513
"106WER011_9.11.13_1",5.26610952380952
"107PS0021_7.14.14_1",4.32664935064935
"107WER092_8.27.12_1",6.73147142857143
"111BBRBCC_9.23.09_1",6.62606666666666
"111CBCAER_8.8.13_1",7.63222857142857
"111ERATRC_10.10.12_1",4.66623333333333
"111FS0001_7.5.11_1",5.4039
"111FS0008_7.19.12_1",7.93813333333333
"111HSCAER_7.26.11_1",5.97943333333333
"111PS0060_10.7.08_1",4.65146666666667
"111PS0110_6.9.14_1",2.47863333333333
"111PS0144_8.18.10_1",6.13016666666667
"111PS0160_7.25.11_1",6.0979
"111PS0204_8.17.10_1",4.864
"111RSCAER_8.8.11_1",4.32338095238095
"111TGCAER_7.24.12_1",5.65746666666666
"111WE0816_6.12.13_1",3.72613333333333
"111WE1050_6.12.13_1",6.67110952380952
"111WE1071_7.26.12_1",6.67110952380952
"111WER003_6.10.14_1",3.3851
"111WER008_7.23.12_1",5.24733333333334
"111WER159_10.19.09_1",4.74546666666667
"113RG8046_8.19.10_1",13.1358142857143
"114CE0131_7.31.12_1",11.3636333333333
"114PS0145_6.20.11_1",10.2331666666667
"114WE0614_7.9.12_1",9.95663333333333
"115EBAG01_7.1.10_1",11.5365333333333
"201AHO350_6.20.12_1",6.67513333333334
"201CHE300_6.18.12_1",11.8293666666667
"201LAG335_7.15.09_1",6.61130476190476
"201MRS020_9.13.10_1",9.71843333333333
"202BUT030_6.29.10_1",9.84263333333333
"202BUT040_6.4.14_1",4.92206666666667
"202BUT050_6.16.09_1",6.32229523809524
"202BUT480_6.25.12_1",5.92929523809524
"202BUT600_6.26.12_1",7.19906666666667
"202DRY010_6.5.13_1",9.75196666666667
"202PES168_6.6.13_1",6.9685
"202R00024_6.6.12_1",12.1055333333333
"202R00280_5.22.13_1",11.7649253968254
"204AHOACR_6.2.14_1",5.1953
"204ALA500_6.10.13_1",9.9503
"204ARH090_6.2.14_1",14.5255492063492
"204IND200_5.25.10_1",9.0999
"204R00189_5.6.13_1",14.6354920634921
"204SIN300_5.15.12_1",7.87816666666667
"204VAL400_5.19.14_1",10.5137571428571
"205AAG375_5.14.14_1",10.8664952380952
"205AAG400_6.5.12_1",10.8558714285714
"205COY585_5.28.13_1",15.3330634920635
"205COY610_6.3.10_1",10.78975
"205COY615_6.3.14_1",15.8029515873016
"205COY853_5.29.14_1",12.6856682539683
"205COY900_5.16.12_1",13.5687666666667
"205COY930_5.7.13_1",13.8653333333333
"205CYCAHH_6.10.08_1",15.2669333333333
"205CYCBBC_6.28.10_1",10.78975
"205LGA700_5.23.12_1",9.01613333333333
"205R00021_5.16.12_1",12.1542023809524
"205R00182_5.7.13_1",10.3406904761905
"205WUN450_6.11.12_1",7.54713333333333
"205WUN550_5.6.13_1",8.00713333333334
"206HCT020_5.29.12_1",6.7724
"206RCCBDC_7.20.10_1",7.91903333333334
"206TUL120_6.13.11_1",6.99033333333333
