"","Predicted"
"103KLCMSR_9.14.10_1",4.4119
"105PS0193_8.29.12_1",4.3713
"105PS0660_8.3.10_1",12.5622666666667
"105TMCACC_8.10.10_1",5.00576666666667
"106MNCAHC_10.1.08_1",7.45956666666666
"106WE1079_8.8.12_1",4.47876666666667
"106WER016_10.20.09_1",8.43440476190477
"107LLM101_9.13.10_1",6.30263506493506
"111BGCAER_6.11.14_1",4.79476666666667
"111FS0007_7.11.11_1",6.18667936507936
"111PAL105_7.13.11_1",8.96751428571428
"202SPE090_6.15.09_1",12.2541666666667
"205AAG075_6.12.13_1",9.78255714285714
"205COY850_5.21.12_1",5.7882
"205SFC880_6.19.12_1",8.71643333333333
"206BRC020_6.27.12_1",10.7475571428571
"207SUI290_6.4.12_1",11.5365666666667
"307CMRADC_5.20.14_1",5.0803
"308LSRASC_7.18.11_1",7.70266666666666
"308MWCAH1_6.23.10_1",6.45928174603175
"308PS0156_6.19.12_1",7.59053333333333
"308ROCBBQ_6.21.12_1",8.22839523809524
"309ARCBRC_8.25.08_1",7.47193333333334
"309PS0116_6.16.11_1",11.9037
"312PS0099_6.14.10_1",13.0282
"315CHCALS_6.15.10_1",6.5382
"402BA0095_5.29.08_1",11.504
"402M00009_6.29.15_1",9.95686666666666
"403S00960_6.2.10_1",14.1172
"403S01536_7.12.11_1",11.4215666666667
"403WE0540_5.14.14_1",11.3355833333333
"403WE0683_5.15.13_1",10.6911571428571
"505PS0110_9.16.10_1",5.24053333333333
"513CCNASC_7.16.14_1",9.2872
"513STCAIV_6.12.14_1",8.43036190476191
"513UNCAKC_9.23.09_1",8.18906190476191
"514SSC190_9.11.14_1",4.60153333333333
"517FCA046_8.14.13_1",6.59303333333333
"518BTCASC_6.12.13_1",6.16433333333334
"518FCA075_8.12.13_1",8.14846666666667
"518SPC134_6.18.13_1",8.9171
"522GSCBSC_9.24.09_1",7.02096666666667
"522PS0504_6.11.13_1",7.27069523809523
"526PNCAMF_6.25.13_1",8.60059999999999
"526PS1420_6.25.13_1",6.21713333333333
"534MLC108_9.14.11_1",2.41276666666667
"536HLCBFM_6.18.13_1",7.90541428571429
"537TYCAML_7.16.08_1",2.58003333333333
"540SED003_8.30.11_1",2.4536
"552DKC268_6.23.14_1",2.79186666666667
"552MFCAKR_6.11.08_1",14.3151
"553KRNAYC_6.17.14_1",9.91336666666667
"554CLCALK_8.23.11_1",9.34153333333333
"603DDM005_9.13.11_1",7.17826666666666
"603FCA145_8.21.13_1",6.45
"603PS0008_7.30.08_1",8.33223333333333
"603PS0075_8.15.12_1",6.05486666666667
"603PS0109_7.29.08_1",7.60463333333333
"603PS0557_8.18.10_1",11.3316666666667
"603SPCBWC_7.22.08_1",6.51726666666667
"631DEP001_8.28.12_1",9.77873333333334
"631PS0033_8.30.10_1",6.4561
"632ELD001_9.8.11_1",7.2291
"634CAT055_10.4.11_1",2.93886666666667
"634GRF001_10.3.11_1",10.3827666666667
"634HHCATC_10.4.11_1",4.4575
"634PS0035_9.1.10_1",3.48046666666667
"634PS0062_10.12.11_1",7.3219
"634WSN001_10.4.11_1",11.2462476190476
"636SAG001_7.12.10_1",11.2459666666667
"639PS1279_6.11.13_1",11.0579
"641OWC157_7.24.13_1",5.40073333333333
"722NP7IDC_4.16.14_1",10.2961
"801DRC025_6.25.14_1",10.1391333333333
"801S03488_5.7.14_1",4.836
"801WE0674_5.14.13_1",10.1269666666667
"801WE1008_5.14.13_1",5.91546666666666
"801WE1132_8.19.09_1",9.6877
"901ATCAAS_6.5.08_1",12.7164571428571
"901CSCADC_5.26.11_1",11.8689666666667
"901S06969_5.31.12_1",12.0143
"903WE0798_4.8.15_1",11.6659333333333
"905BCC_6.11.14_1",13.9147333333333
"905S02561_5.25.11_1",13.1239333333333
"909JQCASR_6.1.11_1",9.19886666666667
"911S03354_5.5.09_1",12.4117666666667
"911TJIND2_5.8.08_1",11.3343
"911TJLCC2_4.7.15_1",13.8071333333333
"SCFC1_6.12.08_1",10.0536
"SCSS1_6.17.08_1",10.9579047619048
"SMAD1_11.5.08_1",12.3139666666667
"SMC00135_6.7.10_1",8.60466666666667
"SMC01979_7.14.11_1",11.0171952380952
"SMC02139_7.17.12_1",9.55883333333334
"SMC04204_7.11.12_1",10.2097333333333
"SMC04383_5.19.14_1",12.9909071428571
"SMC06467_6.28.10_1",8.91223333333333
"SMC19809_6.25.13_1",15.0311
