"","Predicted"
"105PS0188_8.26.08_1",12.9340333333333
"105PS0188_8.26.08_2",12.9340333333333
"106FC1183_7.24.14_1",4.02183333333334
"106FC1313_7.23.14_1",6.0009
"106PS0078_8.26.09_1",6.20676666666666
"106PS0173_8.4.11_1",5.14306666666667
"106PS0186_9.26.12_1",3.61876666666666
"109PS0162_7.20.11_1",6.69273333333334
"110ECSLSF_7.26.11_1",6.58950476190476
"110FCA102_7.25.13_1",7.89973333333333
"111CR1012_8.18.14_1",9.09056666666667
"111PS0057_8.18.08_1",6.61540476190476
"113GAR010_6.8.09_1",7.26623333333334
"113GAR010_8.27.12_1",7.26623333333334
"113GAR038_6.8.09_1",7.91886666666667
"113GAR038_9.10.12_1",7.91886666666667
"113GAR046_6.18.12_1",9.02847792207792
"113GAR046_6.8.09_1",9.02847792207792
"113GAR046_9.2.14_1",9.02847792207792
"113GAR061_6.19.12_1",9.12486363636364
"113GAR061_7.1.09_1",9.12486363636364
"113GAR061_9.3.14_1",9.12486363636364
"113GAR061_9.3.14_2",9.12486363636364
"113GAR084_6.28.10_1",9.44773333333334
"113GAR094_7.27.10_1",9.02847792207792
"113GAR094_7.27.10_2",9.02847792207792
"113GAR110_6.18.12_1",7.5814
"113GAR110_6.30.09_1",7.5814
"113GAR110_9.2.14_1",7.5814
"113PS0084_8.18.09_1",8.35406666666667
"113PS0100_8.25.09_1",8.09726666666667
"113PS0132_9.15.10_1",8.2523
"113PS0196_8.1.12_1",7.50220476190476
"114CR0903_8.26.13_1",7.16470476190476
"114CR0903_9.25.13_1",7.16470476190476
"114PS0149_7.10.12_1",10.8981666666667
"114PS0152_7.7.11_1",8.09473333333334
"114PS0152_8.18.11_1",8.09473333333334
"114RR1041_10.10.11_1",6.3444380952381
"114RR1041_10.25.11_1",6.3444380952381
"114RR1041_10.25.11_2",6.3444380952381
"114RR1041_8.2.11_1",6.3444380952381
"114RR1041_9.7.11_1",6.3444380952381
"114RR1310_6.2.11_1",6.66300476190476
"114RR1599_10.10.11_1",6.55277142857143
"114RR1599_10.25.11_1",6.55277142857143
"114RR1599_6.2.11_1",6.55277142857143
"114RR1599_6.27.11_1",6.55277142857143
"114RR1599_8.2.11_1",6.55277142857143
"114RR1599_8.2.11_2",6.55277142857143
"114RR1599_9.7.11_1",6.55277142857143
"114RR2678_10.11.11_1",7.73337142857143
"114RR2678_10.24.11_1",7.73337142857143
"114RR2678_6.29.11_1",7.73337142857143
"114RR2678_8.1.11_1",7.73337142857143
"114RR2678_9.13.11_1",7.73337142857143
"114RR2769_6.1.11_1",7.81337142857143
"114RR2899_10.11.11_1",7.10820476190476
"114RR2899_10.24.11_1",7.10820476190476
"114RR2899_6.1.11_1",7.10820476190476
"114RR2899_6.29.11_1",7.10820476190476
"114RR2899_8.1.11_1",7.10820476190476
"114RR2899_9.13.11_1",7.10820476190476
"202BUT850_6.4.13_1",8.85816666666667
"202PS0134_5.31.11_1",8.88670952380953
"202R00087_5.30.12_1",11.0405666666667
"202R00284_6.15.12_1",13.642
"202R00908_5.21.13_1",10.5993333333333
"203PS0070_7.19.10_1",8.43487142857143
"203PS0070_9.7.10_1",8.43487142857143
"203R00039_5.14.12_1",10.8743904761905
"204ALP040_4.10.11_1",12.5095904761905
"204ALP040_6.29.11_1",12.5095904761905
"204ALP105_4.10.11_1",12.3434333333333
"204ALP151_4.10.11_1",12.6832333333333
"204ALP151_6.29.11_1",12.6832333333333
"204PS0038_6.19.08_1",9.90116666666667
"204PS0094_7.14.10_1",12.9201571428571
"204PS0102_6.15.11_1",8.6153
"204PS0102_6.15.11_2",8.6153
"204PS0102_8.10.11_1",8.6153
"204PS0118_6.15.11_1",15.6508666666667
"204R00047_6.6.12_1",8.66555714285715
"204R00063_6.4.13_1",10.1622333333333
"204R00068_5.31.12_1",12.5563
"204R00084_5.24.12_1",9.70986666666666
"204R00100_5.30.12_1",13.0893777777778
