"","Predicted"
"102PS0177_8.28.12_1",5.3549
"103CDCHHR_9.14.10_1",6.55521904761905
"103STCNSR_8.9.11_1",5.568
"103WER026_8.15.12_1",7.0747
"103WER029_7.16.14_1",4.73568571428572
"103WER030_8.10.11_1",5.61346666666666
"105BVCAGC_9.21.10_1",6.46
"105CE0329_7.23.14_1",2.41616666666667
"105CLCATC_8.10.10_1",6.40226666666666
"105DLCDCC_10.20.09_1",7.74466666666667
"105FCA116_7.16.13_1",4.58816666666667
"105FS0416_9.24.13_1",8.2441
"105FS0425_8.10.11_1",8.02156666666667
"105FS0428_8.3.11_1",7.16926666666667
"105NWC151_6.26.13_1",17.7182333333333
"105PS0043_9.17.08_1",8.93883333333333
"105PS0083_9.8.09_1",13.3272333333333
"105PS0090_8.7.12_1",7.75716666666667
"105PS0097_7.22.14_1",4.7852
"105PS0154_8.9.11_1",7.74306666666666
"105PS0195_8.7.12_1",7.49553333333334
"105PS0259_9.17.13_1",9.5864
"105PS0267_7.21.14_1",13.8566
"105PS0468_9.1.09_1",13.0167666666667
"105PS0540_9.15.10_1",12.3355666666667
"105PS1492_8.6.14_1",18.8198666666667
"105WE0598_7.24.14_1",3.59246666666667
"105WLC135_6.26.13_1",16.8275333333333
"105WLCABC_8.3.11_1",8.11323333333334
"106FS0040_8.30.11_1",6.22066666666667
"106PS0115_9.21.10_1",7.24926666666666
"106PS0124_8.16.10_1",7.73413333333333
"106PS0166_8.2.11_1",7.49406666666667
"106WE0505_7.21.14_1",3.03313333333333
"106WER011_9.11.13_1",9.56213333333333
"107PS0021_7.14.14_1",5.05811904761905
"107WER092_8.27.12_1",9.25983333333334
"111BBRBCC_9.23.09_1",9.0142
"111CBCAER_8.8.13_1",10.6087333333333
"111ERATRC_10.10.12_1",6.81356666666667
"111FS0001_7.5.11_1",6.74703333333334
"111FS0008_7.19.12_1",12.4665666666667
"111HSCAER_7.26.11_1",8.66850000000001
"111PS0060_10.7.08_1",7.07339523809524
"111PS0110_6.9.14_1",3.4472
"111PS0144_8.18.10_1",8.3769
"111PS0160_7.25.11_1",7.67676666666666
"111PS0204_8.17.10_1",7.3213
