"","Predicted"
"105PS0188_8.26.08_1",17.9492666666667
"105PS0188_8.26.08_2",17.9492666666667
"106FC1183_7.24.14_1",6.65266666666667
"106FC1313_7.23.14_1",8.9194
"106PS0078_8.26.09_1",9.64153333333334
"106PS0173_8.4.11_1",8.0042
"106PS0186_9.26.12_1",7.2455
"109PS0162_7.20.11_1",8.78263333333333
"110ECSLSF_7.26.11_1",9.22866666666667
"110FCA102_7.25.13_1",10.0564333333333
"111CR1012_8.18.14_1",13.6240666666667
"111PS0057_8.18.08_1",9.30753333333334
"113GAR010_6.8.09_1",9.541
"113GAR010_8.27.12_1",9.541
"113GAR038_6.8.09_1",10.1209
"113GAR038_9.10.12_1",10.1209
"113GAR046_6.18.12_1",12.3996523809524
"113GAR046_6.8.09_1",12.3996523809524
"113GAR046_9.2.14_1",12.3996523809524
"113GAR061_6.19.12_1",12.6245333333333
"113GAR061_7.1.09_1",12.6245333333333
"113GAR061_9.3.14_1",12.6245333333333
"113GAR061_9.3.14_2",12.6245333333333
"113GAR084_6.28.10_1",12.5868666666667
"113GAR094_7.27.10_1",12.4156523809524
"113GAR094_7.27.10_2",12.4156523809524
"113GAR110_6.18.12_1",10.0798
"113GAR110_6.30.09_1",10.0798
"113GAR110_9.2.14_1",10.0798
"113PS0084_8.18.09_1",11.2939
"113PS0100_8.25.09_1",11.1066666666667
"113PS0132_9.15.10_1",11.0515
"113PS0196_8.1.12_1",10.0629666666667
"114CR0903_8.26.13_1",10.0118
"114CR0903_9.25.13_1",10.0118
"114PS0149_7.10.12_1",13.8142333333333
"114PS0152_7.7.11_1",11.9287333333333
"114PS0152_8.18.11_1",11.9287333333333
"114RR1041_10.10.11_1",8.49536666666667
"114RR1041_10.25.11_1",8.49536666666667
"114RR1041_10.25.11_2",8.49536666666667
"114RR1041_8.2.11_1",8.49536666666667
"114RR1041_9.7.11_1",8.49536666666667
"114RR1310_6.2.11_1",9.0506
"114RR1599_10.10.11_1",8.86816666666667
"114RR1599_10.25.11_1",8.86816666666667
"114RR1599_6.2.11_1",8.86816666666667
"114RR1599_6.27.11_1",8.86816666666667
"114RR1599_8.2.11_1",8.86816666666667
"114RR1599_8.2.11_2",8.86816666666667
"114RR1599_9.7.11_1",8.86816666666667
"114RR2678_10.11.11_1",10.4155333333333
"114RR2678_10.24.11_1",10.4155333333333
"114RR2678_6.29.11_1",10.4155333333333
"114RR2678_8.1.11_1",10.4155333333333
"114RR2678_9.13.11_1",10.4155333333333
"114RR2769_6.1.11_1",10.9081
"114RR2899_10.11.11_1",9.79723333333333
"114RR2899_10.24.11_1",9.79723333333333
"114RR2899_6.1.11_1",9.79723333333333
"114RR2899_6.29.11_1",9.79723333333333
"114RR2899_8.1.11_1",9.79723333333333
"114RR2899_9.13.11_1",9.79723333333333
"202BUT850_6.4.13_1",13.6956333333333
"202PS0134_5.31.11_1",11.6197
"202R00087_5.30.12_1",15.3735666666667
"202R00284_6.15.12_1",18.1152
"202R00908_5.21.13_1",14.88455
"203PS0070_7.19.10_1",10.9410333333333
"203PS0070_9.7.10_1",10.9410333333333
"203R00039_5.14.12_1",14.4297666666667
"204ALP040_4.10.11_1",16.1214357142857
"204ALP040_6.29.11_1",16.1214357142857
"204ALP105_4.10.11_1",15.9611111111111
"204ALP151_4.10.11_1",16.2916111111111
"204ALP151_6.29.11_1",16.2916111111111
"204PS0038_6.19.08_1",12.6989
"204PS0094_7.14.10_1",17.4838357142857
"204PS0102_6.15.11_1",11.6595333333333
"204PS0102_6.15.11_2",11.6595333333333
"204PS0102_8.10.11_1",11.6595333333333
"204PS0118_6.15.11_1",20.6301
"204R00047_6.6.12_1",11.6154952380952
"204R00063_6.4.13_1",13.5835
"204R00068_5.31.12_1",15.5363968253968
"204R00084_5.24.12_1",13.2696666666667
"204R00100_5.30.12_1",17.2428674603175
"204R00180_5.30.12_1",15.844773015873
"204R00191_5.29.12_1",16.1874341269841
"204R00200_5.31.12_1",17.1116373015873
"204R00232_6.12.12_1",16.7813396825397
"204R00232_6.12.12_2",16.7813396825397
"204R00244_6.12.12_1",16.7813396825397
"204R00303_6.14.12_1",17.5101674603175
"204R00319_6.7.12_1",13.5835
"204R00319_6.7.12_2",13.5835
"204R00327_5.7.13_1",17.6600007936508
"204R00334_5.8.13_1",15.9746785714286
"204R00340_6.11.12_1",13.2696666666667
"204R00356_5.30.12_1",17.2428674603175
"204R00356_6.4.12_1",17.2428674603175
"204R00367_6.12.12_1",11.8029
"204R00383_6.11.12_1",15.2246
"204R00391_6.6.12_1",13.1533
"204R00436_5.20.13_1",13.3310285714286
