"","Predicted"
"105PS0188_8.26.08_1",20.3035666666667
"105PS0188_8.26.08_2",20.3035666666667
"106FC1183_7.24.14_1",7.91556666666667
"106FC1313_7.23.14_1",12.4519333333333
"106PS0078_8.26.09_1",13.3272
"106PS0173_8.4.11_1",9.53279999999999
"106PS0186_9.26.12_1",7.70076666666666
"109PS0162_7.20.11_1",6.767
"110ECSLSF_7.26.11_1",5.92630476190476
"110FCA102_7.25.13_1",9.03136666666666
"111CR1012_8.18.14_1",11.9854666666667
"111PS0057_8.18.08_1",5.78096666666667
"113GAR010_6.8.09_1",7.8663
"113GAR010_8.27.12_1",7.8663
"113GAR038_6.8.09_1",6.5962
"113GAR038_9.10.12_1",6.5962
"113GAR046_6.18.12_1",10.7026333333333
"113GAR046_6.8.09_1",10.7026333333333
"113GAR046_9.2.14_1",10.7026333333333
"113GAR061_6.19.12_1",10.7997
"113GAR061_7.1.09_1",10.7997
"113GAR061_9.3.14_1",10.7997
"113GAR061_9.3.14_2",10.7997
"113GAR084_6.28.10_1",9.99313333333333
"113GAR094_7.27.10_1",10.9588
"113GAR094_7.27.10_2",10.9588
"113GAR110_6.18.12_1",9.10476666666667
"113GAR110_6.30.09_1",9.10476666666667
"113GAR110_9.2.14_1",9.10476666666667
"113PS0084_8.18.09_1",8.47323333333333
"113PS0100_8.25.09_1",7.62796666666667
"113PS0132_9.15.10_1",11.7353666666667
"113PS0196_8.1.12_1",10.2925
"114CR0903_8.26.13_1",11.2164333333333
"114CR0903_9.25.13_1",11.2164333333333
"114PS0149_7.10.12_1",13.3952333333333
"114PS0152_7.7.11_1",8.13386666666667
"114PS0152_8.18.11_1",8.13386666666667
"114RR1041_10.10.11_1",9.7686
"114RR1041_10.25.11_1",9.7686
"114RR1041_10.25.11_2",9.7686
"114RR1041_8.2.11_1",9.7686
"114RR1041_9.7.11_1",9.7686
"114RR1310_6.2.11_1",9.30843333333333
"114RR1599_10.10.11_1",10.8202
"114RR1599_10.25.11_1",10.8202
"114RR1599_6.2.11_1",10.8202
"114RR1599_6.27.11_1",10.8202
"114RR1599_8.2.11_1",10.8202
"114RR1599_8.2.11_2",10.8202
"114RR1599_9.7.11_1",10.8202
"114RR2678_10.11.11_1",10.3849
"114RR2678_10.24.11_1",10.3849
"114RR2678_6.29.11_1",10.3849
"114RR2678_8.1.11_1",10.3849
"114RR2678_9.13.11_1",10.3849
"114RR2769_6.1.11_1",12.4143
"114RR2899_10.11.11_1",12.0906666666667
"114RR2899_10.24.11_1",12.0906666666667
"114RR2899_6.1.11_1",12.0906666666667
"114RR2899_6.29.11_1",12.0906666666667
"114RR2899_8.1.11_1",12.0906666666667
"114RR2899_9.13.11_1",12.0906666666667
"202BUT850_6.4.13_1",9.01386666666667
"202PS0134_5.31.11_1",15.7803071428571
"202R00087_5.30.12_1",17.4275666666667
"202R00284_6.15.12_1",12.4359666666667
"202R00908_5.21.13_1",19.0414666666667
"203PS0070_7.19.10_1",10.8359
"203PS0070_9.7.10_1",10.8359
"203R00039_5.14.12_1",11.9799
"204ALP040_4.10.11_1",12.3624666666667
"204ALP040_6.29.11_1",12.3624666666667
"204ALP105_4.10.11_1",18.9544428571428
"204ALP151_4.10.11_1",16.3447666666667
"204ALP151_6.29.11_1",16.3447666666667
"204PS0038_6.19.08_1",17.6259666666667
"204PS0094_7.14.10_1",21.7951666666667
"204PS0102_6.15.11_1",19.757
"204PS0102_6.15.11_2",19.757
"204PS0102_8.10.11_1",19.757
"204PS0118_6.15.11_1",13.7574666666667
"204R00047_6.6.12_1",21.5659
"204R00063_6.4.13_1",16.2810333333333
"204R00068_5.31.12_1",17.9460666666667
"204R00084_5.24.12_1",20.1735
"204R00100_5.30.12_1",20.4614
"204R00180_5.30.12_1",13.6863666666667
"204R00191_5.29.12_1",25.4013
"204R00200_5.31.12_1",16.9979
"204R00232_6.12.12_1",15.7510238095238
"204R00232_6.12.12_2",15.7510238095238
"204R00244_6.12.12_1",22.0171
"204R00303_6.14.12_1",22.9185333333334
"204R00319_6.7.12_1",18.0110333333333
"204R00319_6.7.12_2",18.0110333333333
"204R00327_5.7.13_1",22.9396333333333
"204R00334_5.8.13_1",15.52
"204R00340_6.11.12_1",16.7826
"204R00356_5.30.12_1",21.0542666666667
"204R00356_6.4.12_1",21.0542666666667
"204R00367_6.12.12_1",20.7671666666667
"204R00383_6.11.12_1",20.9446
"204R00391_6.6.12_1",21.8671
"204R00436_5.20.13_1",15.9525666666667
"204R00447_4.2.13_1",19.6376666666667
"204R00447_4.22.13_1",19.6376666666667
"204R00455_6.13.12_1",19.4043666666667
"204R00473_5.9.13_1",16.4460333333333
"204R00473_5.9.13_2",16.4460333333333
"204R00520_5.28.13_1",22.66
"204R00583_6.13.12_1",20.7372666666667
"204R00596_5.31.12_1",19.8601666666667
"204R00623_6.3.13_1",20.8703333333333
"204R00639_6.19.12_1",18.9520333333333
"204R00680_5.28.13_1",11.8971
"204R00724_5.21.13_1",15.22
"204R00807_5.21.13_1",18.1156666666667
"204R00852_5.6.13_1",19.8292333333333
"204R00884_5.20.13_1",18.6776
"204R00967_4.25.13_1",12.3147
"204R01316_5.22.13_1",19.824
"204R01471_5.22.13_1",21.5364
"205PS0045_6.17.09_1",10.0935333333333
"205PS0045_6.17.09_2",10.0935333333333
"205PS0074_7.14.10_1",18.5142
"205PS0106_6.21.11_1",23.0048
"205PS0109_6.21.11_1",22.2619
"205PS0138_6.1.11_1",22.0684
"205PS0157_6.19.12_1",21.5367333333333
"205PS0170_6.19.12_1",17.8366333333333
"205PS0173_6.20.12_1",10.6602666666667
"205PS0173_6.20.12_2",10.6602666666667
"205PS0202_5.22.13_1",22.38
"205PS0202_7.17.13_1",22.38
"205PS0221_5.20.13_1",19.3555333333333
"205R00026_5.14.12_1",9.62623333333333
"205R00035_5.24.12_1",15.6242666666667
"205R00035_5.24.12_2",15.6242666666667
"205R00042_5.21.12_1",18.4717904761905
"205R00067_6.3.12_1",15.4720666666667
"205R00088_6.4.12_1",11.4223666666667
"205R00090_5.23.12_1",21.8410666666667
"205R00099_5.17.12_1",16.0908
"205R00115_6.5.12_1",19.1957666666667
"205R00131_6.3.12_1",14.2114666666667
"205R00154_5.22.12_1",20.9912
"205R00168_6.4.12_1",9.10560000000001
"205R00174_4.23.13_1",22.5502
"205R00218_5.23.12_1",21.5367333333333
"205R00227_6.5.12_1",20.9954666666667
