"","Predicted"
"102PS0139_8.9.10_1",10.4093166666667
"103FCA168_7.24.13_1",5.04109523809524
"103PS0217_9.10.13_1",5.04109523809524
"103RDCBCC_7.21.11_1",5.90833333333334
"105PS0028_8.12.08_1",6.79686666666666
"105PS0028_8.26.08_1",6.79686666666666
"105PS0067_8.24.09_1",8.6505
"105PS0067_8.24.09_2",8.6505
"105PS0067_9.15.09_1",8.6505
"105PS0069_8.18.09_1",5.00679523809524
"105PS0092_8.11.08_1",10.0680666666667
"105PS0107_9.14.09_1",14.3219119047619
"105PS0129_8.11.10_1",5.7356
"105PS0129_8.11.10_2",5.7356
"105PS0149_8.29.12_1",9.07936666666667
"105PS0211_8.20.13_1",11.7544666666667
"105PS0211_9.16.13_1",11.7544666666667
"105PS0231_8.29.13_1",18.6777
"105PS0276_9.1.09_1",16.2965666666667
"105PS0276_9.22.09_1",16.2965666666667
"105PS0540_8.5.10_1",8.12274761904762
"105PS1148_9.18.12_1",14.2128333333333
"105PS1404_8.28.13_1",9.34026666666668
"105PS1404_8.28.13_2",9.34026666666668
"106FCA036_7.15.13_1",10.3646666666667
"106HLCACC_9.23.13_1",9.0089
"106PS0022_9.30.08_1",6.64006666666667
"106PS0051_9.16.08_1",10.2793
"106PS0051_9.16.08_2",10.2793
"106PS0106_9.8.09_1",8.1833
"106PS0106_9.8.09_2",8.1833
"106PS0122_9.20.10_1",6.36563333333333
"106PS0142_7.19.10_1",6.61166666666666
"106PS0206_10.3.12_1",8.33893333333334
"106PTCAHC_9.2.08_1",12.7215666666667
"107GWCAPC_9.15.10_1",8.69206190476191
"107RWCBHW_8.3.11_1",7.08600952380953
"107RWCBHW_8.3.11_2",7.08600952380953
"108PS0197_8.16.12_1",6.92617619047619
"110PS0114_7.21.10_1",8.55439523809524
"110SMCATH_7.27.11_1",8.78892857142858
"111CE0569_10.11.10_1",10.7981428571429
"111FCA207_7.23.13_1",8.39453333333334
"111PS0008_9.29.08_1",13.7942333333333
"111PS0008_9.9.08_1",13.7942333333333
"111PS0008_9.9.08_2",13.7942333333333
"111PS0013_8.19.08_1",8.07154285714286
"111PS0095_8.27.09_1",8.06824285714286
"111PS0095_8.27.09_2",8.06824285714286
"111PS0121_7.20.10_1",9.31510952380953
"111PS0159_7.14.11_1",5.70853333333334
"111PS0169_7.25.11_1",10.8124428571429
"111PS0169_7.25.11_2",10.8124428571429
"111PS0178_8.14.12_1",6.06060952380953
"111PS0237_9.12.13_1",9.01033333333333
"112PS0157_7.12.11_1",7.76863333333333
"113GAR011_8.22.11_1",10.139
"113GAR011_9.1.10_1",10.139
"113GAR015_8.23.11_1",10.0415285714286
"113GAR015_8.31.10_1",10.0415285714286
"113GAR015_9.9.13_1",10.0415285714286
"113GAR023_7.22.14_1",10.1551
"113GAR023_8.5.13_1",10.1551
"113GAR030_8.26.09_1",9.60023333333333
"113GAR030_8.26.09_2",9.60023333333333
"113GAR030_8.28.12_1",9.60023333333333
"113GAR042_9.10.13_1",9.91443333333333
"113GAR062_6.30.09_1",9.75936666666666
"113GAR062_8.27.12_1",9.75936666666666
"113GAR087_6.29.10_1",9.367
"113GAR087_8.6.13_1",9.367
"113GAR087_9.11.12_1",9.367
"113GAR087_9.11.12_2",9.367
"113GAR089_6.14.10_1",9.17218095238095
"113GAR089_6.20.11_1",9.17218095238095
"113GAR089_8.5.09_1",9.17218095238095
"113GAR105_6.14.10_1",9.0842
"113GAR105_6.20.11_1",9.0842
"113GAR105_8.4.09_1",9.0842
"113GAR112_6.15.10_1",9.33623333333333
"113GAR112_7.22.14_1",9.33623333333333
"113GAR112_8.22.11_1",9.33623333333333
"113GAR112_8.4.09_1",9.33623333333333
"113GAR112_8.4.09_2",9.33623333333333
"113GAR112_8.7.13_1",9.33623333333333
"113GAR118_7.26.10_1",8.82266666666666
"113GAR118_9.10.12_1",8.82266666666666
"113GAR178_6.21.11_1",9.56859999999999
"113GAR178_7.23.14_1",9.56859999999999
"113GAR178_8.31.10_1",9.56859999999999
"113GAR178_9.9.13_1",9.56859999999999
"113GAR178_9.9.13_2",9.56859999999999
"113GAR244_6.28.10_1",8.47113333333333
"113PS0012_9.9.08_1",11.4364666666667
"113PS0012_9.9.08_2",11.4364666666667
"113PS0076_8.2.12_1",9.31586666666667
"113PS0076_8.22.12_1",9.31586666666667
"113PS0120_9.14.10_1",11.4718666666667
"113PS0168_7.6.11_1",8.4921
"113PS0216_9.3.13_1",16.2325
"113PS0232_9.4.13_1",9.5413
"113PS0232_9.4.13_2",9.5413
"113PS0268_6.11.14_1",8.84513333333333
"114AU7778_6.21.10_1",6.48107142857143
"114FCA199_8.1.13_1",7.9512
"114GV3469_7.5.11_1",9.6934
"114GV5331_7.6.11_1",10.2022095238095
"114MA2364_7.6.10_1",9.62950952380952
"114MRCURX_6.24.08_1",9.68773333333333
"114PS0088_8.19.09_1",12.0497
"114PS0209_6.10.13_1",10.0117380952381
"114PS0229_6.4.13_1",8.45916666666666
"114WER118_8.20.08_1",6.94103333333334
"115SALG01_6.30.10_1",11.0184
"115SC6093_7.7.11_1",9.93501428571428
"115SC6093_7.7.11_2",9.93501428571428
"201LAG190_10.6.08_1",12.5653
"201LAG380_7.14.09_1",7.4398
"201RDW080_4.29.09_1",14.9529285714286
"201RDW080_5.7.08_1",14.9529285714286
"201RDW080_6.2.10_1",14.9529285714286
"201RDW080_6.23.08_1",14.9529285714286
"201RDW080_6.3.09_1",14.9529285714286
"201RDW080_6.3.09_2",14.9529285714286
"201RDW080_8.11.09_1",14.9529285714286
"201RDW080_8.12.08_1",14.9529285714286
"202LAH950_6.13.12_1",10.9926238095238
"202MIC150_5.7.14_1",12.8411333333333
"202PES162_4.27.09_1",9.84486666666667
"202PES162_5.1.08_1",9.84486666666667
"202PES162_6.16.09_1",9.84486666666667
"202PES162_6.18.08_1",9.84486666666667
"202PES162_6.7.10_1",9.84486666666667
"202PES162_8.17.09_1",9.84486666666667
"202PES162_9.10.08_1",9.84486666666667
"202PES162_9.10.08_2",9.84486666666667
"202PS0246_6.5.13_1",12.8411333333333
"202R00248_5.23.13_1",10.9999857142857
"202R00248_5.23.13_2",10.9999857142857
"202TUN600_5.12.14_1",11.5457
"203R00983_6.6.13_1",12.4208333333333
"204ALA320_6.17.13_1",14.9911
