"","Predicted"
"102PS0177_8.28.12_1",6.113
"103CDCHHR_9.14.10_1",5.03049523809524
"103STCNSR_8.9.11_1",3.31551428571429
"103WER026_8.15.12_1",6.12430952380953
"103WER029_7.16.14_1",4.77282857142857
"103WER030_8.10.11_1",3.17878095238095
"105BVCAGC_9.21.10_1",5.90896666666666
"105CE0329_7.23.14_1",5.43116666666667
"105CLCATC_8.10.10_1",5.98193333333333
"105DLCDCC_10.20.09_1",5.27243333333333
"105FCA116_7.16.13_1",4.58363333333333
"105FS0416_9.24.13_1",7.32243333333333
"105FS0425_8.10.11_1",6.89273333333333
"105FS0428_8.3.11_1",5.24733333333333
"105NWC151_6.26.13_1",19.9099
"105PS0043_9.17.08_1",7.62706666666667
"105PS0083_9.8.09_1",10.9337428571429
"105PS0090_8.7.12_1",5.8228
"105PS0097_7.22.14_1",5.53133333333334
"105PS0154_8.9.11_1",5.8553
"105PS0195_8.7.12_1",4.7416
"105PS0259_9.17.13_1",8.64393333333333
"105PS0267_7.21.14_1",12.1776333333333
"105PS0468_9.1.09_1",16.2440666666667
"105PS0540_9.15.10_1",8.12274761904762
"105PS1492_8.6.14_1",17.0580666666667
"105WE0598_7.24.14_1",4.07223333333333
"105WLC135_6.26.13_1",17.4391333333333
"105WLCABC_8.3.11_1",6.6879380952381
"106FS0040_8.30.11_1",6.6861
"106PS0115_9.21.10_1",6.85743333333333
"106PS0124_8.16.10_1",6.54646666666666
"106PS0166_8.2.11_1",6.05226666666667
"106WE0505_7.21.14_1",6.3361
"106WER011_9.11.13_1",8.57153333333333
"107PS0021_7.14.14_1",6.11867619047619
"107WER092_8.27.12_1",8.06470000000001
"111BBRBCC_9.23.09_1",5.7269
"111CBCAER_8.8.13_1",12.0146357142857
"111ERATRC_10.10.12_1",8.02656666666666
"111FS0001_7.5.11_1",8.63853333333333
"111FS0008_7.19.12_1",10.5939
"111HSCAER_7.26.11_1",9.02813333333334
"111PS0060_10.7.08_1",6.29683333333333
"111PS0110_6.9.14_1",6.2408
"111PS0144_8.18.10_1",8.4912
"111PS0160_7.25.11_1",5.53193333333334
"111PS0204_8.17.10_1",6.8225
"111RSCAER_8.8.11_1",5.40873333333333
"111TGCAER_7.24.12_1",5.62026666666667
"111WE0816_6.12.13_1",6.08966666666667
"111WE1050_6.12.13_1",8.13642619047619
"111WE1071_7.26.12_1",8.13642619047619
"111WER003_6.10.14_1",5.71906666666666
"111WER008_7.23.12_1",5.95656666666667
"111WER159_10.19.09_1",4.2816
"113RG8046_8.19.10_1",14.1344
"114CE0131_7.31.12_1",15.8894
"114PS0145_6.20.11_1",10.4278333333333
"114WE0614_7.9.12_1",13.4332
"115EBAG01_7.1.10_1",12.6499095238095
"201AHO350_6.20.12_1",10.3712333333333
"201CHE300_6.18.12_1",12.8057333333333
"201LAG335_7.15.09_1",7.0078
"201MRS020_9.13.10_1",10.7388666666667
"202BUT030_6.29.10_1",13.2057380952381
"202BUT040_6.4.14_1",9.05103333333333
"202BUT050_6.16.09_1",8.59045714285715
"202BUT480_6.25.12_1",9.11512380952381
"202BUT600_6.26.12_1",10.2775428571429
"202DRY010_6.5.13_1",9.98684761904762
"202PES168_6.6.13_1",8.72353333333333
"202R00024_6.6.12_1",10.4573666666667
"202R00280_5.22.13_1",11.5470063492063
"204AHOACR_6.2.14_1",10.3433333333333
"204ALA500_6.10.13_1",13.1788333333333
"204ARH090_6.2.14_1",19.8513753968254
"204IND200_5.25.10_1",11.7462666666667
"204R00189_5.6.13_1",17.1057706349206
"204SIN300_5.15.12_1",13.1325666666667
"204VAL400_5.19.14_1",14.4775333333333
"205AAG375_5.14.14_1",13.3621
"205AAG400_6.5.12_1",11.7521666666667
"205COY585_5.28.13_1",16.0919396825397
"205COY610_6.3.10_1",13.2019571428571
"205COY615_6.3.14_1",18.2500611111111
"205COY853_5.29.14_1",19.4448420634921
"205COY900_5.16.12_1",16.0388666666667
"205COY930_5.7.13_1",13.1157
"205CYCAHH_6.10.08_1",14.4185
"205CYCBBC_6.28.10_1",13.2019571428571
"205LGA700_5.23.12_1",10.1171333333333
"205R00021_5.16.12_1",13.427
"205R00182_5.7.13_1",12.8941
"205WUN450_6.11.12_1",10.5022
"205WUN550_5.6.13_1",8.83316666666667
"206HCT020_5.29.12_1",9.62809999999999
"206RCCBDC_7.20.10_1",9.10493333333334
"206TUL120_6.13.11_1",9.861
"207GVC800_5.23.13_1",12.2705333333333
"207SUI800_5.5.14_1",13.9284333333333
"304WDCAH1_6.29.10_1",12.2086
"305LGCACR_7.16.08_1",12.7111333333333
"305LGCBRC_6.30.10_1",12.228
"305SSCAUC_6.29.10_1",9.13200952380952
"305UVCASC_6.29.10_1",9.06474285714285
"307CE0094_6.12.12_1",11.9211333333333
"307SCCARR_6.21.10_1",10.9329857142857
"308BSU_7.13.10_1",10.3728166666667
"308LILPAL_6.20.12_1",12.3416428571429
"308PWCAH1_6.22.10_1",9.14586666666667
"308SAM_6.23.10_1",9.21270000000001
"308SANWIL_6.12.12_1",17.3218238095238
"308SBCAH1_6.21.10_1",13.0712761904762
"309ARSARC_6.23.10_1",10.1130619047619
"309CAW126_5.21.14_1",8.46646666666667
"309NAF_5.24.12_1",11.7901333333333
"309WLCATC_6.22.10_1",10.5570857142857
"310COO_6.24.10_1",10.1456333333333
"310LPCBPC_6.9.09_1",10.0900333333333
"312DAVDAV_6.7.12_1",14.4694777777778
"312MZCDBC_5.13.14_1",11.4777666666667
"312RYCALR_6.16.10_1",12.5917666666667
"402BA0287_6.9.08_1",14.3280952380952
"402M00005_6.11.15_1",15.2067380952381
"402MTCUNF_6.5.12_1",12.9261666666667
"402PS0048_5.21.08_1",12.8883047619048
"403BA0015_5.19.08_1",13.6174666666667
"403BA0064_6.18.14_1",16.6124
"403BA0140_5.21.08_1",15.4633333333333
"403BA0171_5.19.08_1",13.2141
"403LNCASC_6.15.10_1",8.98473333333334
"403S00875_6.24.10_1",11.3381857142857
"403S01883_6.21.10_1",11.3932666666667
"403S03643_6.24.10_1",15.4484
"403S06315_6.27.12_1",13.2319666666667
"403STC064_6.8.11_1",11.2853666666667
"403STC086_6.21.11_1",10.4544666666667
"403WE0501_5.14.13_1",17.9082166666667
"403WE1027_5.14.14_1",8.18226666666667
"405BRCAMS_6.7.11_1",11.0299142857143
"405BRCASG_5.7.14_1",7.0194
"405BRCSGR_5.28.08_1",6.7012
"405SGRAAG_5.28.08_1",5.94543333333334
"405WER318_8.18.09_1",10.5125
"504DCFRxx_7.27.10_1",14.9111476190476
"504PS0227_8.12.09_1",12.4688
"504WE0527_7.2.13_1",14.9111476190476
"505BMCMCR_8.4.10_1",6.70933333333333
"505LBCAMR_8.7.13_1",6.87973333333333
"505PS0174_9.27.11_1",7.16533333333333
"506PS0062_9.15.08_1",7.21753333333333
"507MZCAML_7.17.12_1",9.6192
"509ACNFPP_9.25.14_1",7.62618174603174
"509ACSFPP_7.16.08_1",8.93905555555556
"509ATCINC_7.14.08_1",11.3206984126984
"509BSCADC_8.31.11_1",6.06076666666667
"509CBCADC_8.24.10_1",7.58763333333333
"509CTCADC_7.10.12_1",9.31856666666667
"509CWCPLR_7.7.08_1",12.3204285714286
"509FCA054_8.27.13_1",13.9468
"509ICPPCX_9.10.08_1",12.2896507936508
"509MLC145_8.6.13_1",12.4628
"509PCDTWR_9.3.08_1",11.5351523809524
"509PMC197_7.2.14_1",10.0859190476191
"509PS0085_9.7.11_1",8.16188333333333
"509PS0170_7.26.10_1",6.84383333333334
"509PS0234_8.15.11_1",14.7738666666667
"509PS0334_9.12.12_1",13.5426333333333
"513BTCACC_9.10.08_1",11.4112
"513PS0008_9.1.10_1",10.6489666666667
"513PS0200_7.30.12_1",13.6424380952381
"514BMCARC_9.27.11_1",7.22839523809524
"514BRUUPX_10.9.08_1",7.56409523809524
"514ICEUPx_8.13.14_1",6.60183333333333
"514LNCASC_8.30.11_1",6.1536
"514PCASMR_10.29.14_1",4.60053333333333
"514PS0131_7.28.14_1",10.7201666666667
"514SBCAMR_8.29.11_1",7.272
"514SCCAAR_7.24.08_1",7.3016
"514SFA222_7.28.14_1",7.62263333333333
"517LCCAYB_8.12.08_1",9.80776666666666
"517PS0054_7.28.10_1",6.82966666666667
"517PS0074_9.20.11_1",6.99413333333333
"518CHCANF_7.12.12_1",9.45824285714286
"518CPCRCR_8.20.14_1",6.74893333333333
"518GZCUPx_6.30.14_1",4.87106666666666
"518KNCAWC_8.15.11_1",6.12143333333333
"518MLC181_7.15.14_1",4.76063333333333
"518PS0033_6.29.09_1",8.80946666666666
"518PS0073_8.16.11_1",10.7130333333333
"518PS0093_9.24.12_1",10.8106333333333
"518PS0113_7.9.12_1",8.47593333333334
"518RCNAPC_8.18.14_1",5.9076
"518SDCAHR_6.12.13_1",12.349
"518SED086_8.17.11_1",6.2969
"518SNCABC_9.26.12_1",12.9873666666667
"518WE0521_6.19.13_1",7.69173333333333
"518WLCBWL_8.5.13_1",10.3188
"518YLCAFR_8.17.11_1",6.95903333333333
"522CE0027_6.9.14_1",7.67515714285714
"522MFSCRB_9.18.08_1",11.6506333333333
"523PS0172_8.10.11_1",12.0504023809524
"523TMCATG_10.5.09_1",10.6054523809524
"524PS0342_7.18.12_1",16.3583
"524PS0650_7.17.14_1",9.07286666666667
"526PS0072_8.7.14_1",7.91916666666667
"526PS0076_8.26.08_1",11.6925
"526PS0396_9.1.09_1",13.0000333333333
"526PS1100_8.21.12_1",11.3896
"526PS1144_8.22.12_1",19.1703333333333
