"","Predicted"
"103KLCMSR_9.14.10_1",4.18238095238095
"105PS0193_8.29.12_1",5.4326
"105PS0660_8.3.10_1",19.9099
"105TMCACC_8.10.10_1",6.55226666666667
"106MNCAHC_10.1.08_1",10.4708166666667
"106WE1079_8.8.12_1",6.7314
"106WER016_10.20.09_1",12.3131
"107LLM101_9.13.10_1",7.92330952380952
"111BGCAER_6.11.14_1",6.45986666666666
"111FS0007_7.11.11_1",7.28510476190477
"111PAL105_7.13.11_1",10.8766428571429
"202SPE090_6.15.09_1",13.4298
"205AAG075_6.12.13_1",13.1647238095238
"205COY850_5.21.12_1",12.9748333333333
"205SFC880_6.19.12_1",11.7661
"206BRC020_6.27.12_1",12.2991666666667
"207SUI290_6.4.12_1",12.265
"307CMRADC_5.20.14_1",9.40509047619048
"308LSRASC_7.18.11_1",10.6026833333333
"308MWCAH1_6.23.10_1",8.84109047619048
"308PS0156_6.19.12_1",9.8916
"308ROCBBQ_6.21.12_1",12.6566904761905
"309ARCBRC_8.25.08_1",11.6259
"309PS0116_6.16.11_1",14.5052904761905
"312PS0099_6.14.10_1",15.4655333333333
"315CHCALS_6.15.10_1",11.9993333333333
"402BA0095_5.29.08_1",12.4067
"402M00009_6.29.15_1",11.3030333333333
"403S00960_6.2.10_1",19.9139666666667
"403S01536_7.12.11_1",13.8349
"403WE0540_5.14.14_1",12.2863142857143
"403WE0683_5.15.13_1",12.1742
"505PS0110_9.16.10_1",7.00216666666666
"513CCNASC_7.16.14_1",10.976480952381
"513STCAIV_6.12.14_1",11.0261
"513UNCAKC_9.23.09_1",11.0269666666667
"514SSC190_9.11.14_1",7.086
"517FCA046_8.14.13_1",8.71329999999999
"518BTCASC_6.12.13_1",8.95393333333334
"518FCA075_8.12.13_1",10.9039333333333
"518SPC134_6.18.13_1",11.4447666666667
"522GSCBSC_9.24.09_1",10.5115666666667
"522PS0504_6.11.13_1",10.4025
"526PNCAMF_6.25.13_1",10.6858333333333
"526PS1420_6.25.13_1",8.29016666666666
"534MLC108_9.14.11_1",6.15603333333333
"536HLCBFM_6.18.13_1",9.64456666666667
"537TYCAML_7.16.08_1",6.50426666666666
"540SED003_8.30.11_1",5.81106666666667
"552DKC268_6.23.14_1",8.37233333333334
"552MFCAKR_6.11.08_1",14.4022333333333
"553KRNAYC_6.17.14_1",11.6987666666667
"554CLCALK_8.23.11_1",11.2686666666667
"603DDM005_9.13.11_1",9.77066666666667
"603FCA145_8.21.13_1",8.9518
"603PS0008_7.30.08_1",9.30106666666667
"603PS0075_8.15.12_1",8.58306666666666
"603PS0109_7.29.08_1",11.065
"603PS0557_8.18.10_1",14.3714
"603SPCBWC_7.22.08_1",8.36426666666667
"631DEP001_8.28.12_1",12.1703333333333
"631PS0033_8.30.10_1",10.9456
"632ELD001_9.8.11_1",10.6860333333333
"634CAT055_10.4.11_1",6.39166666666666
"634GRF001_10.3.11_1",13.3178904761905
"634HHCATC_10.4.11_1",8.82723333333333
"634PS0035_9.1.10_1",9.3156
"634PS0062_10.12.11_1",12.1444333333333
"634WSN001_10.4.11_1",11.9686
"636SAG001_7.12.10_1",14.8660571428571
"639PS1279_6.11.13_1",17.7760166666667
"641OWC157_7.24.13_1",8.12383333333333
"722NP7IDC_4.16.14_1",12.0445333333333
"801DRC025_6.25.14_1",13.5591666666667
"801S03488_5.7.14_1",8.95523333333334
"801WE0674_5.14.13_1",12.8778
"801WE1008_5.14.13_1",10.0401
"801WE1132_8.19.09_1",8.66336666666666
"901ATCAAS_6.5.08_1",16.96495
"901CSCADC_5.26.11_1",15.7094
"901S06969_5.31.12_1",12.5363666666667
"903WE0798_4.8.15_1",13.7905
"905BCC_6.11.14_1",13.9489333333333
"905S02561_5.25.11_1",16.2439666666667
"909JQCASR_6.1.11_1",15.1191761904762
"911S03354_5.5.09_1",13.5091666666667
"911TJIND2_5.8.08_1",13.5551666666667
"911TJLCC2_4.7.15_1",17.6155468253968
"SCFC1_6.12.08_1",17.0892333333333
"SCSS1_6.17.08_1",11.7729
"SMAD1_11.5.08_1",17.7901666666667
"SMC00135_6.7.10_1",8.22996666666667
"SMC01979_7.14.11_1",12.8921
"SMC02139_7.17.12_1",11.8127333333333
"SMC04204_7.11.12_1",10.620580952381
"SMC04383_5.19.14_1",14.3280952380952
"SMC06467_6.28.10_1",14.2540666666667
"SMC19809_6.25.13_1",15.8415333333333
