"","Predicted"
"102PS0139_8.9.10_1",1.56913333333333
"103FCA168_7.24.13_1",1.25015238095238
"103PS0217_9.10.13_1",1.25015238095238
"103RDCBCC_7.21.11_1",1.11883333333333
"105PS0028_8.12.08_1",2.46124285714286
"105PS0028_8.26.08_1",2.46124285714286
"105PS0067_8.24.09_1",1.20573333333333
"105PS0067_8.24.09_2",1.20573333333333
"105PS0067_9.15.09_1",1.20573333333333
"105PS0069_8.18.09_1",0.978504761904761
"105PS0092_8.11.08_1",1.36263333333333
"105PS0107_9.14.09_1",1.17367619047619
"105PS0129_8.11.10_1",1.35213333333333
"105PS0129_8.11.10_2",1.35213333333333
"105PS0149_8.29.12_1",0.919233333333333
"105PS0211_8.20.13_1",1.6834
"105PS0211_9.16.13_1",1.6834
"105PS0231_8.29.13_1",1.8034
"105PS0276_9.1.09_1",1.77863333333333
"105PS0276_9.22.09_1",1.77863333333333
"105PS0540_8.5.10_1",2.2398746031746
"105PS1148_9.18.12_1",3.30466190476191
"105PS1404_8.28.13_1",1.15353333333333
"105PS1404_8.28.13_2",1.15353333333333
"106FCA036_7.15.13_1",0.779466666666666
"106HLCACC_9.23.13_1",0.856366666666667
"106PS0022_9.30.08_1",1.18646666666667
"106PS0051_9.16.08_1",1.2152
"106PS0051_9.16.08_2",1.2152
"106PS0106_9.8.09_1",0.598533333333333
"106PS0106_9.8.09_2",0.598533333333333
"106PS0122_9.20.10_1",1.72816666666667
"106PS0142_7.19.10_1",1.71513333333333
"106PS0206_10.3.12_1",1.3183
"106PTCAHC_9.2.08_1",3.80116666666667
"107GWCAPC_9.15.10_1",2.3133
"107RWCBHW_8.3.11_1",0.998666666666667
"107RWCBHW_8.3.11_2",0.998666666666667
"108PS0197_8.16.12_1",1.08233333333333
"110PS0114_7.21.10_1",3.30866666666667
"110SMCATH_7.27.11_1",3.7029
"111CE0569_10.11.10_1",4.19986666666667
"111FCA207_7.23.13_1",2.41435238095238
"111PS0008_9.29.08_1",3.2757
"111PS0008_9.9.08_1",3.2757
"111PS0008_9.9.08_2",3.2757
"111PS0013_8.19.08_1",4.67552857142857
"111PS0095_8.27.09_1",2.96713333333333
"111PS0095_8.27.09_2",2.96713333333333
"111PS0121_7.20.10_1",3.9824
"111PS0159_7.14.11_1",2.48033333333333
"111PS0169_7.25.11_1",2.93893333333333
"111PS0169_7.25.11_2",2.93893333333333
"111PS0178_8.14.12_1",2.46366666666667
"111PS0237_9.12.13_1",1.02296666666667
"112PS0157_7.12.11_1",0.984966666666667
"113GAR011_8.22.11_1",4.7856
"113GAR011_9.1.10_1",4.7856
"113GAR015_8.23.11_1",2.80388253968254
"113GAR015_8.31.10_1",2.80388253968254
"113GAR015_9.9.13_1",2.80388253968254
"113GAR023_7.22.14_1",4.65086666666667
"113GAR023_8.5.13_1",4.65086666666667
"113GAR030_8.26.09_1",4.80219523809524
"113GAR030_8.26.09_2",4.80219523809524
"113GAR030_8.28.12_1",4.80219523809524
"113GAR042_9.10.13_1",3.42520476190476
"113GAR062_6.30.09_1",4.4511380952381
"113GAR062_8.27.12_1",4.4511380952381
"113GAR087_6.29.10_1",3.25583333333333
"113GAR087_8.6.13_1",3.25583333333333
"113GAR087_9.11.12_1",3.25583333333333
"113GAR087_9.11.12_2",3.25583333333333
"113GAR089_6.14.10_1",2.77973333333333
"113GAR089_6.20.11_1",2.77973333333333
"113GAR089_8.5.09_1",2.77973333333333
"113GAR105_6.14.10_1",3.2384
"113GAR105_6.20.11_1",3.2384
"113GAR105_8.4.09_1",3.2384
"113GAR112_6.15.10_1",3.08433333333333
"113GAR112_7.22.14_1",3.08433333333333
"113GAR112_8.22.11_1",3.08433333333333
"113GAR112_8.4.09_1",3.08433333333333
"113GAR112_8.4.09_2",3.08433333333333
"113GAR112_8.7.13_1",3.08433333333333
"113GAR118_7.26.10_1",3.53836190476191
"113GAR118_9.10.12_1",3.53836190476191
"113GAR178_6.21.11_1",4.4504619047619
"113GAR178_7.23.14_1",4.4504619047619
"113GAR178_8.31.10_1",4.4504619047619
"113GAR178_9.9.13_1",4.4504619047619
"113GAR178_9.9.13_2",4.4504619047619
"113GAR244_6.28.10_1",3.25992857142857
"113PS0012_9.9.08_1",3.43146666666667
"113PS0012_9.9.08_2",3.43146666666667
"113PS0076_8.2.12_1",3.29486666666667
"113PS0076_8.22.12_1",3.29486666666667
"113PS0120_9.14.10_1",3.8354380952381
"113PS0168_7.6.11_1",3.72496190476191
"113PS0216_9.3.13_1",4.43689523809524
"113PS0232_9.4.13_1",2.37566349206349
"113PS0232_9.4.13_2",2.37566349206349
"113PS0268_6.11.14_1",4.0527619047619
"114AU7778_6.21.10_1",3.73554523809524
"114FCA199_8.1.13_1",4.19978333333333
"114GV3469_7.5.11_1",4.43181587301587
"114GV5331_7.6.11_1",2.17834285714286
"114MA2364_7.6.10_1",3.32828333333333
"114MRCURX_6.24.08_1",5.5305
"114PS0088_8.19.09_1",2.74783333333333
"114PS0209_6.10.13_1",3.04376825396825
"114PS0229_6.4.13_1",3.51283333333333
"114WER118_8.20.08_1",4.50764444444445
"115SALG01_6.30.10_1",4.0387
"115SC6093_7.7.11_1",2.6721880952381
"115SC6093_7.7.11_2",2.6721880952381
"201LAG190_10.6.08_1",4.3991
"201LAG380_7.14.09_1",2.52093333333333
"201RDW080_4.29.09_1",3.22829682539683
"201RDW080_5.7.08_1",3.22829682539683
"201RDW080_6.2.10_1",3.22829682539683
"201RDW080_6.23.08_1",3.22829682539683
"201RDW080_6.3.09_1",3.22829682539683
"201RDW080_6.3.09_2",3.22829682539683
"201RDW080_8.11.09_1",3.22829682539683
"201RDW080_8.12.08_1",3.22829682539683
"202LAH950_6.13.12_1",3.2905
"202MIC150_5.7.14_1",2.32738333333333
"202PES162_4.27.09_1",4.10606666666667
"202PES162_5.1.08_1",4.10606666666667
"202PES162_6.16.09_1",4.10606666666667
"202PES162_6.18.08_1",4.10606666666667
"202PES162_6.7.10_1",4.10606666666667
"202PES162_8.17.09_1",4.10606666666667
"202PES162_9.10.08_1",4.10606666666667
"202PES162_9.10.08_2",4.10606666666667
"202PS0246_6.5.13_1",2.44026904761905
"202R00248_5.23.13_1",4.7567
"202R00248_5.23.13_2",4.7567
"202TUN600_5.12.14_1",3.05806666666667
"203R00983_6.6.13_1",3.85540952380953
"204ALA320_6.17.13_1",4.62924603174603
"204ALA382_6.11.13_1",1.96787142857143
"204ALA396_6.24.13_1",1.91910476190476
"204ALA410_5.8.13_1",1.99160476190476
"204ALA525_5.22.12_1",3.01695714285714
"204IND200_5.20.08_1",3.70117142857143
"204IND200_5.20.08_2",3.70117142857143
"204IND200_6.16.08_1",3.70117142857143
"204R00590_5.8.13_1",5.59447777777778
"204R00647_6.18.12_1",2.54512857142857
"204R00751_6.5.13_1",4.2698
"204R00751_6.5.13_2",4.2698
"204SLE150_5.9.13_1",3.89109523809524
"205COY140_6.17.09_1",2.84128888888889
"205GCAxxx_7.15.10_1",3.52107619047619
"205GCAxxx_7.15.10_2",3.52107619047619
"205PS0234_5.22.13_1",2.29661746031746
"205R00110_6.18.12_1",4.19546666666667
"205R00374_6.3.13_1",3.93260476190477
"205STE110_7.13.09_1",4.0050619047619
"206NAP700_6.21.12_1",2.40436666666667
"206PIN610_6.3.13_1",5.08963333333333
"206PIN825_5.22.13_1",4.89757619047619
"206R00407_4.24.14_1",5.46405952380952
"206RIC100_5.11.09_1",3.17073333333333
"206RIC100_5.2.08_1",3.17073333333333
"206RIC100_6.1.10_1",3.17073333333333
"206RIC100_6.17.09_1",3.17073333333333
"206RIC100_6.19.08_1",3.17073333333333
"206RIC100_8.12.09_1",3.17073333333333
"206RIC100_8.14.08_1",3.17073333333333
"206RIC100_8.2.11_1",3.17073333333333
"206SON160_9.6.11_1",2.41532063492064
"206SON300_7.14.09_1",2.63916666666667
"206SON300_8.10.11_1",2.63916666666667
"207MTD117_4.22.09_1",2.932
"207MTD117_5.24.10_1",2.932
"207MTD117_5.6.08_1",2.932
"207R00271_4.29.13_1",6.1244
"207SUI070_6.13.13_1",4.22029523809524
"207SUL200_5.28.14_1",4.45706666666667
"207WAL475_6.12.12_1",3.38413333333333
"207WHC634_5.29.13_1",2.1623
"207WHC634_5.29.13_2",2.1623
"304APS_7.6.11_1",1.771
"304PS0018_6.4.08_1",1.98289365079365
"304PS0194_6.18.12_1",3.89653333333333
"304PS0253_5.22.14_1",2.93322222222222
"304PS0253_6.5.14_1",2.93322222222222
"304SPC236_6.28.10_1",2.02323333333333
"305CLCSBR_6.11.08_1",1.99432936507937
"307PS0028_6.3.08_1",3.7625619047619
"307PS0044_6.8.09_1",3.8931
"308BGC_5.28.14_1",2.52193492063492
"308BGC_6.14.11_1",2.52193492063492
"308BGC_8.11.11_1",2.52193492063492
"308LIM_6.4.14_1",4.13599523809524
"308LIM_6.4.14_2",4.13599523809524
"308PS0204_5.21.13_1",3.39011904761905
"309ANT_5.24.12_1",3.27918412698413
"309CLCBVC_7.15.08_1",1.74456666666667
"309LAS1MI_6.13.12_1",2.01146666666667
"309LOR_5.29.12_1",2.67704761904762
"309PS0040_6.3.08_1",4.13266666666667
"309PS0043_6.10.09_1",3.5388
"309PS0043_7.8.09_1",3.5388
"309SAP_5.23.12_1",4.79499285714285
"309SARANF_8.26.08_1",4.01502857142857
"309SDCMCC_7.14.08_1",4.81371904761905
"309SEC_7.2.12_1",1.84573333333333
"309SED071_4.3.12_1",2.07813333333333
"309SED071_5.3.12_1",2.07813333333333
"309SED071_6.13.12_1",2.07813333333333
"309SED071_7.24.12_1",2.07813333333333
"309SED071_8.30.12_1",2.07813333333333
"310AGS_5.29.14_1",3.48873333333333
"310OLD_6.15.10_1",2.75824523809524
"310SSU_6.15.11_1",2.22533333333333
"310SSU_8.11.11_1",2.22533333333333
"312CAV_4.19.13_1",5.34539285714286
"312SIV_5.3.13_1",4.69286666666667
"313SAB_5.29.14_1",4.8306992063492
"314WE1102_6.12.12_1",5.6304
"315ARH101_6.14.10_1",5.3141
"402BA0031_5.28.08_1",5.16367619047619
"402BA0079_5.28.08_1",5.25283333333333
"402BA0143_5.21.08_1",5.21436666666667
"402BA0335_5.27.08_1",5.27443333333333
"402BA0335_5.27.08_2",5.27443333333333
"403BA0027_5.20.08_1",5.17194285714286
"403BA0027_6.18.14_1",5.17194285714286
"403BA0136_5.13.08_1",3.6397
"403BA0136_6.17.14_1",3.6397
"403BA0191_5.14.08_1",5.77384285714286
"403FCA022_5.29.13_1",4.84256587301587
"403M01505_6.29.15_1",5.5485
"403M01506_6.17.15_1",5.025
"403M05757_6.29.15_1",5.59986666666667
"403M05771_4.30.15_1",4.10521962481963
"403PRCAGH_6.2.11_1",4.08388629148629
"403S00640_6.11.09_1",4.98412597402598
"403S00640_6.11.09_2",4.98412597402598
"403S00772_5.20.09_1",6.38786666666667
"403S00831_6.10.10_1",3.36546428571428
"403S01136_6.13.11_1",3.3115
"403S01163_6.8.09_1",3.39023333333333
"403S01195_6.10.09_1",5.24454285714286
"403S01272_6.9.09_1",4.65230952380953
"403S01707_6.7.10_1",3.17873333333333
"403S01728_7.13.11_1",5.70411904761905
"403S02363_6.16.11_1",5.47466666666667
"403S02764_6.14.11_1",3.40558809523809
"403S04600_6.8.10_1",4.86477619047619
"403S05291_6.7.10_1",4.92573333333333
"403S06139_6.27.12_1",7.88383333333333
"403S06283_6.13.12_1",3.83229841269841
"403S06660_6.14.12_1",6.90926666666667
"403S06660_6.14.12_2",6.90926666666667
"403S06904_6.9.10_1",5.89536666666666
"403S07024_6.13.12_1",4.37840952380952
"403S07227_6.27.12_1",4.44093333333333
"403S15608_6.8.10_1",4.68677619047619
"403S16332_6.26.13_1",3.99266666666667
"403S16493_6.24.13_1",3.39103333333333
"403S16978_6.26.13_1",4.01196666666667
"403S18093_6.24.13_1",3.5241
"403S18093_6.24.13_2",3.5241
"404ARRSEQ_6.6.12_1",3.99732142857143
"404BA0104_6.18.08_1",2.43596666666667
"404BA0526_6.4.08_1",4.35548809523809
"404BA0616_6.3.08_1",3.89619523809524
"404BA0852_6.3.08_1",6.1818992063492
"404BA0964_6.4.08_1",3.91486666666667
"404BA1128_6.19.08_1",5.20223333333333
"404BA1128_6.3.14_1",5.20223333333333
"404BA1144_6.10.08_1",6.9698
"404BA1166_6.10.08_1",6.9698
"404BA1166_6.4.09_1",6.9698
"404S01128_6.23.10_1",5.20223333333333
"404S06456_5.14.09_1",5.86186666666667
"404S08846_6.22.10_1",4.86203333333333
"404S11406_5.11.09_1",3.95973333333333
"404S16168_6.23.10_1",4.08556666666667
"404S17266_5.19.09_1",5.267
"404S23297_6.19.13_1",4.37423333333333
"404S25298_6.20.12_1",3.33336428571428
"404S32468_6.26.12_1",5.40493333333334
"404S34230_6.19.13_1",5.8426
"404S35418_6.25.12_1",5.08663333333334
"404S35418_6.25.12_2",5.08663333333334
"404S45622_6.3.13_1",5.43046666666667
"404S45622_6.3.13_2",5.43046666666667
"404S45745_6.18.13_1",6.78186587301587
"404S48200_6.18.13_1",6.01043253968254
"405BH2Axx_6.16.10_1",2.4476
"405BH2Axx_6.16.10_2",2.4476
"405BH2Axx_6.16.10_3",2.4476
"405BH3Axx_6.17.10_1",1.31886666666667
"405BH3Axx_6.17.10_2",1.31886666666667
"405BH3Axx_6.17.10_3",1.31886666666667
"405BH3Cxx_6.17.10_1",2.0975
"405CE0280_7.6.15_1",2.01683333333333
"405PS0030_5.21.08_1",1.84493333333333
"405PS0030_7.8.15_1",1.84493333333333
"405PS0036_5.28.08_1",3.23765714285714
"405PS0036_5.28.08_2",3.23765714285714
"408BA0268_5.6.08_1",4.40233333333333
"408BA0660_5.6.08_1",5.65943333333333
"408BA0660_6.4.14_1",5.65943333333333
"412BH1Axx_6.15.10_1",2.59196666666667
"412BH1Axx_6.15.10_2",2.59196666666667
"412BH1Axx_6.15.10_3",2.59196666666667
"412BH4Axx_6.18.10_1",1.81993333333333
"412WE0552_8.26.15_1",3.17813333333334
"481S05856_6.13.13_1",1.25196666666667
"504PS0051_7.1.08_1",2.52931587301587
"504PS0083_6.17.09_1",4.68656666666667
"504PS0147_6.23.08_1",5.14107619047619
"504PS0574_6.6.13_1",1.68763333333333
"505PS0156_8.13.08_1",1.5197
"505PS0156_8.13.08_2",1.5197
"505PS0940_9.26.11_1",1.5673
"505PS1180_8.21.13_1",0.432366666666667
"505PS1180_8.7.13_1",0.432366666666667
"506PS0003_7.2.08_1",1.6904
"506PS0003_7.28.09_1",1.6904
"506PS0003_7.29.08_1",1.6904
"506PS0003_9.14.10_1",1.6904
"507BCSFBM_8.5.08_1",1.11145079365079
"507BTC269_8.12.14_1",0.985369841269842
"507DCABSF_10.22.14_1",1.36409523809524
"507DCBLLB_10.22.14_1",1.03053333333333
"507PS0122_6.29.09_1",1.436
"507PS0142_8.4.10_1",1.6353
"507PS0314_9.8.11_1",0.973266666666667
"507RCBLPF_10.21.14_1",0.9087
"508PS0042_7.2.08_1",1.83516666666667
"508PS0298_7.20.11_1",3.28301666666667
"508PS0298_7.20.11_2",3.28301666666667
"508PS0458_7.1.13_1",2.41306666666667
"509BCCBPW_5.21.09_1",1.0006
"509BCCBPW_6.10.09_1",1.0006
"509BCCBPW_7.9.09_1",1.0006
"509BCCBPW_8.10.09_1",1.0006
