"","Predicted"
"102PS0177_8.28.12_1",0.584233333333333
"103CDCHHR_9.14.10_1",1.22424126984127
"103STCNSR_8.9.11_1",0.421066666666667
"103WER026_8.15.12_1",0.726536507936508
"103WER029_7.16.14_1",1.22424126984127
"103WER030_8.10.11_1",0.3545
"105BVCAGC_9.21.10_1",0.388500072150072
"105CE0329_7.23.14_1",0.0880666666666666
"105CLCATC_8.10.10_1",0.4813
"105DLCDCC_10.20.09_1",1.50656666666667
"105FCA116_7.16.13_1",0.6070670995671
"105FS0416_9.24.13_1",0.9364
"105FS0425_8.10.11_1",0.3867
"105FS0428_8.3.11_1",0.6689
"105NWC151_6.26.13_1",2.14073333333333
"105PS0043_9.17.08_1",2.41743333333333
"105PS0083_9.8.09_1",0.591166666666667
"105PS0090_8.7.12_1",0.0860666666666666
"105PS0097_7.22.14_1",0.8467
"105PS0154_8.9.11_1",1.25823333333333
"105PS0195_8.7.12_1",0.238666666666667
"105PS0259_9.17.13_1",0.6971
"105PS0267_7.21.14_1",1.07403333333333
"105PS0468_9.1.09_1",2.14516666666667
"105PS0540_9.15.10_1",2.2398746031746
"105PS1492_8.6.14_1",2.24246666666667
"105WE0598_7.24.14_1",0.670066666666666
"105WLC135_6.26.13_1",2.35686666666667
"105WLCABC_8.3.11_1",2.35386666666667
"106FS0040_8.30.11_1",0.8356
"106PS0115_9.21.10_1",0.7031
"106PS0124_8.16.10_1",0.741371428571428
"106PS0166_8.2.11_1",1.17779047619048
"106WE0505_7.21.14_1",0.987466666666667
"106WER011_9.11.13_1",0.671466666666667
"107PS0021_7.14.14_1",1.22424126984127
"107WER092_8.27.12_1",2.3133
"111BBRBCC_9.23.09_1",1.41573333333333
"111CBCAER_8.8.13_1",0.96937619047619
"111ERATRC_10.10.12_1",1.21126666666667
"111FS0001_7.5.11_1",1.08233333333333
"111FS0008_7.19.12_1",1.68763333333333
"111HSCAER_7.26.11_1",1.75203333333333
"111PS0060_10.7.08_1",2.33213333333333
"111PS0110_6.9.14_1",0.7483
"111PS0144_8.18.10_1",2.1075
"111PS0160_7.25.11_1",1.47263333333333
"111PS0204_8.17.10_1",1.3827
"111RSCAER_8.8.11_1",0.3801
"111TGCAER_7.24.12_1",0.744133333333333
"111WE0816_6.12.13_1",0.534904761904762
"111WE1050_6.12.13_1",0.464442857142857
"111WE1071_7.26.12_1",0.518542857142857
"111WER003_6.10.14_1",0.566066666666667
"111WER008_7.23.12_1",0.6694
"111WER159_10.19.09_1",0.9184
"113RG8046_8.19.10_1",3.25992857142857
"114CE0131_7.31.12_1",5.00203333333333
"114PS0145_6.20.11_1",4.73004285714286
"114WE0614_7.9.12_1",2.89841666666667
"115EBAG01_7.1.10_1",5.35783333333333
"201AHO350_6.20.12_1",2.62573412698413
"201CHE300_6.18.12_1",4.77
"201LAG335_7.15.09_1",2.29564285714286
"201MRS020_9.13.10_1",2.3421
"202BUT030_6.29.10_1",3.9557619047619
"202BUT040_6.4.14_1",1.19386666666667
"202BUT050_6.16.09_1",1.97186984126984
"202BUT480_6.25.12_1",1.71890793650794
"202BUT600_6.26.12_1",1.95450793650794
"202DRY010_6.5.13_1",4.57643333333333
"202PES168_6.6.13_1",3.39316666666667
"202R00024_6.6.12_1",5.26223333333333
"202R00280_5.22.13_1",3.11481190476191
"204AHOACR_6.2.14_1",1.42382380952381
"204ALA500_6.10.13_1",3.00895714285714
"204ARH090_6.2.14_1",5.42025000000001
"204IND200_5.25.10_1",3.70117142857143
"204R00189_5.6.13_1",4.3189373015873
"204SIN300_5.15.12_1",3.51312380952381
"204VAL400_5.19.14_1",2.14419047619048
"205AAG375_5.14.14_1",3.79450952380953
"205AAG400_6.5.12_1",3.43504761904762
"205COY585_5.28.13_1",5.52175000000001
"205COY610_6.3.10_1",2.8353
"205COY615_6.3.14_1",6.3616761904762
"205COY853_5.29.14_1",4.27736111111111
"205COY900_5.16.12_1",3.37106666666667
"205COY930_5.7.13_1",3.95551428571429
"205CYCAHH_6.10.08_1",4.0757
"205CYCBBC_6.28.10_1",2.6451
"205LGA700_5.23.12_1",2.33567142857143
"205R00021_5.16.12_1",2.4357380952381
"205R00182_5.7.13_1",4.09527142857143
"205WUN450_6.11.12_1",1.96578333333333
"205WUN550_5.6.13_1",2.5349
"206HCT020_5.29.12_1",2.67026666666667
"206RCCBDC_7.20.10_1",2.56585238095238
"206TUL120_6.13.11_1",1.97086666666667
"207GVC800_5.23.13_1",2.43366666666667
"207SUI800_5.5.14_1",7.2019
"304WDCAH1_6.29.10_1",4.09432857142857
"305LGCACR_7.16.08_1",4.79814761904762
"305LGCBRC_6.30.10_1",3.43504761904762
"305SSCAUC_6.29.10_1",2.66224603174603
"305UVCASC_6.29.10_1",1.98436031746032
"307CE0094_6.12.12_1",2.70538015873016
"307SCCARR_6.21.10_1",4.29235634920635
"308BSU_7.13.10_1",3.16021904761905
"308LILPAL_6.20.12_1",2.4429
"308PWCAH1_6.22.10_1",2.25116666666667
"308SAM_6.23.10_1",2.66426666666667
"308SANWIL_6.12.12_1",4.28932301587302
"308SBCAH1_6.21.10_1",2.90057142857143
"309ARSARC_6.23.10_1",3.8623126984127
"309CAW126_5.21.14_1",1.52786666666667
"309NAF_5.24.12_1",1.94283333333333
"309WLCATC_6.22.10_1",2.82041349206349
"310COO_6.24.10_1",3.31773333333333
"310LPCBPC_6.9.09_1",2.63783333333334
"312DAVDAV_6.7.12_1",6.2782
"312MZCDBC_5.13.14_1",3.37303333333333
"312RYCALR_6.16.10_1",4.25705952380952
"402BA0287_6.9.08_1",5.58753333333333
"402M00005_6.11.15_1",6.23983333333334
"402MTCUNF_6.5.12_1",4.52270476190476
"402PS0048_5.21.08_1",5.66086666666667
"403BA0015_5.19.08_1",4.16473333333333
"403BA0064_6.18.14_1",5.33075930735931
"403BA0140_5.21.08_1",8.92173333333333
"403BA0171_5.19.08_1",5.87980952380952
"403LNCASC_6.15.10_1",2.64762619047619
"403S00875_6.24.10_1",5.60170952380952
"403S01883_6.21.10_1",4.36302222222222
"403S03643_6.24.10_1",7.38297142857142
"403S06315_6.27.12_1",5.25686666666667
"403STC064_6.8.11_1",2.8942
"403STC086_6.21.11_1",4.6519
"403WE0501_5.14.13_1",4.8105
"403WE1027_5.14.14_1",1.6868
"405BRCAMS_6.7.11_1",2.68700476190476
"405BRCASG_5.7.14_1",0.791833333333333
"405BRCSGR_5.28.08_1",1.32843333333333
"405SGRAAG_5.28.08_1",1.27663333333333
"405WER318_8.18.09_1",1.65253333333333
"504DCFRxx_7.27.10_1",2.60884920634921
"504PS0227_8.12.09_1",2.43603333333333
"504WE0527_7.2.13_1",2.9720492063492
"505BMCMCR_8.4.10_1",1.0782
"505LBCAMR_8.7.13_1",1.12246666666667
"505PS0174_9.27.11_1",1.20263333333333
"506PS0062_9.15.08_1",1.1722
"507MZCAML_7.17.12_1",1.34973174603175
"509ACNFPP_9.25.14_1",1.35143333333333
"509ACSFPP_7.16.08_1",1.94823333333333
"509ATCINC_7.14.08_1",2.46616666666667
"509BSCADC_8.31.11_1",0.6657
"509CBCADC_8.24.10_1",1.38113333333333
"509CTCADC_7.10.12_1",1.03286666666667
"509CWCPLR_7.7.08_1",2.65911587301587
"509FCA054_8.27.13_1",2.44336666666666
"509ICPPCX_9.10.08_1",3.03978253968254
