"","Predicted"
"103KLCMSR_9.14.10_1",0.3557
"105PS0193_8.29.12_1",0.3294
"105PS0660_8.3.10_1",2.14073333333333
"105TMCACC_8.10.10_1",1.8981
"106MNCAHC_10.1.08_1",2.16023333333333
"106WE1079_8.8.12_1",1.72013333333333
"106WER016_10.20.09_1",2.4973
"107LLM101_9.13.10_1",1.22424126984127
"111BGCAER_6.11.14_1",0.8356
"111FS0007_7.11.11_1",3.53056666666667
"111PAL105_7.13.11_1",3.91583333333333
"202SPE090_6.15.09_1",4.26256666666667
"205AAG075_6.12.13_1",2.22094126984127
"205COY850_5.21.12_1",1.66733333333333
"205SFC880_6.19.12_1",2.99219841269841
"206BRC020_6.27.12_1",5.08813333333333
"207SUI290_6.4.12_1",3.58151746031746
"307CMRADC_5.20.14_1",2.5141
"308LSRASC_7.18.11_1",3.70565238095238
"308MWCAH1_6.23.10_1",2.98279761904762
"308PS0156_6.19.12_1",3.05506666666667
"308ROCBBQ_6.21.12_1",2.14595714285714
"309ARCBRC_8.25.08_1",2.11933333333333
"309PS0116_6.16.11_1",3.21922857142857
"312PS0099_6.14.10_1",4.9263
"315CHCALS_6.15.10_1",5.4449
"402BA0095_5.29.08_1",5.09587142857143
"402M00009_6.29.15_1",6.1121
"403S00960_6.2.10_1",6.04352380952381
"403S01536_7.12.11_1",2.94046666666666
"403WE0540_5.14.14_1",5.15657619047619
"403WE0683_5.15.13_1",5.88853333333333
"505PS0110_9.16.10_1",1.17386666666667
"513CCNASC_7.16.14_1",3.30366666666667
"513STCAIV_6.12.14_1",2.4476
"513UNCAKC_9.23.09_1",2.4476
"514SSC190_9.11.14_1",1.02444523809524
"517FCA046_8.14.13_1",1.2344
"518BTCASC_6.12.13_1",1.04726666666667
"518FCA075_8.12.13_1",1.53753333333333
"518SPC134_6.18.13_1",1.55763333333333
"522GSCBSC_9.24.09_1",2.0473
"522PS0504_6.11.13_1",2.5408
"526PNCAMF_6.25.13_1",0.745576190476191
"526PS1420_6.25.13_1",1.42083333333333
"534MLC108_9.14.11_1",1.12963174603175
"536HLCBFM_6.18.13_1",0.313
"537TYCAML_7.16.08_1",0.198066666666667
"540SED003_8.30.11_1",0.410742857142857
"552DKC268_6.23.14_1",1.11763571428571
"552MFCAKR_6.11.08_1",3.72216190476191
"553KRNAYC_6.17.14_1",3.52539761904762
"554CLCALK_8.23.11_1",0.77166507936508
"603DDM005_9.13.11_1",1.13013333333333
"603FCA145_8.21.13_1",0.872611111111111
"603PS0008_7.30.08_1",0.1854
"603PS0075_8.15.12_1",2.67783333333333
"603PS0109_7.29.08_1",1.80100952380952
"603PS0557_8.18.10_1",1.76353333333333
"603SPCBWC_7.22.08_1",0.949333333333333
"631DEP001_8.28.12_1",2.84413333333333
"631PS0033_8.30.10_1",1.34973174603175
"632ELD001_9.8.11_1",2.01646666666667
"634CAT055_10.4.11_1",0.579898412698413
"634GRF001_10.3.11_1",0.6302
"634HHCATC_10.4.11_1",0.798566666666667
"634PS0035_9.1.10_1",0.462511904761905
"634PS0062_10.12.11_1",1.46627777777778
"634WSN001_10.4.11_1",1.28063333333333
"636SAG001_7.12.10_1",2.7276
"639PS1279_6.11.13_1",2.34109047619048
"641OWC157_7.24.13_1",0.0810666666666666
"722NP7IDC_4.16.14_1",6.29939920634921
"801DRC025_6.25.14_1",1.8344
"801S03488_5.7.14_1",2.67606666666667
"801WE0674_5.14.13_1",1.71566666666667
"801WE1008_5.14.13_1",1.25586666666667
"801WE1132_8.19.09_1",2.16056666666667
"901ATCAAS_6.5.08_1",4.38237619047619
"901CSCADC_5.26.11_1",2.77696666666667
"901S06969_5.31.12_1",4.9113992063492
"903WE0798_4.8.15_1",2.97040476190476
"905BCC_6.11.14_1",6.27691486291486
"905S02561_5.25.11_1",5.43356666666667
"909JQCASR_6.1.11_1",1.87553333333333
"911S03354_5.5.09_1",4.12719523809524
"911TJIND2_5.8.08_1",5.0981
"911TJLCC2_4.7.15_1",3.44624444444445
"SCFC1_6.12.08_1",4.05353333333333
"SCSS1_6.17.08_1",5.59604285714286
"SMAD1_11.5.08_1",6.1674
"SMC00135_6.7.10_1",2.15953333333333
"SMC01979_7.14.11_1",5.77804285714286
"SMC02139_7.17.12_1",4.07995295815296
"SMC04204_7.11.12_1",2.49548333333333
"SMC04383_5.19.14_1",5.58753333333333
"SMC06467_6.28.10_1",3.43768809523809
"SMC19809_6.25.13_1",8.02943333333333
