"","Predicted"
"105PS0188_8.26.08_1",1.32186666666667
"105PS0188_8.26.08_2",1.32186666666667
"106FC1183_7.24.14_1",1.27843333333333
"106FC1313_7.23.14_1",1.0291
"106PS0078_8.26.09_1",1.69016666666667
"106PS0173_8.4.11_1",1.33013333333333
"106PS0186_9.26.12_1",1.10263333333333
"109PS0162_7.20.11_1",3.2348
"110ECSLSF_7.26.11_1",3.28663333333333
"110FCA102_7.25.13_1",3.28906666666667
"111CR1012_8.18.14_1",2.52303333333333
"111PS0057_8.18.08_1",3.88766666666667
"113GAR010_6.8.09_1",3.1259619047619
"113GAR010_8.27.12_1",3.1259619047619
"113GAR038_6.8.09_1",3.53046190476191
"113GAR038_9.10.12_1",3.53046190476191
"113GAR046_6.18.12_1",5.23789523809524
"113GAR046_6.8.09_1",5.23789523809524
"113GAR046_9.2.14_1",5.23789523809524
"113GAR061_6.19.12_1",5.0015619047619
"113GAR061_7.1.09_1",5.0015619047619
"113GAR061_9.3.14_1",5.0015619047619
"113GAR061_9.3.14_2",5.0015619047619
"113GAR084_6.28.10_1",4.0869
"113GAR094_7.27.10_1",4.80769523809524
"113GAR094_7.27.10_2",4.80769523809524
"113GAR110_6.18.12_1",3.99496190476191
"113GAR110_6.30.09_1",3.99496190476191
"113GAR110_9.2.14_1",3.99496190476191
"113PS0084_8.18.09_1",2.39269523809524
"113PS0100_8.25.09_1",3.5576619047619
"113PS0132_9.15.10_1",2.35269523809524
"113PS0196_8.1.12_1",3.00592857142857
"114CR0903_8.26.13_1",4.76803333333333
"114CR0903_9.25.13_1",4.76803333333333
"114PS0149_7.10.12_1",2.70346666666667
"114PS0152_7.7.11_1",2.1623
"114PS0152_8.18.11_1",2.1623
"114RR1041_10.10.11_1",3.70276666666667
"114RR1041_10.25.11_1",3.70276666666667
"114RR1041_10.25.11_2",3.70276666666667
"114RR1041_8.2.11_1",3.70276666666667
"114RR1041_9.7.11_1",3.70276666666667
"114RR1310_6.2.11_1",3.5041
"114RR1599_10.10.11_1",3.36246666666667
"114RR1599_10.25.11_1",3.36246666666667
"114RR1599_6.2.11_1",3.36246666666667
"114RR1599_6.27.11_1",3.36246666666667
"114RR1599_8.2.11_1",3.36246666666667
"114RR1599_8.2.11_2",3.36246666666667
"114RR1599_9.7.11_1",3.36246666666667
"114RR2678_10.11.11_1",4.94465238095238
