"","Predicted"
"102PS0139_8.9.10_1",2.9193
"103FCA168_7.24.13_1",0.786742857142857
"103PS0217_9.10.13_1",1.38220952380952
"103RDCBCC_7.21.11_1",1.5266
"105PS0028_8.12.08_1",5.3889
"105PS0028_8.26.08_1",5.3889
"105PS0067_8.24.09_1",3.19593333333333
"105PS0067_8.24.09_2",3.19593333333333
"105PS0067_9.15.09_1",3.19593333333333
"105PS0069_8.18.09_1",1.21400952380952
"105PS0092_8.11.08_1",4.36656666666667
"105PS0107_9.14.09_1",2.8502
"105PS0129_8.11.10_1",1.6166
"105PS0129_8.11.10_2",1.6166
"105PS0149_8.29.12_1",1.24026666666667
"105PS0211_8.20.13_1",3.76216666666666
"105PS0211_9.16.13_1",3.76216666666666
"105PS0231_8.29.13_1",3.0452
"105PS0276_9.1.09_1",7.45913333333333
"105PS0276_9.22.09_1",7.45913333333333
"105PS0540_8.5.10_1",3.08278571428571
"105PS1148_9.18.12_1",6.3788
"105PS1404_8.28.13_1",5.0009
"105PS1404_8.28.13_2",5.0009
"106FCA036_7.15.13_1",4.867
"106HLCACC_9.23.13_1",2.4918
"106PS0022_9.30.08_1",0.4644
"106PS0051_9.16.08_1",4.15543333333333
"106PS0051_9.16.08_2",4.15543333333333
"106PS0106_9.8.09_1",3.1732
"106PS0106_9.8.09_2",3.1732
"106PS0122_9.20.10_1",2.22823333333333
"106PS0142_7.19.10_1",1.61513333333333
"106PS0206_10.3.12_1",3.61526666666666
"106PTCAHC_9.2.08_1",3.23766666666667
"107GWCAPC_9.15.10_1",2.07626666666667
"107RWCBHW_8.3.11_1",2.0794
"107RWCBHW_8.3.11_2",2.0794
"108PS0197_8.16.12_1",1.93116666666667
"110PS0114_7.21.10_1",3.0077
"110SMCATH_7.27.11_1",2.4357
"111CE0569_10.11.10_1",6.1463
"111FCA207_7.23.13_1",3.90526666666667
"111PS0008_9.29.08_1",4.17176666666667
"111PS0008_9.9.08_1",4.17176666666667
"111PS0008_9.9.08_2",4.17176666666667
"111PS0013_8.19.08_1",3.15110952380953
"111PS0095_8.27.09_1",3.7727
"111PS0095_8.27.09_2",3.7727
"111PS0121_7.20.10_1",6.1782
"111PS0159_7.14.11_1",1.89863333333333
"111PS0169_7.25.11_1",6.60953333333334
"111PS0169_7.25.11_2",6.60953333333334
"111PS0178_8.14.12_1",2.99674285714286
"111PS0237_9.12.13_1",2.8798
"112PS0157_7.12.11_1",2.0057
