"","Predicted"
"102PS0177_8.28.12_1",1.50233333333333
"103CDCHHR_9.14.10_1",1.15937619047619
"103STCNSR_8.9.11_1",1.05753333333333
"103WER026_8.15.12_1",2.3659
"103WER029_7.16.14_1",0.87307619047619
"103WER030_8.10.11_1",1.1774
"105BVCAGC_9.21.10_1",0.713533333333334
"105CE0329_7.23.14_1",0.570966666666667
"105CLCATC_8.10.10_1",2.3861
"105DLCDCC_10.20.09_1",2.09766666666667
"105FCA116_7.16.13_1",0.458366666666667
"105FS0416_9.24.13_1",3.367
"105FS0425_8.10.11_1",1.22403333333333
"105FS0428_8.3.11_1",2.25773333333333
"105NWC151_6.26.13_1",7.10543333333333
"105PS0043_9.17.08_1",2.56856666666667
"105PS0083_9.8.09_1",2.91576666666667
"105PS0090_8.7.12_1",0.729566666666667
"105PS0097_7.22.14_1",0.493933333333333
"105PS0154_8.9.11_1",2.22736666666667
"105PS0195_8.7.12_1",1.39166666666667
"105PS0259_9.17.13_1",2.71056666666667
"105PS0267_7.21.14_1",2.64416666666667
"105PS0468_9.1.09_1",5.2507
"105PS0540_9.15.10_1",3.08278571428571
"105PS1492_8.6.14_1",7.39163333333333
"105WE0598_7.24.14_1",0.4444
"105WLC135_6.26.13_1",5.9196
"105WLCABC_8.3.11_1",2.80676666666667
"106FS0040_8.30.11_1",2.15286666666667
"106PS0115_9.21.10_1",1.568
"106PS0124_8.16.10_1",3.49016666666667
"106PS0166_8.2.11_1",2.49256666666667
"106WE0505_7.21.14_1",2.06586666666667
"106WER011_9.11.13_1",3.05715952380952
"107PS0021_7.14.14_1",0.773742857142857
"107WER092_8.27.12_1",2.2127
"111BBRBCC_9.23.09_1",3.25733333333333
"111CBCAER_8.8.13_1",1.58745
"111ERATRC_10.10.12_1",3.1886
"111FS0001_7.5.11_1",2.2302
"111FS0008_7.19.12_1",3.59743333333333
"111HSCAER_7.26.11_1",3.66573333333333
"111PS0060_10.7.08_1",2.05426666666667
"111PS0110_6.9.14_1",0.920366666666666
"111PS0144_8.18.10_1",3.03243333333333
"111PS0160_7.25.11_1",2.69783333333333
"111PS0204_8.17.10_1",1.02226666666667
"111RSCAER_8.8.11_1",1.82216666666667
"111TGCAER_7.24.12_1",1.0573
"111WE0816_6.12.13_1",4.2897
"111WE1050_6.12.13_1",2.70663571428571
"111WE1071_7.26.12_1",2.36083571428571
"111WER003_6.10.14_1",1.26563333333333
"111WER008_7.23.12_1",1.84383333333333
"111WER159_10.19.09_1",1.1439
"113RG8046_8.19.10_1",4.5134
"114CE0131_7.31.12_1",7.0833
"114PS0145_6.20.11_1",4.96783333333334
"114WE0614_7.9.12_1",6.5546
"115EBAG01_7.1.10_1",5.38806666666667
"201AHO350_6.20.12_1",2.79566666666667
"201CHE300_6.18.12_1",6.5997
"201LAG335_7.15.09_1",1.2762
"201MRS020_9.13.10_1",5.0374
"202BUT030_6.29.10_1",4.81836666666666
"202BUT040_6.4.14_1",1.67
"202BUT050_6.16.09_1",3.06123333333333
"202BUT480_6.25.12_1",2.42966666666667
"202BUT600_6.26.12_1",2.05596666666667
"202DRY010_6.5.13_1",8.45360000000001
"202PES168_6.6.13_1",3.8588
"202R00024_6.6.12_1",5.11373333333334
"202R00280_5.22.13_1",6.22483333333333
"204AHOACR_6.2.14_1",1.7451
"204ALA500_6.10.13_1",3.79517142857143
"204ARH090_6.2.14_1",6.55970952380952
"204IND200_5.25.10_1",2.50386666666667
"204R00189_5.6.13_1",5.98831190476191
"204SIN300_5.15.12_1",6.48295714285714
"204VAL400_5.19.14_1",3.75293333333333
"205AAG375_5.14.14_1",4.0325380952381
"205AAG400_6.5.12_1",3.2918380952381
"205COY585_5.28.13_1",6.24384285714286
"205COY610_6.3.10_1",2.4498
"205COY615_6.3.14_1",7.05025238095238
"205COY853_5.29.14_1",6.23344285714286
"205COY900_5.16.12_1",4.4178
"205COY930_5.7.13_1",5.57326666666667
"205CYCAHH_6.10.08_1",4.82066666666667
"205CYCBBC_6.28.10_1",2.2295
"205LGA700_5.23.12_1",2.38046666666667
"205R00021_5.16.12_1",4.1027
"205R00182_5.7.13_1",6.7376
"205WUN450_6.11.12_1",4.15743333333334
"205WUN550_5.6.13_1",3.85006666666667
"206HCT020_5.29.12_1",2.0016
"206RCCBDC_7.20.10_1",2.48703333333333
"206TUL120_6.13.11_1",2.9502
"207GVC800_5.23.13_1",4.10243333333334
"207SUI800_5.5.14_1",5.87876666666667
"304WDCAH1_6.29.10_1",3.5471
"305LGCACR_7.16.08_1",5.2519
"305LGCBRC_6.30.10_1",4.94903333333334
"305SSCAUC_6.29.10_1",2.24023333333333
"305UVCASC_6.29.10_1",2.9887
"307CE0094_6.12.12_1",3.63481428571429
"307SCCARR_6.21.10_1",4.07608333333333
"308BSU_7.13.10_1",1.92363333333333
"308LILPAL_6.20.12_1",4.6231
"308PWCAH1_6.22.10_1",2.95
"308SAM_6.23.10_1",2.81326666666667
"308SANWIL_6.12.12_1",4.38676666666667
"308SBCAH1_6.21.10_1",3.63481428571429
"309ARSARC_6.23.10_1",4.1059
"309CAW126_5.21.14_1",1.89243333333333
"309NAF_5.24.12_1",3.3023
"309WLCATC_6.22.10_1",2.95603095238095
"310COO_6.24.10_1",4.43953333333334
"310LPCBPC_6.9.09_1",4.04276666666667
"312DAVDAV_6.7.12_1",7.1718
"312MZCDBC_5.13.14_1",3.56496666666667
"312RYCALR_6.16.10_1",5.00309999999999
"402BA0287_6.9.08_1",6.7174
"402M00005_6.11.15_1",7.72036666666667
"402MTCUNF_6.5.12_1",6.4287
"402PS0048_5.21.08_1",6.6124
"403BA0015_5.19.08_1",7.05516666666667
"403BA0064_6.18.14_1",6.67543333333333
"403BA0140_5.21.08_1",7.1906
"403BA0171_5.19.08_1",7.54867063492063
"403LNCASC_6.15.10_1",2.98983333333333
"403S00875_6.24.10_1",6.83676111111111
"403S01883_6.21.10_1",3.12633333333333
"403S03643_6.24.10_1",10.111
"403S06315_6.27.12_1",8.76990000000001
"403STC064_6.8.11_1",3.06106666666666
"403STC086_6.21.11_1",5.77063333333333
"403WE0501_5.14.13_1",5.80111746031746
"403WE1027_5.14.14_1",1.9909
