"","Predicted"
"103KLCMSR_9.14.10_1",1.35863333333333
"105PS0193_8.29.12_1",1.5523
"105PS0660_8.3.10_1",7.09393333333333
"105TMCACC_8.10.10_1",1.68646666666667
"106MNCAHC_10.1.08_1",2.77613333333333
"106WE1079_8.8.12_1",2.6609
"106WER016_10.20.09_1",3.1078
"107LLM101_9.13.10_1",0.74647619047619
"111BGCAER_6.11.14_1",1.95383333333333
"111FS0007_7.11.11_1",4.18651666666667
"111PAL105_7.13.11_1",5.26336666666667
"202SPE090_6.15.09_1",4.67623333333333
"205AAG075_6.12.13_1",3.75293333333333
"205COY850_5.21.12_1",2.67236666666667
"205SFC880_6.19.12_1",3.54846666666667
"206BRC020_6.27.12_1",7.11670714285714
"207SUI290_6.4.12_1",6.68113333333333
"307CMRADC_5.20.14_1",3.47853333333333
"308LSRASC_7.18.11_1",2.90123333333333
"308MWCAH1_6.23.10_1",3.43581666666667
"308PS0156_6.19.12_1",2.81326666666667
"308ROCBBQ_6.21.12_1",2.75356904761905
"309ARCBRC_8.25.08_1",4.18913333333333
"309PS0116_6.16.11_1",6.6127
"312PS0099_6.14.10_1",5.34013333333334
"315CHCALS_6.15.10_1",2.95886666666667
"402BA0095_5.29.08_1",7.76243333333334
"402M00009_6.29.15_1",5.38766666666667
"403S00960_6.2.10_1",6.94186666666667
"403S01536_7.12.11_1",4.45353333333334
"403WE0540_5.14.14_1",9.36093333333334
"403WE0683_5.15.13_1",4.73095714285714
"505PS0110_9.16.10_1",1.5149
"513CCNASC_7.16.14_1",3.10833333333333
"513STCAIV_6.12.14_1",4.6787
"513UNCAKC_9.23.09_1",6.09653333333333
"514SSC190_9.11.14_1",3.42296666666667
"517FCA046_8.14.13_1",2.2837
"518BTCASC_6.12.13_1",3.28373333333333
"518FCA075_8.12.13_1",3.23326666666667
"518SPC134_6.18.13_1",5.30946666666667
"522GSCBSC_9.24.09_1",3.46556666666667
"522PS0504_6.11.13_1",3.65630952380952
"526PNCAMF_6.25.13_1",4.73133333333333
"526PS1420_6.25.13_1",4.6445
"534MLC108_9.14.11_1",2.6947
"536HLCBFM_6.18.13_1",3.47977619047619
"537TYCAML_7.16.08_1",0.933033333333333
"540SED003_8.30.11_1",1.31023333333333
"552DKC268_6.23.14_1",1.49
"552MFCAKR_6.11.08_1",6.94133333333333
"553KRNAYC_6.17.14_1",5.5781
"554CLCALK_8.23.11_1",3.9362
"603DDM005_9.13.11_1",3.46306666666667
"603FCA145_8.21.13_1",2.8588
"603PS0008_7.30.08_1",1.83016666666667
"603PS0075_8.15.12_1",2.11256666666667
"603PS0109_7.29.08_1",4.00783333333333
"603PS0557_8.18.10_1",4.09663333333333
"603SPCBWC_7.22.08_1",2.3226
"631DEP001_8.28.12_1",5.2353
"631PS0033_8.30.10_1",2.67673333333333
"632ELD001_9.8.11_1",3.26013333333333
"634CAT055_10.4.11_1",1.99173333333333
"634GRF001_10.3.11_1",2.60853333333333
"634HHCATC_10.4.11_1",2.6539
"634PS0035_9.1.10_1",1.83983333333333
"634PS0062_10.12.11_1",2.8827
"634WSN001_10.4.11_1",3.8218
"636SAG001_7.12.10_1",3.51003333333334
"639PS1279_6.11.13_1",2.85736666666667
"641OWC157_7.24.13_1",6.1058
"722NP7IDC_4.16.14_1",4.52283333333333
"801DRC025_6.25.14_1",3.9115
"801S03488_5.7.14_1",2.36326666666667
"801WE0674_5.14.13_1",3.22396666666667
"801WE1008_5.14.13_1",2.1143
"801WE1132_8.19.09_1",1.90633333333333
"901ATCAAS_6.5.08_1",6.04734047619048
"901CSCADC_5.26.11_1",4.3609
"901S06969_5.31.12_1",4.61206666666667
"903WE0798_4.8.15_1",6.5847
"905BCC_6.11.14_1",5.6307
"905S02561_5.25.11_1",6.28433333333333
"909JQCASR_6.1.11_1",3.94756666666667
"911S03354_5.5.09_1",6.1115
"911TJIND2_5.8.08_1",6.70853333333333
"911TJLCC2_4.7.15_1",3.5972
"SCFC1_6.12.08_1",4.86893333333333
"SCSS1_6.17.08_1",5.62544285714286
"SMAD1_11.5.08_1",6.28676666666667
"SMC00135_6.7.10_1",3.4904
"SMC01979_7.14.11_1",4.37805714285714
"SMC02139_7.17.12_1",3.53703333333333
"SMC04204_7.11.12_1",5.8139
"SMC04383_5.19.14_1",6.2499
"SMC06467_6.28.10_1",4.23593333333333
"SMC19809_6.25.13_1",7.83056666666667
