"","Predicted"
"105PS0188_8.26.08_1",6.45
"105PS0188_8.26.08_2",6.45
"106FC1183_7.24.14_1",1.9826
"106FC1313_7.23.14_1",3.73163333333333
"106PS0078_8.26.09_1",2.97873333333333
"106PS0173_8.4.11_1",1.56783333333333
"106PS0186_9.26.12_1",3.98406666666667
"109PS0162_7.20.11_1",2.86806666666667
"110ECSLSF_7.26.11_1",2.5134
"110FCA102_7.25.13_1",1.87606666666667
"111CR1012_8.18.14_1",4.7651
"111PS0057_8.18.08_1",3.20066666666667
"113GAR010_6.8.09_1",3.60523333333333
"113GAR010_8.27.12_1",3.60523333333333
"113GAR038_6.8.09_1",4.40343333333333
"113GAR038_9.10.12_1",4.40343333333333
"113GAR046_6.18.12_1",2.76770952380952
"113GAR046_6.8.09_1",2.76770952380952
"113GAR046_9.2.14_1",2.76770952380952
"113GAR061_6.19.12_1",2.85106666666667
"113GAR061_7.1.09_1",2.85106666666667
"113GAR061_9.3.14_1",2.85106666666667
"113GAR061_9.3.14_2",2.85106666666667
"113GAR084_6.28.10_1",3.94593333333333
"113GAR094_7.27.10_1",2.74517619047619
"113GAR094_7.27.10_2",2.74517619047619
"113GAR110_6.18.12_1",3.09773333333333
"113GAR110_6.30.09_1",3.09773333333333
"113GAR110_9.2.14_1",3.09773333333333
"113PS0084_8.18.09_1",3.51333333333333
"113PS0100_8.25.09_1",3.40616666666666
"113PS0132_9.15.10_1",5.1859
"113PS0196_8.1.12_1",4.8039
"114CR0903_8.26.13_1",3.63933333333333
"114CR0903_9.25.13_1",3.63933333333333
"114PS0149_7.10.12_1",2.7795
"114PS0152_7.7.11_1",2.9563
"114PS0152_8.18.11_1",2.9563
"114RR1041_10.10.11_1",2.6851
"114RR1041_10.25.11_1",2.6851
"114RR1041_10.25.11_2",2.6851
"114RR1041_8.2.11_1",2.6851
"114RR1041_9.7.11_1",2.6851
"114RR1310_6.2.11_1",2.6687
"114RR1599_10.10.11_1",3.27916666666667
"114RR1599_10.25.11_1",3.27916666666667
"114RR1599_6.2.11_1",3.27916666666667
"114RR1599_6.27.11_1",3.27916666666667
"114RR1599_8.2.11_1",3.27916666666667
"114RR1599_8.2.11_2",3.27916666666667
"114RR1599_9.7.11_1",3.27916666666667
"114RR2678_10.11.11_1",3.79173333333333
"114RR2678_10.24.11_1",3.79173333333333
"114RR2678_6.29.11_1",3.79173333333333
"114RR2678_8.1.11_1",3.79173333333333
"114RR2678_9.13.11_1",3.79173333333333
"114RR2769_6.1.11_1",3.79173333333333
"114RR2899_10.11.11_1",2.5511
"114RR2899_10.24.11_1",2.5511
"114RR2899_6.1.11_1",2.5511
"114RR2899_6.29.11_1",2.5511
"114RR2899_8.1.11_1",2.5511
"114RR2899_9.13.11_1",2.5511
"202BUT850_6.4.13_1",4.11246666666667
"202PS0134_5.31.11_1",8.34296666666667
"202R00087_5.30.12_1",5.731
"202R00284_6.15.12_1",8.63376666666667
"202R00908_5.21.13_1",5.6115
"203PS0070_7.19.10_1",4.0189
"203PS0070_9.7.10_1",4.0189
"203R00039_5.14.12_1",4.2297
"204ALP040_4.10.11_1",4.55838412698413
"204ALP040_6.29.11_1",4.55838412698413
"204ALP105_4.10.11_1",6.052
"204ALP151_4.10.11_1",5.2262
"204ALP151_6.29.11_1",5.2262
"204PS0038_6.19.08_1",4.97063333333333
"204PS0094_7.14.10_1",5.75965079365079
"204PS0102_6.15.11_1",4.97173333333333
"204PS0102_6.15.11_2",4.97173333333333
"204PS0102_8.10.11_1",4.97173333333333
"204PS0118_6.15.11_1",7.98115000000001
"204R00047_6.6.12_1",4.19693809523809
"204R00063_6.4.13_1",4.9351
"204R00068_5.31.12_1",6.4779
"204R00084_5.24.12_1",4.7451
"204R00100_5.30.12_1",5.82616507936508
"204R00180_5.30.12_1",5.68080952380953
"204R00191_5.29.12_1",6.41668174603174
"204R00200_5.31.12_1",6.05770952380952
"204R00232_6.12.12_1",6.51370952380952
"204R00232_6.12.12_2",6.51370952380952
"204R00244_6.12.12_1",6.50289603174603
"204R00303_6.14.12_1",6.40738174603174
"204R00319_6.7.12_1",5.27929047619048
"204R00319_6.7.12_2",5.27929047619048
"204R00327_5.7.13_1",6.20726507936508
"204R00334_5.8.13_1",6.42271507936508
"204R00340_6.11.12_1",4.72933333333333
"204R00356_5.30.12_1",5.69141507936508
"204R00356_6.4.12_1",5.69141507936508
"204R00367_6.12.12_1",4.95673333333333
"204R00383_6.11.12_1",3.9158
"204R00391_6.6.12_1",5.39836666666667
"204R00436_5.20.13_1",5.50117619047619
"204R00447_4.2.13_1",5.9183
"204R00447_4.22.13_1",5.9183
"204R00455_6.13.12_1",4.7324
"204R00473_5.9.13_1",6.25271507936508
"204R00473_5.9.13_2",6.25271507936508
"204R00520_5.28.13_1",6.90724682539683
"204R00583_6.13.12_1",3.93843333333333
"204R00596_5.31.12_1",6.18061507936508
"204R00623_6.3.13_1",5.29409047619048
"204R00639_6.19.12_1",4.724
"204R00680_5.28.13_1",5.62274285714286
"204R00724_5.21.13_1",4.79916666666667
"204R00807_5.21.13_1",6.53530000000001
"204R00852_5.6.13_1",6.13776666666667
"204R00884_5.20.13_1",8.25022698412699
"204R00967_4.25.13_1",5.1334
"204R01316_5.22.13_1",6.90724682539683
"204R01471_5.22.13_1",6.21593174603174
"205PS0045_6.17.09_1",3.18003333333333
"205PS0045_6.17.09_2",3.18003333333333
"205PS0074_7.14.10_1",9.08126666666667
"205PS0106_6.21.11_1",6.11673333333333
"205PS0109_6.21.11_1",5.67426666666667
"205PS0138_6.1.11_1",4.97923333333333
"205PS0157_6.19.12_1",4.39765
"205PS0170_6.19.12_1",5.20043333333333
"205PS0173_6.20.12_1",5.51116666666667
"205PS0173_6.20.12_2",5.51116666666667
"205PS0202_5.22.13_1",6.43906666666667
"205PS0202_7.17.13_1",6.43906666666667
"205PS0221_5.20.13_1",4.75746666666667
"205R00026_5.14.12_1",2.4602
"205R00035_5.24.12_1",4.71403333333333
"205R00035_5.24.12_2",4.71403333333333
"205R00042_5.21.12_1",6.51370952380952
"205R00067_6.3.12_1",4.08256666666667
"205R00088_6.4.12_1",6.57103333333333
"205R00090_5.23.12_1",5.30066666666667
"205R00099_5.17.12_1",3.80556666666667
"205R00115_6.5.12_1",7.82323333333334
"205R00131_6.3.12_1",4.97043333333333
"205R00154_5.22.12_1",5.7939
"205R00168_6.4.12_1",5.2176
"205R00174_4.23.13_1",5.8103
"205R00218_5.23.12_1",6.54887619047619
"205R00227_6.5.12_1",3.77490476190476
"205R00234_5.15.12_1",6.42553333333333
"205R00241_5.21.12_1",7.2273
"205R00259_6.14.12_1",6.73963333333333
"205R00282_5.22.12_1",5.03706666666667
"205R00291_6.13.12_1",6.04290952380952
"205R00346_6.14.12_1",6.83936666666666
"205R00346_6.14.12_2",6.83936666666666
"205R00355_6.13.12_1",3.85106666666667
"205R00387_6.6.13_1",5.8103
"205R00419_6.11.13_1",5.4883
"205R00430_6.5.12_1",5.02756666666667
"205R00451_6.5.13_1",4.37580476190476
"205R00474_5.9.13_1",6.54997619047619
"205R00535_6.20.12_1",4.94643333333333
"205R00535_6.20.12_2",4.94643333333333
"205R00538_5.8.13_1",6.6838
"205R00547_6.4.13_1",4.87626666666667
"205R00554_5.29.13_1",6.11173333333333
"205R00586_6.10.13_1",1.7695
"205R00602_6.3.13_1",6.08143333333333
"205R00627_6.4.13_1",5.2963
"205R00666_5.9.13_1",6.48954285714286
"205R00686_4.24.13_1",5.5023
"205R00707_6.5.13_1",4.70743333333333
"205R00707_6.5.13_2",4.70743333333333
"205R00714_6.10.13_1",2.1465
"205R00739_6.11.13_1",5.7151
"205R00771_6.6.13_1",6.7237
"205R00872_5.27.13_1",6.61176666666667
"205R00878_4.24.13_1",6.28226666666667
"205R00984_5.27.13_1",3.3279
"205R01134_5.20.13_1",4.71093333333333
"205R01198_5.20.13_1",5.34016666666667
"205R01390_5.23.13_1",5.7171
"205SAR057_5.13.09_1",5.552
"205SAR060_5.13.09_1",8.16416666666667
"205SAR070_5.14.09_1",5.34783333333333
"205SAR080_5.14.09_1",4.34476666666666
"206FCA155_7.31.13_1",5.04356666666667
"206HMC030_8.8.11_1",4.02776666666667
"206MIL020_8.23.11_1",5.28393333333333
"206NAP090_8.25.11_1",4.65803333333333
"206NAP150_8.29.11_1",5.335
"206NAP200_8.31.11_1",4.112
"206PS0054_6.15.09_1",4.9351
"206PS0073_7.20.10_1",4.78963333333333
"206PS0165_7.10.12_1",3.208
"206PS0230_6.5.13_1",4.9929
"206R00155_5.16.12_1",5.72725714285714
"206R00215_5.23.12_1",4.87776666666667
"206R00551_4.30.14_1",4.33325
"206R00727_5.13.13_1",4.48523333333333
"206R00919_5.15.14_1",4.58306666666666
"206RED032_8.16.11_1",3.89703333333333
"206SAL050_8.9.11_1",7.87380000000001
"206SON019_9.14.11_1",7.0371
"206SON050_9.12.11_1",5.3292
"206SON210_9.7.11_1",5.3706
"206TUL030_8.15.11_1",5.57783333333334
"207LPC025_5.13.14_1",4.8963
"207PS0142_6.1.11_1",3.9208
"207PS0150_6.13.12_1",4.02517142857143
"207PS0150_6.13.12_2",4.02517142857143
