"","Predicted"
"102PS0139_8.9.10_1",5.99336666666667
"103FCA168_7.24.13_1",3.72263333333334
"103PS0217_9.10.13_1",3.72263333333334
"103RDCBCC_7.21.11_1",4.6656
"105PS0028_8.12.08_1",3.50756666666667
"105PS0028_8.26.08_1",3.50756666666667
"105PS0067_8.24.09_1",4.28006666666667
"105PS0067_8.24.09_2",4.28006666666667
"105PS0067_9.15.09_1",4.28006666666667
"105PS0069_8.18.09_1",3.3461
"105PS0092_8.11.08_1",8.07619523809524
"105PS0107_9.14.09_1",9.50401666666666
"105PS0129_8.11.10_1",4.85746666666667
"105PS0129_8.11.10_2",4.85746666666667
"105PS0149_8.29.12_1",6.2884
"105PS0211_8.20.13_1",8.01053333333333
"105PS0211_9.16.13_1",8.01053333333333
"105PS0231_8.29.13_1",14.1793666666667
"105PS0276_9.1.09_1",10.4785666666667
"105PS0276_9.22.09_1",10.4785666666667
"105PS0540_8.5.10_1",5.479
"105PS1148_9.18.12_1",13.6196333333333
"105PS1404_8.28.13_1",9.00053333333334
"105PS1404_8.28.13_2",9.00053333333334
"106FCA036_7.15.13_1",7.42166666666667
"106HLCACC_9.23.13_1",6.2439
"106PS0022_9.30.08_1",4.43193333333333
"106PS0051_9.16.08_1",6.77466666666667
"106PS0051_9.16.08_2",6.77466666666667
"106PS0106_9.8.09_1",3.95756666666667
"106PS0106_9.8.09_2",3.95756666666667
"106PS0122_9.20.10_1",3.31403333333333
"106PS0142_7.19.10_1",3.81793333333333
"106PS0206_10.3.12_1",5.15793333333333
"106PTCAHC_9.2.08_1",10.8018333333333
"107GWCAPC_9.15.10_1",4.95213333333334
"107RWCBHW_8.3.11_1",5.0845
"107RWCBHW_8.3.11_2",5.0845
"108PS0197_8.16.12_1",4.3491
"110PS0114_7.21.10_1",6.23006666666667
"110SMCATH_7.27.11_1",5.10503333333333
"111CE0569_10.11.10_1",8.45306666666667
"111FCA207_7.23.13_1",6.24956666666667
"111PS0008_9.29.08_1",9.69050000000001
"111PS0008_9.9.08_1",9.69050000000001
"111PS0008_9.9.08_2",9.69050000000001
"111PS0013_8.19.08_1",5.81283333333333
"111PS0095_8.27.09_1",5.68913333333333
"111PS0095_8.27.09_2",5.68913333333333
"111PS0121_7.20.10_1",8.9665
"111PS0159_7.14.11_1",2.66443333333333
"111PS0169_7.25.11_1",9.58113333333334
"111PS0169_7.25.11_2",9.58113333333334
"111PS0178_8.14.12_1",2.6921
"111PS0237_9.12.13_1",6.8899
"112PS0157_7.12.11_1",4.21306666666667
"113GAR011_8.22.11_1",8.4237
"113GAR011_9.1.10_1",8.4237
"113GAR015_8.23.11_1",5.9898
"113GAR015_8.31.10_1",5.9898
"113GAR015_9.9.13_1",5.9898
"113GAR023_7.22.14_1",8.38806666666666
"113GAR023_8.5.13_1",8.38806666666666
"113GAR030_8.26.09_1",7.78263333333333
"113GAR030_8.26.09_2",7.78263333333333
"113GAR030_8.28.12_1",7.78263333333333
"113GAR042_9.10.13_1",7.40496666666667
"113GAR062_6.30.09_1",7.65376666666667
"113GAR062_8.27.12_1",7.65376666666667
"113GAR087_6.29.10_1",5.552
"113GAR087_8.6.13_1",5.552
"113GAR087_9.11.12_1",5.552
"113GAR087_9.11.12_2",5.552
"113GAR089_6.14.10_1",5.3401
"113GAR089_6.20.11_1",5.3401
"113GAR089_8.5.09_1",5.3401
"113GAR105_6.14.10_1",4.80356666666667
"113GAR105_6.20.11_1",4.80356666666667
"113GAR105_8.4.09_1",4.80356666666667
"113GAR112_6.15.10_1",5.5209
"113GAR112_7.22.14_1",5.5209
"113GAR112_8.22.11_1",5.5209
"113GAR112_8.4.09_1",5.5209
"113GAR112_8.4.09_2",5.5209
"113GAR112_8.7.13_1",5.5209
"113GAR118_7.26.10_1",5.91656666666667
"113GAR118_9.10.12_1",5.91656666666667
"113GAR178_6.21.11_1",6.25843333333334
"113GAR178_7.23.14_1",6.25843333333334
"113GAR178_8.31.10_1",6.25843333333334
"113GAR178_9.9.13_1",6.25843333333334
"113GAR178_9.9.13_2",6.25843333333334
"113GAR244_6.28.10_1",6.403
"113PS0012_9.9.08_1",10.1679333333333
"113PS0012_9.9.08_2",10.1679333333333
"113PS0076_8.2.12_1",5.43743333333333
"113PS0076_8.22.12_1",5.43743333333333
"113PS0120_9.14.10_1",9.71463333333333
"113PS0168_7.6.11_1",6.58336666666666
"113PS0216_9.3.13_1",13.5409666666667
"113PS0232_9.4.13_1",6.3457
"113PS0232_9.4.13_2",6.3457
"113PS0268_6.11.14_1",7.75056666666667
"114AU7778_6.21.10_1",5.16269523809524
"114FCA199_8.1.13_1",5.25666666666666
"114GV3469_7.5.11_1",5.22396666666667
"114GV5331_7.6.11_1",7.76503333333334
"114MA2364_7.6.10_1",6.52263333333334
"114MRCURX_6.24.08_1",7.92516666666666
"114PS0088_8.19.09_1",6.516
"114PS0209_6.10.13_1",6.98926666666667
"114PS0229_6.4.13_1",5.7569
"114WER118_8.20.08_1",4.89959523809524
"115SALG01_6.30.10_1",8.95443333333333
"115SC6093_7.7.11_1",5.97086666666667
"115SC6093_7.7.11_2",5.97086666666667
"201LAG190_10.6.08_1",11.3318333333333
"201LAG380_7.14.09_1",4.95290476190476
"201RDW080_4.29.09_1",12.4581666666667
"201RDW080_5.7.08_1",12.4581666666667
"201RDW080_6.2.10_1",12.4581666666667
"201RDW080_6.23.08_1",12.4581666666667
