"","Predicted"
"102PS0177_8.28.12_1",4.32476666666667
"103CDCHHR_9.14.10_1",3.68243333333334
"103STCNSR_8.9.11_1",3.10481666666667
"103WER026_8.15.12_1",5.37026666666667
"103WER029_7.16.14_1",2.5608
"103WER030_8.10.11_1",3.09965
"105BVCAGC_9.21.10_1",1.7682
"105CE0329_7.23.14_1",1.55403333333333
"105CLCATC_8.10.10_1",3.38303333333333
"105DLCDCC_10.20.09_1",3.1467
"105FCA116_7.16.13_1",2.2825
"105FS0416_9.24.13_1",4.86586666666667
"105FS0425_8.10.11_1",3.42336666666667
"105FS0428_8.3.11_1",2.34713333333333
"105NWC151_6.26.13_1",11.2155333333333
"105PS0043_9.17.08_1",5.7017
"105PS0083_9.8.09_1",8.3603619047619
"105PS0090_8.7.12_1",4.07596666666667
"105PS0097_7.22.14_1",2.7057
"105PS0154_8.9.11_1",3.92336666666667
"105PS0195_8.7.12_1",3.88386666666667
"105PS0259_9.17.13_1",4.47993333333334
"105PS0267_7.21.14_1",9.20706666666667
"105PS0468_9.1.09_1",9.08863333333333
"105PS0540_9.15.10_1",5.479
"105PS1492_8.6.14_1",13.1321
"105WE0598_7.24.14_1",1.8149
"105WLC135_6.26.13_1",12.1490666666667
"105WLCABC_8.3.11_1",3.68312857142857
"106FS0040_8.30.11_1",3.5906
"106PS0115_9.21.10_1",3.48673333333333
"106PS0124_8.16.10_1",5.27373333333333
"106PS0166_8.2.11_1",3.6577
"106WE0505_7.21.14_1",2.13753333333333
"106WER011_9.11.13_1",5.1892
"107PS0021_7.14.14_1",2.89176666666667
"107WER092_8.27.12_1",4.0322
"111BBRBCC_9.23.09_1",5.6825
"111CBCAER_8.8.13_1",7.83348095238095
"111ERATRC_10.10.12_1",7.056
"111FS0001_7.5.11_1",3.8628
"111FS0008_7.19.12_1",7.9799
"111HSCAER_7.26.11_1",6.37936666666667
"111PS0060_10.7.08_1",5.19086666666666
"111PS0110_6.9.14_1",1.9177
"111PS0144_8.18.10_1",5.18076666666666
"111PS0160_7.25.11_1",3.9092619047619
"111PS0204_8.17.10_1",3.64173333333333
"111RSCAER_8.8.11_1",3.24283333333333
"111TGCAER_7.24.12_1",4.20023333333333
"111WE0816_6.12.13_1",6.206
"111WE1050_6.12.13_1",6.16300952380952
"111WE1071_7.26.12_1",6.16300952380952
"111WER003_6.10.14_1",4.38843333333333
"111WER008_7.23.12_1",7.24403333333334
"111WER159_10.19.09_1",4.97863333333333
"113RG8046_8.19.10_1",10.8516666666667
"114CE0131_7.31.12_1",10.8251666666667
"114PS0145_6.20.11_1",9.68503333333334
"114WE0614_7.9.12_1",8.98623333333334
"115EBAG01_7.1.10_1",14.7443
"201AHO350_6.20.12_1",5.58396666666667
"201CHE300_6.18.12_1",10.1689714285714
"201LAG335_7.15.09_1",4.89827142857143
"201MRS020_9.13.10_1",8.2955
"202BUT030_6.29.10_1",10.6409666666667
"202BUT040_6.4.14_1",4.1597
"202BUT050_6.16.09_1",6.16286666666666
"202BUT480_6.25.12_1",6.9429
"202BUT600_6.26.12_1",5.60356666666667
"202DRY010_6.5.13_1",9.60726666666667
"202PES168_6.6.13_1",5.31916666666667
"202R00024_6.6.12_1",9.68523333333334
"202R00280_5.22.13_1",7.72816666666666
"204AHOACR_6.2.14_1",4.15637777777778
"204ALA500_6.10.13_1",8.32933333333333
"204ARH090_6.2.14_1",14.5709626984127
"204IND200_5.25.10_1",6.8652
"204R00189_5.6.13_1",13.481196031746
"204SIN300_5.15.12_1",6.75296666666667
"204VAL400_5.19.14_1",7.33336111111111
"205AAG375_5.14.14_1",8.05867777777778
"205AAG400_6.5.12_1",7.16536666666667
"205COY585_5.28.13_1",15.0301833333333
"205COY610_6.3.10_1",10.3780071428571
"205COY615_6.3.14_1",14.699246031746
"205COY853_5.29.14_1",13.8386626984127
"205COY900_5.16.12_1",12.2278904761905
"205COY930_5.7.13_1",13.9092
"205CYCAHH_6.10.08_1",12.0262666666667
"205CYCBBC_6.28.10_1",10.3780071428571
"205LGA700_5.23.12_1",5.81146666666667
"205R00021_5.16.12_1",10.28345
"205R00182_5.7.13_1",9.33277777777777
"205WUN450_6.11.12_1",8.56486666666667
"205WUN550_5.6.13_1",8.66933333333334
"206HCT020_5.29.12_1",5.88533333333334
"206RCCBDC_7.20.10_1",5.3545
"206TUL120_6.13.11_1",5.56853333333333
"207GVC800_5.23.13_1",8.30476666666666
"207SUI800_5.5.14_1",9.70986666666666
"304WDCAH1_6.29.10_1",8.66013333333333
"305LGCACR_7.16.08_1",12.6345666666667
"305LGCBRC_6.30.10_1",8.71526666666667
"305SSCAUC_6.29.10_1",5.23516666666667
"305UVCASC_6.29.10_1",5.36353333333333
"307CE0094_6.12.12_1",8.13873809523809
"307SCCARR_6.21.10_1",9.11647619047619
"308BSU_7.13.10_1",5.58093333333334
"308LILPAL_6.20.12_1",10.0942333333333
"308PWCAH1_6.22.10_1",4.91166666666667
"308SAM_6.23.10_1",6.05046666666667
"308SANWIL_6.12.12_1",15.6819476190476
"308SBCAH1_6.21.10_1",10.5344214285714
"309ARSARC_6.23.10_1",9.2498
"309CAW126_5.21.14_1",4.14493333333333
"309NAF_5.24.12_1",8.7956
"309WLCATC_6.22.10_1",7.99657142857143
"310COO_6.24.10_1",7.90633333333334
"310LPCBPC_6.9.09_1",9.3523
"312DAVDAV_6.7.12_1",14.4342619047619
