"","Predicted"
"103KLCMSR_9.14.10_1",3.16761666666667
"105PS0193_8.29.12_1",3.88466666666667
"105PS0660_8.3.10_1",11.2320333333333
"105TMCACC_8.10.10_1",4.19673333333333
"106MNCAHC_10.1.08_1",5.73620952380953
"106WE1079_8.8.12_1",4.5118
"106WER016_10.20.09_1",10.2498
"107LLM101_9.13.10_1",5.9243
"111BGCAER_6.11.14_1",3.4927
"111FS0007_7.11.11_1",4.95155714285714
"111PAL105_7.13.11_1",9.3549
"202SPE090_6.15.09_1",11.3405714285714
"205AAG075_6.12.13_1",7.41082777777778
"205COY850_5.21.12_1",4.73506666666667
"205SFC880_6.19.12_1",6.73326666666667
"206BRC020_6.27.12_1",8.19946666666667
"207SUI290_6.4.12_1",12.3803666666667
"307CMRADC_5.20.14_1",5.56205714285714
"308LSRASC_7.18.11_1",6.21826666666667
"308MWCAH1_6.23.10_1",6.09364761904762
"308PS0156_6.19.12_1",7.57479999999999
"308ROCBBQ_6.21.12_1",6.95573333333333
"309ARCBRC_8.25.08_1",7.9067
"309PS0116_6.16.11_1",11.7520412698413
"312PS0099_6.14.10_1",12.0133666666667
"315CHCALS_6.15.10_1",5.26226666666667
"402BA0095_5.29.08_1",11.6872833333333
"402M00009_6.29.15_1",9.7176
"403S00960_6.2.10_1",14.9397333333333
"403S01536_7.12.11_1",12.2868333333333
"403WE0540_5.14.14_1",11.07565
"403WE0683_5.15.13_1",7.78613333333333
"505PS0110_9.16.10_1",5.10213333333333
"513CCNASC_7.16.14_1",8.08860952380952
"513STCAIV_6.12.14_1",8.05233333333333
"513UNCAKC_9.23.09_1",7.68816666666666
"514SSC190_9.11.14_1",4.49983333333333
"517FCA046_8.14.13_1",5.45846666666667
"518BTCASC_6.12.13_1",5.32636666666667
"518FCA075_8.12.13_1",8.34336666666667
"518SPC134_6.18.13_1",7.6718
"522GSCBSC_9.24.09_1",7.27753333333333
"522PS0504_6.11.13_1",7.51853333333333
"526PNCAMF_6.25.13_1",7.18726666666667
"526PS1420_6.25.13_1",7.21223333333334
"534MLC108_9.14.11_1",1.68273333333333
"536HLCBFM_6.18.13_1",6.98633333333334
"537TYCAML_7.16.08_1",2.79773333333333
"540SED003_8.30.11_1",3.48423333333333
"552DKC268_6.23.14_1",3.7186
"552MFCAKR_6.11.08_1",14.4523666666667
"553KRNAYC_6.17.14_1",10.8080047619048
"554CLCALK_8.23.11_1",8.22520952380952
"603DDM005_9.13.11_1",6.08776666666666
"603FCA145_8.21.13_1",6.69203333333333
"603PS0008_7.30.08_1",7.85026666666667
"603PS0075_8.15.12_1",6.23286666666667
"603PS0109_7.29.08_1",9.22206666666666
"603PS0557_8.18.10_1",12.9344
"603SPCBWC_7.22.08_1",7.84396666666667
"631DEP001_8.28.12_1",9.40453333333333
"631PS0033_8.30.10_1",7.61603333333333
"632ELD001_9.8.11_1",8.39663333333334
"634CAT055_10.4.11_1",4.9555
"634GRF001_10.3.11_1",9.50363333333333
"634HHCATC_10.4.11_1",5.4746
"634PS0035_9.1.10_1",7.294
"634PS0062_10.12.11_1",8.17196666666667
"634WSN001_10.4.11_1",10.0892666666667
"636SAG001_7.12.10_1",12.3573
"639PS1279_6.11.13_1",11.1506666666667
"641OWC157_7.24.13_1",6.03663333333333
"722NP7IDC_4.16.14_1",7.9478
"801DRC025_6.25.14_1",11.0472
"801S03488_5.7.14_1",4.73576666666667
"801WE0674_5.14.13_1",10.9927333333333
"801WE1008_5.14.13_1",4.90763333333333
"801WE1132_8.19.09_1",8.0828
"901ATCAAS_6.5.08_1",14.0985380952381
"901CSCADC_5.26.11_1",11.8546666666667
"901S06969_5.31.12_1",12.3485380952381
"903WE0798_4.8.15_1",9.9429
"905BCC_6.11.14_1",14.9405
"905S02561_5.25.11_1",13.3772
"909JQCASR_6.1.11_1",9.80776666666667
"911S03354_5.5.09_1",11.7561333333333
"911TJIND2_5.8.08_1",11.049380952381
"911TJLCC2_4.7.15_1",17.3764626984127
"SCFC1_6.12.08_1",8.6199
"SCSS1_6.17.08_1",8.12203333333334
"SMAD1_11.5.08_1",12.3988222222222
"SMC00135_6.7.10_1",7.22319523809524
"SMC01979_7.14.11_1",9.2981
"SMC02139_7.17.12_1",9.66683333333333
"SMC04204_7.11.12_1",9.84708095238096
"SMC04383_5.19.14_1",12.757396031746
"SMC06467_6.28.10_1",10.2937666666667
"SMC19809_6.25.13_1",15.8175333333333
