"","Predicted"
"105PS0188_8.26.08_1",12.8640666666667
"105PS0188_8.26.08_2",12.8640666666667
"106FC1183_7.24.14_1",2.8899
"106FC1313_7.23.14_1",4.11046666666667
"106PS0078_8.26.09_1",5.52093333333333
"106PS0173_8.4.11_1",4.4574619047619
"106PS0186_9.26.12_1",5.9769
"109PS0162_7.20.11_1",5.66243333333334
"110ECSLSF_7.26.11_1",6.3991
"110FCA102_7.25.13_1",5.44696666666667
"111CR1012_8.18.14_1",6.09743333333333
"111PS0057_8.18.08_1",6.39573333333334
"113GAR010_6.8.09_1",6.04083333333334
"113GAR010_8.27.12_1",6.04083333333334
"113GAR038_6.8.09_1",6.28913333333334
"113GAR038_9.10.12_1",6.28913333333334
"113GAR046_6.18.12_1",7.75729999999999
"113GAR046_6.8.09_1",7.75729999999999
"113GAR046_9.2.14_1",7.75729999999999
"113GAR061_6.19.12_1",7.7883
"113GAR061_7.1.09_1",7.7883
"113GAR061_9.3.14_1",7.7883
"113GAR061_9.3.14_2",7.7883
"113GAR084_6.28.10_1",8.24003333333333
"113GAR094_7.27.10_1",7.78263333333333
"113GAR094_7.27.10_2",7.78263333333333
"113GAR110_6.18.12_1",6.8488
"113GAR110_6.30.09_1",6.8488
"113GAR110_9.2.14_1",6.8488
"113PS0084_8.18.09_1",7.8536
"113PS0100_8.25.09_1",8.08993333333333
"113PS0132_9.15.10_1",8.18476666666667
"113PS0196_8.1.12_1",7.2046
"114CR0903_8.26.13_1",4.89886666666666
"114CR0903_9.25.13_1",4.89886666666666
"114PS0149_7.10.12_1",9.9329
"114PS0152_7.7.11_1",6.31656666666667
"114PS0152_8.18.11_1",6.31656666666667
"114RR1041_10.10.11_1",5.213
"114RR1041_10.25.11_1",5.213
"114RR1041_10.25.11_2",5.213
"114RR1041_8.2.11_1",5.213
"114RR1041_9.7.11_1",5.213
"114RR1310_6.2.11_1",4.9829
"114RR1599_10.10.11_1",4.84520476190476
"114RR1599_10.25.11_1",4.84520476190476
"114RR1599_6.2.11_1",4.84520476190476
"114RR1599_6.27.11_1",4.84520476190476
"114RR1599_8.2.11_1",4.84520476190476
"114RR1599_8.2.11_2",4.84520476190476
"114RR1599_9.7.11_1",4.84520476190476
"114RR2678_10.11.11_1",6.06533333333333
"114RR2678_10.24.11_1",6.06533333333333
"114RR2678_6.29.11_1",6.06533333333333
"114RR2678_8.1.11_1",6.06533333333333
"114RR2678_9.13.11_1",6.06533333333333
"114RR2769_6.1.11_1",5.9343
"114RR2899_10.11.11_1",5.5431
"114RR2899_10.24.11_1",5.5431
"114RR2899_6.1.11_1",5.5431
"114RR2899_6.29.11_1",5.5431
"114RR2899_8.1.11_1",5.5431
"114RR2899_9.13.11_1",5.5431
"202BUT850_6.4.13_1",9.08390000000001
"202PS0134_5.31.11_1",9.62030000000001
"202R00087_5.30.12_1",12.181880952381
"202R00284_6.15.12_1",13.3436333333333
"202R00908_5.21.13_1",10.7076
"203PS0070_7.19.10_1",7.4744380952381
"203PS0070_9.7.10_1",7.4744380952381
"203R00039_5.14.12_1",9.17593333333333
"204ALP040_4.10.11_1",14.4181857142857
"204ALP040_6.29.11_1",14.4181857142857
"204ALP105_4.10.11_1",12.6916333333333
"204ALP151_4.10.11_1",12.9806
"204ALP151_6.29.11_1",12.9806
"204PS0038_6.19.08_1",7.67306666666667
"204PS0094_7.14.10_1",15.9816333333333
"204PS0102_6.15.11_1",7.36686666666667
"204PS0102_6.15.11_2",7.36686666666667
"204PS0102_8.10.11_1",7.36686666666667
"204PS0118_6.15.11_1",16.2430333333333
"204R00047_6.6.12_1",6.98472777777778
"204R00063_6.4.13_1",7.89443333333333
"204R00068_5.31.12_1",12.0826857142857
"204R00084_5.24.12_1",9.02083333333333
"204R00100_5.30.12_1",13.595646031746
"204R00180_5.30.12_1",12.5346785714286
"204R00191_5.29.12_1",13.7744857142857
"204R00200_5.31.12_1",13.8386626984127
"204R00232_6.12.12_1",13.4207626984127
"204R00232_6.12.12_2",13.4207626984127
"204R00244_6.12.12_1",13.4207626984127
"204R00303_6.14.12_1",13.933746031746
"204R00319_6.7.12_1",7.89443333333333
"204R00319_6.7.12_2",7.89443333333333
"204R00327_5.7.13_1",15.2813079365079
"204R00334_5.8.13_1",12.9298952380952
"204R00340_6.11.12_1",9.02083333333333
"204R00356_5.30.12_1",13.595646031746
"204R00356_6.4.12_1",13.595646031746
"204R00367_6.12.12_1",7.43226666666667
"204R00383_6.11.12_1",9.60944444444445
"204R00391_6.6.12_1",10.8989888888889
"204R00436_5.20.13_1",7.05889444444444
"204R00447_4.2.13_1",13.7087
"204R00447_4.22.13_1",13.7087
"204R00455_6.13.12_1",7.43226666666667
"204R00473_5.9.13_1",12.938219047619
"204R00473_5.9.13_2",12.938219047619
"204R00520_5.28.13_1",14.0492841269841
"204R00583_6.13.12_1",9.90267777777778
"204R00596_5.31.12_1",13.6535793650794
"204R00623_6.3.13_1",7.32706666666667
"204R00639_6.19.12_1",8.8996
"204R00680_5.28.13_1",13.4207626984127
"204R00724_5.21.13_1",6.77
"204R00807_5.21.13_1",12.178480952381
"204R00852_5.6.13_1",13.3410666666667
"204R00884_5.20.13_1",12.5346785714286
"204R00967_4.25.13_1",10.8989888888889
"204R01316_5.22.13_1",13.595646031746
"204R01471_5.22.13_1",15.1531412698413
"205PS0045_6.17.09_1",13.4784
"205PS0045_6.17.09_2",13.4784
"205PS0074_7.14.10_1",13.5325857142857
"205PS0106_6.21.11_1",10.5772888888889
"205PS0109_6.21.11_1",11.0000888888889
"205PS0138_6.1.11_1",10.8081333333333
"205PS0157_6.19.12_1",11.2689777777778
"205PS0170_6.19.12_1",10.2988222222222
"205PS0173_6.20.12_1",10.0316333333333
"205PS0173_6.20.12_2",10.0316333333333
"205PS0202_5.22.13_1",10.2744333333333
"205PS0202_7.17.13_1",10.2744333333333
"205PS0221_5.20.13_1",12.4812333333333
"205R00026_5.14.12_1",11.8470666666667
"205R00035_5.24.12_1",9.63618888888888
"205R00035_5.24.12_2",9.63618888888888
"205R00042_5.21.12_1",13.754796031746
"205R00067_6.3.12_1",11.1686111111111
"205R00088_6.4.12_1",12.0149
"205R00090_5.23.12_1",11.0000888888889
"205R00099_5.17.12_1",8.06571111111111
"205R00115_6.5.12_1",12.5128857142857
"205R00131_6.3.12_1",10.1722888888889
"205R00154_5.22.12_1",10.8555333333333
"205R00168_6.4.12_1",10.7179
"205R00174_4.23.13_1",9.71885555555554
"205R00218_5.23.12_1",15.1022079365079
"205R00227_6.5.12_1",11.4245444444445
"205R00234_5.15.12_1",10.8653333333333
"205R00241_5.21.12_1",11.0902666666667
"205R00259_6.14.12_1",9.91465555555554
"205R00282_5.22.12_1",10.2392111111111
"205R00291_6.13.12_1",13.9110857142857
"205R00346_6.14.12_1",9.3052
"205R00346_6.14.12_2",9.3052
"205R00355_6.13.12_1",12.6281523809524
"205R00387_6.6.13_1",9.52565555555555
"205R00419_6.11.13_1",13.2466
"205R00430_6.5.12_1",10.4203222222222
"205R00451_6.5.13_1",11.5788111111111
"205R00474_5.9.13_1",13.603246031746
"205R00535_6.20.12_1",10.3242222222222
"205R00535_6.20.12_2",10.3242222222222
"205R00538_5.8.13_1",9.27071111111111
"205R00547_6.4.13_1",10.4043555555555
"205R00554_5.29.13_1",13.9386333333333
"205R00586_6.10.13_1",6.12296666666667
"205R00602_6.3.13_1",10.2392111111111
"205R00627_6.4.13_1",10.3082555555555
