"","Predicted"
"102PS0139_8.9.10_1",0.00779261898470938
"103FCA168_7.24.13_1",0.0277926505492147
"103PS0217_9.10.13_1",0.0170740298121302
"103RDCBCC_7.21.11_1",0.0195904219173069
"105PS0028_8.12.08_1",0.0012038519883177
"105PS0028_8.26.08_1",0.0012038519883177
"105PS0067_8.24.09_1",0.00960328288603338
"105PS0067_8.24.09_2",0.00960328288603338
"105PS0067_9.15.09_1",0.00960328288603338
"105PS0069_8.18.09_1",0.0064422511098286
"105PS0092_8.11.08_1",0.00849364259411068
"105PS0107_9.14.09_1",0.0130088692390483
"105PS0129_8.11.10_1",0.0117907154974858
"105PS0129_8.11.10_2",0.0117907154974858
"105PS0149_8.29.12_1",0.010643554681079
"105PS0211_8.20.13_1",0.0105753508885763
"105PS0211_9.16.13_1",0.0105753508885763
"105PS0231_8.29.13_1",0.0101401800280658
"105PS0276_9.1.09_1",0.0107802089525173
"105PS0276_9.22.09_1",0.0107802089525173
"105PS0540_8.5.10_1",0.00386965987430982
"105PS1148_9.18.12_1",0.0107584163096267
"105PS1404_8.28.13_1",0.0154574730047796
"105PS1404_8.28.13_2",0.0154574730047796
"106FCA036_7.15.13_1",0.00482672006558359
"106HLCACC_9.23.13_1",0.00960620597003647
"106PS0022_9.30.08_1",0.0197811860011396
"106PS0051_9.16.08_1",0.0105546411112981
"106PS0051_9.16.08_2",0.0105546411112981
"106PS0106_9.8.09_1",0.00942543828596576
"106PS0106_9.8.09_2",0.00942543828596576
"106PS0122_9.20.10_1",0.00830507642654072
"106PS0142_7.19.10_1",0.0082183535072659
"106PS0206_10.3.12_1",0.022390724232682
"106PTCAHC_9.2.08_1",0.0253939289385013
"107GWCAPC_9.15.10_1",0.032230286912279
"107RWCBHW_8.3.11_1",0.00824254167656642
"107RWCBHW_8.3.11_2",0.00824254167656642
"108PS0197_8.16.12_1",0.0198371136981655
"110PS0114_7.21.10_1",0.0358868967466127
"110SMCATH_7.27.11_1",0.025962802677616
"111CE0569_10.11.10_1",0.0182707670571498
"111FCA207_7.23.13_1",0.0189841265854446
"111PS0008_9.29.08_1",0.00216807914485389
"111PS0008_9.9.08_1",0.00216807914485389
"111PS0008_9.9.08_2",0.00216807914485389
"111PS0013_8.19.08_1",0.0190011708459136
"111PS0095_8.27.09_1",0.0227504861287953
"111PS0095_8.27.09_2",0.0227504861287953
"111PS0121_7.20.10_1",0.0170642789453152
"111PS0159_7.14.11_1",0.0215845040180724
"111PS0169_7.25.11_1",0.0205478814112009
"111PS0169_7.25.11_2",0.0205478814112009
"111PS0178_8.14.12_1",0.0243759596143559
"111PS0237_9.12.13_1",0.0136789224706835
"112PS0157_7.12.11_1",0.0121913927371235
"113GAR011_8.22.11_1",0.0172493139450802
"113GAR011_9.1.10_1",0.0172493139450802
"113GAR015_8.23.11_1",0.0179573300503389
"113GAR015_8.31.10_1",0.0179573300503389
"113GAR015_9.9.13_1",0.0179573300503389
"113GAR023_7.22.14_1",0.0169154618273809
"113GAR023_8.5.13_1",0.0169154618273809
"113GAR030_8.26.09_1",0.0152457112609893
"113GAR030_8.26.09_2",0.0152457112609893
"113GAR030_8.28.12_1",0.0152457112609893
"113GAR042_9.10.13_1",0.0173289300012019
"113GAR062_6.30.09_1",0.0145519343869789
"113GAR062_8.27.12_1",0.0145519343869789
"113GAR087_6.29.10_1",0.0180639751570302
"113GAR087_8.6.13_1",0.0180639751570302
"113GAR087_9.11.12_1",0.0180639751570302
"113GAR087_9.11.12_2",0.0180639751570302
"113GAR089_6.14.10_1",0.0179573300503389
"113GAR089_6.20.11_1",0.0179573300503389
"113GAR089_8.5.09_1",0.0179573300503389
"113GAR105_6.14.10_1",0.0188536157017606
"113GAR105_6.20.11_1",0.0188536157017606
"113GAR105_8.4.09_1",0.0188536157017606
"113GAR112_6.15.10_1",0.0217338505103621
"113GAR112_7.22.14_1",0.0217338505103621
"113GAR112_8.22.11_1",0.0217338505103621
"113GAR112_8.4.09_1",0.0217338505103621
"113GAR112_8.4.09_2",0.0217338505103621
"113GAR112_8.7.13_1",0.0217338505103621
"113GAR118_7.26.10_1",0.0205501951390307
"113GAR118_9.10.12_1",0.0205501951390307
"113GAR178_6.21.11_1",0.0207587555985206
"113GAR178_7.23.14_1",0.0207587555985206
"113GAR178_8.31.10_1",0.0207587555985206
"113GAR178_9.9.13_1",0.0207587555985206
"113GAR178_9.9.13_2",0.0207587555985206
"113GAR244_6.28.10_1",0.021864037468362
"113PS0012_9.9.08_1",0.0112472954281993
"113PS0012_9.9.08_2",0.0112472954281993
"113PS0076_8.2.12_1",0.0217338505103621
"113PS0076_8.22.12_1",0.0217338505103621
"113PS0120_9.14.10_1",0.0220616413634587
"113PS0168_7.6.11_1",0.0169297299524425
"113PS0216_9.3.13_1",0.0223881086624548
"113PS0232_9.4.13_1",0.0215603512402765
"113PS0232_9.4.13_2",0.0215603512402765
"113PS0268_6.11.14_1",0.0194534843049996
"114AU7778_6.21.10_1",0.0214161392124884
"114FCA199_8.1.13_1",0.0221065564053211
"114GV3469_7.5.11_1",0.0255941630781356
"114GV5331_7.6.11_1",0.0192790210824932
"114MA2364_7.6.10_1",0.0192881587395032
"114MRCURX_6.24.08_1",0.0202813862305567
"114PS0088_8.19.09_1",0.0150255190912324
"114PS0209_6.10.13_1",0.0184542717095142
"114PS0229_6.4.13_1",0.0104866385163787
"114WER118_8.20.08_1",0.0204512055457401
"115SALG01_6.30.10_1",0.0184481589853369
"115SC6093_7.7.11_1",0.0149699031953587
"115SC6093_7.7.11_2",0.0149699031953587
"201LAG190_10.6.08_1",0.0292588793898754
"201LAG380_7.14.09_1",0.0151706848455045
"201RDW080_4.29.09_1",0.0173406613827643
"201RDW080_5.7.08_1",0.0173406613827643
"201RDW080_6.2.10_1",0.0173406613827643
"201RDW080_6.23.08_1",0.0173406613827643
"201RDW080_6.3.09_1",0.0173406613827643
"201RDW080_6.3.09_2",0.0173406613827643
"201RDW080_8.11.09_1",0.0173406613827643
"201RDW080_8.12.08_1",0.0173406613827643
"202LAH950_6.13.12_1",0.0226863315054344
"202MIC150_5.7.14_1",0.0407515872243451
"202PES162_4.27.09_1",0.0412672314354483
"202PES162_5.1.08_1",0.0412672314354483
"202PES162_6.16.09_1",0.0412672314354483
"202PES162_6.18.08_1",0.0412672314354483
"202PES162_6.7.10_1",0.0412672314354483
"202PES162_8.17.09_1",0.0412672314354483
"202PES162_9.10.08_1",0.0412672314354483
"202PES162_9.10.08_2",0.0412672314354483
"202PS0246_6.5.13_1",0.0411418362922583
"202R00248_5.23.13_1",0.0358907683122224
"202R00248_5.23.13_2",0.0358907683122224
"202TUN600_5.12.14_1",0.0271224103746459
"203R00983_6.6.13_1",0.0299579501831895
"204ALA320_6.17.13_1",0.0222964016348301
"204ALA382_6.11.13_1",0.0160811547838462
"204ALA396_6.24.13_1",0.0181284777055544
"204ALA410_5.8.13_1",0.0232046505636411
"204ALA525_5.22.12_1",0.0262133126997678
"204IND200_5.20.08_1",0.0271465609312033
"204IND200_5.20.08_2",0.0271465609312033
"204IND200_6.16.08_1",0.0271465609312033
"204R00590_5.8.13_1",0.0322471487902706
"204R00647_6.18.12_1",0.0201410022722947
"204R00751_6.5.13_1",0.0113645059440951
"204R00751_6.5.13_2",0.0113645059440951
"204SLE150_5.9.13_1",0.0297363656963942
"205COY140_6.17.09_1",0.041211588066622
"205GCAxxx_7.15.10_1",0.0211909122823127
