"","Predicted"
"102PS0177_8.28.12_1",0.00676182403003162
"103CDCHHR_9.14.10_1",0.0357026594644959
"103STCNSR_8.9.11_1",0.0121145548375885
"103WER026_8.15.12_1",0.0170253565620243
"103WER029_7.16.14_1",0.00961951316141965
"103WER030_8.10.11_1",0.0091904271223752
"105BVCAGC_9.21.10_1",0.00312405743715137
"105CE0329_7.23.14_1",0.00229910982345924
"105CLCATC_8.10.10_1",0.00464792106772862
"105DLCDCC_10.20.09_1",0.00324089521923804
"105FCA116_7.16.13_1",0.00317784484378155
"105FS0416_9.24.13_1",0.00606406510133566
"105FS0425_8.10.11_1",0.0127344506451735
"105FS0428_8.3.11_1",0.00657261677464254
"105NWC151_6.26.13_1",0.0100293397935887
"105PS0043_9.17.08_1",0.0173463180162439
"105PS0083_9.8.09_1",0.0237113508916724
"105PS0090_8.7.12_1",0.00210372987417961
"105PS0097_7.22.14_1",0.00352405079056446
"105PS0154_8.9.11_1",0.00157971787213865
"105PS0195_8.7.12_1",0.00119510307601585
"105PS0259_9.17.13_1",0.0229381909554224
"105PS0267_7.21.14_1",0.0187408949367174
"105PS0468_9.1.09_1",0.0124936341703232
"105PS0540_9.15.10_1",0.00386965987430982
"105PS1492_8.6.14_1",0.0113705724428603
"105WE0598_7.24.14_1",0.00596661471607754
"105WLC135_6.26.13_1",0.0125861283392757
"105WLCABC_8.3.11_1",0.00753017227602693
"106FS0040_8.30.11_1",0.0136075409530114
"106PS0115_9.21.10_1",0.00610377451359035
"106PS0124_8.16.10_1",0.0278996899462337
"106PS0166_8.2.11_1",0.024745705076074
"106WE0505_7.21.14_1",0.00446991775364282
"106WER011_9.11.13_1",0.00565054940892193
"107PS0021_7.14.14_1",0.00298454425573501
"107WER092_8.27.12_1",0.0315091995022692
"111BBRBCC_9.23.09_1",0.00258393902105419
"111CBCAER_8.8.13_1",0.0167062349071469
"111ERATRC_10.10.12_1",0.00336704064789286
"111FS0001_7.5.11_1",0.0352394916230828
"111FS0008_7.19.12_1",0.026540281719402
"111HSCAER_7.26.11_1",0.00938399977877146
"111PS0060_10.7.08_1",0.0305585369108917
"111PS0110_6.9.14_1",0.0163310614926606
"111PS0144_8.18.10_1",0.0317303505693977
"111PS0160_7.25.11_1",0.0345055169034877
"111PS0204_8.17.10_1",0.0108044294331594
"111RSCAER_8.8.11_1",0.0352876528016416
"111TGCAER_7.24.12_1",0.033850789551765
"111WE0816_6.12.13_1",0.00827119383751048
"111WE1050_6.12.13_1",0.0107314087904801
"111WE1071_7.26.12_1",0.0186136258024538
"111WER003_6.10.14_1",0.00343953629418841
"111WER008_7.23.12_1",0.0199746827534768
"111WER159_10.19.09_1",0.0128619982689519
"113RG8046_8.19.10_1",0.0155435059179304
"114CE0131_7.31.12_1",0.0109792203191709
"114PS0145_6.20.11_1",0.0151502205089757
"114WE0614_7.9.12_1",0.01333278671598
"115EBAG01_7.1.10_1",0.024042947558668
"201AHO350_6.20.12_1",0.0434917227461373
"201CHE300_6.18.12_1",0.0287216572095884
"201LAG335_7.15.09_1",0.013796250378118
"201MRS020_9.13.10_1",0.0294910675624503
"202BUT030_6.29.10_1",0.0466104745940226
"202BUT040_6.4.14_1",0.013714350776016
"202BUT050_6.16.09_1",0.0780350073983522
"202BUT480_6.25.12_1",0.0650966350392975
"202BUT600_6.26.12_1",0.0437311369626952
"202DRY010_6.5.13_1",0.0411070178014969
"202PES168_6.6.13_1",0.0412315354555106
"202R00024_6.6.12_1",0.0391871535361514
"202R00280_5.22.13_1",0.0481890149530247
"204AHOACR_6.2.14_1",0.0128897114166941
"204ALA500_6.10.13_1",0.0362309977576471
"204ARH090_6.2.14_1",0.0289434933993205
"204IND200_5.25.10_1",0.0271465609312033
"204R00189_5.6.13_1",0.0226148870859018
"204SIN300_5.15.12_1",0.00974113825157427
"204VAL400_5.19.14_1",0.0227868791892488
"205AAG375_5.14.14_1",0.0209676403764634
"205AAG400_6.5.12_1",0.0233103718066776
"205COY585_5.28.13_1",0.024222644212762
"205COY610_6.3.10_1",0.00791536072177516
"205COY615_6.3.14_1",0.0208581236978697
"205COY853_5.29.14_1",0.0142904266838572
"205COY900_5.16.12_1",0.0277385660712581
"205COY930_5.7.13_1",0.0169374180028444
"205CYCAHH_6.10.08_1",0.0235848271759465
"205CYCBBC_6.28.10_1",0.00997776419303697
"205LGA700_5.23.12_1",0.0379421317021308
"205R00021_5.16.12_1",0.0274514319473679
"205R00182_5.7.13_1",0.04839156433307
"205WUN450_6.11.12_1",0.0239946793435957
"205WUN550_5.6.13_1",0.0136639199817629
"206HCT020_5.29.12_1",0.0210865962517108
"206RCCBDC_7.20.10_1",0.0373245578668704
"206TUL120_6.13.11_1",0.0354644499118694
"207GVC800_5.23.13_1",0.0513199901558533
"207SUI800_5.5.14_1",0.0266256167188776
"304WDCAH1_6.29.10_1",0.0387920115629096
"305LGCACR_7.16.08_1",0.0168411936560375
"305LGCBRC_6.30.10_1",0.0357284657800736
"305SSCAUC_6.29.10_1",0.0568435314266681
"305UVCASC_6.29.10_1",0.0477422464590619
"307CE0094_6.12.12_1",0.0216303810771317
"307SCCARR_6.21.10_1",0.0133320235767277
"308BSU_7.13.10_1",0.0307317029552505
"308LILPAL_6.20.12_1",0.0302564188469626
"308PWCAH1_6.22.10_1",0.0340485814551266
"308SAM_6.23.10_1",0.0382486135617572
"308SANWIL_6.12.12_1",0.0352643083146885
"308SBCAH1_6.21.10_1",0.0251653414256135
"309ARSARC_6.23.10_1",0.0381347924021825
"309CAW126_5.21.14_1",0.0197032614074775
"309NAF_5.24.12_1",0.0326359101765412
"309WLCATC_6.22.10_1",0.0353332540943553
"310COO_6.24.10_1",0.0449805589859104
"310LPCBPC_6.9.09_1",0.0388902145026636
"312DAVDAV_6.7.12_1",0.0544614342278716
"312MZCDBC_5.13.14_1",0.019593237841884
"312RYCALR_6.16.10_1",0.0272789623184766
"402BA0287_6.9.08_1",0.0247628058289391
"402M00005_6.11.15_1",0.0256876271743351
"402MTCUNF_6.5.12_1",0.0416110091765087
"402PS0048_5.21.08_1",0.0250288938683111
"403BA0015_5.19.08_1",0.0136567753312339
"403BA0064_6.18.14_1",0.0238877870514335
"403BA0140_5.21.08_1",0.0361230442092264
"403BA0171_5.19.08_1",0.0227614841499606
"403LNCASC_6.15.10_1",0.0182611484391588
"403S00875_6.24.10_1",0.0233224649124377
"403S01883_6.21.10_1",0.0137513006891795
"403S03643_6.24.10_1",0.0133830017208349
"403S06315_6.27.12_1",0.0151287213038203
"403STC064_6.8.11_1",0.0256107352815454
"403STC086_6.21.11_1",0.0153016018370497
"403WE0501_5.14.13_1",0.0355907999086334
"403WE1027_5.14.14_1",0.0107528349040607
"405BRCAMS_6.7.11_1",0.021931833307872
