"","Predicted"
"103KLCMSR_9.14.10_1",0.0201254962681862
"105PS0193_8.29.12_1",0.00941135088789452
"105PS0660_8.3.10_1",0.00859696332034059
"105TMCACC_8.10.10_1",0.00764603090766638
"106MNCAHC_10.1.08_1",0.0153356837132037
"106WE1079_8.8.12_1",0.0225642677689739
"106WER016_10.20.09_1",0.0252255263539104
"107LLM101_9.13.10_1",0.0024398081791501
"111BGCAER_6.11.14_1",0.0285860886053694
"111FS0007_7.11.11_1",0.0151408238732655
"111PAL105_7.13.11_1",0.0343319037417336
"202SPE090_6.15.09_1",0.0173406613827643
"205AAG075_6.12.13_1",0.0248241271940657
"205COY850_5.21.12_1",0.0206809165635689
"205SFC880_6.19.12_1",0.0359472460076897
"206BRC020_6.27.12_1",0.0430695191436777
"207SUI290_6.4.12_1",0.0514926241698487
"307CMRADC_5.20.14_1",0.0308745648026097
"308LSRASC_7.18.11_1",0.0314969171564741
"308MWCAH1_6.23.10_1",0.0285308310041201
"308PS0156_6.19.12_1",0.0299242565311581
"308ROCBBQ_6.21.12_1",0.0221108553888788
"309ARCBRC_8.25.08_1",0.0123526971665553
"309PS0116_6.16.11_1",0.025873628650076
"312PS0099_6.14.10_1",0.0451264917923057
"315CHCALS_6.15.10_1",0.0273885861017758
"402BA0095_5.29.08_1",0.0156505884803628
"402M00009_6.29.15_1",0.0333745397749902
"403S00960_6.2.10_1",0.0184667452428106
"403S01536_7.12.11_1",0.0197215602880382
"403WE0540_5.14.14_1",0.0270389155538555
"403WE0683_5.15.13_1",0.0203170118154231
"505PS0110_9.16.10_1",0.0160162555999007
"513CCNASC_7.16.14_1",0.0180570923329484
"513STCAIV_6.12.14_1",0.0118699724731247
"513UNCAKC_9.23.09_1",0.0181015260490088
"514SSC190_9.11.14_1",0.00410588278588798
"517FCA046_8.14.13_1",0.0109065587505237
"518BTCASC_6.12.13_1",0.00805682859411627
"518FCA075_8.12.13_1",0.0055438507693353
"518SPC134_6.18.13_1",0.00759004097367351
"522GSCBSC_9.24.09_1",0.0170623185519927
"522PS0504_6.11.13_1",0.0219236983508429
"526PNCAMF_6.25.13_1",0.00643898361586277
"526PS1420_6.25.13_1",0.0172550573775715
"534MLC108_9.14.11_1",0.00772287086328202
"536HLCBFM_6.18.13_1",0.0140397345485119
"537TYCAML_7.16.08_1",0.0141188473257213
"540SED003_8.30.11_1",0.00387311690683855
"552DKC268_6.23.14_1",0.00260784807102788
"552MFCAKR_6.11.08_1",0.0131501823851148
"553KRNAYC_6.17.14_1",0.0277226271805898
"554CLCALK_8.23.11_1",0.0191615890440532
"603DDM005_9.13.11_1",0.0187985007050505
"603FCA145_8.21.13_1",0.00574591554187925
"603PS0008_7.30.08_1",0.00193040723640376
"603PS0075_8.15.12_1",0.00379674040513415
"603PS0109_7.29.08_1",0.0118497260764216
"603PS0557_8.18.10_1",0.00767218566919539
"603SPCBWC_7.22.08_1",0.00262113580546814
"631DEP001_8.28.12_1",0.00698673687673403
"631PS0033_8.30.10_1",0.0068491919526164
"632ELD001_9.8.11_1",0.0110689022808162
"634CAT055_10.4.11_1",0.00643250031960158
"634GRF001_10.3.11_1",0.0141719934072637
"634HHCATC_10.4.11_1",0.0116124380423225
"634PS0035_9.1.10_1",0.00699886857024009
"634PS0062_10.12.11_1",0.00715419009165183
"634WSN001_10.4.11_1",0.0104392122345789
"636SAG001_7.12.10_1",0.0132355143824281
"639PS1279_6.11.13_1",0.00397290578954337
"641OWC157_7.24.13_1",0.00771630768081237
"722NP7IDC_4.16.14_1",0.0224982585706955
"801DRC025_6.25.14_1",0.0145270767459174
"801S03488_5.7.14_1",0.0264150916074552
"801WE0674_5.14.13_1",0.0149125996056653
"801WE1008_5.14.13_1",0.0102346298436087
"801WE1132_8.19.09_1",0.0177993971981791
"901ATCAAS_6.5.08_1",0.0263423694669002
"901CSCADC_5.26.11_1",0.0226249369182287
"901S06969_5.31.12_1",0.0187107385110498
"903WE0798_4.8.15_1",0.00857169410305736
"905BCC_6.11.14_1",0.0297164831960898
"905S02561_5.25.11_1",0.0276547413915351
"909JQCASR_6.1.11_1",0.013406932541195
"911S03354_5.5.09_1",0.0141773197923634
"911TJIND2_5.8.08_1",0.0092701946991689
"911TJLCC2_4.7.15_1",0.0114625162559514
"SCFC1_6.12.08_1",0.0249862240877306
"SCSS1_6.17.08_1",0.0136488265034406
"SMAD1_11.5.08_1",0.0298411523339072
"SMC00135_6.7.10_1",0.0287359343473898
"SMC01979_7.14.11_1",0.0117075388538566
"SMC02139_7.17.12_1",0.0273483709446817
"SMC04204_7.11.12_1",0.0237993315594669
"SMC04383_5.19.14_1",0.0272133008103292
"SMC06467_6.28.10_1",0.0395313257972733
"SMC19809_6.25.13_1",0.029159413736638
