"","Predicted"
"105PS0188_8.26.08_1",0.0138034545586394
"105PS0188_8.26.08_2",0.0138034545586394
"106FC1183_7.24.14_1",0.00895243529641374
"106FC1313_7.23.14_1",0.0106176391766859
"106PS0078_8.26.09_1",0.00991243431401118
"106PS0173_8.4.11_1",0.0112839781196883
"106PS0186_9.26.12_1",0.00999049263255441
"109PS0162_7.20.11_1",0.0180069071236665
"110ECSLSF_7.26.11_1",0.0278005205244612
"110FCA102_7.25.13_1",0.0227292963602543
"111CR1012_8.18.14_1",0.0238456367871624
"111PS0057_8.18.08_1",0.0269131920572061
"113GAR010_6.8.09_1",0.0207816913562286
"113GAR010_8.27.12_1",0.0207816913562286
"113GAR038_6.8.09_1",0.0217754722376009
"113GAR038_9.10.12_1",0.0217754722376009
"113GAR046_6.18.12_1",0.0151363540616157
"113GAR046_6.8.09_1",0.0151363540616157
"113GAR046_9.2.14_1",0.0151363540616157
"113GAR061_6.19.12_1",0.0216219404832663
"113GAR061_7.1.09_1",0.0216219404832663
"113GAR061_9.3.14_1",0.0216219404832663
"113GAR061_9.3.14_2",0.0216219404832663
"113GAR084_6.28.10_1",0.0204195649444269
"113GAR094_7.27.10_1",0.0151363540616157
"113GAR094_7.27.10_2",0.0151363540616157
"113GAR110_6.18.12_1",0.0210900064421885
"113GAR110_6.30.09_1",0.0210900064421885
"113GAR110_9.2.14_1",0.0210900064421885
"113PS0084_8.18.09_1",0.0308419628902842
"113PS0100_8.25.09_1",0.0087634467386817
"113PS0132_9.15.10_1",0.0200604655396942
"113PS0196_8.1.12_1",0.0216987369041819
"114CR0903_8.26.13_1",0.0253316731349922
"114CR0903_9.25.13_1",0.0253316731349922
"114PS0149_7.10.12_1",0.0206506482214667
"114PS0152_7.7.11_1",0.0192843431649715
"114PS0152_8.18.11_1",0.0192843431649715
"114RR1041_10.10.11_1",0.0127182037917566
"114RR1041_10.25.11_1",0.0127182037917566
"114RR1041_10.25.11_2",0.0127182037917566
"114RR1041_8.2.11_1",0.0127182037917566
"114RR1041_9.7.11_1",0.0127182037917566
"114RR1310_6.2.11_1",0.0126070926806455
"114RR1599_10.10.11_1",0.00665982555111044
"114RR1599_10.25.11_1",0.00665982555111044
"114RR1599_6.2.11_1",0.00665982555111044
"114RR1599_6.27.11_1",0.00665982555111044
"114RR1599_8.2.11_1",0.00665982555111044
"114RR1599_8.2.11_2",0.00665982555111044
"114RR1599_9.7.11_1",0.00665982555111044
"114RR2678_10.11.11_1",0.0227326864011967
"114RR2678_10.24.11_1",0.0227326864011967
"114RR2678_6.29.11_1",0.0227326864011967
"114RR2678_8.1.11_1",0.0227326864011967
"114RR2678_9.13.11_1",0.0227326864011967
"114RR2769_6.1.11_1",0.0236817035930646
"114RR2899_10.11.11_1",0.0192209902338322
"114RR2899_10.24.11_1",0.0192209902338322
"114RR2899_6.1.11_1",0.0192209902338322
"114RR2899_6.29.11_1",0.0192209902338322
"114RR2899_8.1.11_1",0.0192209902338322
"114RR2899_9.13.11_1",0.0192209902338322
"202BUT850_6.4.13_1",0.0210393004638236
"202PS0134_5.31.11_1",0.0102955250375311
"202R00087_5.30.12_1",0.0304153060317974
"202R00284_6.15.12_1",0.0259584065531384
"202R00908_5.21.13_1",0.0325900329902279
"203PS0070_7.19.10_1",0.0171947441908792
"203PS0070_9.7.10_1",0.0171947441908792
"203R00039_5.14.12_1",0.0173406613827643
"204ALP040_4.10.11_1",0.0234254724459157
"204ALP040_6.29.11_1",0.0234254724459157
"204ALP105_4.10.11_1",0.0452317481883245
"204ALP151_4.10.11_1",0.0337039218697398
"204ALP151_6.29.11_1",0.0337039218697398
"204PS0038_6.19.08_1",0.0284776174081449
"204PS0094_7.14.10_1",0.0424504674482758
"204PS0102_6.15.11_1",0.0254566227827953
"204PS0102_6.15.11_2",0.0254566227827953
"204PS0102_8.10.11_1",0.0254566227827953
"204PS0118_6.15.11_1",0.0173406613827643
"204R00047_6.6.12_1",0.0210954360929105
"204R00063_6.4.13_1",0.0324580281572103
"204R00068_5.31.12_1",0.0282038874440538
"204R00084_5.24.12_1",0.0322893747280373
"204R00100_5.30.12_1",0.0387365837776059
"204R00180_5.30.12_1",0.0159710812936026
"204R00191_5.29.12_1",0.0270140749661521
"204R00200_5.31.12_1",0.0143865958368231
"204R00232_6.12.12_1",0.0160241630771665
"204R00232_6.12.12_2",0.0160241630771665
"204R00244_6.12.12_1",0.0155658041996078
"204R00303_6.14.12_1",0.0344744826075412
"204R00319_6.7.12_1",0.0146657638948652
"204R00319_6.7.12_2",0.0146657638948652
"204R00327_5.7.13_1",0.0228184361934615
"204R00334_5.8.13_1",0.0274706656877452
"204R00340_6.11.12_1",0.0319165773674644
"204R00356_5.30.12_1",0.0202570672447071
"204R00356_6.4.12_1",0.0202570672447071
"204R00367_6.12.12_1",0.0115679534254864
"204R00383_6.11.12_1",0.0228184361934615
"204R00391_6.6.12_1",0.0352923576449696
"204R00436_5.20.13_1",0.026157327145476
"204R00447_4.2.13_1",0.030197686680751
"204R00447_4.22.13_1",0.030197686680751
"204R00455_6.13.12_1",0.0232298942937117
"204R00473_5.9.13_1",0.0129431256126719
"204R00473_5.9.13_2",0.0129431256126719
"204R00520_5.28.13_1",0.0253237006344797
"204R00583_6.13.12_1",0.0212288054115018
"204R00596_5.31.12_1",0.0180902837363072
"204R00623_6.3.13_1",0.0285581564041752
"204R00639_6.19.12_1",0.0250671172970081
"204R00680_5.28.13_1",0.0154524194775459
"204R00724_5.21.13_1",0.0324312883949119
"204R00807_5.21.13_1",0.0259584065531384
"204R00852_5.6.13_1",0.0233984765953237
"204R00884_5.20.13_1",0.026157327145476
"204R00967_4.25.13_1",0.0228184361934615
"204R01316_5.22.13_1",0.0223791321391669
"204R01471_5.22.13_1",0.0416877106347045
"205PS0045_6.17.09_1",0.0383386706882436
"205PS0045_6.17.09_2",0.0383386706882436
"205PS0074_7.14.10_1",0.0225209170763566
"205PS0106_6.21.11_1",0.0142232548150231
"205PS0109_6.21.11_1",0.0139305520850016
"205PS0138_6.1.11_1",0.0275821557467086
"205PS0157_6.19.12_1",0.0177952312338423
"205PS0170_6.19.12_1",0.0136542645466591
"205PS0173_6.20.12_1",0.0216929853095621
"205PS0173_6.20.12_2",0.0216929853095621
"205PS0202_5.22.13_1",0.01201680729242
"205PS0202_7.17.13_1",0.01201680729242
"205PS0221_5.20.13_1",0.0404490603159026
"205R00026_5.14.12_1",0.0384190567766887
"205R00035_5.24.12_1",0.0206964356867664
"205R00035_5.24.12_2",0.0206964356867664
"205R00042_5.21.12_1",0.035573452560409
"205R00067_6.3.12_1",0.0235583387355112
"205R00088_6.4.12_1",0.0348755877437623
"205R00090_5.23.12_1",0.0300350969720111
"205R00099_5.17.12_1",0.0139177315721811
"205R00115_6.5.12_1",0.0274447306978173
"205R00131_6.3.12_1",0.0205194584279632
"205R00154_5.22.12_1",0.0156079064054041
"205R00168_6.4.12_1",0.0313423543727481
"205R00174_4.23.13_1",0.0212602615518989
"205R00218_5.23.12_1",0.0410917658226095
"205R00227_6.5.12_1",0.0338276821978337
"205R00234_5.15.12_1",0.018770251235677
"205R00241_5.21.12_1",0.0209827784498829
"205R00259_6.14.12_1",0.0207633879287915
"205R00282_5.22.12_1",0.0429890788451636
"205R00291_6.13.12_1",0.0454477115831403
"205R00346_6.14.12_1",0.0276677955992663
"205R00346_6.14.12_2",0.0276677955992663
"205R00355_6.13.12_1",0.0319059861884593
"205R00387_6.6.13_1",0.0317200337875229
"205R00419_6.11.13_1",0.0318275195560224
"205R00430_6.5.12_1",0.0242183836287833
"205R00451_6.5.13_1",0.046360422876687
"205R00474_5.9.13_1",0.0408966051536936
"205R00535_6.20.12_1",0.0228184361934615
"205R00535_6.20.12_2",0.0228184361934615
"205R00538_5.8.13_1",0.032037259819973
"205R00547_6.4.13_1",0.0193580187603125
"205R00554_5.29.13_1",0.0223994200545162
"205R00586_6.10.13_1",0.0380757252728488
"205R00602_6.3.13_1",0.0359508411149722
"205R00627_6.4.13_1",0.0204974955364219
"205R00666_5.9.13_1",0.0408800607315853
"205R00686_4.24.13_1",0.0274866332042709
"205R00707_6.5.13_1",0.0214289388711634
"205R00707_6.5.13_2",0.0214289388711634
"205R00714_6.10.13_1",0.0387833104242756
"205R00739_6.11.13_1",0.0285757737290761
"205R00771_6.6.13_1",0.0290475794548039
"205R00872_5.27.13_1",0.0221618932014579
"205R00878_4.24.13_1",0.0208758347824434
"205R00984_5.27.13_1",0.0102269751201331
"205R01134_5.20.13_1",0.0232004159278887
"205R01198_5.20.13_1",0.0323036841210834
"205R01390_5.23.13_1",0.0324162722161852
"205SAR057_5.13.09_1",0.0436533873858144
"205SAR060_5.13.09_1",0.0182080239418691
"205SAR070_5.14.09_1",0.0333097750937407
"205SAR080_5.14.09_1",0.0391461728433823
"206FCA155_7.31.13_1",0.0173406613827643
"206HMC030_8.8.11_1",0.0207146559100748
"206MIL020_8.23.11_1",0.0174921860802887
"206NAP090_8.25.11_1",0.0298054438519959
"206NAP150_8.29.11_1",0.0195660361522036
"206NAP200_8.31.11_1",0.0237126978466019
"206PS0054_6.15.09_1",0.033722376779777
"206PS0073_7.20.10_1",0.0164133937194326
"206PS0165_7.10.12_1",0.0229224848150506
"206PS0230_6.5.13_1",0.0341421364513041
"206R00155_5.16.12_1",0.022613926830353
"206R00215_5.23.12_1",0.0341421364513041
"206R00551_4.30.14_1",0.0230505339620788
"206R00727_5.13.13_1",0.0530529927413241
"206R00919_5.15.14_1",0.0416878306638674
"206RED032_8.16.11_1",0.0407892684186132
"206SAL050_8.9.11_1",0.0232322025110825
"206SON019_9.14.11_1",0.031807379831062
"206SON050_9.12.11_1",0.020780062723168
"206SON210_9.7.11_1",0.0195332167685622
"206TUL030_8.15.11_1",0.0293299906244232
"207LPC025_5.13.14_1",0.019163449977993
"207PS0142_6.1.11_1",0.0444649872288545
"207PS0150_6.13.12_1",0.0345123495407203
"207PS0150_6.13.12_2",0.0345123495407203
"207PS0241_6.3.13_1",0.0403211388236326
"207R00011_5.22.12_1",0.0298435004854276
"207R00139_5.17.12_1",0.0416324582468439
"207R00139_5.17.12_2",0.0416324582468439
"207R00247_5.22.12_1",0.0442287614610796
"207R00375_5.1.13_1",0.0366865618462609
"207R00395_5.14.13_1",0.0282154591607422
"207R00503_5.2.13_1",0.0240451080613602
"207R00532_4.29.13_1",0.0236275800991646
"207R00567_4.30.13_1",0.0305462223985667
"207R00567_4.30.13_2",0.0305462223985667
"207R00631_5.16.13_1",0.0253426831703219
"207R00631_5.17.13_2",0.0253426831703219
"207R00788_5.15.13_1",0.0290064673030369
"207R00843_4.22.14_1",0.0426717698391746
"207R00843_4.22.14_2",0.0426717698391746
"304BEP_7.7.11_1",0.0529601803323976
"304BH9_7.21.11_1",0.0372028036776676
"304PS0006_6.17.08_1",0.0239068272037927
"304PS0006_6.4.08_1",0.0239068272037927
"304PS0006_6.4.08_2",0.0239068272037927
"304PS0146_6.18.12_1",0.0357378508976823
"304PS0146_7.11.12_1",0.0357378508976823
"304PS0274_6.4.14_1",0.0380318676934232
"304SL9_7.21.11_1",0.0525548423268725
"304SL9_7.21.11_2",0.0525548423268725
"304SOU_7.6.11_1",0.0339484197847286
"304ZAY_7.7.11_1",0.0397931117526881
"305COR2_7.21.11_1",0.0314376254391564
"305PS0034_6.17.08_1",0.0198790903711937
"305PS0057_6.16.09_1",0.0429652808456026
"305PS0061_6.17.09_1",0.0135442562667951
"309PS0072_6.23.10_1",0.0293255691321982
"309PSO_5.22.12_1",0.0522373049687206
"309SAT_5.23.12_1",0.0462169308341678
"309SET_5.31.12_1",0.0262908848952467
"309SET_5.31.12_2",0.0262908848952467
"312ORB_5.15.13_1",0.0198028492623283
"402M00002_8.13.15_1",0.0295145660909643
"403BA0047_5.15.08_1",0.00942755344163768
"403BA0068_5.14.08_1",0.035782921728194
"403M05758_6.29.15_1",0.0117364849970043
"403S01784_6.9.09_1",0.00754278221209961
"403S03320_6.8.10_1",0.027886331364244
"403S03832_6.8.09_1",0.00799845568778733
"403S04868_6.15.11_1",0.0228719337093083
"403S05247_6.1.10_1",0.0050023917904527
"403S11084_6.9.10_1",0.0133921344883981
"403S14156_6.9.09_1",0.0117537354051602
"403S34646_6.25.13_1",0.0134302668041822
"403S39062_6.25.13_1",0.0116177645215662
"404BA0084_6.4.08_1",0.0249362377435923
"404BA0142_6.18.08_1",0.0433012799162288
"404BA0376_6.5.08_1",0.041162008943417
"404BA0376_6.5.08_2",0.041162008943417
"404BA0808_6.2.08_1",0.0287001644668768
"404BA0808_6.3.14_1",0.0287001644668768
"404M04532_7.14.15_1",0.0297014928480459
"404M07346_7.1.15_1",0.0434328279925875
"404M07349_7.15.15_1",0.040371913470484
"404S00808_6.22.10_1",0.0287001644668768
"404S02920_5.12.09_1",0.0278949419434421
"404S03048_5.13.09_1",0.0278610679363888
"404S05992_5.12.09_1",0.0287997832961566
"404S08040_5.12.09_1",0.0414737607998302
"404S08616_5.13.09_1",0.0310608871884788
"404S08616_5.13.09_2",0.0310608871884788
"404S11880_6.7.11_1",0.0516510182877735
"404S11880_6.7.11_2",0.0516510182877735
"404S13160_6.21.10_1",0.0289258173719286
"404S13416_6.8.11_1",0.0509823321637605
"404S13672_6.8.11_1",0.0320946714025154
"404S14952_6.15.11_1",0.0532922335820881
"404S16232_6.9.11_1",0.0325174979977036
"404S16516_5.18.09_1",0.0399368257236914
"404S17016_6.5.13_1",0.0287914775981899
"404S17664_5.20.09_1",0.0418371770071779
"404S18250_6.5.13_1",0.0310608871884788
"404S18666_6.15.11_1",0.0291120128507749
"404S22464_5.19.09_1",0.0415013178489455
"404S24066_6.4.13_1",0.0428033906066509
"404S25668_6.23.10_1",0.0419088175549246
"404S25668_6.23.10_2",0.0419088175549246
"404S26670_6.18.12_1",0.0350625881391909
"404S26868_6.26.12_1",0.0509823321637605
"404S27470_6.19.12_1",0.0290441356535048
"404S28068_6.20.12_1",0.0535468868901485
"404S28270_6.18.12_1",0.0323787829847178
"404S31468_6.19.12_1",0.0289258173719286
"404S33670_6.19.12_1",0.0504400305310937
"404S34120_6.21.12_1",0.0383470566389871
"404S35270_6.20.12_1",0.0520247569940013
"404S37670_6.6.13_1",0.0416580564286294
"404S44210_6.20.13_1",0.0413871734344936
"404S44532_6.4.13_1",0.0310608871884788
"404S44642_6.4.13_1",0.0435992689979993
"405M10598_6.30.15_1",0.0142767994031221
"405M10599_6.30.15_1",0.0240530259841858
"407M01516_6.24.15_1",0.0182267297542926
"408BA0036_5.5.08_1",0.0416580564286294
"408BA0036_6.2.14_1",0.0416580564286294
"408BA0036_6.2.14_2",0.0416580564286294
"408BA0580_5.7.08_1",0.0223648209507578
"408BA0836_5.7.08_1",0.0298411523339072
"408BA0836_6.4.14_1",0.0298411523339072
"408BA0916_5.8.08_1",0.0318562290993689
"408BH5Axx_6.18.10_1",0.0457770071587922
"408BH5Bxx_6.18.10_1",0.0462126970912638
"408BH5Cxx_6.18.10_1",0.0462126970912638
"408BH6Axx_6.21.10_1",0.029083409111597
"408BH6Bxx_6.21.10_1",0.0284771258309831
"408BH6Cxx_6.21.10_1",0.0284771258309831
"408M03005_6.15.15_1",0.0376395276185916
"408M03015_6.15.15_1",0.0477004094179827
"408M03019_7.14.15_1",0.0369493541342429
"408PS0032_5.21.08_1",0.0291734011972186
"412BH4Cxx_6.18.10_1",0.0236896565159366
"412BH4Cxx_6.18.10_2",0.0236896565159366
"412BH4Cxx_6.18.10_3",0.0236896565159366
"412CE0232_7.16.15_1",0.019113470900515
"412M08597_7.16.15_1",0.0228954284749672
"412M08599_9.30.15_1",0.0112882927898989
"412M08602_9.30.15_1",0.0119254144947446
"412PS0020_5.14.08_1",0.0228184361934615
"412PS0020_5.22.08_1",0.0228184361934615
"412PS0040_5.20.08_1",0.0176229502165726
"412PS0052_5.20.08_1",0.0567039557608415
"412PS0052_5.20.08_2",0.0567039557608415
"504PS0019_6.30.08_1",0.0169626025005964
"504PS0238_7.29.09_1",0.0120008300863303
"504PS0243_6.9.09_1",0.0225300515619343
"504PS0295_7.5.11_1",0.0150484054692372
"504PS0295_7.5.11_2",0.0150484054692372
"504PS0371_7.7.10_1",0.00787739367953445
"504PS0595_6.4.13_1",0.0269714554695318
"507PS0286_7.13.11_1",0.0302615761827017
"507RCABRS_10.21.14_1",0.0176551547124942
"508CR1011_7.16.13_1",0.0108217923639764
"508PS0618_6.3.13_1",0.0244289476838583
"509BCCH32_8.13.08_1",0.00581692856301768
"510CR1007_6.3.13_1",0.0201985886062445
"511CCC505_6.25.08_1",0.0280155388466346
"511FC1357_7.28.14_1",0.0573323584660809
"511PS0081_6.25.08_1",0.0210901029043303
"511PS0145_6.24.08_1",0.0578083773130407
"511PS0209_7.8.09_1",0.0121449569162634
"511PS0401_9.23.10_1",0.060064523268201
"511PS0401_9.23.10_2",0.060064523268201
"511PS0657_5.19.14_1",0.0408285455606254
"514PS0084_7.8.08_1",0.0304113619523379
"514PS0351_7.16.12_1",0.0340484267798271
"515PS0106_9.24.08_1",0.0291945739450775
"515PS0106_9.24.08_2",0.0291945739450775
"515PS0410_9.7.11_1",0.0139204568318318
"515PS0490_6.14.12_1",0.0369424477890438
"515PS0622_6.10.13_1",0.0242552933857089
"516PS0014_8.11.08_1",0.0118715442623445
"516PS0543_8.7.13_1",0.0259561086438659
"517FCA222_7.10.13_1",0.00501017676637218
"517PS0078_9.19.11_1",0.00618584462533715
"519CR0912_7.17.13_1",0.0104083757349711
"519MNRASR_7.9.08_1",0.0208447197975876
"519PS0002_6.26.08_1",0.0151907217764737
"519PS0002_7.17.08_1",0.0151907217764737
"519PS0002_7.22.09_1",0.0151907217764737
"519PS0002_8.5.10_1",0.0151907217764737
"519PS0134_7.7.08_1",0.0163812527420361
"519PS0194_9.10.09_1",0.0251845956971842
"519PS0253_7.23.09_1",0.0320934770099275
"519PS0253_7.23.09_2",0.0320934770099275
"519PS0290_7.28.10_1",0.0138591551364633
"519PS0305_7.21.10_1",0.016524032079157
"519PS0322_7.8.10_1",0.0253865455627465
"519PS0340_6.26.12_1",0.0261846748154835
"519PS0390_7.28.10_1",0.0164923638531472
"519PS0402_9.28.10_1",0.032075957388795
"519PS0402_9.28.10_2",0.032075957388795
"519PS0449_9.6.11_1",0.0196762468134874
"519PS0449_9.6.11_2",0.0196762468134874
"519PS0450_7.18.11_1",0.0140186557274799
"519PS0514_6.26.12_1",0.0302321552000383
"519PS0514_7.30.12_1",0.0302321552000383
"519PS0534_6.25.12_1",0.0207315408218303
"519PS0561_6.27.12_1",0.0227342108901689
"519PS0561_6.27.12_2",0.0227342108901689
"519PS0578_5.29.13_1",0.03520215872901
"519PS0578_5.29.13_2",0.03520215872901
"519PS0646_5.27.14_1",0.0137209049388232
"519SCRAMR_7.9.08_1",0.0346504513691442
"519SCRAMR_9.22.08_1",0.0346504513691442
"520CR1010_7.15.13_1",0.0140783182429401
"520FC1087_6.24.14_1",0.0153974400425734
