"","Predicted"
"102PS0139_8.9.10_1",0.0524881374367032
"103FCA168_7.24.13_1",0.0197027694800652
"103PS0217_9.10.13_1",0.0420857867807677
"103RDCBCC_7.21.11_1",0.0580925451127362
"105PS0028_8.12.08_1",0.0187444408462971
"105PS0028_8.26.08_1",0.0291992855506918
"105PS0067_8.24.09_1",0.032934423142511
"105PS0067_8.24.09_2",0.032934423142511
"105PS0067_9.15.09_1",0.0369763023061821
"105PS0069_8.18.09_1",0.0393528801733672
"105PS0092_8.11.08_1",0.0140402200649909
"105PS0107_9.14.09_1",0.0297885148528085
"105PS0129_8.11.10_1",0.0430436743935863
"105PS0129_8.11.10_2",0.0430436743935863
"105PS0149_8.29.12_1",0.0532124580439137
"105PS0211_8.20.13_1",0.0564106211850131
"105PS0211_9.16.13_1",0.0529053603043744
"105PS0231_8.29.13_1",0.0558502972388337
"105PS0276_9.1.09_1",0.0242849682155296
"105PS0276_9.22.09_1",0.0219715842688299
"105PS0540_8.5.10_1",0.0141773849934411
"105PS1148_9.18.12_1",0.0588197837992099
"105PS1404_8.28.13_1",0.0564446826276252
"105PS1404_8.28.13_2",0.0564446826276252
"106FCA036_7.15.13_1",0.0378351903763419
"106HLCACC_9.23.13_1",0.0402054342806882
"106PS0022_9.30.08_1",0.0456205137722051
"106PS0051_9.16.08_1",0.0468404111373174
"106PS0051_9.16.08_2",0.0468404111373174
"106PS0106_9.8.09_1",0.0297690903631556
"106PS0106_9.8.09_2",0.0297690903631556
"106PS0122_9.20.10_1",0.0413089720198436
"106PS0142_7.19.10_1",0.0386052681592248
"106PS0206_10.3.12_1",0.0439228749198196
"106PTCAHC_9.2.08_1",0.0389904163104734
"107GWCAPC_9.15.10_1",0.0378144619601646
"107RWCBHW_8.3.11_1",0.0474230159530209
"107RWCBHW_8.3.11_2",0.0474230159530209
"108PS0197_8.16.12_1",0.0375306764200415
"110PS0114_7.21.10_1",0.0451993522009347
"110SMCATH_7.27.11_1",0.039541302613719
"111CE0569_10.11.10_1",0.0462418775987025
"111FCA207_7.23.13_1",0.0572248977110499
"111PS0008_9.29.08_1",0.0336231660732451
"111PS0008_9.9.08_1",0.0403405496052381
"111PS0008_9.9.08_2",0.0403405496052381
"111PS0013_8.19.08_1",0.0438775319435653
"111PS0095_8.27.09_1",0.0438468359486867
"111PS0095_8.27.09_2",0.0438468359486867
"111PS0121_7.20.10_1",0.0479063868210913
"111PS0159_7.14.11_1",0.0483124060071515
"111PS0169_7.25.11_1",0.047709442828202
"111PS0169_7.25.11_2",0.047709442828202
"111PS0178_8.14.12_1",0.0464721708880481
