"","Predicted"
"102PS0177_8.28.12_1",0.0552941387173992
"103CDCHHR_9.14.10_1",0.0422615047892818
"103STCNSR_8.9.11_1",0.0762142073698603
"103WER026_8.15.12_1",0.0354221859460545
"103WER029_7.16.14_1",0.0180803195489287
"103WER030_8.10.11_1",0.0621369858158058
"105BVCAGC_9.21.10_1",0.0465656976698106
"105CE0329_7.23.14_1",0.0180337938649065
"105CLCATC_8.10.10_1",0.0412640274451153
"105DLCDCC_10.20.09_1",0.0397320915477636
"105FCA116_7.16.13_1",0.0497258686905134
"105FS0416_9.24.13_1",0.0351930973898115
"105FS0425_8.10.11_1",0.0339288374318504
"105FS0428_8.3.11_1",0.0758457086855864
"105NWC151_6.26.13_1",0.0185684474430917
"105PS0043_9.17.08_1",0.046267987518379
"105PS0083_9.8.09_1",0.0337537119473376
"105PS0090_8.7.12_1",0.0384304005642962
"105PS0097_7.22.14_1",0.0263388561069633
"105PS0154_8.9.11_1",0.0354291724311931
"105PS0195_8.7.12_1",0.0412373409915217
"105PS0259_9.17.13_1",0.0431063300182719
"105PS0267_7.21.14_1",0.0313257375172538
"105PS0468_9.1.09_1",0.03117203773436
"105PS0540_9.15.10_1",0.0294667402695193
"105PS1492_8.6.14_1",0.013109438574094
"105WE0598_7.24.14_1",0.0159093825844134
"105WLC135_6.26.13_1",0.0229292595466025
"105WLCABC_8.3.11_1",0.0611274239983297
"106FS0040_8.30.11_1",0.0752398800656804
"106PS0115_9.21.10_1",0.030922405229828
"106PS0124_8.16.10_1",0.0431824056310222
"106PS0166_8.2.11_1",0.0425352373581696
"106WE0505_7.21.14_1",0.0196941921186075
"106WER011_9.11.13_1",0.0350187754707405
"107PS0021_7.14.14_1",0.0157211283250384
"107WER092_8.27.12_1",0.0405951481446826
"111BBRBCC_9.23.09_1",0.0607944864660413
"111CBCAER_8.8.13_1",0.0412978717872631
"111ERATRC_10.10.12_1",0.0381726899350614
"111FS0001_7.5.11_1",0.0504237162465377
"111FS0008_7.19.12_1",0.0399149574026669
"111HSCAER_7.26.11_1",0.0338037427639949
"111PS0060_10.7.08_1",0.0278806166571823
"111PS0110_6.9.14_1",0.0149815830720717
"111PS0144_8.18.10_1",0.049516809778343
"111PS0160_7.25.11_1",0.0469260055265647
"111PS0204_8.17.10_1",0.073553337248366
"111RSCAER_8.8.11_1",0.0640635897207865
"111TGCAER_7.24.12_1",0.0432505614193644
"111WE0816_6.12.13_1",0.0111130434312211
"111WE1050_6.12.13_1",0.00640751932206931
"111WE1071_7.26.12_1",0.0222336046472032
"111WER003_6.10.14_1",0.0170486789761661
"111WER008_7.23.12_1",0.0304858269013902
"111WER159_10.19.09_1",0.058926184141849
"113RG8046_8.19.10_1",0.0458283700302411
"114CE0131_7.31.12_1",0.0354729048278956
"114PS0145_6.20.11_1",0.0465669625500367
"114WE0614_7.9.12_1",0.0298035190824554
