"","Predicted"
"103KLCMSR_9.14.10_1",0.0435106231121826
"105PS0193_8.29.12_1",0.0401189786903673
"105PS0660_8.3.10_1",0.0151924495014347
"105TMCACC_8.10.10_1",0.0416158351524901
"106MNCAHC_10.1.08_1",0.0348755119136511
"106WE1079_8.8.12_1",0.0416059678651525
"106WER016_10.20.09_1",0.0431981363542938
"107LLM101_9.13.10_1",0.0426526716430099
"111BGCAER_6.11.14_1",0.0280618570999485
"111FS0007_7.11.11_1",0.0476442097693128
"111PAL105_7.13.11_1",0.0203154497065759
"202SPE090_6.15.09_1",0.0773872034053829
"205AAG075_6.12.13_1",0.0399076121342839
"205COY850_5.21.12_1",0.0304772293966181
"205SFC880_6.19.12_1",0.0446935902739378
"206BRC020_6.27.12_1",0.0382968154241739
"207SUI290_6.4.12_1",0.0447874389425321
"307CMRADC_5.20.14_1",0.0365400095384082
"308LSRASC_7.18.11_1",0.0484753542360712
"308MWCAH1_6.23.10_1",0.0559694011223952
"308PS0156_6.19.12_1",0.0417405208072036
"308ROCBBQ_6.21.12_1",0.0742596995694684
"309ARCBRC_8.25.08_1",0.0357883683057149
"309PS0116_6.16.11_1",0.0395752437057951
"312PS0099_6.14.10_1",0.0350426157649096
"315CHCALS_6.15.10_1",0.0503638771831349
"402BA0095_5.29.08_1",0.0390282862715301
"402M00009_6.29.15_1",0.0683312815642915
"403S00960_6.2.10_1",0.0405837975131023
"403S01536_7.12.11_1",0.0446719328635682
"403WE0540_5.14.14_1",0.0105633612068949
"403WE0683_5.15.13_1",0.0322925156711434
"505PS0110_9.16.10_1",0.0481576592955215
"513CCNASC_7.16.14_1",0.0413832130574294
"513STCAIV_6.12.14_1",0.033064285503673
"513UNCAKC_9.23.09_1",0.0310795013319341
"514SSC190_9.11.14_1",0.022284487839633
"517FCA046_8.14.13_1",0.0556439940150061
"518BTCASC_6.12.13_1",0.00780799162540778
"518FCA075_8.12.13_1",0.0395378720742301
"518SPC134_6.18.13_1",0.0140284882955002
"522GSCBSC_9.24.09_1",0.0426300137226078
"522PS0504_6.11.13_1",0.0292852637596831
"526PNCAMF_6.25.13_1",0.0104326466163426
"526PS1420_6.25.13_1",0.023642420707462
"534MLC108_9.14.11_1",0.0161865485259929
"536HLCBFM_6.18.13_1",0.010554530325542
"537TYCAML_7.16.08_1",0.0225406084036571
"540SED003_8.30.11_1",0.0307024806460217
"552DKC268_6.23.14_1",0.022084036408223
"552MFCAKR_6.11.08_1",0.0457730084895885
"553KRNAYC_6.17.14_1",0.0336879513053029
"554CLCALK_8.23.11_1",0.0252443414113658
"603DDM005_9.13.11_1",0.0309151450938807
"603FCA145_8.21.13_1",0.0215209378991999
"603PS0008_7.30.08_1",0.0191428020633193
"603PS0075_8.15.12_1",0.0166051643201267
"603PS0109_7.29.08_1",0.0117376865996827
"603PS0557_8.18.10_1",0.0222866090755255
"603SPCBWC_7.22.08_1",0.0206417304060694
"631DEP001_8.28.12_1",0.0280997680688879
"631PS0033_8.30.10_1",0.0307024806460217
"632ELD001_9.8.11_1",0.0248234777308377
"634CAT055_10.4.11_1",0.0132245038046056
"634GRF001_10.3.11_1",0.0126017036411559
"634HHCATC_10.4.11_1",0.0159702404005543
"634PS0035_9.1.10_1",0.0231466790087889
"634PS0062_10.12.11_1",0.0152865116592466
"634WSN001_10.4.11_1",0.0197302389065904
"636SAG001_7.12.10_1",0.0272872509249074
"639PS1279_6.11.13_1",0.0130050080066719
"641OWC157_7.24.13_1",0.0169916109085311
"722NP7IDC_4.16.14_1",0.0152746266369902
"801DRC025_6.25.14_1",0.0218679781935103
"801S03488_5.7.14_1",0.018925701162322
"801WE0674_5.14.13_1",0.0184573246060952
"801WE1008_5.14.13_1",0.0223335011972444
"801WE1132_8.19.09_1",0.0232585135729768
"901ATCAAS_6.5.08_1",0.0374603285309913
"901CSCADC_5.26.11_1",0.0362933388405709
"901S06969_5.31.12_1",0.0303642642135806
"903WE0798_4.8.15_1",0.014914934992969
"905BCC_6.11.14_1",0.0421529218535305
"905S02561_5.25.11_1",0.0150142628512951
"909JQCASR_6.1.11_1",0.0284500438067146
"911S03354_5.5.09_1",0.0206149155505315
"911TJIND2_5.8.08_1",0.0261645578850948
"911TJLCC2_4.7.15_1",0.0168819802041544
"SCFC1_6.12.08_1",0.0403724178810086
"SCSS1_6.17.08_1",0.0324962499742516
"SMAD1_11.5.08_1",0.0337658725520424
"SMC00135_6.7.10_1",0.0337499654572396
"SMC01979_7.14.11_1",0.0476572792248819
"SMC02139_7.17.12_1",0.0241264864982446
"SMC04204_7.11.12_1",0.045707862823475
"SMC04383_5.19.14_1",0.032889233737933
"SMC06467_6.28.10_1",0.0428465015493711
"SMC19809_6.25.13_1",0.0391932097216959
