"","Predicted"
"105PS0188_8.26.08_1",0.0444769608434678
"105PS0188_8.26.08_2",0.0444769608434678
"106FC1183_7.24.14_1",0.0295631904624633
"106FC1313_7.23.14_1",0.0340770432770408
"106PS0078_8.26.09_1",0.0567768671558122
"106PS0173_8.4.11_1",0.0702393019315055
"106PS0186_9.26.12_1",0.0243771998241498
"109PS0162_7.20.11_1",0.0411204567579953
"110ECSLSF_7.26.11_1",0.0247216487152361
"110FCA102_7.25.13_1",0.0302338127388146
"111CR1012_8.18.14_1",0.0459864329679897
"111PS0057_8.18.08_1",0.0523386981684876
"113GAR010_6.8.09_1",0.0759728810645413
"113GAR010_8.27.12_1",0.0542117047910163
"113GAR038_6.8.09_1",0.0533674623928912
"113GAR038_9.10.12_1",0.0433616734076383
"113GAR046_6.18.12_1",0.0355030054773946
"113GAR046_6.8.09_1",0.0358396953236784
"113GAR046_9.2.14_1",0.0350423146045823
"113GAR061_6.19.12_1",0.0407885043215871
"113GAR061_7.1.09_1",0.0320822706988218
"113GAR061_9.3.14_1",0.0404804869288829
"113GAR061_9.3.14_2",0.0404804869288829
"113GAR084_6.28.10_1",0.0434050826888916
"113GAR094_7.27.10_1",0.0267165454730702
"113GAR094_7.27.10_2",0.0267165454730702
"113GAR110_6.18.12_1",0.0355030054773946
"113GAR110_6.30.09_1",0.0338931766088022
"113GAR110_9.2.14_1",0.0350423146045823
"113PS0084_8.18.09_1",0.0428284932519219
"113PS0100_8.25.09_1",0.0405249899642156
"113PS0132_9.15.10_1",0.0451293682417245
"113PS0196_8.1.12_1",0.0310833991028159
"114CR0903_8.26.13_1",0.053234645938859
"114CR0903_9.25.13_1",0.0498563241435367
"114PS0149_7.10.12_1",0.0211260440782835
"114PS0152_7.7.11_1",0.0401729127348178
"114PS0152_8.18.11_1",0.0453486343864251
"114RR1041_10.10.11_1",0.0409427425933011
"114RR1041_10.25.11_1",0.0409934629575678
"114RR1041_10.25.11_2",0.0409934629575678
"114RR1041_8.2.11_1",0.0448397823765334
"114RR1041_9.7.11_1",0.0421151201099619
"114RR1310_6.2.11_1",0.0173895664485273
"114RR1599_10.10.11_1",0.0417661215623502
"114RR1599_10.25.11_1",0.0418071894752365
"114RR1599_6.2.11_1",0.0216269321242191
"114RR1599_6.27.11_1",0.0501212839506342
"114RR1599_8.2.11_1",0.0454711092432118
