"","Predicted"
"102PS0139_8.9.10_1",0.0047410083979279
"103FCA168_7.24.13_1",0.000822267781117449
"103PS0217_9.10.13_1",0.0111823535069864
"103RDCBCC_7.21.11_1",0.000234163332374702
"105PS0028_8.12.08_1",0.000392118035610932
"105PS0028_8.26.08_1",0.000392118035610932
"105PS0067_8.24.09_1",-6.67521593555875e-18
"105PS0067_8.24.09_2",-6.67521593555875e-18
"105PS0067_9.15.09_1",-6.67521593555875e-18
"105PS0069_8.18.09_1",0.00628483340355936
"105PS0092_8.11.08_1",0.00402681496254576
"105PS0107_9.14.09_1",0.0026514118706589
"105PS0129_8.11.10_1",-7.00481339599435e-18
"105PS0129_8.11.10_2",-7.00481339599435e-18
"105PS0149_8.29.12_1",0.00123480051566407
"105PS0211_8.20.13_1",0.00186939235273292
"105PS0211_9.16.13_1",0.00186939235273292
"105PS0231_8.29.13_1",0.000930001183886632
"105PS0276_9.1.09_1",0.0078635227894461
"105PS0276_9.22.09_1",0.0078635227894461
"105PS0540_8.5.10_1",0.0012369278596432
"105PS1148_9.18.12_1",-6.48092690624935e-18
"105PS1404_8.28.13_1",0.00122375236013296
"105PS1404_8.28.13_2",0.00122375236013296
"106FCA036_7.15.13_1",0.00596834862502627
"106HLCACC_9.23.13_1",0.0224858433793779
"106PS0022_9.30.08_1",0.0034563973063973
"106PS0051_9.16.08_1",0.00217555950556725
"106PS0051_9.16.08_2",0.00217555950556725
"106PS0106_9.8.09_1",-7.77850006628e-18
"106PS0106_9.8.09_2",-7.77850006628e-18
"106PS0122_9.20.10_1",0.00235641715685602
"106PS0142_7.19.10_1",-6.69950206422243e-18
"106PS0206_10.3.12_1",0.00410792479937216
"106PTCAHC_9.2.08_1",0.000914207834163413
"107GWCAPC_9.15.10_1",0.0285823221264619
"107RWCBHW_8.3.11_1",0.00303356902533352
"107RWCBHW_8.3.11_2",0.00303356902533352
"108PS0197_8.16.12_1",0.00148265322076298
"110PS0114_7.21.10_1",0.000676577985070282
"110SMCATH_7.27.11_1",0.0176585412616321
"111CE0569_10.11.10_1",0.00907449424777012
"111FCA207_7.23.13_1",0.0197751390850529
"111PS0008_9.29.08_1",0.00051667980295566
"111PS0008_9.9.08_1",0.00051667980295566
"111PS0008_9.9.08_2",0.00051667980295566
"111PS0013_8.19.08_1",0.000585668894161191
"111PS0095_8.27.09_1",0.00046871100164203
"111PS0095_8.27.09_2",0.00046871100164203
"111PS0121_7.20.10_1",0.000441020439167908
"111PS0159_7.14.11_1",0.00379137671716849
"111PS0169_7.25.11_1",0.019296190032828
"111PS0169_7.25.11_2",0.019296190032828
