"","Predicted"
"102PS0177_8.28.12_1",0.0295051928304946
"103CDCHHR_9.14.10_1",0.00159107859653502
"103STCNSR_8.9.11_1",0.000361772440534095
"103WER026_8.15.12_1",0.00190627605153467
"103WER029_7.16.14_1",0.00272394967711336
"103WER030_8.10.11_1",0.00138932783362716
"105BVCAGC_9.21.10_1",0.000296424671976454
"105CE0329_7.23.14_1",0.000274489030061782
"105CLCATC_8.10.10_1",1.75438596491201e-05
"105DLCDCC_10.20.09_1",0.00562941764649184
"105FCA116_7.16.13_1",1.4705882352939e-05
"105FS0416_9.24.13_1",0.000871369780261269
"105FS0425_8.10.11_1",0.000200460487225189
"105FS0428_8.3.11_1",2.94117647058797e-05
"105NWC151_6.26.13_1",0.00267605310492262
"105PS0043_9.17.08_1",0.000850089247008374
"105PS0083_9.8.09_1",0.000348373313220532
"105PS0090_8.7.12_1",0.0150450655295553
"105PS0097_7.22.14_1",0.000821337823995076
"105PS0154_8.9.11_1",0.00127380826746498
"105PS0195_8.7.12_1",-6.69603261727048e-18
"105PS0259_9.17.13_1",0.000847138047138043
"105PS0267_7.21.14_1",0.00125073618289389
"105PS0468_9.1.09_1",0.00152290983842217
"105PS0540_9.15.10_1",0.0012369278596432
"105PS1492_8.6.14_1",0.00663774725649679
"105WE0598_7.24.14_1",2.63157894736765e-05
"105WLC135_6.26.13_1",0.000965185536580223
"105WLCABC_8.3.11_1",0.000330396074683621
"106FS0040_8.30.11_1",0.000353522875816991
"106PS0115_9.21.10_1",0.00895084787946176
"106PS0124_8.16.10_1",0.000476358057993842
"106PS0166_8.2.11_1",0.00394279817711483
"106WE0505_7.21.14_1",0.00374293669200601
"106WER011_9.11.13_1",0.00203550207961972
"107PS0021_7.14.14_1",0.000731358690208359
"107WER092_8.27.12_1",0.0331349862268516
"111BBRBCC_9.23.09_1",-6.47225328886947e-18
"111CBCAER_8.8.13_1",-6.46531439496556e-18
"111ERATRC_10.10.12_1",0.000204621095750122
"111FS0001_7.5.11_1",-6.48613107667728e-18
"111FS0008_7.19.12_1",0.000440572390572385
"111HSCAER_7.26.11_1",0.00132648275862069
"111PS0060_10.7.08_1",0.00406335463796154
"111PS0110_6.9.14_1",-5.75060832286312e-18
"111PS0144_8.18.10_1",0.000557575757575753
"111PS0160_7.25.11_1",0.000526482758620685
"111PS0204_8.17.10_1",-6.49306997058119e-18
"111RSCAER_8.8.11_1",0.000440001012632589
"111TGCAER_7.24.12_1",-6.68562427641461e-18
"111WE0816_6.12.13_1",0.00613627573395816
"111WE1050_6.12.13_1",0.00198204434124894
"111WE1071_7.26.12_1",0.00415204952367242
"111WER003_6.10.14_1",-6.64052146603922e-18
"111WER008_7.23.12_1",-6.67695065903473e-18
"111WER159_10.19.09_1",0.000468711001642031
"113RG8046_8.19.10_1",0.00625563585724078
"114CE0131_7.31.12_1",0.00645266501947536
"114PS0145_6.20.11_1",0.00178367290164796
"114WE0614_7.9.12_1",0.00172825174550777
"115EBAG01_7.1.10_1",0.0105940444250328
"201AHO350_6.20.12_1",0.0140668535460355
"201CHE300_6.18.12_1",0.00209567541572311
"201LAG335_7.15.09_1",0.00501692520097692
"201MRS020_9.13.10_1",0.00366514135167842
"202BUT030_6.29.10_1",0.000710299153582736
"202BUT040_6.4.14_1",0.00212604667672355
"202BUT050_6.16.09_1",0.00137592502853697
"202BUT480_6.25.12_1",0.0250417530420989
"202BUT600_6.26.12_1",0.0214484929197329
"202DRY010_6.5.13_1",0.00639664363617959
"202PES168_6.6.13_1",7.3935517219099e-05
"202R00024_6.6.12_1",-6.40112962635442e-18
"202R00280_5.22.13_1",3.84615384615321e-05
"204AHOACR_6.2.14_1",4.65392221489753e-05
"204ALA500_6.10.13_1",4.65392221489753e-05
"204ARH090_6.2.14_1",-7.77676534280403e-18
"204IND200_5.25.10_1",0.0105969607818746
"204R00189_5.6.13_1",0.00038740344622697
"204SIN300_5.15.12_1",0.0224005475946722
"204VAL400_5.19.14_1",-6.69256317031852e-18
"205AAG375_5.14.14_1",-7.79237785408782e-18
"205AAG400_6.5.12_1",-7.77850006628e-18
"205COY585_5.28.13_1",0.00087632118126347
"205COY610_6.3.10_1",0.000784442571865749
"205COY615_6.3.14_1",0.000432433676946404
"205COY853_5.29.14_1",6.0160427807479e-05
"205COY900_5.16.12_1",-7.78196951323196e-18
"205COY930_5.7.13_1",0.00256222386286038
"205CYCAHH_6.10.08_1",0.000782347642649789
"205CYCBBC_6.28.10_1",0.000665403153572597
"205LGA700_5.23.12_1",0.000298677956030892
"205R00021_5.16.12_1",0.0183019232573413
"205R00182_5.7.13_1",0.007812386036955
"205WUN450_6.11.12_1",0.0466512615016926
"205WUN550_5.6.13_1",0.0686931113237148
"206HCT020_5.29.12_1",0.00342522842043974
"206RCCBDC_7.20.10_1",0.000863522831969558
"206TUL120_6.13.11_1",0.0220007065252755
