"","Predicted"
"103KLCMSR_9.14.10_1",0.00246762896408638
"105PS0193_8.29.12_1",-7.78023478975598e-18
"105PS0660_8.3.10_1",0.00267605310492262
"105TMCACC_8.10.10_1",0.00141165148694032
"106MNCAHC_10.1.08_1",0.00462224333114426
"106WE1079_8.8.12_1",0.00362548077445686
"106WER016_10.20.09_1",0.00350663934587736
"107LLM101_9.13.10_1",0.00163427653334997
"111BGCAER_6.11.14_1",0.00125623648247178
"111FS0007_7.11.11_1",-6.47572273582142e-18
"111PAL105_7.13.11_1",0.0091454967822998
"202SPE090_6.15.09_1",0.00910510420294904
"205AAG075_6.12.13_1",0.00525054636137636
"205COY850_5.21.12_1",-7.78890840713586e-18
"205SFC880_6.19.12_1",-7.78890840713586e-18
"206BRC020_6.27.12_1",0.0183508821439856
"207SUI290_6.4.12_1",0.000297993119608745
"307CMRADC_5.20.14_1",0.000671279154101614
"308LSRASC_7.18.11_1",0.00438156409905698
"308MWCAH1_6.23.10_1",0.00136053236619951
"308PS0156_6.19.12_1",0.0054408201782439
"308ROCBBQ_6.21.12_1",0.00136053236619951
"309ARCBRC_8.25.08_1",0.00609215904273815
"309PS0116_6.16.11_1",9.91765127103447e-05
"312PS0099_6.14.10_1",-7.50614848055164e-18
"315CHCALS_6.15.10_1",0.005791375275427
"402BA0095_5.29.08_1",-6.39939490287844e-18
"402M00009_6.29.15_1",0.00592048036573899
"403S00960_6.2.10_1",0.0046131250586359
"403S01536_7.12.11_1",0.000707141600798316
"403WE0540_5.14.14_1",0.00446001117237572
"403WE0683_5.15.13_1",-6.37337405073879e-18
"505PS0110_9.16.10_1",-7.01001756642228e-18
"513CCNASC_7.16.14_1",0.00236427091427091
"513STCAIV_6.12.14_1",0.00350723507430884
"513UNCAKC_9.23.09_1",0.00356052413186735
"514SSC190_9.11.14_1",0.00265464147363938
"517FCA046_8.14.13_1",0.00864233791398651
"518BTCASC_6.12.13_1",0.0047316000302351
"518FCA075_8.12.13_1",0.000662517427000208
"518SPC134_6.18.13_1",0.00515396341877279
"522GSCBSC_9.24.09_1",-7.50788320402762e-18
"522PS0504_6.11.13_1",-6.64225618951519e-18
"526PNCAMF_6.25.13_1",0.00878195637846882
"526PS1420_6.25.13_1",0.00058693112679395
"534MLC108_9.14.11_1",0.0129258550385528
"536HLCBFM_6.18.13_1",0.0149763651240686
"537TYCAML_7.16.08_1",0.00329418950669906
"540SED003_8.30.11_1",0.0492329148266675
"552DKC268_6.23.14_1",0.0111552114282509
"552MFCAKR_6.11.08_1",0.000658736619930649
"553KRNAYC_6.17.14_1",0.00325079588454201
"554CLCALK_8.23.11_1",0.00620733026134435
"603DDM005_9.13.11_1",0.00269121618126994
"603FCA145_8.21.13_1",0.00679727121576966
"603PS0008_7.30.08_1",0.0249489572626551
"603PS0075_8.15.12_1",0.00944170106215065
"603PS0109_7.29.08_1",0.00490242932134511
"603PS0557_8.18.10_1",0.0241430022425689
"603SPCBWC_7.22.08_1",0.00512560883616218
"631DEP001_8.28.12_1",0.0164259815502721
"631PS0033_8.30.10_1",0.00781753771859633
"632ELD001_9.8.11_1",0.00428425796425796
"634CAT055_10.4.11_1",0.0313715771370556
"634GRF001_10.3.11_1",0.0074829712712926
"634HHCATC_10.4.11_1",0.0225223273029
"634PS0035_9.1.10_1",0.0502293071460265
"634PS0062_10.12.11_1",0.00613043098906974
"634WSN001_10.4.11_1",0.00892422495566791
"636SAG001_7.12.10_1",0.0140028463269313
"639PS1279_6.11.13_1",0.00499556541537974
"641OWC157_7.24.13_1",0.00625415782230609
"722NP7IDC_4.16.14_1",0.00430190996653846
"801DRC025_6.25.14_1",0.000563468692925941
"801S03488_5.7.14_1",0.00657098028913885
"801WE0674_5.14.13_1",0.001565222423183
"801WE1008_5.14.13_1",0.00273940492218688
"801WE1132_8.19.09_1",0.000812883412883412
"901ATCAAS_6.5.08_1",0.00245846795390139
"901CSCADC_5.26.11_1",-3.60649010655578e-18
"901S06969_5.31.12_1",0.000550914773450073
"903WE0798_4.8.15_1",0.000514649681180552
"905BCC_6.11.14_1",0.00222302584320167
"905S02561_5.25.11_1",0.00510926543725887
"909JQCASR_6.1.11_1",0.00505782252404378
"911S03354_5.5.09_1",0.000496000841407129
"911TJIND2_5.8.08_1",0.00914304531896971
"911TJLCC2_4.7.15_1",0.0010655831387306
"SCFC1_6.12.08_1",0.00512381320949433
"SCSS1_6.17.08_1",2.63157894736779e-05
"SMAD1_11.5.08_1",0.0047538530757722
"SMC00135_6.7.10_1",0.00790654973697786
"SMC01979_7.14.11_1",6.74406604747108e-05
"SMC02139_7.17.12_1",0.00121936788055508
"SMC04204_7.11.12_1",0.00413692001307176
"SMC04383_5.19.14_1",-6.39766017940246e-18
"SMC06467_6.28.10_1",0.00482387288292461
"SMC19809_6.25.13_1",-6.39939490287844e-18
