"","Predicted"
"105PS0188_8.26.08_1",0.00175371746044563
"105PS0188_8.26.08_2",0.00175371746044563
"106FC1183_7.24.14_1",0.00176741083188452
"106FC1313_7.23.14_1",-6.48613107667728e-18
"106PS0078_8.26.09_1",-6.68562427641461e-18
"106PS0173_8.4.11_1",0.00172777996715928
"106PS0186_9.26.12_1",0.0110990092828696
"109PS0162_7.20.11_1",0.00639664363617959
"110ECSLSF_7.26.11_1",0.0116000876097355
"110FCA102_7.25.13_1",0.0331349862268516
"111CR1012_8.18.14_1",0.00631124731189845
"111PS0057_8.18.08_1",0.023719728993867
"113GAR010_6.8.09_1",0.00892189577663717
"113GAR010_8.27.12_1",0.00892189577663717
"113GAR038_6.8.09_1",0.0231519508588474
"113GAR038_9.10.12_1",0.0231519508588474
"113GAR046_6.18.12_1",0.00289037169726825
"113GAR046_6.8.09_1",0.00289037169726825
"113GAR046_9.2.14_1",0.00289037169726825
"113GAR061_6.19.12_1",0.00275002282811344
"113GAR061_7.1.09_1",0.00275002282811344
"113GAR061_9.3.14_1",0.00275002282811344
"113GAR061_9.3.14_2",0.00275002282811344
"113GAR084_6.28.10_1",0.00288245150647022
"113GAR094_7.27.10_1",0.00289037169726825
"113GAR094_7.27.10_2",0.00289037169726825
"113GAR110_6.18.12_1",0.00907468604769596
"113GAR110_6.30.09_1",0.00907468604769596
"113GAR110_9.2.14_1",0.00907468604769596
"113PS0084_8.18.09_1",0.00687455221573894
"113PS0100_8.25.09_1",0.00678915589145781
"113PS0132_9.15.10_1",0.00607542239254456
"113PS0196_8.1.12_1",0.0102156394748563
"114CR0903_8.26.13_1",0.000419076865500197
"114CR0903_9.25.13_1",0.000419076865500197
"114PS0149_7.10.12_1",0.000874386009767522
"114PS0152_7.7.11_1",0.00165736384414441
"114PS0152_8.18.11_1",0.00165736384414441
"114RR1041_10.10.11_1",0.00639664363617959
"114RR1041_10.25.11_1",0.00639664363617959
"114RR1041_10.25.11_2",0.00639664363617959
"114RR1041_8.2.11_1",0.00639664363617959
"114RR1041_9.7.11_1",0.00639664363617959
"114RR1310_6.2.11_1",0.00687455221573894
"114RR1599_10.10.11_1",0.00639664363617959
"114RR1599_10.25.11_1",0.00639664363617959
"114RR1599_6.2.11_1",0.00639664363617959
"114RR1599_6.27.11_1",0.00639664363617959
"114RR1599_8.2.11_1",0.00639664363617959
"114RR1599_8.2.11_2",0.00639664363617959
"114RR1599_9.7.11_1",0.00639664363617959
"114RR2678_10.11.11_1",0.00687455221573894
"114RR2678_10.24.11_1",0.00687455221573894
"114RR2678_6.29.11_1",0.00687455221573894
"114RR2678_8.1.11_1",0.00687455221573894
"114RR2678_9.13.11_1",0.00687455221573894
"114RR2769_6.1.11_1",0.00687455221573894
"114RR2899_10.11.11_1",0.0111231588229846
"114RR2899_10.24.11_1",0.0111231588229846
"114RR2899_6.1.11_1",0.0111231588229846
"114RR2899_6.29.11_1",0.0111231588229846
"114RR2899_8.1.11_1",0.0111231588229846
"114RR2899_9.13.11_1",0.0111231588229846
"202BUT850_6.4.13_1",0.000997492231407507
"202PS0134_5.31.11_1",0.00608393303084243
"202R00087_5.30.12_1",0.00384802224322042
"202R00284_6.15.12_1",0.00639664363617959
"202R00908_5.21.13_1",0.00631124731189845
"203PS0070_7.19.10_1",0.00303094153848923
"203PS0070_9.7.10_1",0.00303094153848923
"203R00039_5.14.12_1",0.00798179426384646
"204ALP040_4.10.11_1",0.000419076865500197
"204ALP040_6.29.11_1",0.000419076865500197
