"","Predicted"
"102PS0139_8.9.10_1",0.0203128716027241
"103FCA168_7.24.13_1",0.0179933496076273
"103PS0217_9.10.13_1",0.0168921199683591
"103RDCBCC_7.21.11_1",0.00512384718247983
"105PS0028_8.12.08_1",0.0189846351550187
"105PS0028_8.26.08_1",0.0189846351550187
"105PS0067_8.24.09_1",0.0187414616962006
"105PS0067_8.24.09_2",0.0187414616962006
"105PS0067_9.15.09_1",0.0187414616962006
"105PS0069_8.18.09_1",0.00761328352087231
"105PS0092_8.11.08_1",0.00923505996332539
"105PS0107_9.14.09_1",0.0169999367048511
"105PS0129_8.11.10_1",0.0239901924327513
"105PS0129_8.11.10_2",0.0239901924327513
"105PS0149_8.29.12_1",0.0347897876505284
"105PS0211_8.20.13_1",0.0163454826042242
"105PS0211_9.16.13_1",0.0163454826042242
"105PS0231_8.29.13_1",0.0262436820582961
"105PS0276_9.1.09_1",0.0196688294520608
"105PS0276_9.22.09_1",0.0196688294520608
"105PS0540_8.5.10_1",0.0198223445625838
"105PS1148_9.18.12_1",0.0183151337083058
"105PS1404_8.28.13_1",0.0281407982462604
"105PS1404_8.28.13_2",0.0281407982462604
"106FCA036_7.15.13_1",0.0317942594309203
"106HLCACC_9.23.13_1",0.0226842162097434
"106PS0022_9.30.08_1",0.0419051090034789
"106PS0051_9.16.08_1",0.00951204131377288
"106PS0051_9.16.08_2",0.00951204131377288
"106PS0106_9.8.09_1",0.0205696409384435
"106PS0106_9.8.09_2",0.0205696409384435
"106PS0122_9.20.10_1",0.00937288358007643
"106PS0142_7.19.10_1",0.0216807502668831
"106PS0206_10.3.12_1",0.0173127532795218
"106PTCAHC_9.2.08_1",0.0209212093933908
"107GWCAPC_9.15.10_1",0.0244274052984815
"107RWCBHW_8.3.11_1",0.0229388091098513
"107RWCBHW_8.3.11_2",0.0229388091098513
"108PS0197_8.16.12_1",0.019515504242363
"110PS0114_7.21.10_1",0.0157428789816819
"110SMCATH_7.27.11_1",0.0334052858786515
"111CE0569_10.11.10_1",0.0256518257230103
"111FCA207_7.23.13_1",0.0208243245606109
"111PS0008_9.29.08_1",0.0152159407239453
"111PS0008_9.9.08_1",0.0152159407239453
"111PS0008_9.9.08_2",0.0152159407239453
"111PS0013_8.19.08_1",0.021045677718443
"111PS0095_8.27.09_1",0.0344965782959543
"111PS0095_8.27.09_2",0.0344965782959543
"111PS0121_7.20.10_1",0.02260991966538
"111PS0159_7.14.11_1",0.0171330148461531
"111PS0169_7.25.11_1",0.0291116180600204
"111PS0169_7.25.11_2",0.0291116180600204
"111PS0178_8.14.12_1",0.0242776892421391
"111PS0237_9.12.13_1",0.0311670015014118
"112PS0157_7.12.11_1",0.0157222454670115
"113GAR011_8.22.11_1",0.0304272388620596
"113GAR011_9.1.10_1",0.0304272388620596
"113GAR015_8.23.11_1",0.0180414275792749
"113GAR015_8.31.10_1",0.0180414275792749
"113GAR015_9.9.13_1",0.0180414275792749
"113GAR023_7.22.14_1",0.0201898840346784
"113GAR023_8.5.13_1",0.0201898840346784
"113GAR030_8.26.09_1",0.0187448546330692
"113GAR030_8.26.09_2",0.0187448546330692
"113GAR030_8.28.12_1",0.0187448546330692
"113GAR042_9.10.13_1",0.0171845929439762
"113GAR062_6.30.09_1",0.0171915193693517
"113GAR062_8.27.12_1",0.0171915193693517
"113GAR087_6.29.10_1",0.0167667747677938
"113GAR087_8.6.13_1",0.0167667747677938
"113GAR087_9.11.12_1",0.0167667747677938
"113GAR087_9.11.12_2",0.0167667747677938
"113GAR089_6.14.10_1",0.0296058840948166
"113GAR089_6.20.11_1",0.0296058840948166
"113GAR089_8.5.09_1",0.0296058840948166
"113GAR105_6.14.10_1",0.0187000025280653
"113GAR105_6.20.11_1",0.0187000025280653
"113GAR105_8.4.09_1",0.0187000025280653
"113GAR112_6.15.10_1",0.0222940354590921
"113GAR112_7.22.14_1",0.0222940354590921
"113GAR112_8.22.11_1",0.0222940354590921
