"","Predicted"
"102PS0177_8.28.12_1",0.0115945379746252
"103CDCHHR_9.14.10_1",0.0240338555219151
"103STCNSR_8.9.11_1",0.00598055759193339
"103WER026_8.15.12_1",0.0135195715587707
"103WER029_7.16.14_1",0.0147262029228796
"103WER030_8.10.11_1",0.0176806792925494
"105BVCAGC_9.21.10_1",0.00528134998457378
"105CE0329_7.23.14_1",0.012471060597007
"105CLCATC_8.10.10_1",0.00694450110215738
"105DLCDCC_10.20.09_1",0.0275476714090768
"105FCA116_7.16.13_1",0.00825008418134005
"105FS0416_9.24.13_1",0.0159862061599391
"105FS0425_8.10.11_1",0.0147671717003269
"105FS0428_8.3.11_1",0.0349307565219731
"105NWC151_6.26.13_1",0.0170425184837952
"105PS0043_9.17.08_1",0.0303621214494277
"105PS0083_9.8.09_1",0.0224596999202999
"105PS0090_8.7.12_1",0.00830967962424852
"105PS0097_7.22.14_1",0.0106077205214853
"105PS0154_8.9.11_1",0.0290551822590962
"105PS0195_8.7.12_1",0.00806324112661257
"105PS0259_9.17.13_1",0.0288203153221893
"105PS0267_7.21.14_1",0.025199152620832
"105PS0468_9.1.09_1",0.00415284112126517
"105PS0540_9.15.10_1",0.0198223445625838
"105PS1492_8.6.14_1",0.00584501498958627
"105WE0598_7.24.14_1",0.0119043625827145
"105WLC135_6.26.13_1",0.00693251429127283
"105WLCABC_8.3.11_1",0.0117921557074337
"106FS0040_8.30.11_1",0.0433266696393008
"106PS0115_9.21.10_1",0.026119827101817
"106PS0124_8.16.10_1",0.0297025271810729
"106PS0166_8.2.11_1",0.0327689996852725
"106WE0505_7.21.14_1",0.00693558626967979
"106WER011_9.11.13_1",0.0251505313941123
"107PS0021_7.14.14_1",0.00750030751458793
"107WER092_8.27.12_1",0.0357568637982006
"111BBRBCC_9.23.09_1",0.0476432181953039
"111CBCAER_8.8.13_1",0.0256053684500781
"111ERATRC_10.10.12_1",0.0170444094994662
"111FS0001_7.5.11_1",0.0376634068874603
"111FS0008_7.19.12_1",0.0234375016720505
"111HSCAER_7.26.11_1",0.0245209019925604
"111PS0060_10.7.08_1",0.0279514685995582
"111PS0110_6.9.14_1",0.00995428188899728
"111PS0144_8.18.10_1",0.0262314925309981
"111PS0160_7.25.11_1",0.0345253833480781
"111PS0204_8.17.10_1",0.0394830167882218
"111RSCAER_8.8.11_1",0.0405358961280419
"111TGCAER_7.24.12_1",0.0434505178479586
"111WE0816_6.12.13_1",0.0134808703596627
"111WE1050_6.12.13_1",0.0120247766935535
"111WE1071_7.26.12_1",0.0229065407032368
"111WER003_6.10.14_1",0.0121825746749734
"111WER008_7.23.12_1",0.0247386889547346
"111WER159_10.19.09_1",0.0473927609113012
"113RG8046_8.19.10_1",0.0214606934442155
"114CE0131_7.31.12_1",0.0189491162305378
"114PS0145_6.20.11_1",0.0148834198822049
"114WE0614_7.9.12_1",0.0165892864361892
"115EBAG01_7.1.10_1",0.0155457592715027
"201AHO350_6.20.12_1",0.0635537109343477
"201CHE300_6.18.12_1",0.0448731697656055
"201LAG335_7.15.09_1",0.0562543515175075
"201MRS020_9.13.10_1",0.0292807812437684
"202BUT030_6.29.10_1",0.0222162738507995
"202BUT040_6.4.14_1",0.0124878932103861
"202BUT050_6.16.09_1",0.0724862101593502
"202BUT480_6.25.12_1",0.0545316512507691
"202BUT600_6.26.12_1",0.0642486832595509
"202DRY010_6.5.13_1",0.0345211534694374
"202PES168_6.6.13_1",0.0399507204225617
"202R00024_6.6.12_1",0.032878540396582
"202R00280_5.22.13_1",0.0431315785874178
"204AHOACR_6.2.14_1",0.00839753753826999
"204ALA500_6.10.13_1",0.0167294812658204
"204ARH090_6.2.14_1",0.00920504898252224
"204IND200_5.25.10_1",0.0295000978221489
"204R00189_5.6.13_1",0.0183636689728315
"204SIN300_5.15.12_1",0.00593002234596765
"204VAL400_5.19.14_1",0.0257995541658489
"205AAG375_5.14.14_1",0.0164859938073006
"205AAG400_6.5.12_1",0.0501551060840244
"205COY585_5.28.13_1",0.0156438950030192
"205COY610_6.3.10_1",0.0191020244510461
"205COY615_6.3.14_1",0.0141374360330368
"205COY853_5.29.14_1",0.0136176954145481
"205COY900_5.16.12_1",0.0173482473190181
"205COY930_5.7.13_1",0.0155768349609731
"205CYCAHH_6.10.08_1",0.0203999630631612
"205CYCBBC_6.28.10_1",0.00985180846393579
"205LGA700_5.23.12_1",0.0488455085426763
"205R00021_5.16.12_1",0.0295790364642558
"205R00182_5.7.13_1",0.027982651423901
"205WUN450_6.11.12_1",0.0449902979555075
"205WUN550_5.6.13_1",0.0388235658673351
"206HCT020_5.29.12_1",0.0554191502651926
"206RCCBDC_7.20.10_1",0.040580561441332
"206TUL120_6.13.11_1",0.0383379308367445
"207GVC800_5.23.13_1",0.0388502994706097
"207SUI800_5.5.14_1",0.0173940241744109
"304WDCAH1_6.29.10_1",0.0250201890507014
"305LGCACR_7.16.08_1",0.024256497362964
"305LGCBRC_6.30.10_1",0.0335674078831048
"305SSCAUC_6.29.10_1",0.0577549195826844
"305UVCASC_6.29.10_1",0.0433038478872047
"307CE0094_6.12.12_1",0.0255866968098601
"307SCCARR_6.21.10_1",0.0388677390041366
"308BSU_7.13.10_1",0.0272596997921494
"308LILPAL_6.20.12_1",0.0226814310874998
"308PWCAH1_6.22.10_1",0.0310912039273303
"308SAM_6.23.10_1",0.0317079448042703
"308SANWIL_6.12.12_1",0.0264307592821687
"308SBCAH1_6.21.10_1",0.0275248631107358
"309ARSARC_6.23.10_1",0.0355563688608265
"309CAW126_5.21.14_1",0.00877315431960518
"309NAF_5.24.12_1",0.0257807268885269
"309WLCATC_6.22.10_1",0.0325585912189585
"310COO_6.24.10_1",0.0321922171943768
"310LPCBPC_6.9.09_1",0.0270978729657455
"312DAVDAV_6.7.12_1",0.0249064830581064
"312MZCDBC_5.13.14_1",0.00763293234837352
"312RYCALR_6.16.10_1",0.0286745360167927
