"","Predicted"
"103KLCMSR_9.14.10_1",0.0200493276504577
"105PS0193_8.29.12_1",0.0300457486165614
"105PS0660_8.3.10_1",0.0170425184837952
"105TMCACC_8.10.10_1",0.0168428720072005
"106MNCAHC_10.1.08_1",0.011910516451847
"106WE1079_8.8.12_1",0.00432249471935192
"106WER016_10.20.09_1",0.0219776639456721
"107LLM101_9.13.10_1",0.0136311543062152
"111BGCAER_6.11.14_1",0.0400653702076634
"111FS0007_7.11.11_1",0.0145481938649596
"111PAL105_7.13.11_1",0.0337816824220237
"202SPE090_6.15.09_1",0.0420795970086612
"205AAG075_6.12.13_1",0.0149777674981094
"205COY850_5.21.12_1",0.0174341881091087
"205SFC880_6.19.12_1",0.0223083150007827
"206BRC020_6.27.12_1",0.0266432149554776
"207SUI290_6.4.12_1",0.030321885197292
"307CMRADC_5.20.14_1",0.0159260112926392
"308LSRASC_7.18.11_1",0.016561884766276
"308MWCAH1_6.23.10_1",0.036897860900056
"308PS0156_6.19.12_1",0.0296504407399461
"308ROCBBQ_6.21.12_1",0.0187683364945833
"309ARCBRC_8.25.08_1",0.0147428220057703
"309PS0116_6.16.11_1",0.0135397569032713
"312PS0099_6.14.10_1",0.0134227168224789
"315CHCALS_6.15.10_1",0.0190817126074015
"402BA0095_5.29.08_1",0.0229810934707121
"402M00009_6.29.15_1",0.0115324151048764
"403S00960_6.2.10_1",0.0110322688812823
"403S01536_7.12.11_1",0.0139957890616702
"403WE0540_5.14.14_1",0.00906579498238684
"403WE0683_5.15.13_1",0.0167837113140738
"505PS0110_9.16.10_1",0.0253429677400573
"513CCNASC_7.16.14_1",0.0084386890453924
"513STCAIV_6.12.14_1",0.0169498276679802
"513UNCAKC_9.23.09_1",0.043336734744043
"514SSC190_9.11.14_1",0.00942618383919193
"517FCA046_8.14.13_1",0.0208092289635792
"518BTCASC_6.12.13_1",0.0240651055828391
"518FCA075_8.12.13_1",0.0421904238051057
"518SPC134_6.18.13_1",0.0148710774978919
"522GSCBSC_9.24.09_1",0.0185423190742435
"522PS0504_6.11.13_1",0.00572990131939701
"526PNCAMF_6.25.13_1",0.00939271138353492
"526PS1420_6.25.13_1",0.0312927552096146
"534MLC108_9.14.11_1",0.00968120817333937
"536HLCBFM_6.18.13_1",0.0296912256475673
"537TYCAML_7.16.08_1",0.00563167193689598
"540SED003_8.30.11_1",0.00326290393838059
"552DKC268_6.23.14_1",0.0219019176348307
"552MFCAKR_6.11.08_1",0.0231761877939138
"553KRNAYC_6.17.14_1",0.0175681283865408
"554CLCALK_8.23.11_1",0.00914378851544448
"603DDM005_9.13.11_1",0.0188049723830367
"603FCA145_8.21.13_1",0.0236770774180064
"603PS0008_7.30.08_1",0.00398031881960859
"603PS0075_8.15.12_1",0.0249690291014367
"603PS0109_7.29.08_1",0.0201538380264848
"603PS0557_8.18.10_1",0.0143626501871491
"603SPCBWC_7.22.08_1",0.00568814328483868
"631DEP001_8.28.12_1",0.0309926443054328
"631PS0033_8.30.10_1",0.0103767840558902
"632ELD001_9.8.11_1",0.0162774571472802
"634CAT055_10.4.11_1",0.00333144988693552
"634GRF001_10.3.11_1",0.0375032347903438
"634HHCATC_10.4.11_1",0.0132449810213782
"634PS0035_9.1.10_1",0.0142729620923392
"634PS0062_10.12.11_1",0.015574674198439
"634WSN001_10.4.11_1",0.0357759665750925
"636SAG001_7.12.10_1",0.0241407985983885
"639PS1279_6.11.13_1",0.0153418875483495
"641OWC157_7.24.13_1",0.0125305953775386
"722NP7IDC_4.16.14_1",0.0262179135183965
"801DRC025_6.25.14_1",0.019930532127794
"801S03488_5.7.14_1",0.0286439826647725
"801WE0674_5.14.13_1",0.0186557634118264
"801WE1008_5.14.13_1",0.0153733184167279
"801WE1132_8.19.09_1",0.0132244100532614
"901ATCAAS_6.5.08_1",0.0206889788459864
"901CSCADC_5.26.11_1",0.031185467975805
"901S06969_5.31.12_1",0.0163746401027591
"903WE0798_4.8.15_1",0.0231087256997303
"905BCC_6.11.14_1",0.0165587308490568
"905S02561_5.25.11_1",0.0313445514524171
"909JQCASR_6.1.11_1",0.0374358030953675
"911S03354_5.5.09_1",0.00854954169043443
"911TJIND2_5.8.08_1",0.0303435217642718
"911TJLCC2_4.7.15_1",0.0277660597440581
"SCFC1_6.12.08_1",0.00563790802396273
"SCSS1_6.17.08_1",0.023837278130792
"SMAD1_11.5.08_1",0.0210489621079389
"SMC00135_6.7.10_1",0.0217367253042458
"SMC01979_7.14.11_1",0.0232712552753239
"SMC02139_7.17.12_1",0.0166283516503667
"SMC04204_7.11.12_1",0.0276303167282239
"SMC04383_5.19.14_1",0.018269500220227
"SMC06467_6.28.10_1",0.0274464364146734
"SMC19809_6.25.13_1",0.0177055485874482
