"","Predicted"
"103KLCMSR_9.14.10_1",0.108657836521015
"105PS0193_8.29.12_1",0.0858808542875661
"105PS0660_8.3.10_1",0.150664117436071
"105TMCACC_8.10.10_1",0.10195793162184
"106MNCAHC_10.1.08_1",0.119268823450806
"106WE1079_8.8.12_1",0.172359237086654
"106WER016_10.20.09_1",0.104576193926248
"107LLM101_9.13.10_1",0.0989063577802573
"111BGCAER_6.11.14_1",0.105403530778097
"111FS0007_7.11.11_1",0.193343802383686
"111PAL105_7.13.11_1",0.148937072850031
"202SPE090_6.15.09_1",0.127484588659444
"205AAG075_6.12.13_1",0.107908664434473
"205COY850_5.21.12_1",0.0937378244629988
"205SFC880_6.19.12_1",0.117479022241279
"206BRC020_6.27.12_1",0.131316497712381
"207SUI290_6.4.12_1",0.14412086643643
"307CMRADC_5.20.14_1",0.0711964320697779
"308LSRASC_7.18.11_1",0.159608914180463
"308MWCAH1_6.23.10_1",0.172078424395323
"308PS0156_6.19.12_1",0.137340060415716
"308ROCBBQ_6.21.12_1",0.168919468297977
"309ARCBRC_8.25.08_1",0.116519915908312
"309PS0116_6.16.11_1",0.117890030223194
"312PS0099_6.14.10_1",0.130712166353588
"315CHCALS_6.15.10_1",0.131612869869821
"402BA0095_5.29.08_1",0.125691341848719
"402M00009_6.29.15_1",0.101690144722698
"403S00960_6.2.10_1",0.0749317665493016
"403S01536_7.12.11_1",0.143715858677502
"403WE0540_5.14.14_1",0.0646006931063485
"403WE0683_5.15.13_1",0.0825857385330094
"505PS0110_9.16.10_1",0.183742264563347
"513CCNASC_7.16.14_1",0.156656809891158
"513STCAIV_6.12.14_1",0.139500445803097
"513UNCAKC_9.23.09_1",0.180895248759698
"514SSC190_9.11.14_1",0.102359464573455
"517FCA046_8.14.13_1",0.157880914485574
"518BTCASC_6.12.13_1",0.0964616761913765
"518FCA075_8.12.13_1",0.115699671002444
"518SPC134_6.18.13_1",0.112937249584341
"522GSCBSC_9.24.09_1",0.201984876794241
"522PS0504_6.11.13_1",0.0960111092588805
"526PNCAMF_6.25.13_1",0.105552716981614
"526PS1420_6.25.13_1",0.0616360409266127
"534MLC108_9.14.11_1",0.17753681074658
"536HLCBFM_6.18.13_1",0.106579496205659
"537TYCAML_7.16.08_1",0.128272081594705
"540SED003_8.30.11_1",0.153196408740665
"552DKC268_6.23.14_1",0.0474024876443693
"552MFCAKR_6.11.08_1",0.0966590397844185
"553KRNAYC_6.17.14_1",0.117947341902196
"554CLCALK_8.23.11_1",0.141775128336212
"603DDM005_9.13.11_1",0.127618507525283
"603FCA145_8.21.13_1",0.112739425097258
"603PS0008_7.30.08_1",0.0911124227195162
"603PS0075_8.15.12_1",0.108566683633015
"603PS0109_7.29.08_1",0.0902054656552148
"603PS0557_8.18.10_1",0.0969424111571414
"603SPCBWC_7.22.08_1",0.106212416130066
"631DEP001_8.28.12_1",0.108419336859047
"631PS0033_8.30.10_1",0.10269382710508
"632ELD001_9.8.11_1",0.20525497648016
"634CAT055_10.4.11_1",0.172148433569994
"634GRF001_10.3.11_1",0.193650583787707
"634HHCATC_10.4.11_1",0.175594704463243
"634PS0035_9.1.10_1",0.118524970373367
"634PS0062_10.12.11_1",0.161514434966534
"634WSN001_10.4.11_1",0.193707844873621
"636SAG001_7.12.10_1",0.103126739929233
"639PS1279_6.11.13_1",0.107817076186548
"641OWC157_7.24.13_1",0.117773742631147
"722NP7IDC_4.16.14_1",0.018689811716446
"801DRC025_6.25.14_1",0.0940318036881495
"801S03488_5.7.14_1",0.0808200223767509
"801WE0674_5.14.13_1",0.0808868402420507
"801WE1008_5.14.13_1",0.0757588039461907
"801WE1132_8.19.09_1",0.158485602906594
"901ATCAAS_6.5.08_1",0.124533076670036
"901CSCADC_5.26.11_1",0.114705493687994
"901S06969_5.31.12_1",0.0696308281188809
"903WE0798_4.8.15_1",0.0461918177233246
"905BCC_6.11.14_1",0.0974870439465352
"905S02561_5.25.11_1",0.127225821863879
"909JQCASR_6.1.11_1",0.0982240557285237
"911S03354_5.5.09_1",0.0923684040352705
"911TJIND2_5.8.08_1",0.0844644758720246
"911TJLCC2_4.7.15_1",0.060555053506706
"SCFC1_6.12.08_1",0.129008537519939
"SCSS1_6.17.08_1",0.127581671477191
"SMAD1_11.5.08_1",0.101153435681533
"SMC00135_6.7.10_1",0.133876255267347
"SMC01979_7.14.11_1",0.139465742073543
"SMC02139_7.17.12_1",0.137940184459993
"SMC04204_7.11.12_1",0.147648069754345
"SMC04383_5.19.14_1",0.0750082571607797
"SMC06467_6.28.10_1",0.125158723677718
"SMC19809_6.25.13_1",0.0755128561567739
