"","Predicted"
"105PS0188_8.26.08_1",0.161465230276736
"105PS0188_8.26.08_2",0.161465230276736
"106FC1183_7.24.14_1",0.0938894572901695
"106FC1313_7.23.14_1",0.0926292323929113
"106PS0078_8.26.09_1",0.12506124761819
"106PS0173_8.4.11_1",0.181868719025142
"106PS0186_9.26.12_1",0.115032892303509
"109PS0162_7.20.11_1",0.170385430157911
"110ECSLSF_7.26.11_1",0.170883427640014
"110FCA102_7.25.13_1",0.177484037712073
"111CR1012_8.18.14_1",0.184651892413446
"111PS0057_8.18.08_1",0.10715933988893
"113GAR010_6.8.09_1",0.120666514964831
"113GAR010_8.27.12_1",0.189378818374447
"113GAR038_6.8.09_1",0.120666514964831
"113GAR038_9.10.12_1",0.171937662313774
"113GAR046_6.18.12_1",0.107741491362155
"113GAR046_6.8.09_1",0.120666514964831
"113GAR046_9.2.14_1",0.174882287330744
"113GAR061_6.19.12_1",0.105334474044002
"113GAR061_7.1.09_1",0.170126854320582
"113GAR061_9.3.14_1",0.175402875404315
"113GAR061_9.3.14_2",0.175402875404315
"113GAR084_6.28.10_1",0.114206625912109
"113GAR094_7.27.10_1",0.171612252205865
"113GAR094_7.27.10_2",0.171612252205865
"113GAR110_6.18.12_1",0.107741491362155
"113GAR110_6.30.09_1",0.169273100264641
"113GAR110_9.2.14_1",0.174882287330744
"113PS0084_8.18.09_1",0.182174951638664
"113PS0100_8.25.09_1",0.173380518503153
"113PS0132_9.15.10_1",0.211242891879063
"113PS0196_8.1.12_1",0.17385391179942
"114CR0903_8.26.13_1",0.188201085649336
"114CR0903_9.25.13_1",0.1878204343064
"114PS0149_7.10.12_1",0.152849280302237
"114PS0152_7.7.11_1",0.202046359584408
"114PS0152_8.18.11_1",0.182174951638664
"114RR1041_10.10.11_1",0.165325704566008
"114RR1041_10.25.11_1",0.192538313400429
"114RR1041_10.25.11_2",0.192538313400429
"114RR1041_8.2.11_1",0.14586318043534
"114RR1041_9.7.11_1",0.151315169267076
"114RR1310_6.2.11_1",0.0607423317923033
"114RR1599_10.10.11_1",0.165325704566008
"114RR1599_10.25.11_1",0.192538313400429
"114RR1599_6.2.11_1",0.0607423317923033
"114RR1599_6.27.11_1",0.0947010646704617
"114RR1599_8.2.11_1",0.14586318043534
"114RR1599_8.2.11_2",0.14586318043534
"114RR1599_9.7.11_1",0.151315169267076
"114RR2678_10.11.11_1",0.151514557761247
"114RR2678_10.24.11_1",0.20354166600522
"114RR2678_6.29.11_1",0.144714738014399
"114RR2678_8.1.11_1",0.110166771536886
"114RR2678_9.13.11_1",0.157450587612586
"114RR2769_6.1.11_1",0.0786255828415232
"114RR2899_10.11.11_1",0.150722221451757
"114RR2899_10.24.11_1",0.204766310827805
"114RR2899_6.1.11_1",0.0796287586118161
"114RR2899_6.29.11_1",0.147300558673068
"114RR2899_8.1.11_1",0.112548877977805
"114RR2899_9.13.11_1",0.158241093779463
"202BUT850_6.4.13_1",0.0502062363306897
"202PS0134_5.31.11_1",0.109551579576806
"202R00087_5.30.12_1",0.115974602883818
"202R00284_6.15.12_1",0.117205696721645
"202R00908_5.21.13_1",0.107112298865467
"203PS0070_7.19.10_1",0.155246160592601
"203PS0070_9.7.10_1",0.187979300811199
"203R00039_5.14.12_1",0.115212261363618
"204ALP040_4.10.11_1",0.0750762044534136
"204ALP040_6.29.11_1",0.129700036032439
"204ALP105_4.10.11_1",0.0744606904670561
"204ALP151_4.10.11_1",0.0646136704154521
"204ALP151_6.29.11_1",0.111818901735546
"204PS0038_6.19.08_1",0.116539812256098
"204PS0094_7.14.10_1",0.181222290906016
"204PS0102_6.15.11_1",0.124899459716556
"204PS0102_6.15.11_2",0.124899459716556
"204PS0102_8.10.11_1",0.161823653802731
"204PS0118_6.15.11_1",0.128499962232071
"204R00047_6.6.12_1",0.142973361022881
"204R00063_6.4.13_1",0.0968643263936017
"204R00068_5.31.12_1",0.101739385725761
"204R00084_5.24.12_1",0.127459137160957
"204R00100_5.30.12_1",0.115729450063095
"204R00180_5.30.12_1",0.109933953953874
"204R00191_5.29.12_1",0.0931865505128399
"204R00200_5.31.12_1",0.0806524327245505
"204R00232_6.12.12_1",0.115861995066355
"204R00232_6.12.12_2",0.115861995066355
"204R00244_6.12.12_1",0.115861995066355
"204R00303_6.14.12_1",0.124923384351065
"204R00319_6.7.12_1",0.140402902335075
"204R00319_6.7.12_2",0.140402902335075
"204R00327_5.7.13_1",0.0870906067558133
"204R00334_5.8.13_1",0.0773387390303668
"204R00340_6.11.12_1",0.124892153188589
"204R00356_5.30.12_1",0.114704191771614
"204R00356_6.4.12_1",0.114448779850753
"204R00367_6.12.12_1",0.1278654255177
"204R00383_6.11.12_1",0.125194597837752
"204R00391_6.6.12_1",0.145178318234239
"204R00436_5.20.13_1",0.114145138215507
"204R00447_4.2.13_1",0.075262513274194
"204R00447_4.22.13_1",0.0693922248679955
"204R00455_6.13.12_1",0.127580465565876
"204R00473_5.9.13_1",0.0772406199176487
"204R00473_5.9.13_2",0.0772406199176487
"204R00520_5.28.13_1",0.100887282726516
"204R00583_6.13.12_1",0.131137193529335
"204R00596_5.31.12_1",0.101759514123896
"204R00623_6.3.13_1",0.0986705279858212
"204R00639_6.19.12_1",0.121169969432798
"204R00680_5.28.13_1",0.0983629129806668
"204R00724_5.21.13_1",0.106353602515216
"204R00807_5.21.13_1",0.10560455828122
"204R00852_5.6.13_1",0.0808207258490243
"204R00884_5.20.13_1",0.1119882439726
"204R00967_4.25.13_1",0.0685070827264356
"204R01316_5.22.13_1",0.106186865684874
"204R01471_5.22.13_1",0.0986351566556795
"205PS0045_6.17.09_1",0.121887343618305
"205PS0045_6.17.09_2",0.121887343618305
"205PS0074_7.14.10_1",0.16547537156703
"205PS0106_6.21.11_1",0.115774384727681
"205PS0109_6.21.11_1",0.114883821812322
"205PS0138_6.1.11_1",0.087591527937415
"205PS0157_6.19.12_1",0.120583415370201
"205PS0170_6.19.12_1",0.105326710611653
"205PS0173_6.20.12_1",0.130544715016296
"205PS0173_6.20.12_2",0.130544715016296
"205PS0202_5.22.13_1",0.0865990659161079
"205PS0202_7.17.13_1",0.162497322967838
"205PS0221_5.20.13_1",0.103866325044799
"205R00026_5.14.12_1",0.114796313485988
"205R00035_5.24.12_1",0.107238716202708
"205R00035_5.24.12_2",0.107238716202708
