"","Predicted"
"105PS0188_8.26.08_1",0.158949937436261
"105PS0188_8.26.08_2",0.158949937436261
"106FC1183_7.24.14_1",0.144304540126613
"106FC1313_7.23.14_1",0.143147083415623
"106PS0078_8.26.09_1",0.144788428533716
"106PS0173_8.4.11_1",0.209736394840148
"106PS0186_9.26.12_1",0.217743480098558
"109PS0162_7.20.11_1",0.223603961234711
"110ECSLSF_7.26.11_1",0.213678966718437
"110FCA102_7.25.13_1",0.198732447566007
"111CR1012_8.18.14_1",0.165152319287956
"111PS0057_8.18.08_1",0.140899789576392
"113GAR010_6.8.09_1",0.221818320738995
"113GAR010_8.27.12_1",0.221818320738995
"113GAR038_6.8.09_1",0.217540915869848
"113GAR038_9.10.12_1",0.217540915869848
"113GAR046_6.18.12_1",0.187796809787032
"113GAR046_6.8.09_1",0.187796809787032
"113GAR046_9.2.14_1",0.187796809787032
"113GAR061_6.19.12_1",0.180831682106724
"113GAR061_7.1.09_1",0.180831682106724
"113GAR061_9.3.14_1",0.180831682106724
"113GAR061_9.3.14_2",0.180831682106724
"113GAR084_6.28.10_1",0.198718255878532
"113GAR094_7.27.10_1",0.194086180335138
"113GAR094_7.27.10_2",0.194086180335138
"113GAR110_6.18.12_1",0.205675652570971
"113GAR110_6.30.09_1",0.205675652570971
"113GAR110_9.2.14_1",0.205675652570971
"113PS0084_8.18.09_1",0.201497156788822
"113PS0100_8.25.09_1",0.161603009640628
"113PS0132_9.15.10_1",0.186412148812449
"113PS0196_8.1.12_1",0.184336739140383
"114CR0903_8.26.13_1",0.108025881068882
"114CR0903_9.25.13_1",0.108025881068882
"114PS0149_7.10.12_1",0.0991232631297566
"114PS0152_7.7.11_1",0.182571658228129
"114PS0152_8.18.11_1",0.182571658228129
"114RR1041_10.10.11_1",0.115542265611248
"114RR1041_10.25.11_1",0.115542265611248
"114RR1041_10.25.11_2",0.115542265611248
"114RR1041_8.2.11_1",0.115542265611248
"114RR1041_9.7.11_1",0.115542265611248
"114RR1310_6.2.11_1",0.113392655514634
"114RR1599_10.10.11_1",0.112671077808707
"114RR1599_10.25.11_1",0.112671077808707
"114RR1599_6.2.11_1",0.112671077808707
"114RR1599_6.27.11_1",0.112671077808707
"114RR1599_8.2.11_1",0.112671077808707
"114RR1599_8.2.11_2",0.112671077808707
"114RR1599_9.7.11_1",0.112671077808707
"114RR2678_10.11.11_1",0.102900128794995
"114RR2678_10.24.11_1",0.102900128794995
"114RR2678_6.29.11_1",0.102900128794995
"114RR2678_8.1.11_1",0.102900128794995
"114RR2678_9.13.11_1",0.102900128794995
"114RR2769_6.1.11_1",0.102900128794995
"114RR2899_10.11.11_1",0.106704053959121
"114RR2899_10.24.11_1",0.106704053959121
"114RR2899_6.1.11_1",0.106704053959121
"114RR2899_6.29.11_1",0.106704053959121
"114RR2899_8.1.11_1",0.106704053959121
"114RR2899_9.13.11_1",0.106704053959121
"202BUT850_6.4.13_1",0.128259037885828
"202PS0134_5.31.11_1",0.114846808147173
"202R00087_5.30.12_1",0.145591238184739
"202R00284_6.15.12_1",0.183083107963129
"202R00908_5.21.13_1",0.149904421453513
"203PS0070_7.19.10_1",0.100502059465934
"203PS0070_9.7.10_1",0.100502059465934
"203R00039_5.14.12_1",0.118312588193656
"204ALP040_4.10.11_1",0.108583527389732
"204ALP040_6.29.11_1",0.108583527389732
"204ALP105_4.10.11_1",0.133162842949116
"204ALP151_4.10.11_1",0.121729729110133
"204ALP151_6.29.11_1",0.121729729110133
"204PS0038_6.19.08_1",0.107814447154178
"204PS0094_7.14.10_1",0.119947400219047
"204PS0102_6.15.11_1",0.0901224685270904
"204PS0102_6.15.11_2",0.0901224685270904
"204PS0102_8.10.11_1",0.0901224685270904
"204PS0118_6.15.11_1",0.0838498709654152
"204R00047_6.6.12_1",0.108142409066716
"204R00063_6.4.13_1",0.133796427887542
"204R00068_5.31.12_1",0.105967022589839
"204R00084_5.24.12_1",0.137192700535316
"204R00100_5.30.12_1",0.106122094973145
"204R00180_5.30.12_1",0.142390423282439
"204R00191_5.29.12_1",0.121391243447398
"204R00200_5.31.12_1",0.157824707553412
"204R00232_6.12.12_1",0.0873967670325193
"204R00232_6.12.12_2",0.0873967670325193
"204R00244_6.12.12_1",0.0857605348548753
"204R00303_6.14.12_1",0.107068543393733
"204R00319_6.7.12_1",0.125460763224749
"204R00319_6.7.12_2",0.125460763224749
"204R00327_5.7.13_1",0.0719983252284923
"204R00334_5.8.13_1",0.124148540196034
"204R00340_6.11.12_1",0.155722486724357
"204R00356_5.30.12_1",0.105336790655057
"204R00356_6.4.12_1",0.105336790655057
"204R00367_6.12.12_1",0.0886109714876656
"204R00383_6.11.12_1",0.0869911447407292
"204R00391_6.6.12_1",0.109413403672903
"204R00436_5.20.13_1",0.121187388824829
"204R00447_4.2.13_1",0.077210126109054
"204R00447_4.22.13_1",0.077210126109054
"204R00455_6.13.12_1",0.0850647276721668
"204R00473_5.9.13_1",0.099821890884364
"204R00473_5.9.13_2",0.099821890884364
"204R00520_5.28.13_1",0.127507899674472
"204R00583_6.13.12_1",0.0943941139776908
"204R00596_5.31.12_1",0.113221844227463
"204R00623_6.3.13_1",0.104930287964642
"204R00639_6.19.12_1",0.110241446489515
"204R00680_5.28.13_1",0.0875175600748676
"204R00724_5.21.13_1",0.14153247568755
"204R00807_5.21.13_1",0.108694336547498
"204R00852_5.6.13_1",0.113551082713479
"204R00884_5.20.13_1",0.156436000581758
"204R00967_4.25.13_1",0.0955608473520041
"204R01316_5.22.13_1",0.114496709357344
"204R01471_5.22.13_1",0.119947400219047
"205PS0045_6.17.09_1",0.109495780915793
"205PS0045_6.17.09_2",0.109495780915793
"205PS0074_7.14.10_1",0.118647639527443
"205PS0106_6.21.11_1",0.109273812185215
"205PS0109_6.21.11_1",0.100560254596
"205PS0138_6.1.11_1",0.114924836961735
"205PS0157_6.19.12_1",0.11268834574883
"205PS0170_6.19.12_1",0.130541373729058
"205PS0173_6.20.12_1",0.117887230018842
"205PS0173_6.20.12_2",0.117887230018842
"205PS0202_5.22.13_1",0.114077724661526
"205PS0202_7.17.13_1",0.114077724661526
"205PS0221_5.20.13_1",0.110791488893452
"205R00026_5.14.12_1",0.121412178495446
"205R00035_5.24.12_1",0.114885624616811
"205R00035_5.24.12_2",0.114885624616811
"205R00042_5.21.12_1",0.121084496465632
