"","Predicted"
"102PS0177_8.28.12_1",0.285443206560635
"103CDCHHR_9.14.10_1",0.268416482442924
"103STCNSR_8.9.11_1",0.212912517616244
"103WER026_8.15.12_1",0.236191309872898
"103WER029_7.16.14_1",0.262365338920485
"103WER030_8.10.11_1",0.229066830720558
"105BVCAGC_9.21.10_1",0.263667014593835
"105CE0329_7.23.14_1",0.287056741505108
"105CLCATC_8.10.10_1",0.24861968742499
"105DLCDCC_10.20.09_1",0.209387419490352
"105FCA116_7.16.13_1",0.207313676982824
"105FS0416_9.24.13_1",0.256189867976597
"105FS0425_8.10.11_1",0.209654148979815
"105FS0428_8.3.11_1",0.25393046151059
"105NWC151_6.26.13_1",0.314180122428714
"105PS0043_9.17.08_1",0.250335371756584
"105PS0083_9.8.09_1",0.275781916369958
"105PS0090_8.7.12_1",0.203037425813741
"105PS0097_7.22.14_1",0.215862298677967
"105PS0154_8.9.11_1",0.236054412082908
"105PS0195_8.7.12_1",0.204223602829751
"105PS0259_9.17.13_1",0.302749391146564
"105PS0267_7.21.14_1",0.319415479792837
"105PS0468_9.1.09_1",0.297433348523541
"105PS0540_9.15.10_1",0.25227878515258
"105PS1492_8.6.14_1",0.265844003666866
"105WE0598_7.24.14_1",0.259399444156068
"105WLC135_6.26.13_1",0.297479131656071
"105WLCABC_8.3.11_1",0.290284878816122
"106FS0040_8.30.11_1",0.376955622412326
"106PS0115_9.21.10_1",0.277583466439472
"106PS0124_8.16.10_1",0.289564466841713
"106PS0166_8.2.11_1",0.269724504491098
"106WE0505_7.21.14_1",0.221411946495358
"106WER011_9.11.13_1",0.24081562565972
"107PS0021_7.14.14_1",0.214557107868703
"107WER092_8.27.12_1",0.330293441843841
"111BBRBCC_9.23.09_1",0.267097968228381
"111CBCAER_8.8.13_1",0.285879991937104
"111ERATRC_10.10.12_1",0.269450113790319
"111FS0001_7.5.11_1",0.287500620958588
"111FS0008_7.19.12_1",0.278839167656761
"111HSCAER_7.26.11_1",0.299982442770775
"111PS0060_10.7.08_1",0.280533123089328
"111PS0110_6.9.14_1",0.224476101708685
"111PS0144_8.18.10_1",0.311293838746603
"111PS0160_7.25.11_1",0.341029700751446
"111PS0204_8.17.10_1",0.322459287267226
"111RSCAER_8.8.11_1",0.276761276958707
"111TGCAER_7.24.12_1",0.312492611814755
"111WE0816_6.12.13_1",0.222713736210233
"111WE1050_6.12.13_1",0.197403421851718
"111WE1071_7.26.12_1",0.179846775582301
"111WER003_6.10.14_1",0.25771355317415
"111WER008_7.23.12_1",0.260801601439788
"111WER159_10.19.09_1",0.262821152057327
"113RG8046_8.19.10_1",0.372031823896811
"114CE0131_7.31.12_1",0.366329888917939
"114PS0145_6.20.11_1",0.300705731535285
"114WE0614_7.9.12_1",0.356389623694508
"115EBAG01_7.1.10_1",0.413964530519943
"201AHO350_6.20.12_1",0.506016982931391
"201CHE300_6.18.12_1",0.482226044487758
"201LAG335_7.15.09_1",0.443260928024743
"201MRS020_9.13.10_1",0.468502411714205
"202BUT030_6.29.10_1",0.471302491419812
"202BUT040_6.4.14_1",0.333697536783863
"202BUT050_6.16.09_1",0.583647859297263
"202BUT480_6.25.12_1",0.422893387694726
"202BUT600_6.26.12_1",0.425116810283164
"202DRY010_6.5.13_1",0.48381647427136
"202PES168_6.6.13_1",0.501109317020438
"202R00024_6.6.12_1",0.48202336736333
"202R00280_5.22.13_1",0.560488513003784
"204AHOACR_6.2.14_1",0.324891582831954
"204ALA500_6.10.13_1",0.313686783773203
"204ARH090_6.2.14_1",0.40640511893988
"204IND200_5.25.10_1",0.369857506019143
"204R00189_5.6.13_1",0.426981328012487
"204SIN300_5.15.12_1",0.499467212913504
"204VAL400_5.19.14_1",0.3759260385932
"205AAG375_5.14.14_1",0.370222360861093
"205AAG400_6.5.12_1",0.418509144682209
"205COY585_5.28.13_1",0.319621198025418
"205COY610_6.3.10_1",0.296367495765455
"205COY615_6.3.14_1",0.32670372259385
"205COY853_5.29.14_1",0.34590177072806
"205COY900_5.16.12_1",0.441891326004095
"205COY930_5.7.13_1",0.281077785661798
"205CYCAHH_6.10.08_1",0.366117009456081
"205CYCBBC_6.28.10_1",0.293593604520688
"205LGA700_5.23.12_1",0.38358464227533
"205R00021_5.16.12_1",0.396652900096015
"205R00182_5.7.13_1",0.415153247282536
"205WUN450_6.11.12_1",0.397804339531314
"205WUN550_5.6.13_1",0.388849472903832
"206HCT020_5.29.12_1",0.353481227937429
"206RCCBDC_7.20.10_1",0.421560549383895
"206TUL120_6.13.11_1",0.359865884642015
"207GVC800_5.23.13_1",0.51159984347868
"207SUI800_5.5.14_1",0.434013413761405
"304WDCAH1_6.29.10_1",0.498368690720846
"305LGCACR_7.16.08_1",0.367821191813135
"305LGCBRC_6.30.10_1",0.404822513826104
"305SSCAUC_6.29.10_1",0.545652674668456
"305UVCASC_6.29.10_1",0.419092998265305
"307CE0094_6.12.12_1",0.364353786022218
"307SCCARR_6.21.10_1",0.386793458449202
"308BSU_7.13.10_1",0.44609691732872
