"","Predicted"
"103KLCMSR_9.14.10_1",0.224374159580885
"105PS0193_8.29.12_1",0.314023162418781
"105PS0660_8.3.10_1",0.274959209152745
"105TMCACC_8.10.10_1",0.26649604346908
"106MNCAHC_10.1.08_1",0.238053187002329
"106WE1079_8.8.12_1",0.229519047505402
"106WER016_10.20.09_1",0.271845772625502
"107LLM101_9.13.10_1",0.207866041127976
"111BGCAER_6.11.14_1",0.272179830263804
"111FS0007_7.11.11_1",0.319617010137734
"111PAL105_7.13.11_1",0.340806905789467
"202SPE090_6.15.09_1",0.371171604448268
"205AAG075_6.12.13_1",0.299608155358101
"205COY850_5.21.12_1",0.318567259305945
"205SFC880_6.19.12_1",0.34388369877702
"206BRC020_6.27.12_1",0.346900741506506
"207SUI290_6.4.12_1",0.330993913994017
"307CMRADC_5.20.14_1",0.293966682133347
"308LSRASC_7.18.11_1",0.312870540652676
"308MWCAH1_6.23.10_1",0.322675759265119
"308PS0156_6.19.12_1",0.349865349467649
"308ROCBBQ_6.21.12_1",0.33038461552239
"309ARCBRC_8.25.08_1",0.321741057403428
"309PS0116_6.16.11_1",0.341171544240279
"312PS0099_6.14.10_1",0.299216394596186
"315CHCALS_6.15.10_1",0.312810493004291
"402BA0095_5.29.08_1",0.285321178270761
"402M00009_6.29.15_1",0.320903115786458
"403S00960_6.2.10_1",0.299632815855102
"403S01536_7.12.11_1",0.241876637030936
"403WE0540_5.14.14_1",0.284045027754363
"403WE0683_5.15.13_1",0.289034354968808
"505PS0110_9.16.10_1",0.346260080832722
"513CCNASC_7.16.14_1",0.298823300344353
"513STCAIV_6.12.14_1",0.318620061114565
"513UNCAKC_9.23.09_1",0.322807355199632
"514SSC190_9.11.14_1",0.218379311223026
"517FCA046_8.14.13_1",0.257358973523554
"518BTCASC_6.12.13_1",0.277053736957932
"518FCA075_8.12.13_1",0.252336523131761
"518SPC134_6.18.13_1",0.268791635280667
"522GSCBSC_9.24.09_1",0.277554553258311
"522PS0504_6.11.13_1",0.310884784070715
"526PNCAMF_6.25.13_1",0.258236591830502
"526PS1420_6.25.13_1",0.310729156042658
"534MLC108_9.14.11_1",0.207239867259863
"536HLCBFM_6.18.13_1",0.300246449904088
"537TYCAML_7.16.08_1",0.163771755372247
"540SED003_8.30.11_1",0.222501800484887
"552DKC268_6.23.14_1",0.192865676352222
"552MFCAKR_6.11.08_1",0.286589024676253
"553KRNAYC_6.17.14_1",0.323332203646265
"554CLCALK_8.23.11_1",0.230114052113593
"603DDM005_9.13.11_1",0.267416208793802
"603FCA145_8.21.13_1",0.226438034230523
"603PS0008_7.30.08_1",0.149244552503189
"603PS0075_8.15.12_1",0.272370239206067
"603PS0109_7.29.08_1",0.295938432748066
"603PS0557_8.18.10_1",0.292324802449269
"603SPCBWC_7.22.08_1",0.198657297927041
"631DEP001_8.28.12_1",0.297431994393854
"631PS0033_8.30.10_1",0.206172029127404
"632ELD001_9.8.11_1",0.248711375397703
"634CAT055_10.4.11_1",0.193389662442062
"634GRF001_10.3.11_1",0.279374174482416
"634HHCATC_10.4.11_1",0.236874044858507
"634PS0035_9.1.10_1",0.188731742182901
"634PS0062_10.12.11_1",0.25029475056313
"634WSN001_10.4.11_1",0.304217749700936
"636SAG001_7.12.10_1",0.280312751472186
"639PS1279_6.11.13_1",0.242960338233771
"641OWC157_7.24.13_1",0.267640494907497
"722NP7IDC_4.16.14_1",0.266682171446335
"801DRC025_6.25.14_1",0.25114610356372
"801S03488_5.7.14_1",0.341022921946631
"801WE0674_5.14.13_1",0.25114610356372
"801WE1008_5.14.13_1",0.290599663489765
"801WE1132_8.19.09_1",0.279915244001942
"901ATCAAS_6.5.08_1",0.337748083572128
"901CSCADC_5.26.11_1",0.329390280355329
"901S06969_5.31.12_1",0.297884240586524
"903WE0798_4.8.15_1",0.285342371712519
"905BCC_6.11.14_1",0.312371773577312
"905S02561_5.25.11_1",0.278430692829456
"909JQCASR_6.1.11_1",0.266827230110619
"911S03354_5.5.09_1",0.263321796844955
"911TJIND2_5.8.08_1",0.244511877894644
"911TJLCC2_4.7.15_1",0.29017054933319
"SCFC1_6.12.08_1",0.293112215524266
"SCSS1_6.17.08_1",0.333173956295012
"SMAD1_11.5.08_1",0.305779510210381
"SMC00135_6.7.10_1",0.259101295942803
"SMC01979_7.14.11_1",0.294464815924906
"SMC02139_7.17.12_1",0.341939177094776
"SMC04204_7.11.12_1",0.370052759000954
"SMC04383_5.19.14_1",0.305812599458786
"SMC06467_6.28.10_1",0.333285833949875
"SMC19809_6.25.13_1",0.302824129595353
