"","Predicted"
"102PS0139_8.9.10_1",0.0300850469320588
"103FCA168_7.24.13_1",0.0499652774293305
"103PS0217_9.10.13_1",0.0499652774293305
"103RDCBCC_7.21.11_1",0.031498641440472
"105PS0028_8.12.08_1",0.0645052786597097
"105PS0028_8.26.08_1",0.0645052786597097
"105PS0067_8.24.09_1",0.0408328260637324
"105PS0067_8.24.09_2",0.0408328260637324
"105PS0067_9.15.09_1",0.0408328260637324
"105PS0069_8.18.09_1",0.0411910814450319
"105PS0092_8.11.08_1",0.0357761449009011
"105PS0107_9.14.09_1",0.0251971598051771
"105PS0129_8.11.10_1",0.041778380561342
"105PS0129_8.11.10_2",0.041778380561342
"105PS0149_8.29.12_1",0.0307976766396584
"105PS0211_8.20.13_1",0.0410939073835805
"105PS0211_9.16.13_1",0.0410939073835805
"105PS0231_8.29.13_1",0.0387404040911057
"105PS0276_9.1.09_1",0.0339548071557098
"105PS0276_9.22.09_1",0.0339548071557098
"105PS0540_8.5.10_1",0.0603287827158818
"105PS1148_9.18.12_1",0.0572571398360998
"105PS1404_8.28.13_1",0.0431546351791744
"105PS1404_8.28.13_2",0.0431546351791744
"106FCA036_7.15.13_1",0.0322860288031058
"106HLCACC_9.23.13_1",0.017366018409697
"106PS0022_9.30.08_1",0.0442362131862894
"106PS0051_9.16.08_1",0.0345531071293655
"106PS0051_9.16.08_2",0.0345531071293655
"106PS0106_9.8.09_1",0.015091035024609
"106PS0106_9.8.09_2",0.015091035024609
"106PS0122_9.20.10_1",0.0353581607994825
"106PS0142_7.19.10_1",0.085042130063062
"106PS0206_10.3.12_1",0.0478435236845704
"106PTCAHC_9.2.08_1",0.0731007087213439
"107GWCAPC_9.15.10_1",0.0901380903086406
"107RWCBHW_8.3.11_1",0.0311366328522759
"107RWCBHW_8.3.11_2",0.0311366328522759
"108PS0197_8.16.12_1",0.0299114183203927
"110PS0114_7.21.10_1",0.0895237195714027
"110SMCATH_7.27.11_1",0.0945537343063927
"111CE0569_10.11.10_1",0.0808861345028109
"111FCA207_7.23.13_1",0.0697699944388927
"111PS0008_9.29.08_1",0.0679002833781694
"111PS0008_9.9.08_1",0.0679002833781694
"111PS0008_9.9.08_2",0.0679002833781694
"111PS0013_8.19.08_1",0.0906162642293167
"111PS0095_8.27.09_1",0.0600769317994203
"111PS0095_8.27.09_2",0.0600769317994203
"111PS0121_7.20.10_1",0.081537068025191
"111PS0159_7.14.11_1",0.0367601621309016
"111PS0169_7.25.11_1",0.0561119360454881
"111PS0169_7.25.11_2",0.0561119360454881
"111PS0178_8.14.12_1",0.0534176942114488
"111PS0237_9.12.13_1",0.0211496333561289
"112PS0157_7.12.11_1",0.0367600603014295
"113GAR011_8.22.11_1",0.089876291903684
"113GAR011_9.1.10_1",0.089876291903684
"113GAR015_8.23.11_1",0.0705621887455229
