"","Predicted"
"102PS0177_8.28.12_1",0.0126771790355164
"103CDCHHR_9.14.10_1",0.0505583622054292
"103STCNSR_8.9.11_1",0.012341617691425
"103WER026_8.15.12_1",0.022905068016546
"103WER029_7.16.14_1",0.0505583622054292
"103WER030_8.10.11_1",0.0128609527057813
"105BVCAGC_9.21.10_1",0.008738384706739
"105CE0329_7.23.14_1",0.00279659433959354
"105CLCATC_8.10.10_1",0.0103154699301914
"105DLCDCC_10.20.09_1",0.0582798356695022
"105FCA116_7.16.13_1",0.0137270843677187
"105FS0416_9.24.13_1",0.0255861051785383
"105FS0425_8.10.11_1",0.0117552678397958
"105FS0428_8.3.11_1",0.0293663808575412
"105NWC151_6.26.13_1",0.029839738751273
"105PS0043_9.17.08_1",0.0613100711247309
"105PS0083_9.8.09_1",0.0107529103167756
"105PS0090_8.7.12_1",0.00272016754058609
"105PS0097_7.22.14_1",0.0217838755842083
"105PS0154_8.9.11_1",0.0349516038934897
"105PS0195_8.7.12_1",0.00455809302374705
"105PS0259_9.17.13_1",0.024273766963059
"105PS0267_7.21.14_1",0.0299782618119901
"105PS0468_9.1.09_1",0.0311168866949696
"105PS0540_9.15.10_1",0.0603287827158818
"105PS1492_8.6.14_1",0.0349732226909647
"105WE0598_7.24.14_1",0.0189095191390488
"105WLC135_6.26.13_1",0.0309459194988143
"105WLCABC_8.3.11_1",0.0609878687692816
"106FS0040_8.30.11_1",0.0389403329657629
"106PS0115_9.21.10_1",0.0266833717772251
"106PS0124_8.16.10_1",0.0259957100984112
"106PS0166_8.2.11_1",0.0398093663648175
"106WE0505_7.21.14_1",0.0240002378808589
"106WER011_9.11.13_1",0.013762121897762
"107PS0021_7.14.14_1",0.0505583622054292
"107WER092_8.27.12_1",0.0901380903086406
"111BBRBCC_9.23.09_1",0.0489441545943035
"111CBCAER_8.8.13_1",0.0242067211024457
"111ERATRC_10.10.12_1",0.0356867419380488
"111FS0001_7.5.11_1",0.0190655562536035
"111FS0008_7.19.12_1",0.0362513577054262
"111HSCAER_7.26.11_1",0.0558816191351144
"111PS0060_10.7.08_1",0.0680197029314949
"111PS0110_6.9.14_1",0.028760515201949
"111PS0144_8.18.10_1",0.0649808932204326
"111PS0160_7.25.11_1",0.0775259681077178
"111PS0204_8.17.10_1",0.063101960892859
"111RSCAER_8.8.11_1",0.0120585642053915
"111TGCAER_7.24.12_1",0.0311930484696569
"111WE0816_6.12.13_1",0.0169226694575054
"111WE1050_6.12.13_1",0.00906929788225098
"111WE1071_7.26.12_1",0.0102176896749699
"111WER003_6.10.14_1",0.0142115919389146
"111WER008_7.23.12_1",0.0183589137834837
"111WER159_10.19.09_1",0.0488430444094896
"113RG8046_8.19.10_1",0.0756004095003701
"114CE0131_7.31.12_1",0.0848023101650592
"114PS0145_6.20.11_1",0.10438821302071
"114WE0614_7.9.12_1",0.0549084840617553
"115EBAG01_7.1.10_1",0.130440004965044
"201AHO350_6.20.12_1",0.0624394059725728
"201CHE300_6.18.12_1",0.128969392339372
"201LAG335_7.15.09_1",0.0902220313824049
"201MRS020_9.13.10_1",0.0731710954155999
"202BUT030_6.29.10_1",0.111511655068973
"202BUT040_6.4.14_1",0.0303272608691399
"202BUT050_6.16.09_1",0.135470465336925
"202BUT480_6.25.12_1",0.0652635479844178
"202BUT600_6.26.12_1",0.0803539151592027
"202DRY010_6.5.13_1",0.124363911846348
"202PES168_6.6.13_1",0.130859814758711
"202R00024_6.6.12_1",0.148194706475784
"202R00280_5.22.13_1",0.108028665813103
"204AHOACR_6.2.14_1",0.0391972507943424
"204ALA500_6.10.13_1",0.0700718062121742
"204ARH090_6.2.14_1",0.0811267709034049
"204IND200_5.25.10_1",0.0970025420868065
"204R00189_5.6.13_1",0.11365340303339
"204SIN300_5.15.12_1",0.0981764189138637
"204VAL400_5.19.14_1",0.0538146441098935
"205AAG375_5.14.14_1",0.0854144755320696
"205AAG400_6.5.12_1",0.0935826149224608
"205COY585_5.28.13_1",0.0773527470830589
"205COY610_6.3.10_1",0.073669422349834
"205COY615_6.3.14_1",0.0828191280869004
"205COY853_5.29.14_1",0.0698055908443957
"205COY900_5.16.12_1",0.0619063645422941
"205COY930_5.7.13_1",0.0686055438643106
"205CYCAHH_6.10.08_1",0.0917979474333689
"205CYCBBC_6.28.10_1",0.0557356487773186
"205LGA700_5.23.12_1",0.0921544048263855
"205R00021_5.16.12_1",0.0716285894866217
"205R00182_5.7.13_1",0.105273220808234
"205WUN450_6.11.12_1",0.070471482365143
"205WUN550_5.6.13_1",0.100060388543205
"206HCT020_5.29.12_1",0.0738440662382115
"206RCCBDC_7.20.10_1",0.0914823599496115
"206TUL120_6.13.11_1",0.0596047160409916
"207GVC800_5.23.13_1",0.0742061333496049
"207SUI800_5.5.14_1",0.15112685766293
"304WDCAH1_6.29.10_1",0.116344557162124
"305LGCACR_7.16.08_1",0.107382827761631
"305LGCBRC_6.30.10_1",0.0935826149224608
"305SSCAUC_6.29.10_1",0.127364240075616
"305UVCASC_6.29.10_1",0.0836509169567612
"307CE0094_6.12.12_1",0.0820473936986987
"307SCCARR_6.21.10_1",0.126747959292363
"308BSU_7.13.10_1",0.107186949999846
"308LILPAL_6.20.12_1",0.0607104414032058
"308PWCAH1_6.22.10_1",0.0635041955326987
"308SAM_6.23.10_1",0.0886999879894991
"308SANWIL_6.12.12_1",0.115805651130243
