"","Predicted"
"103KLCMSR_9.14.10_1",0.012955633853094
"105PS0193_8.29.12_1",0.0110385933710351
"105PS0660_8.3.10_1",0.029839738751273
"105TMCACC_8.10.10_1",0.0498228053118784
"106MNCAHC_10.1.08_1",0.0411025848152584
"106WE1079_8.8.12_1",0.0347490411872782
"106WER016_10.20.09_1",0.0634373051238013
"107LLM101_9.13.10_1",0.0505583622054292
"111BGCAER_6.11.14_1",0.0384190637035794
"111FS0007_7.11.11_1",0.0654295437535134
"111PAL105_7.13.11_1",0.0763815983110155
"202SPE090_6.15.09_1",0.113966116758441
"205AAG075_6.12.13_1",0.0679774297237476
"205COY850_5.21.12_1",0.0459883129683474
"205SFC880_6.19.12_1",0.0627716821525254
"206BRC020_6.27.12_1",0.104804775388966
"207SUI290_6.4.12_1",0.109202628912278
"307CMRADC_5.20.14_1",0.0480392989975994
"308LSRASC_7.18.11_1",0.0870212564188233
"308MWCAH1_6.23.10_1",0.0678150642042787
"308PS0156_6.19.12_1",0.0826457806816003
"308ROCBBQ_6.21.12_1",0.0504556595876135
"309ARCBRC_8.25.08_1",0.0585796645917833
"309PS0116_6.16.11_1",0.115944680406005
"312PS0099_6.14.10_1",0.124154114810015
"315CHCALS_6.15.10_1",0.126692730424512
"402BA0095_5.29.08_1",0.0946093765372111
"402M00009_6.29.15_1",0.107130507966432
"403S00960_6.2.10_1",0.0990612511000307
"403S01536_7.12.11_1",0.0634317414233704
"403WE0540_5.14.14_1",0.105717394768279
"403WE0683_5.15.13_1",0.122805816813991
"505PS0110_9.16.10_1",0.0404401156776174
"513CCNASC_7.16.14_1",0.0585141936150514
"513STCAIV_6.12.14_1",0.069445827800886
"513UNCAKC_9.23.09_1",0.069445827800886
"514SSC190_9.11.14_1",0.0271919181657748
"517FCA046_8.14.13_1",0.0386277929082367
"518BTCASC_6.12.13_1",0.0290190831777112
"518FCA075_8.12.13_1",0.0486031749019542
"518SPC134_6.18.13_1",0.0341496228932665
"522GSCBSC_9.24.09_1",0.0631882227570371
"522PS0504_6.11.13_1",0.0606439819555302
"526PNCAMF_6.25.13_1",0.0191611182098208
"526PS1420_6.25.13_1",0.0435747194756737
"534MLC108_9.14.11_1",0.0311440387521837
"536HLCBFM_6.18.13_1",0.00955695425523539
"537TYCAML_7.16.08_1",0.00880932937302109
"540SED003_8.30.11_1",0.0123953612359294
"552DKC268_6.23.14_1",0.0272158555920114
"552MFCAKR_6.11.08_1",0.0896276305832258
"553KRNAYC_6.17.14_1",0.100874433717767
"554CLCALK_8.23.11_1",0.0236949813922506
"603DDM005_9.13.11_1",0.0279215840743479
"603FCA145_8.21.13_1",0.0131459799940593
"603PS0008_7.30.08_1",0.00878573990320027
"603PS0075_8.15.12_1",0.0665727789891099
"603PS0109_7.29.08_1",0.0399251580938442
"603PS0557_8.18.10_1",0.0388490707716659
"603SPCBWC_7.22.08_1",0.0226527395912155
"631DEP001_8.28.12_1",0.0686596401849205
"631PS0033_8.30.10_1",0.0377473898021503
"632ELD001_9.8.11_1",0.0425352162361576
"634CAT055_10.4.11_1",0.00903691730599736
"634GRF001_10.3.11_1",0.0133324207950277
"634HHCATC_10.4.11_1",0.0167486139090111
"634PS0035_9.1.10_1",0.00839476851980453
"634PS0062_10.12.11_1",0.0259650376189273
"634WSN001_10.4.11_1",0.0356569241908577
"636SAG001_7.12.10_1",0.051036025502952
"639PS1279_6.11.13_1",0.0419589467305371
"641OWC157_7.24.13_1",0.0025789587493773
"722NP7IDC_4.16.14_1",0.156360184135413
"801DRC025_6.25.14_1",0.0436480215356549
"801S03488_5.7.14_1",0.0663883735153898
"801WE0674_5.14.13_1",0.0437789187683071
"801WE1008_5.14.13_1",0.031847181652757
"801WE1132_8.19.09_1",0.0512212431109854
"901ATCAAS_6.5.08_1",0.0660336625810172
"901CSCADC_5.26.11_1",0.0532358221549804
"901S06969_5.31.12_1",0.119433964297704
"903WE0798_4.8.15_1",0.0839219274393931
"905BCC_6.11.14_1",0.131581729074824
"905S02561_5.25.11_1",0.130311883912735
"909JQCASR_6.1.11_1",0.0392312985752114
"911S03354_5.5.09_1",0.087701928769397
"911TJIND2_5.8.08_1",0.0927035890806987
"911TJLCC2_4.7.15_1",0.090674964784156
"SCFC1_6.12.08_1",0.0700867467914518
"SCSS1_6.17.08_1",0.122253372324709
"SMAD1_11.5.08_1",0.127086997865208
"SMC00135_6.7.10_1",0.0522669807924525
"SMC01979_7.14.11_1",0.118159417839177
"SMC02139_7.17.12_1",0.0932359758843153
"SMC04204_7.11.12_1",0.0877863918065163
"SMC04383_5.19.14_1",0.0994251379166337
"SMC06467_6.28.10_1",0.0984738329558081
"SMC19809_6.25.13_1",0.124402452696087
