"","Predicted"
"105PS0188_8.26.08_1",0.0221809701139397
"105PS0188_8.26.08_2",0.0221809701139397
"106FC1183_7.24.14_1",0.038330816873988
"106FC1313_7.23.14_1",0.0473026819737114
"106PS0078_8.26.09_1",0.0802123269646834
"106PS0173_8.4.11_1",0.0416390071582851
"106PS0186_9.26.12_1",0.0346697987553637
"109PS0162_7.20.11_1",0.0934594564113101
"110ECSLSF_7.26.11_1",0.087408556256507
"110FCA102_7.25.13_1",0.0917288399607756
"111CR1012_8.18.14_1",0.0398338936349613
"111PS0057_8.18.08_1",0.105321278455235
"113GAR010_6.8.09_1",0.0657105604834688
"113GAR010_8.27.12_1",0.0657105604834688
"113GAR038_6.8.09_1",0.0848521035519803
"113GAR038_9.10.12_1",0.0848521035519803
"113GAR046_6.18.12_1",0.1021087501991
"113GAR046_6.8.09_1",0.1021087501991
"113GAR046_9.2.14_1",0.1021087501991
"113GAR061_6.19.12_1",0.0951713285434004
"113GAR061_7.1.09_1",0.0951713285434004
"113GAR061_9.3.14_1",0.0951713285434004
"113GAR061_9.3.14_2",0.0951713285434004
"113GAR084_6.28.10_1",0.0819060900526469
"113GAR094_7.27.10_1",0.0952987849376695
"113GAR094_7.27.10_2",0.0952987849376695
"113GAR110_6.18.12_1",0.0876834402326808
"113GAR110_6.30.09_1",0.0876834402326808
"113GAR110_9.2.14_1",0.0876834402326808
"113PS0084_8.18.09_1",0.047579434735132
"113PS0100_8.25.09_1",0.0751250009375127
"113PS0132_9.15.10_1",0.0472473980481105
"113PS0196_8.1.12_1",0.0655953949283021
"114CR0903_8.26.13_1",0.106739782659447
"114CR0903_9.25.13_1",0.106739782659447
"114PS0149_7.10.12_1",0.080899248017517
"114PS0152_7.7.11_1",0.0610987913083834
"114PS0152_8.18.11_1",0.0610987913083834
"114RR1041_10.10.11_1",0.10361774123891
"114RR1041_10.25.11_1",0.10361774123891
"114RR1041_10.25.11_2",0.10361774123891
"114RR1041_8.2.11_1",0.10361774123891
"114RR1041_9.7.11_1",0.10361774123891
"114RR1310_6.2.11_1",0.103293108292939
"114RR1599_10.10.11_1",0.101557777188223
"114RR1599_10.25.11_1",0.101557777188223
"114RR1599_6.2.11_1",0.101557777188223
"114RR1599_6.27.11_1",0.101557777188223
"114RR1599_8.2.11_1",0.101557777188223
"114RR1599_8.2.11_2",0.101557777188223
"114RR1599_9.7.11_1",0.101557777188223
"114RR2678_10.11.11_1",0.10488446883063
"114RR2678_10.24.11_1",0.10488446883063
"114RR2678_6.29.11_1",0.10488446883063
"114RR2678_8.1.11_1",0.10488446883063
"114RR2678_9.13.11_1",0.10488446883063
"114RR2769_6.1.11_1",0.105215691576139
"114RR2899_10.11.11_1",0.106499720750259
"114RR2899_10.24.11_1",0.106499720750259
"114RR2899_6.1.11_1",0.106499720750259
"114RR2899_6.29.11_1",0.106499720750259
"114RR2899_8.1.11_1",0.106499720750259
"114RR2899_9.13.11_1",0.106499720750259
"202BUT850_6.4.13_1",0.0516727917597721
"202PS0134_5.31.11_1",0.115080968655177
"202R00087_5.30.12_1",0.0655469380381423
"202R00284_6.15.12_1",0.113031344417215
"202R00908_5.21.13_1",0.112301614897902
"203PS0070_7.19.10_1",0.103858996778718
"203PS0070_9.7.10_1",0.103858996778718
"203R00039_5.14.12_1",0.109590749478346
"204ALP040_4.10.11_1",0.0747099773426814
"204ALP040_6.29.11_1",0.0747099773426814
"204ALP105_4.10.11_1",0.137128002710349
"204ALP151_4.10.11_1",0.0753900802039504
"204ALP151_6.29.11_1",0.0753900802039504
"204PS0038_6.19.08_1",0.10354010582195
"204PS0094_7.14.10_1",0.0751479830212414
"204PS0102_6.15.11_1",0.0981999604265213
"204PS0102_6.15.11_2",0.0981999604265213
"204PS0102_8.10.11_1",0.0981999604265213
"204PS0118_6.15.11_1",0.125576123598233
"204R00047_6.6.12_1",0.095718565100825
"204R00063_6.4.13_1",0.112717483028634
"204R00068_5.31.12_1",0.0774656752990492
"204R00084_5.24.12_1",0.104405725424882
"204R00100_5.30.12_1",0.0665375951711741
"204R00180_5.30.12_1",0.101444654423568
"204R00191_5.29.12_1",0.0773527470830589
"204R00200_5.31.12_1",0.103752823886054
"204R00232_6.12.12_1",0.0739406617041623
"204R00232_6.12.12_2",0.0739406617041623
"204R00244_6.12.12_1",0.108028665813103
"204R00303_6.14.12_1",0.102807686945951
"204R00319_6.7.12_1",0.106952266657265
"204R00319_6.7.12_2",0.106952266657265
"204R00327_5.7.13_1",0.109568799145872
"204R00334_5.8.13_1",0.085274634803107
"204R00340_6.11.12_1",0.104421710451613
"204R00356_5.30.12_1",0.0677253356593773
"204R00356_6.4.12_1",0.0677253356593773
"204R00367_6.12.12_1",0.0911946695693644
"204R00383_6.11.12_1",0.104832731371262
"204R00391_6.6.12_1",0.129305121855206
"204R00436_5.20.13_1",0.120996741253456
"204R00447_4.2.13_1",0.0743308796882233
"204R00447_4.22.13_1",0.0743308796882233
"204R00455_6.13.12_1",0.080616124147573
"204R00473_5.9.13_1",0.0828191280869004
"204R00473_5.9.13_2",0.0828191280869004
"204R00520_5.28.13_1",0.105949653042509
