"","Predicted"
"102PS0139_8.9.10_1",0.0305044477638887
"103FCA168_7.24.13_1",0.0439440356514028
"103PS0217_9.10.13_1",0.0439440356514028
"103RDCBCC_7.21.11_1",0.0235560598880533
"105PS0028_8.12.08_1",0.0544064680697333
"105PS0028_8.26.08_1",0.0544064680697333
"105PS0067_8.24.09_1",0.031257583804785
"105PS0067_8.24.09_2",0.031257583804785
"105PS0067_9.15.09_1",0.031257583804785
"105PS0069_8.18.09_1",0.0375693138607291
"105PS0092_8.11.08_1",0.0329627173144424
"105PS0107_9.14.09_1",0.0236698387951233
"105PS0129_8.11.10_1",0.0400306765951986
"105PS0129_8.11.10_2",0.0400306765951986
"105PS0149_8.29.12_1",0.0305874187500141
"105PS0211_8.20.13_1",0.0375251270715787
"105PS0211_9.16.13_1",0.0375251270715787
"105PS0231_8.29.13_1",0.0406350599746922
"105PS0276_9.1.09_1",0.0335971128779352
"105PS0276_9.22.09_1",0.0335971128779352
"105PS0540_8.5.10_1",0.0620314699514379
"105PS1148_9.18.12_1",0.0542974087474933
"105PS1404_8.28.13_1",0.0414681390682598
"105PS1404_8.28.13_2",0.0414681390682598
"106FCA036_7.15.13_1",0.030274389567279
"106HLCACC_9.23.13_1",0.0183981701075768
"106PS0022_9.30.08_1",0.0427911158739505
"106PS0051_9.16.08_1",0.0283280957958679
"106PS0051_9.16.08_2",0.0283280957958679
"106PS0106_9.8.09_1",0.0140606540174271
"106PS0106_9.8.09_2",0.0140606540174271
"106PS0122_9.20.10_1",0.034449689549424
"106PS0142_7.19.10_1",0.0768108574398805
"106PS0206_10.3.12_1",0.0429127564688162
"106PTCAHC_9.2.08_1",0.0621460346535104
"107GWCAPC_9.15.10_1",0.0834205109670001
"107RWCBHW_8.3.11_1",0.0298951054157108
"107RWCBHW_8.3.11_2",0.0298951054157108
"108PS0197_8.16.12_1",0.0261377194145269
"110PS0114_7.21.10_1",0.0750972694898135
"110SMCATH_7.27.11_1",0.0823396969195723
"111CE0569_10.11.10_1",0.0699512641948243
"111FCA207_7.23.13_1",0.0653411873389097
"111PS0008_9.29.08_1",0.0617845314254265
"111PS0008_9.9.08_1",0.0617845314254265
"111PS0008_9.9.08_2",0.0617845314254265
"111PS0013_8.19.08_1",0.0871987592012645
"111PS0095_8.27.09_1",0.0549528699450363
"111PS0095_8.27.09_2",0.0549528699450363
"111PS0121_7.20.10_1",0.0724819756192385
"111PS0159_7.14.11_1",0.0287654400955001
"111PS0169_7.25.11_1",0.0528386036215302
"111PS0169_7.25.11_2",0.0528386036215302
"111PS0178_8.14.12_1",0.0559808649786283
"111PS0237_9.12.13_1",0.0216377278034672
"112PS0157_7.12.11_1",0.0353666556416916
"113GAR011_8.22.11_1",0.0849705472062316
"113GAR011_9.1.10_1",0.0849705472062316
"113GAR015_8.23.11_1",0.0677848461945893
