"","Predicted"
"102PS0177_8.28.12_1",0.011977707841675
"103CDCHHR_9.14.10_1",0.0460305028074352
"103STCNSR_8.9.11_1",0.0123420887726889
"103WER026_8.15.12_1",0.0216223757444888
"103WER029_7.16.14_1",0.0460305028074352
"103WER030_8.10.11_1",0.0124707588555547
"105BVCAGC_9.21.10_1",0.00862421818873043
"105CE0329_7.23.14_1",0.00372671421025872
"105CLCATC_8.10.10_1",0.00975698030327221
"105DLCDCC_10.20.09_1",0.0573950694590113
"105FCA116_7.16.13_1",0.0133033573948109
"105FS0416_9.24.13_1",0.023062967649592
"105FS0425_8.10.11_1",0.0104855614180204
"105FS0428_8.3.11_1",0.030594592163761
"105NWC151_6.26.13_1",0.0298684998426754
"105PS0043_9.17.08_1",0.0540621542208272
"105PS0083_9.8.09_1",0.00972161788202458
"105PS0090_8.7.12_1",0.00370039842078503
"105PS0097_7.22.14_1",0.0231225994511617
"105PS0154_8.9.11_1",0.0201383609914239
"105PS0195_8.7.12_1",0.00517725649074561
"105PS0259_9.17.13_1",0.0249678090798196
"105PS0267_7.21.14_1",0.0273417254141723
"105PS0468_9.1.09_1",0.0235426490378481
"105PS0540_9.15.10_1",0.0620314699514379
"105PS1492_8.6.14_1",0.0281731056499021
"105WE0598_7.24.14_1",0.0177270847150897
"105WLC135_6.26.13_1",0.0280272207236509
"105WLCABC_8.3.11_1",0.0629704038313573
"106FS0040_8.30.11_1",0.0355552659502094
"106PS0115_9.21.10_1",0.0246598006565222
"106PS0124_8.16.10_1",0.02451358139183
"106PS0166_8.2.11_1",0.043345641133886
"106WE0505_7.21.14_1",0.0234376054287397
"106WER011_9.11.13_1",0.0141187269946064
"107PS0021_7.14.14_1",0.0460305028074352
"107WER092_8.27.12_1",0.0834205109670001
"111BBRBCC_9.23.09_1",0.0476342036936063
"111CBCAER_8.8.13_1",0.0231032339199398
"111ERATRC_10.10.12_1",0.0286342864194102
"111FS0001_7.5.11_1",0.0196285529587856
"111FS0008_7.19.12_1",0.0328517266308876
"111HSCAER_7.26.11_1",0.0550505624531431
"111PS0060_10.7.08_1",0.0666515480676087
"111PS0110_6.9.14_1",0.0302307411373125
"111PS0144_8.18.10_1",0.0640286425967889
"111PS0160_7.25.11_1",0.0765879732556176
"111PS0204_8.17.10_1",0.0644202975273191
"111RSCAER_8.8.11_1",0.0107693898306194
"111TGCAER_7.24.12_1",0.0289756752778497
"111WE0816_6.12.13_1",0.016857850894996
"111WE1050_6.12.13_1",0.006572570982689
"111WE1071_7.26.12_1",0.00724471843131403
"111WER003_6.10.14_1",0.0119347631285345
"111WER008_7.23.12_1",0.014012161079246
"111WER159_10.19.09_1",0.0454687059221446
"113RG8046_8.19.10_1",0.0671445559760334
"114CE0131_7.31.12_1",0.0791201814989514
"114PS0145_6.20.11_1",0.0862970531683637
"114WE0614_7.9.12_1",0.0525191950335961
"115EBAG01_7.1.10_1",0.119392575083138
"201AHO350_6.20.12_1",0.0583249553514887
"201CHE300_6.18.12_1",0.116896841135226
"201LAG335_7.15.09_1",0.086841869745164
"201MRS020_9.13.10_1",0.0764739739904794
"202BUT030_6.29.10_1",0.0866862720081
"202BUT040_6.4.14_1",0.0226692797607703
"202BUT050_6.16.09_1",0.130013897586499
"202BUT480_6.25.12_1",0.0606119439090837
"202BUT600_6.26.12_1",0.0777363182674909
"202DRY010_6.5.13_1",0.0835206721326456
"202PES168_6.6.13_1",0.10601529785715
"202R00024_6.6.12_1",0.144147331644702
"202R00280_5.22.13_1",0.0907330439381139
"204AHOACR_6.2.14_1",0.0407881494095729
"204ALA500_6.10.13_1",0.0598441834498188
"204ARH090_6.2.14_1",0.0678380736920184
"204IND200_5.25.10_1",0.0930096058470295
"204R00189_5.6.13_1",0.10418641081497
"204SIN300_5.15.12_1",0.051443468603065
"204VAL400_5.19.14_1",0.0529373066526634
"205AAG375_5.14.14_1",0.0828539028523349
"205AAG400_6.5.12_1",0.0927694120745773
"205COY585_5.28.13_1",0.0680293044087189
"205COY610_6.3.10_1",0.0699756053243795
"205COY615_6.3.14_1",0.071185825394331
"205COY853_5.29.14_1",0.0556684242468538
"205COY900_5.16.12_1",0.0579940187296142
"205COY930_5.7.13_1",0.055368640581864
"205CYCAHH_6.10.08_1",0.0791132822844698
"205CYCBBC_6.28.10_1",0.053302477329811
"205LGA700_5.23.12_1",0.0844524155494463
"205R00021_5.16.12_1",0.0572358368256901
"205R00182_5.7.13_1",0.105243250533719
"205WUN450_6.11.12_1",0.0633631793513633
"205WUN550_5.6.13_1",0.0925043832944988
"206HCT020_5.29.12_1",0.0673387298656105
"206RCCBDC_7.20.10_1",0.0912574145932911
"206TUL120_6.13.11_1",0.0571115851036299
"207GVC800_5.23.13_1",0.073189836521899
"207SUI800_5.5.14_1",0.12931579880491
"304WDCAH1_6.29.10_1",0.0870342436631727
"305LGCACR_7.16.08_1",0.0878180331789807
"305LGCBRC_6.30.10_1",0.0927694120745773
"305SSCAUC_6.29.10_1",0.118894503126343
"305UVCASC_6.29.10_1",0.0802461814246037
"307CE0094_6.12.12_1",0.078648689137079
"307SCCARR_6.21.10_1",0.116815548619774
"308BSU_7.13.10_1",0.0986989250649756
"308LILPAL_6.20.12_1",0.0622901545639739
"308PWCAH1_6.22.10_1",0.061325938860279
"308SAM_6.23.10_1",0.0852832565106619
"308SANWIL_6.12.12_1",0.110491816052838
"308SBCAH1_6.21.10_1",0.073759642326156
"309ARSARC_6.23.10_1",0.112464582896539
"309CAW126_5.21.14_1",0.0278313839869792
"309NAF_5.24.12_1",0.0384058201254233
