"","Predicted"
"103KLCMSR_9.14.10_1",0.0125918997723597
"105PS0193_8.29.12_1",0.0113006186202242
"105PS0660_8.3.10_1",0.0298684998426754
"105TMCACC_8.10.10_1",0.0442744060945155
"106MNCAHC_10.1.08_1",0.0394167330804064
"106WE1079_8.8.12_1",0.0340733723999566
"106WER016_10.20.09_1",0.0604527706909566
"107LLM101_9.13.10_1",0.0460305028074352
"111BGCAER_6.11.14_1",0.0349825529587567
"111FS0007_7.11.11_1",0.0614467438064903
"111PAL105_7.13.11_1",0.0672084832898065
"202SPE090_6.15.09_1",0.0858836042057773
"205AAG075_6.12.13_1",0.066781298079924
"205COY850_5.21.12_1",0.0398561351995488
"205SFC880_6.19.12_1",0.0597082497193568
"206BRC020_6.27.12_1",0.073633843212655
"207SUI290_6.4.12_1",0.0927048218882938
"307CMRADC_5.20.14_1",0.0428733456192131
"308LSRASC_7.18.11_1",0.0813916900208151
"308MWCAH1_6.23.10_1",0.0682170986367086
"308PS0156_6.19.12_1",0.07388433413348
"308ROCBBQ_6.21.12_1",0.0483410224609111
"309ARCBRC_8.25.08_1",0.049955159024804
"309PS0116_6.16.11_1",0.0911708673622754
"312PS0099_6.14.10_1",0.0782219809754689
"315CHCALS_6.15.10_1",0.100385609732225
"402BA0095_5.29.08_1",0.0727637739911102
"402M00009_6.29.15_1",0.0737806948604672
"403S00960_6.2.10_1",0.0660966049093204
"403S01536_7.12.11_1",0.0549133379410793
"403WE0540_5.14.14_1",0.0902206963820175
"403WE0683_5.15.13_1",0.102013972340035
"505PS0110_9.16.10_1",0.030892872347914
"513CCNASC_7.16.14_1",0.047782597664251
"513STCAIV_6.12.14_1",0.0497850263994847
"513UNCAKC_9.23.09_1",0.0497850263994847
"514SSC190_9.11.14_1",0.0274116000805404
"517FCA046_8.14.13_1",0.0356024622270176
"518BTCASC_6.12.13_1",0.0258157012745058
"518FCA075_8.12.13_1",0.0468748306952237
"518SPC134_6.18.13_1",0.0328834934003615
"522GSCBSC_9.24.09_1",0.0591666430832724
"522PS0504_6.11.13_1",0.0452700235183727
"526PNCAMF_6.25.13_1",0.0161944113324091
"526PS1420_6.25.13_1",0.0422253231457617
"534MLC108_9.14.11_1",0.0310222124359763
"536HLCBFM_6.18.13_1",0.00996222481175746
"537TYCAML_7.16.08_1",0.0102339794478814
"540SED003_8.30.11_1",0.0122800976044818
"552DKC268_6.23.14_1",0.0241817307744816
"552MFCAKR_6.11.08_1",0.080444077393052
"553KRNAYC_6.17.14_1",0.094657562955016
"554CLCALK_8.23.11_1",0.0206051568362816
"603DDM005_9.13.11_1",0.0263602029863074
"603FCA145_8.21.13_1",0.0136738479392012
"603PS0008_7.30.08_1",0.0101645805685508
"603PS0075_8.15.12_1",0.0643068982801137
"603PS0109_7.29.08_1",0.0351039991581313
"603PS0557_8.18.10_1",0.0335669488157115
"603SPCBWC_7.22.08_1",0.0205735099379612
"631DEP001_8.28.12_1",0.0670924326503461
"631PS0033_8.30.10_1",0.0368912824148444
"632ELD001_9.8.11_1",0.0355970085089127
"634CAT055_10.4.11_1",0.00926811356607903
"634GRF001_10.3.11_1",0.0122837385540567
"634HHCATC_10.4.11_1",0.0154144451683981
"634PS0035_9.1.10_1",0.0079210179159383
"634PS0062_10.12.11_1",0.0233443520584599
"634WSN001_10.4.11_1",0.0317955847602536
"636SAG001_7.12.10_1",0.0518196165487338
"639PS1279_6.11.13_1",0.0349820163218345
"641OWC157_7.24.13_1",0.00368373175411837
"722NP7IDC_4.16.14_1",0.112186051267706
"801DRC025_6.25.14_1",0.0414586995463199
"801S03488_5.7.14_1",0.0654613476746528
"801WE0674_5.14.13_1",0.0410712086908726
"801WE1008_5.14.13_1",0.0278918873889557
"801WE1132_8.19.09_1",0.0522786502972222
"901ATCAAS_6.5.08_1",0.0569418449294964
"901CSCADC_5.26.11_1",0.0497706135336238
"901S06969_5.31.12_1",0.092737025468323
"903WE0798_4.8.15_1",0.0794224580197725
"905BCC_6.11.14_1",0.104863528910724
"905S02561_5.25.11_1",0.10475030435781
"909JQCASR_6.1.11_1",0.0302087724405551
"911S03354_5.5.09_1",0.0768692720269745
"911TJIND2_5.8.08_1",0.0655828965145708
"911TJLCC2_4.7.15_1",0.0829868064001532
"SCFC1_6.12.08_1",0.0531709222278397
"SCSS1_6.17.08_1",0.111050419543343
"SMAD1_11.5.08_1",0.10441045886113
"SMC00135_6.7.10_1",0.0522412851576774
"SMC01979_7.14.11_1",0.0890798881897357
"SMC02139_7.17.12_1",0.0785013594386695
"SMC04204_7.11.12_1",0.0802302480726045
"SMC04383_5.19.14_1",0.07308436083401
"SMC06467_6.28.10_1",0.0629281978692698
"SMC19809_6.25.13_1",0.0772541648704649
