"","Predicted"
"105PS0188_8.26.08_1",0.0232467648978408
"105PS0188_8.26.08_2",0.0232467648978408
"106FC1183_7.24.14_1",0.0327152001403551
"106FC1313_7.23.14_1",0.0497134148507144
"106PS0078_8.26.09_1",0.0807787504909929
"106PS0173_8.4.11_1",0.0352316213105793
"106PS0186_9.26.12_1",0.0347444779588911
"109PS0162_7.20.11_1",0.081178630509488
"110ECSLSF_7.26.11_1",0.0735302650594142
"110FCA102_7.25.13_1",0.0795205117784036
"111CR1012_8.18.14_1",0.0309867461446288
"111PS0057_8.18.08_1",0.0725055196952374
"113GAR010_6.8.09_1",0.0549794774783536
"113GAR010_8.27.12_1",0.0549794774783536
"113GAR038_6.8.09_1",0.0693931362326697
"113GAR038_9.10.12_1",0.0693931362326697
"113GAR046_6.18.12_1",0.0996621157970759
"113GAR046_6.8.09_1",0.0996621157970759
"113GAR046_9.2.14_1",0.0996621157970759
"113GAR061_6.19.12_1",0.0975767561787058
"113GAR061_7.1.09_1",0.0975767561787058
"113GAR061_9.3.14_1",0.0975767561787058
"113GAR061_9.3.14_2",0.0975767561787058
"113GAR084_6.28.10_1",0.0750699778654601
"113GAR094_7.27.10_1",0.0913203944582664
"113GAR094_7.27.10_2",0.0913203944582664
"113GAR110_6.18.12_1",0.0738759708631653
"113GAR110_6.30.09_1",0.0738759708631653
"113GAR110_9.2.14_1",0.0738759708631653
"113PS0084_8.18.09_1",0.0462708086223247
"113PS0100_8.25.09_1",0.0799665969607637
"113PS0132_9.15.10_1",0.0468260490948873
"113PS0196_8.1.12_1",0.0597436449344644
"114CR0903_8.26.13_1",0.0976401945581252
"114CR0903_9.25.13_1",0.0976401945581252
"114PS0149_7.10.12_1",0.077350093112872
"114PS0152_7.7.11_1",0.0608380844804298
"114PS0152_8.18.11_1",0.0608380844804298
"114RR1041_10.10.11_1",0.0964626394286801
"114RR1041_10.25.11_1",0.0964626394286801
"114RR1041_10.25.11_2",0.0964626394286801
"114RR1041_8.2.11_1",0.0964626394286801
"114RR1041_9.7.11_1",0.0964626394286801
"114RR1310_6.2.11_1",0.0989562723020892
"114RR1599_10.10.11_1",0.0990150654261071
"114RR1599_10.25.11_1",0.0990150654261071
"114RR1599_6.2.11_1",0.0990150654261071
"114RR1599_6.27.11_1",0.0990150654261071
"114RR1599_8.2.11_1",0.0990150654261071
"114RR1599_8.2.11_2",0.0990150654261071
"114RR1599_9.7.11_1",0.0990150654261071
"114RR2678_10.11.11_1",0.0986576629223185
"114RR2678_10.24.11_1",0.0986576629223185
"114RR2678_6.29.11_1",0.0986576629223185
"114RR2678_8.1.11_1",0.0986576629223185
"114RR2678_9.13.11_1",0.0986576629223185
"114RR2769_6.1.11_1",0.0993785561069573
"114RR2899_10.11.11_1",0.0988578572122888
"114RR2899_10.24.11_1",0.0988578572122888
"114RR2899_6.1.11_1",0.0988578572122888
"114RR2899_6.29.11_1",0.0988578572122888
"114RR2899_8.1.11_1",0.0988578572122888
"114RR2899_9.13.11_1",0.0988578572122888
"202BUT850_6.4.13_1",0.0407953792251832
"202PS0134_5.31.11_1",0.0993418145152029
"202R00087_5.30.12_1",0.0624134999458295
"202R00284_6.15.12_1",0.0884250181480261
"202R00908_5.21.13_1",0.0868505917675967
"203PS0070_7.19.10_1",0.0987245637166664
"203PS0070_9.7.10_1",0.0987245637166664
"203R00039_5.14.12_1",0.100514973722194
"204ALP040_4.10.11_1",0.0648047588747139
"204ALP040_6.29.11_1",0.0648047588747139
"204ALP105_4.10.11_1",0.114691138994144
"204ALP151_4.10.11_1",0.0617186058451723
"204ALP151_6.29.11_1",0.0617186058451723
"204PS0038_6.19.08_1",0.0914046855984859
"204PS0094_7.14.10_1",0.065540589925
"204PS0102_6.15.11_1",0.0579941998557636
"204PS0102_6.15.11_2",0.0579941998557636
"204PS0102_8.10.11_1",0.0579941998557636
"204PS0118_6.15.11_1",0.112918405213944
"204R00047_6.6.12_1",0.094050426838913
"204R00063_6.4.13_1",0.101428900028622
"204R00068_5.31.12_1",0.0636985312123851
"204R00084_5.24.12_1",0.0745406475923853
"204R00100_5.30.12_1",0.056939229462923
"204R00180_5.30.12_1",0.0995167871646402
"204R00191_5.29.12_1",0.0680293044087189
"204R00200_5.31.12_1",0.101236467027601
"204R00232_6.12.12_1",0.056263833020983
